"ple0004","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Strong","2012","66 and older","Not Employed","1332","0.301862018751131","0.288886021928754","0.314838015573508","1"
"Strong","2012","66 and older","Employed","42","0.112163839715309","0.0817293577514728","0.142598321679144","1"
"A little","2013","16-34 y.","Not Employed","","","","","2"
"A little","2013","16-34 y.","Employed","","","","","2"
"A little","2013","35-65 y.","Not Employed","","","","","2"
"A little","2013","35-65 y.","Employed","","","","","2"
"A little","2013","66 and older","Not Employed","","","","","2"
"A little","2013","66 and older","Employed","","","","","2"
"Not at all","2013","16-34 y.","Not Employed","","","","","3"
"Not at all","2013","16-34 y.","Employed","","","","","3"
"Not at all","2013","35-65 y.","Not Employed","","","","","3"
"Not at all","2013","35-65 y.","Employed","","","","","3"
"Not at all","2013","66 and older","Not Employed","","","","","3"
"Not at all","2013","66 and older","Employed","","","","","3"
"Strong","2013","16-34 y.","Not Employed","","","","","1"
"Strong","2013","16-34 y.","Employed","","","","","1"
"Strong","2013","35-65 y.","Not Employed","","","","","1"
"Strong","2013","35-65 y.","Employed","","","","","1"
"Strong","2013","66 and older","Not Employed","","","","","1"
"Strong","2013","66 and older","Employed","","","","","1"
"A little","2014","16-34 y.","Not Employed","305","0.129349135252607","0.114481001447162","0.144217269058051","2"
"A little","2014","16-34 y.","Employed","747","0.15383139705896","0.143416653667699","0.164246140450221","2"
"A little","2014","35-65 y.","Not Employed","998","0.358977376340192","0.341488198743674","0.376466553936709","2"
"A little","2014","35-65 y.","Employed","3559","0.308036421399334","0.300003434752863","0.316069408045805","2"
"A little","2014","66 and older","Not Employed","1925","0.44454610760388","0.430051661393299","0.459040553814462","2"
"A little","2014","66 and older","Employed","201","0.42531044156983","0.380990026556439","0.469630856583221","2"
"Not at all","2014","16-34 y.","Not Employed","1590","0.83079493057987","0.81418352881116","0.847406332348579","3"
"Not at all","2014","16-34 y.","Employed","3789","0.831419936620849","0.820612792283312","0.842227080958386","3"
"Not at all","2014","35-65 y.","Not Employed","1287","0.38407190233776","0.366339382838558","0.401804421836962","3"
"Not at all","2014","35-65 y.","Employed","8455","0.632116109746162","0.623725602692445","0.640506616799879","3"
"Not at all","2014","66 and older","Not Employed","1339","0.266198467999689","0.253306735167673","0.279090200831705","3"
"Not at all","2014","66 and older","Employed","212","0.424859602561645","0.380545312245385","0.469173892877905","3"
"Strong","2014","16-34 y.","Not Employed","62","0.0398559341675239","0.0311889625236662","0.0485229058113816","1"
"Strong","2014","16-34 y.","Employed","74","0.0147486663201908","0.0112689205221875","0.0182284121181941","1"
"Strong","2014","35-65 y.","Not Employed","605","0.256950721322048","0.241020093238718","0.272881349405379","1"
"Strong","2014","35-65 y.","Employed","675","0.0598474688545043","0.0557202600072571","0.0639746777017515","1"
"Strong","2014","66 and older","Not Employed","1251","0.289255424396431","0.276029782888228","0.302481065904634","1"
"Strong","2014","66 and older","Employed","65","0.149829955868524","0.117834642525382","0.181825269211666","1"
"A little","2015","16-34 y.","Not Employed","","","","","2"
"A little","2015","16-34 y.","Employed","","","","","2"
"A little","2015","66 and older","Not Employed","","","","","2"
"A little","2015","66 and older","Employed","","","","","2"
"A little","2015","35-65 y.","Not Employed","","","","","2"
"A little","2015","35-65 y.","Employed","","","","","2"
"Not at all","2015","16-34 y.","Not Employed","","","","","3"
"Not at all","2015","16-34 y.","Employed","","","","","3"
"Not at all","2015","35-65 y.","Not Employed","","","","","3"
"Not at all","2015","35-65 y.","Employed","","","","","3"
"Not at all","2015","66 and older","Not Employed","","","","","3"
"Not at all","2015","66 and older","Employed","","","","","3"
