"ple0004","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Strong","2004","Full Time","Female","91","0.0393788615561378","0.0321889207319056","0.0465688023803701","1"
"Strong","2004","Part Time","Male","91","0.0808819539655782","0.0670794227366968","0.0946844851944596","1"
"Strong","2004","Part Time","Female","133","0.051436824910226","0.044143923412759","0.058729726407693","1"
"Strong","2004","Not Working","Male","662","0.224796972327773","0.210456100525616","0.23913784412993","1"
"Strong","2004","Not Working","Female","1044","0.2566911977295","0.244498080270848","0.268884315188153","1"
"A little","2005","Part Time","Male","","","","","2"
"A little","2005","Part Time","Female","","","","","2"
"A little","2005","Full Time","Male","","","","","2"
"A little","2005","Full Time","Female","","","","","2"
"A little","2005","Not Working","Male","","","","","2"
"A little","2005","Not Working","Female","","","","","2"
"Not at all","2005","Full Time","Female","","","","","3"
"Not at all","2005","Part Time","Male","","","","","3"
"Not at all","2005","Part Time","Female","","","","","3"
"Not at all","2005","Full Time","Male","","","","","3"
"Not at all","2005","Not Working","Male","","","","","3"
"Not at all","2005","Not Working","Female","","","","","3"
"Strong","2005","Full Time","Male","","","","","1"
"Strong","2005","Full Time","Female","","","","","1"
"Strong","2005","Part Time","Male","","","","","1"
"Strong","2005","Part Time","Female","","","","","1"
"Strong","2005","Not Working","Male","","","","","1"
"Strong","2005","Not Working","Female","","","","","1"
"A little","2006","Part Time","Male","332","0.235913501327323","0.213799663243881","0.258027339410766","2"
"A little","2006","Part Time","Female","1039","0.313743832372956","0.2986010476328","0.328886617113112","2"
"A little","2006","Full Time","Male","1298","0.232229429348829","0.221178000126558","0.2432808585711","2"
"A little","2006","Full Time","Female","806","0.302002945589677","0.285072388469625","0.318933502709729","2"
"A little","2006","Not Working","Male","1287","0.381549784356291","0.365391836151929","0.397707732560654","2"
"A little","2006","Not Working","Female","1841","0.378246340146259","0.364942123736436","0.391550556556081","2"
"Not at all","2006","Full Time","Female","1920","0.665360183583635","0.647959910038987","0.682760457128282","3"
"Not at all","2006","Part Time","Male","991","0.68187118248972","0.657612392309627","0.706129972669813","3"
"Not at all","2006","Part Time","Female","2427","0.640883582031467","0.625227531183268","0.656539632879666","3"
"Not at all","2006","Full Time","Male","4151","0.735690361730081","0.724149237339201","0.747231486120962","3"
"Not at all","2006","Not Working","Male","1504","0.407754858150647","0.391408968667163","0.42410074763413","3"
"Not at all","2006","Not Working","Female","2155","0.371175744433777","0.357921737454325","0.38442975141323","3"
"Strong","2006","Full Time","Male","159","0.0320802089210899","0.0274682825256762","0.0366921353165036","1"
"Strong","2006","Full Time","Female","99","0.032636870826688","0.0260846596472236","0.0391890820061525","1"
"Strong","2006","Part Time","Male","93","0.0822153161829566","0.0679078333685604","0.0965227989973528","1"
"Strong","2006","Part Time","Female","141","0.0453725855955768","0.0385807254404616","0.052164445750692","1"
"Strong","2006","Not Working","Male","681","0.210695357493062","0.197130724604384","0.22425999038174","1"
"Strong","2006","Not Working","Female","1108","0.250577915419964","0.238689406233697","0.26246642460623","1"
"A little","2007","Full Time","Male","","","","","2"
"A little","2007","Full Time","Female","","","","","2"
"A little","2007","Part Time","Male","","","","","2"
"A little","2007","Part Time","Female","","","","","2"
"A little","2007","Not Working","Male","","","","","2"
"A little","2007","Not Working","Female","","","","","2"
"Not at all","2007","Full Time","Male","","","","","3"
"Not at all","2007","Full Time","Female","","","","","3"
"Not at all","2007","Part Time","Male","","","","","3"
"Not at all","2007","Part Time","Female","","","","","3"
"Not at all","2007","Not Working","Male","","","","","3"
"Not at all","2007","Not Working","Female","","","","","3"
"Strong","2007","Full Time","Male","","","","","1"
"Strong","2007","Full Time","Female","","","","","1"
"Strong","2007","Part Time","Male","","","","","1"
"Strong","2007","Part Time","Female","","","","","1"
"Strong","2007","Not Working","Male","","","","","1"
"Strong","2007","Not Working","Female","","","","","1"
"A little","2008","Full Time","Male","1129","0.232663897921506","0.22090742557262","0.244420370270391","2"
"A little","2008","Full Time","Female","666","0.268096631727225","0.250818771691808","0.285374491762642","2"
"A little","2008","Part Time","Male","300","0.260198029167064","0.235446376657075","0.284949681677052","2"
"A little","2008","Part Time","Female","925","0.332807715383207","0.316509121482496","0.349106309283918","2"
"A little","2008","Not Working","Male","1153","0.377691852921263","0.360536803830526","0.394846902011999","2"
"A little","2008","Not Working","Female","1617","0.375208079911226","0.360919687946038","0.389496471876414","2"
"Not at all","2008","Full Time","Male","3686","0.737215161647913","0.724968520493921","0.749461802801905","3"
"Not at all","2008","Full Time","Female","1757","0.678774450193874","0.660561295190749","0.696987605196999","3"
"Not at all","2008","Part Time","Male","845","0.682113030603765","0.655843095979664","0.708382965227866","3"
"Not at all","2008","Part Time","Female","2157","0.620870399894869","0.604089228918294","0.637651570871443","3"
"Not at all","2008","Not Working","Male","1274","0.39874265030982","0.381416704247988","0.416068596371651","3"
"Not at all","2008","Not Working","Female","1817","0.37765890533189","0.363352067092057","0.391965743571723","3"
"Strong","2008","Full Time","Male","147","0.0301209404305811","0.0253652588772184","0.0348766219839439","1"
"Strong","2008","Full Time","Female","102","0.0531289180789013","0.044380524516241","0.0618773116415615","1"
"Strong","2008","Part Time","Male","62","0.0576889402291717","0.0445355446746952","0.0708423357836481","1"
"Strong","2008","Part Time","Female","129","0.0463218847219244","0.039052093188946","0.0535916762549028","1"
"Strong","2008","Not Working","Male","641","0.223565496768917","0.208822858282563","0.238308135255272","1"
"Strong","2008","Not Working","Female","977","0.247133014756884","0.234403727940456","0.259862301573312","1"
"A little","2009","Full Time","Male","","","","","2"
"A little","2009","Full Time","Female","","","","","2"
"A little","2009","Part Time","Male","","","","","2"
"A little","2009","Part Time","Female","","","","","2"
"A little","2009","Not Working","Male","","","","","2"
"A little","2009","Not Working","Female","","","","","2"
"Not at all","2009","Full Time","Male","","","","","3"
"Not at all","2009","Full Time","Female","","","","","3"
"Not at all","2009","Part Time","Male","","","","","3"
"Not at all","2009","Part Time","Female","","","","","3"
"Not at all","2009","Not Working","Male","","","","","3"
"Not at all","2009","Not Working","Female","","","","","3"
"Strong","2009","Full Time","Male","","","","","1"
"Strong","2009","Full Time","Female","","","","","1"
"Strong","2009","Part Time","Male","","","","","1"
"Strong","2009","Part Time","Female","","","","","1"
"Strong","2009","Not Working","Male","","","","","1"
"Strong","2009","Not Working","Female","","","","","1"
"A little","2010","Full Time","Male","1067","0.286496397596148","0.27279345795893","0.300199337233366","2"
"A little","2010","Full Time","Female","671","0.302385822254745","0.28345845747109","0.3213131870384","2"
"A little","2010","Part Time","Male","304","0.291733451793071","0.264673630109653","0.31879327347649","2"
"A little","2010","Part Time","Female","834","0.323597108807384","0.306341877364144","0.340852340250625","2"
"A little","2010","Not Working","Male","1006","0.376930550457688","0.358600027973915","0.395261072941461","2"
"A little","2010","Not Working","Female","1437","0.412553868643489","0.396620155579613","0.428487581707365","2"
"Not at all","2010","Full Time","Male","2983","0.674608052295828","0.660408153867553","0.688807950724103","3"
"Not at all","2010","Full Time","Female","1499","0.655387651323963","0.635802977825887","0.674972324822039","3"
"Not at all","2010","Part Time","Male","711","0.639587028154157","0.611005629325505","0.668168426982808","3"
"Not at all","2010","Part Time","Female","1867","0.625782673036689","0.607934677117276","0.643630668956102","3"
"Not at all","2010","Not Working","Male","1103","0.398595259322447","0.380075922345599","0.417114596299294","3"
"Not at all","2010","Not Working","Female","1374","0.302038964537767","0.287178249325013","0.316899679750522","3"
"Strong","2010","Full Time","Male","132","0.0388955501080244","0.0330356349271015","0.0447554652889472","1"
"Strong","2010","Full Time","Female","92","0.0422265264212922","0.0339389819500693","0.0505140708925151","1"
"Strong","2010","Part Time","Male","69","0.068679520052772","0.0536239691226964","0.0837350709828475","1"
"Strong","2010","Part Time","Female","123","0.0506202181559264","0.0425348883379401","0.0587055479739127","1"
"Strong","2010","Not Working","Male","576","0.224474190219865","0.208692363134161","0.240256017305569","1"
"Strong","2010","Not Working","Female","856","0.285407166818744","0.270790296248684","0.300024037388804","1"
"A little","2011","Full Time","Male","","","","","2"
"A little","2011","Full Time","Female","","","","","2"
"A little","2011","Part Time","Male","","","","","2"
"A little","2011","Part Time","Female","","","","","2"
"A little","2011","Not Working","Male","","","","","2"
"A little","2011","Not Working","Female","","","","","2"
"Not at all","2011","Full Time","Male","","","","","3"
"Not at all","2011","Full Time","Female","","","","","3"
"Not at all","2011","Part Time","Male","","","","","3"
"Not at all","2011","Part Time","Female","","","","","3"
"Not at all","2011","Not Working","Male","","","","","3"
"Not at all","2011","Not Working","Female","","","","","3"
"Strong","2011","Full Time","Male","","","","","1"
"Strong","2011","Full Time","Female","","","","","1"
"Strong","2011","Part Time","Male","","","","","1"
"Strong","2011","Part Time","Female","","","","","1"
"Strong","2011","Not Working","Male","","","","","1"
"Strong","2011","Not Working","Female","","","","","1"
"A little","2012","Full Time","Male","1228","0.265621819680677","0.253194443319697","0.278049196041656","2"
"A little","2012","Full Time","Female","811","0.300114182310175","0.283031448274289","0.317196916346061","2"
"A little","2012","Part Time","Male","355","0.281103624608664","0.257097024242778","0.30511022497455","2"
"A little","2012","Part Time","Female","1132","0.353964433858043","0.338193922673272","0.369734945042814","2"
"A little","2012","Not Working","Male","1353","0.387897432836516","0.371696454558685","0.404098411114348","2"
"A little","2012","Not Working","Female","1782","0.405493808754048","0.391264941897643","0.419722675610453","2"
"Not at all","2012","Full Time","Male","3477","0.706071981790388","0.69325361550891","0.718890348071867","3"
"Not at all","2012","Full Time","Female","1831","0.651541760648648","0.633781594648171","0.669301926649125","3"
"Not at all","2012","Part Time","Male","909","0.658924060878452","0.633607336231836","0.684240785525068","3"
"Not at all","2012","Part Time","Female","2218","0.587969305882749","0.571737013530251","0.604201598235247","3"
"Not at all","2012","Not Working","Male","1372","0.382777567720511","0.366616696237518","0.398938439203505","3"
"Not at all","2012","Not Working","Female","1702","0.323609714876252","0.310051282888701","0.337168146863802","3"
"Strong","2012","Full Time","Male","147","0.0283061985289352","0.0236396779512764","0.0329727191065941","1"
"Strong","2012","Full Time","Female","123","0.0483440570411769","0.040349175153941","0.0563389389284128","1"
"Strong","2012","Part Time","Male","83","0.0599723145128838","0.0472925840888901","0.0726520449368775","1"
"Strong","2012","Part Time","Female","182","0.0580662602592079","0.0503534997097401","0.0657790208086756","1"
"Strong","2012","Not Working","Male","750","0.229324999442972","0.215347418277172","0.243302580608773","1"
"Strong","2012","Not Working","Female","1090","0.2708964763697","0.258017056914415","0.283775895824986","1"
"A little","2013","Full Time","Male","","","","","2"
"A little","2013","Full Time","Female","","","","","2"
"A little","2013","Part Time","Male","","","","","2"
"A little","2013","Part Time","Female","","","","","2"
"A little","2013","Not Working","Male","","","","","2"
"A little","2013","Not Working","Female","","","","","2"
"Not at all","2013","Full Time","Male","","","","","3"
"Not at all","2013","Full Time","Female","","","","","3"
"Not at all","2013","Part Time","Male","","","","","3"
"Not at all","2013","Part Time","Female","","","","","3"
"Not at all","2013","Not Working","Male","","","","","3"
"Not at all","2013","Not Working","Female","","","","","3"
"Strong","2013","Full Time","Male","","","","","1"
"Strong","2013","Full Time","Female","","","","","1"
"Strong","2013","Part Time","Male","","","","","1"
"Strong","2013","Part Time","Female","","","","","1"
"Strong","2013","Not Working","Male","","","","","1"
"Strong","2013","Not Working","Female","","","","","1"
"A little","2014","Full Time","Male","1522","0.244929982014384","0.234642612120917","0.255217351907851","2"
"A little","2014","Full Time","Female","950","0.28255651208526","0.267659371496366","0.297453652674154","2"
"A little","2014","Part Time","Male","493","0.265021706812638","0.245417778984224","0.284625634641051","2"
"A little","2014","Part Time","Female","1542","0.290834624949432","0.278948483207903","0.30272076669096","2"
"A little","2014","Not Working","Male","1292","0.362996693020527","0.3477117363299","0.378281649711154","2"
"A little","2014","Not Working","Female","1936","0.387035048635047","0.374232286870434","0.39983781039966","2"
"Not at all","2014","Full Time","Male","4984","0.720054032432644","0.709313905380961","0.730794159484326","3"
"Not at all","2014","Full Time","Female","2405","0.672513421375469","0.656985846293296","0.688040996457642","3"
"Not at all","2014","Part Time","Male","1326","0.66953439233908","0.648640724093376","0.690428060584785","3"
"Not at all","2014","Part Time","Female","3741","0.639761942647563","0.6271973594792","0.652326525815927","3"
"Not at all","2014","Not Working","Male","1760","0.414914550587969","0.399253134920491","0.430575966255447","3"
"Not at all","2014","Not Working","Female","2456","0.351312602627878","0.33876458008423","0.363860625171526","3"
"Strong","2014","Full Time","Male","207","0.0350159855529723","0.0306187168561656","0.039413254249779","1"
"Strong","2014","Full Time","Female","154","0.0449300665392709","0.0380760914062941","0.0517840416722476","1"
"Strong","2014","Part Time","Male","128","0.0654439008482822","0.0544588418862518","0.0764289598103127","1"
"Strong","2014","Part Time","Female","325","0.0694034324030048","0.0627519983980173","0.0760548664079923","1"
"Strong","2014","Not Working","Male","750","0.222088756391504","0.208876702235306","0.235300810547701","1"
"Strong","2014","Not Working","Female","1168","0.261652348737075","0.2500991175783","0.273205579895851","1"
"A little","2015","Full Time","Male","","","","","2"
"A little","2015","Full Time","Female","","","","","2"
"A little","2015","Not Working","Male","","","","","2"
"A little","2015","Not Working","Female","","","","","2"
"A little","2015","Part Time","Male","","","","","2"
"A little","2015","Part Time","Female","","","","","2"
"Not at all","2015","Full Time","Male","","","","","3"
"Not at all","2015","Full Time","Female","","","","","3"
"Not at all","2015","Part Time","Male","","","","","3"
"Not at all","2015","Part Time","Female","","","","","3"
"Not at all","2015","Not Working","Male","","","","","3"
"Not at all","2015","Not Working","Female","","","","","3"
"Strong","2015","Full Time","Male","","","","","1"
"Strong","2015","Full Time","Female","","","","","1"
"Strong","2015","Not Working","Female","","","","","1"
"Strong","2015","Part Time","Male","","","","","1"
"Strong","2015","Part Time","Female","","","","","1"
"Strong","2015","Not Working","Male","","","","","1"
"A little","2016","Full Time","Male","1414","0.254273478418284","0.243201579968342","0.265345376868226","2"
"A little","2016","Full Time","Female","929","0.310375730781206","0.29442566197416","0.326325799588252","2"
"A little","2016","Not Working","Male","1708","0.354575169675797","0.342533649956088","0.366616689395506","2"
"A little","2016","Not Working","Female","2205","0.387322525313091","0.375428669773533","0.399216380852649","2"
"A little","2016","Part Time","Male","413","0.218372273516483","0.199453887509522","0.237290659523444","2"
"A little","2016","Part Time","Female","1436","0.297656895695192","0.285153558498248","0.310160232892137","2"
"Not at all","2016","Full Time","Male","4354","0.713080002079872","0.701579115902152","0.724580888257592","3"
"Not at all","2016","Full Time","Female","2144","0.63900944860453","0.622451216261119","0.655567680947942","3"
"Not at all","2016","Part Time","Male","1304","0.70955629444116","0.688768435110094","0.730344153772226","3"
"Not at all","2016","Part Time","Female","3404","0.640694490678043","0.627573979936905","0.65381500141918","3"
"Not at all","2016","Not Working","Male","3528","0.4224206428794","0.409987449027535","0.434853836731264","3"
"Not at all","2016","Not Working","Female","2976","0.34778454276204","0.336156114801598","0.359412970722481","3"
"Strong","2016","Full Time","Male","174","0.0326465195018443","0.0281280348628747","0.0371650041408139","1"
"Strong","2016","Full Time","Female","159","0.0506148206142639","0.0430574192121445","0.0581722220163833","1"
"Strong","2016","Not Working","Female","1263","0.26489293192487","0.254118836702811","0.275667027146928","1"
"Strong","2016","Part Time","Male","115","0.0720714320423576","0.060229455271824","0.0839134088128911","1"
"Strong","2016","Part Time","Female","297","0.0616486136267652","0.0550714640992116","0.0682257631543188","1"
"Strong","2016","Not Working","Male","827","0.223004187444804","0.212526386222085","0.233481988667522","1"
"A little","2017","Full Time","Male","","","","","2"
"A little","2017","Full Time","Female","","","","","2"
"A little","2017","Not Working","Male","264","0.142813063934474","0.126032305114915","0.159593822754032","2"
"A little","2017","Not Working","Female","361","0.299003077936663","0.273510818900555","0.32449533697277","2"
"A little","2017","Part Time","Male","","","","","2"
"A little","2017","Part Time","Female","","","","","2"
"Not at all","2017","Full Time","Male","","","","","3"
"Not at all","2017","Full Time","Female","","","","","3"
"Not at all","2017","Part Time","Male","","","","","3"
"Not at all","2017","Part Time","Female","","","","","3"
"Not at all","2017","Not Working","Male","1312","0.818354027667791","0.799862476062038","0.836845579273545","3"
"Not at all","2017","Not Working","Female","732","0.579161637941841","0.551671938438992","0.60665133744469","3"
"Strong","2017","Full Time","Male","","","","","1"
"Strong","2017","Full Time","Female","","","","","1"
"Strong","2017","Not Working","Female","146","0.121835284121497","0.103622054214645","0.140048514028348","1"
"Strong","2017","Part Time","Male","","","","","1"
"Strong","2017","Part Time","Female","","","","","1"
"Strong","2017","Not Working","Male","94","0.0388329083977351","0.0295669731460024","0.0480988436494677","1"
"A little","2018","Full Time","Male","1460","0.235720258742664","0.225367470610764","0.246073046874564","2"
"A little","2018","Full Time","Female","1091","0.310247921239711","0.295174398553768","0.325321443925654","2"
"A little","2018","Part Time","Female","1636","0.33000079088521","0.317589717443909","0.342411864326512","2"
"A little","2018","Not Working","Male","1705","0.360953048520192","0.348345884707568","0.373560212332815","2"
"A little","2018","Not Working","Female","2260","0.385894398516573","0.37399942910942","0.397789367923725","2"
"A little","2018","Part Time","Male","595","0.268643066527872","0.250872484583231","0.286413648472512","2"
"Not at all","2018","Full Time","Male","4787","0.732207289951677","0.721406659737536","0.743007920165818","3"
"Not at all","2018","Full Time","Female","2359","0.64489997332721","0.629306770006914","0.660493176647505","3"
"Not at all","2018","Part Time","Male","1657","0.661177440327103","0.642201892911146","0.68015298774306","3"
"Not at all","2018","Part Time","Female","3557","0.604707353678377","0.591802689635162","0.617612017721592","3"
"Not at all","2018","Not Working","Male","3013","0.421631609506269","0.408668938133052","0.434594280879486","3"
"Not at all","2018","Not Working","Female","2881","0.339035991859903","0.327469028206689","0.350602955513117","3"
"Strong","2018","Full Time","Male","210","0.0320724513056594","0.0277749086066286","0.0363699940046902","1"
"Strong","2018","Full Time","Female","168","0.0448521054330794","0.0381077486271977","0.0515964622389611","1"
"Strong","2018","Part Time","Male","138","0.0701794931450257","0.0599382231855392","0.0804207631045121","1"
"Strong","2018","Part Time","Female","321","0.065291855436413","0.0587713354746716","0.0718123753981544","1"
"Strong","2018","Not Working","Male","857","0.217415341973539","0.206587637010693","0.228243046936386","1"
"Strong","2018","Not Working","Female","1293","0.275069609623524","0.264158296434903","0.285980922812145","1"
"A little","2019","Full Time","Male","","","","","2"
"A little","2019","Full Time","Female","","","","","2"
"A little","2019","Part Time","Female","","","","","2"
"A little","2019","Not Working","Male","24","","","","2"
"A little","2019","Not Working","Female","34","0.226113844289315","0.157552047918407","0.294675640660223","2"
"A little","2019","Part Time","Male","","","","","2"
"Not at all","2019","Full Time","Male","","","","","3"
"Not at all","2019","Full Time","Female","","","","","3"
"Not at all","2019","Part Time","Male","","","","","3"
"Not at all","2019","Part Time","Female","","","","","3"
"Not at all","2019","Not Working","Male","93","0.631646275174587","0.550578521451589","0.712714028897585","3"
"Not at all","2019","Not Working","Female","89","0.640759315008216","0.562123517727195","0.719395112289236","3"
"Strong","2019","Full Time","Male","","","","","1"
"Strong","2019","Full Time","Female","","","","","1"
"Strong","2019","Not Working","Male","19","","","","1"
"Strong","2019","Not Working","Female","20","","","","1"
"Strong","2019","Part Time","Male","","","","","1"
"Strong","2019","Part Time","Female","","","","","1"
