"ple0004","year","age_gr","n","percent","lower_confidence","upper_confidence"
"A little","2008","35-65 y.","3188","0.318003347182265","0.309167412469724","0.326839281894805"
"A little","2008","66 and older","1935","0.450770141785989","0.435980489500107","0.46555979407187"
"Not at all","2008","16-34 y.","3640","0.830622321070349","0.819495122087847","0.84174952005285"
"Not at all","2008","35-65 y.","6698","0.597664286729559","0.588360312988859","0.606968260470259"
"Not at all","2008","66 and older","1198","0.250345904018323","0.237469220329837","0.26322258770681"
"Strong","2009","16-34 y.","","","",""
"Strong","2009","35-65 y.","","","",""
"Strong","2009","66 and older","","","",""
"A little","2009","16-34 y.","","","",""
"A little","2009","35-65 y.","","","",""
"A little","2009","66 and older","","","",""
"Not at all","2009","16-34 y.","","","",""
"Not at all","2009","35-65 y.","","","",""
"Not at all","2009","66 and older","","","",""
"Strong","2010","16-34 y.","45","0.0147977043192116","0.0108474846964893","0.0187479239419339"
"Strong","2010","35-65 y.","705","0.0933549242254377","0.087365963628395","0.0993438848224804"
"Strong","2010","66 and older","1098","0.293181366546848","0.27916153624704","0.307201196846657"
"A little","2010","16-34 y.","582","0.165012312151972","0.152868373278076","0.177156251025868"
"A little","2010","35-65 y.","2922","0.353676133617693","0.343833934194628","0.363518333040757"
"A little","2010","66 and older","1815","0.449285037926088","0.433965523664184","0.464604552187993"
"Not at all","2010","16-34 y.","2962","0.820189983528816","0.80762605281106","0.832753914246573"
"Not at all","2010","35-65 y.","5438","0.55296894215687","0.542734046836967","0.563203837476772"
"Not at all","2010","66 and older","1137","0.257533595527063","0.244066438356469","0.271000752697657"
"Strong","2011","16-34 y.","","","",""
"Strong","2011","35-65 y.","","","",""
"Strong","2011","66 and older","","","",""
"A little","2011","16-34 y.","","","",""
"A little","2011","35-65 y.","","","",""
"A little","2011","66 and older","","","",""
"Not at all","2011","16-34 y.","","","",""
"Not at all","2011","35-65 y.","","","",""
"Not at all","2011","66 and older","","","",""
"Strong","2012","16-34 y.","57","0.0155728316487914","0.0118012500321474","0.0193444132654354"
"Strong","2012","35-65 y.","944","0.0891238590896417","0.0838433454745342","0.0944043727047492"
"Strong","2012","66 and older","1374","0.287139374598531","0.274867244995163","0.299411504201899"
"A little","2012","16-34 y.","696","0.177290577734253","0.165656981581489","0.188924173887017"
"A little","2012","35-65 y.","3676","0.351692057969826","0.342842502347207","0.360541613592445"
"A little","2012","66 and older","2289","0.439872679209595","0.426408554771117","0.453336803648074"
"Not at all","2012","16-34 y.","3387","0.807136590616956","0.795118198804545","0.819154982429367"
"Not at all","2012","35-65 y.","6564","0.559184082940532","0.549982648289733","0.568385517591332"
"Not at all","2012","66 and older","1558","0.272987946191874","0.260903860794638","0.285072031589109"
"Strong","2013","16-34 y.","","","",""
"Strong","2013","35-65 y.","","","",""
"Strong","2013","66 and older","","","",""
"A little","2013","16-34 y.","","","",""
"A little","2013","35-65 y.","","","",""
"A little","2013","66 and older","","","",""
"Not at all","2013","16-34 y.","","","",""
"Not at all","2013","35-65 y.","","","",""
"Not at all","2013","66 and older","","","",""
"Strong","2014","16-34 y.","136","0.0205459768476522","0.0171149824627242","0.0239769712325803"
"Strong","2014","35-65 y.","1280","0.0969797112099892","0.0923327665596758","0.101626655860303"
"Strong","2014","66 and older","1316","0.276740784835369","0.264331382082738","0.289150187588"
"A little","2014","16-34 y.","1052","0.148178401481382","0.139585667647293","0.156771135315471"
"A little","2014","35-65 y.","4557","0.317633177723765","0.310322625508259","0.32494372993927"
"A little","2014","66 and older","2126","0.442819540501939","0.429041779876792","0.456597301127085"
"Not at all","2014","16-34 y.","5379","0.831275621670966","0.82221775292099","0.840333490420942"
