"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2014","66 and older","West Germany","","","","","","","","","","","","","",""
"2015","16-34 y.","East Germany","","","","","","","","","","","","","",""
"2015","16-34 y.","West Germany","","","","","","","","","","","","","",""
"2015","35-65 y.","East Germany","","","","","","","","","","","","","",""
"2015","35-65 y.","West Germany","","","","","","","","","","","","","",""
"2015","66 and older","East Germany","","","","","","","","","","","","","",""
"2015","66 and older","West Germany","","","","","","","","","","","","","",""
"2016","16-34 y.","East Germany","1.88","2","978","1","1","2","3","4","1.84","1.92","1","4","2","2"
"2016","16-34 y.","West Germany","1.86","2","4657","1","1","2","3","4","1.84","1.88","1","4","2","2"
"2016","35-65 y.","East Germany","2.16","2","2801","1","2","3","3","4","2.13","2.19","1","4","2","2"
"2016","35-65 y.","West Germany","2.19","2","10827","1","2","3","3","4","2.18","2.2","1","4","2","2"
"2016","66 and older","East Germany","2.85","3","893","2","2","4","4","4","2.78","2.92","1","4","2","3"
"2016","66 and older","West Germany","2.9","3","2858","2","2","4","4","4","2.86","2.94","1","4","3","3"
