"year","pgcasmin","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1991","(0) in school","West Germany","","","","","","","","","","","","","",""
"1991","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1991","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"1991","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1991","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"1991","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1991","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"1991","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1991","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"1991","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1991","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"1991","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1991","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"1991","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1991","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"1991","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1991","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1991","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1991","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"1992","(0) in school","East Germany","","","","","","","","","","","","","",""
"1992","(0) in school","West Germany","1.83","2","98","1","1","2","3","4","1.68","1.98","1","4","2","2"
"1992","(1a) inadequately completed","East Germany","1.69","1","64","1","1","2","3","4","1.48","1.9","1","4","1","2"
"1992","(1a) inadequately completed","West Germany","2.58","2","66","1","2","4","4","4","2.3","2.86","1","4","2","3"
"1992","(1b) general elementary school","East Germany","3.23","4","253","2","2","4","4","4","3.09","3.37","1","4","3","4"
"1992","(1b) general elementary school","West Germany","2.7","3","1174","1","2","4","4","4","2.64","2.76","1","4","2","3"
"1992","(1c) basic vocational qualification","East Germany","2.38","2","1049","1","1","4","4","4","2.31","2.45","1","4","2","2"
"1992","(1c) basic vocational qualification","West Germany","2.28","2","2605","1","2","3","4","4","2.24","2.32","1","4","2","2"
"1992","(2a) intermediate vocational","East Germany","1.73","2","1242","1","1","2","3","4","1.69","1.77","1","4","2","2"
"1992","(2a) intermediate vocational","West Germany","2.19","2","1238","1","2","3","4","4","2.14","2.24","1","4","2","2"
"1992","(2b) intermediate general qualification","East Germany","1.66","1","175","1","1","2","3","4","1.54","1.78","1","4","1","1"
"1992","(2b) intermediate general qualification","West Germany","2.1","2","291","1","1","3","4","4","2","2.2","1","4","2","2"
"1992","(2c_gen) general maturity certificate","East Germany","1.71","2","43","1","1","2","2","3","1.53","1.89","1","3","1","2"
"1992","(2c_gen) general maturity certificate","West Germany","1.91","2","236","1","1","2","3","4","1.82","2","1","4","2","2"
"1992","(2c_voc) vocational maturity certificate","East Germany","1.76","2","73","1","1","2","3","4","1.61","1.91","1","4","2","2"
"1992","(2c_voc) vocational maturity certificate","West Germany","2.06","2","338","1","2","2","3","4","1.98","2.14","1","4","2","2"
"1992","(3a) lower tertiary education","East Germany","1.91","2","596","1","1","2","4","4","1.84","1.98","1","4","2","2"
"1992","(3a) lower tertiary education","West Germany","1.99","2","248","1","1","2","3","4","1.89","2.09","1","4","2","2"
"1992","(3b) higher tertiary education","East Germany","1.73","2","300","1","1","2","2","4","1.65","1.81","1","4","2","2"
"1992","(3b) higher tertiary education","West Germany","2.01","2","435","1","1","2","3","4","1.94","2.08","1","4","2","2"
"1993","(0) in school","East Germany","","","","","","","","","","","","","",""
"1993","(0) in school","West Germany","","","","","","","","","","","","","",""
"1993","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1993","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"1993","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1993","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"1993","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1993","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"1993","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1993","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"1993","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1993","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"1993","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1993","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"1993","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1993","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"1993","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1993","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1993","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1993","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"1994","(0) in school","East Germany","","","","","","","","","","","","","",""
"1994","(0) in school","West Germany","","","","","","","","","","","","","",""
"1994","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1994","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"1994","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1994","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"1994","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1994","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"1994","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1994","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"1994","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1994","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"1994","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1994","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"1994","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1994","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"1994","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1994","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1994","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1994","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"1995","(0) in school","East Germany","1.42","1","70","1","1","2","2","3","1.29","1.55","1","3","1","2"
"1995","(0) in school","West Germany","1.76","2","146","1","1","2","3","4","1.65","1.87","1","4","2","2"
"1995","(1a) inadequately completed","East Germany","2.03","2","38","1","1","3","4","4","1.71","2.35","1","4","1","2"
"1995","(1a) inadequately completed","West Germany","2.39","2","92","1","2","3","4","4","2.19","2.59","1","4","2","3"
"1995","(1b) general elementary school","East Germany","3.09","4","211","1","2","4","4","4","2.94","3.24","1","4","2","3"
"1995","(1b) general elementary school","West Germany","2.65","2","1141","1","2","4","4","4","2.59","2.71","1","4","2","2"
"1995","(1c) basic vocational qualification","East Germany","2.42","2","883","1","2","4","4","4","2.35","2.49","1","4","2","2"
"1995","(1c) basic vocational qualification","West Germany","2.23","2","2578","1","2","3","4","4","2.2","2.26","1","4","2","2"
"1995","(2a) intermediate vocational","East Germany","1.84","2","1168","1","1","2","3","4","1.8","1.88","1","4","2","2"
"1995","(2a) intermediate vocational","West Germany","2.12","2","1352","1","2","3","3","4","2.08","2.16","1","4","2","2"
"1995","(2b) intermediate general qualification","East Germany","1.66","2","147","1","1","2","2","4","1.55","1.77","1","4","1","2"
"1995","(2b) intermediate general qualification","West Germany","1.99","2","258","1","1","2","4","4","1.89","2.09","1","4","2","2"
"1995","(2c_gen) general maturity certificate","East Germany","1.62","2","71","1","1","2","2","3","1.47","1.77","1","4","1","2"
"1995","(2c_gen) general maturity certificate","West Germany","1.75","2","289","1","1","2","3","4","1.67","1.83","1","4","2","2"
"1995","(2c_voc) vocational maturity certificate","East Germany","1.8","2","77","1","1","2","3","4","1.64","1.96","1","4","1","2"
"1995","(2c_voc) vocational maturity certificate","West Germany","2.05","2","440","1","1","2","3","4","1.97","2.13","1","4","2","2"
"1995","(3a) lower tertiary education","East Germany","2.02","2","523","1","1","2","4","4","1.95","2.09","1","4","2","2"
"1995","(3a) lower tertiary education","West Germany","2.08","2","305","1","2","2","3","4","1.99","2.17","1","4","2","2"
"1995","(3b) higher tertiary education","East Germany","1.93","2","279","1","1","2","3","4","1.84","2.02","1","4","2","2"
"1995","(3b) higher tertiary education","West Germany","1.99","2","559","1","1","2","3","4","1.93","2.05","1","4","2","2"
"1996","(0) in school","East Germany","","","","","","","","","","","","","",""
"1996","(0) in school","West Germany","","","","","","","","","","","","","",""
"1996","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
"1996","(1a) inadequately completed","West Germany","","","","","","","","","","","","","",""
"1996","(1b) general elementary school","East Germany","","","","","","","","","","","","","",""
"1996","(1b) general elementary school","West Germany","","","","","","","","","","","","","",""
"1996","(1c) basic vocational qualification","East Germany","","","","","","","","","","","","","",""
"1996","(1c) basic vocational qualification","West Germany","","","","","","","","","","","","","",""
"1996","(2a) intermediate vocational","East Germany","","","","","","","","","","","","","",""
"1996","(2a) intermediate vocational","West Germany","","","","","","","","","","","","","",""
"1996","(2b) intermediate general qualification","East Germany","","","","","","","","","","","","","",""
"1996","(2b) intermediate general qualification","West Germany","","","","","","","","","","","","","",""
"1996","(2c_gen) general maturity certificate","East Germany","","","","","","","","","","","","","",""
"1996","(2c_gen) general maturity certificate","West Germany","","","","","","","","","","","","","",""
"1996","(2c_voc) vocational maturity certificate","East Germany","","","","","","","","","","","","","",""
"1996","(2c_voc) vocational maturity certificate","West Germany","","","","","","","","","","","","","",""
"1996","(3a) lower tertiary education","East Germany","","","","","","","","","","","","","",""
"1996","(3a) lower tertiary education","West Germany","","","","","","","","","","","","","",""
"1996","(3b) higher tertiary education","East Germany","","","","","","","","","","","","","",""
"1996","(3b) higher tertiary education","West Germany","","","","","","","","","","","","","",""
"1997","(0) in school","East Germany","","","","","","","","","","","","","",""
"1997","(0) in school","West Germany","","","","","","","","","","","","","",""
"1997","(1a) inadequately completed","East Germany","","","","","","","","","","","","","",""
