"year","age_gr","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2012","16-34 y.","Female","4.69","4.67","1404","4.63","4.75","3","4","5.66666650772095","6.33333349227905"
"2012","16-34 y.","Male","4.61","4.67","796","4.53","4.69","3.33333325386047","4","5.33333349227905","6"
"2012","35-65 y.","Female","4.73","4.67","2822","4.69","4.77","3","4","5.66666650772095","6.33333349227905"
"2012","35-65 y.","Male","4.54","4.67","2082","4.49","4.59","3","3.66666674613953","5.33333349227905","6"
"2012","66 and older","Female","","","","","","","","",""
"2012","66 and older","Male","","","","","","","","",""
"2013","16-34 y.","Female","4.75","4.67","1963","4.7","4.8","3.33333325386047","4","5.66666650772095","6"
"2013","16-34 y.","Male","4.58","4.67","1737","4.53","4.63","3.33333325386047","3.66666674613953","5.33333349227905","6"
"2013","35-65 y.","Female","4.63","4.67","5528","4.6","4.66","3","3.66666674613953","5.66666650772095","6.33333349227905"
"2013","35-65 y.","Male","4.47","4.33","4709","4.44","4.5","3","3.66666674613953","5.33333349227905","6"
"2013","66 and older","Female","4.52","4.67","2562","4.47","4.57","3","3.66666674613953","5.33333349227905","6"
"2013","66 and older","Male","4.43","4.67","2396","4.38","4.48","2.66666674613953","3.66666674613953","5.33333349227905","6"
"2014","16-34 y.","Female","","","","","","","","",""
"2014","16-34 y.","Male","","","","","","","","",""
"2014","35-65 y.","Female","","","","","","","","",""
"2014","35-65 y.","Male","","","","","","","","",""
"2014","66 and older","Female","","","","","","","","",""
"2014","66 and older","Male","","","","","","","","",""
"2015","16-34 y.","Female","","","","","","","","",""
"2015","16-34 y.","Male","","","","","","","","",""
"2015","35-65 y.","Female","","","","","","","","",""
"2015","35-65 y.","Male","","","","","","","","",""
"2015","66 and older","Female","","","","","","","","",""
"2015","66 and older","Male","","","","","","","","",""
"2016","16-34 y.","Female","","","","","","","","",""
"2016","16-34 y.","Male","","","","","","","","",""
"2016","35-65 y.","Female","","","","","","","","",""
"2016","35-65 y.","Male","","","","","","","","",""
"2016","66 and older","Female","","","","","","","","",""
"2016","66 and older","Male","","","","","","","","",""
"2017","16-34 y.","Female","4.83","5","3787","4.79","4.87","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","16-34 y.","Male","4.68","4.67","3787","4.64","4.72","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2017","35-65 y.","Female","4.73","4.67","8974","4.7","4.76","3","4","5.66666650772095","6.33333349227905"
"2017","35-65 y.","Male","4.57","4.67","7723","4.54","4.6","3","3.66666674613953","5.33333349227905","6"
"2017","66 and older","Female","4.54","4.67","2558","4.49","4.59","3","3.66666674613953","5.33333349227905","6"
"2017","66 and older","Male","4.46","4.33","2475","4.41","4.51","3","3.66666674613953","5.33333349227905","6"
"2018","16-34 y.","Female","","","","","","","","",""
"2018","16-34 y.","Male","","","","","","","","",""
"2018","35-65 y.","Female","","","","","","","","",""
"2018","35-65 y.","Male","","","","","","","","",""
"2018","66 and older","Female","","","","","","","","",""
"2018","66 and older","Male","","","","","","","","",""
"2019","16-34 y.","Female","4.77","4.67","2849","4.73","4.81","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2019","16-34 y.","Male","4.63","4.67","2586","4.59","4.67","3.33333325386047","4","5.33333349227905","6"
"2019","35-65 y.","Female","4.59","4.67","8049","4.56","4.62","3","3.66666674613953","5.33333349227905","6.33333349227905"
"2019","35-65 y.","Male","4.41","4.33","7094","4.38","4.44","3","3.66666674613953","5.33333349227905","6"
"2019","66 and older","Female","4.5","4.67","2584","4.45","4.55","3","3.66666674613953","5.33333349227905","6"
"2019","66 and older","Male","4.34","4.33","2638","4.29","4.39","2.66666674613953","3.33333325386047","5.33333349227905","6"
