"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2012","general elemantary","Urban Area","4.5","4.67","482","2.67","3.67","5.67","6.33","7","4.38","4.62","1","7","4.33333349227905","4.66666650772095"
"2012","higher education","Rural Area","4.78","4.94","384","3","4","5.67","6","7","4.67","4.89","1.67","7","4.66666650772095","5"
"2012","higher education","Urban Area","4.87","5","1112","3.33","4","5.67","6.33","7","4.8","4.94","1.67","7","5","5"
"2012","higher vocational","Rural Area","4.82","5","155","3.33","4","5.33","6.33","6.67","4.65","4.99","2","7","4.66666650772095","5"
"2012","higher vocational","Urban Area","4.82","5","210","3.33","4","5.67","6.33","7","4.67","4.97","1.67","7","4.66666650772095","5"
"2012","in school","Rural Area","5.18","5.02","67","4","4.33","6","6.67","7","4.89","5.47","2","7","4.66666650772095","5.33333349227905"
"2012","in school","Urban Area","4.95","5","123","3.33","4.33","6","6.67","7","4.76","5.14","2","7","4.66666650772095","5.33333349227905"
"2012","inadequately","Rural Area","4.53","4.33","53","3","3.67","5.33","6","6.67","4.24","4.82","2.33","6.67","4","5"
"2012","inadequately","Urban Area","3.96","4.3","102","2","3","5","5.33","7","3.68","4.24","1","7","3.66666674613953","4.33333349227905"
"2012","middle vocational","Rural Area","4.55","4.67","1457","3","3.67","5.33","6","7","4.49","4.61","1","7","4.66666650772095","4.66666650772095"
"2012","middle vocational","Urban Area","4.6","4.67","1795","3","4","5.33","6","7","4.55","4.65","1","7","4.66666650772095","4.66666650772095"
"2012","vocational + Abi","Rural Area","4.58","4.67","218","3.33","3.67","5.33","6","7","4.42","4.74","1.67","7","4.33333349227905","4.66666650772095"
"2012","vocational + Abi","Urban Area","4.74","4.67","540","3.33","4","5.33","6","7","4.65","4.83","1.33","7","4.66666650772095","5"
"2013","general elemantary","Rural Area","4.2","4","624","2.67","3.33","5","5.67","7","4.11","4.29","1","7","4","4.33333349227905"
"2013","general elemantary","Urban Area","4.14","4","1220","2.33","3.33","5","6","7","4.07","4.21","1","7","4","4.33333349227905"
"2013","higher education","Rural Area","4.78","4.67","1283","3.33","4","5.67","6.33","7","4.72","4.84","1","7","4.66666650772095","5"
"2013","higher education","Urban Area","4.89","5","3184","3.33","4","5.67","6.33","7","4.85","4.93","1","7","5","5"
"2013","higher vocational","Rural Area","4.55","4.67","531","3","3.67","5.33","6","7","4.46","4.64","1","7","4.33333349227905","4.66666650772095"
"2013","higher vocational","Urban Area","4.64","4.67","798","3.33","4","5.33","6","7","4.56","4.72","1","7","4.66666650772095","5"
"2013","in school","Rural Area","4.77","4.99","75","3.33","4","5.67","6","6.67","4.54","5","1.67","6.67","4.66666650772095","5.33333349227905"
"2013","in school","Urban Area","4.79","4.67","184","3.33","4","5.67","6.33","6.67","4.63","4.95","2","7","4.66666650772095","5"
"2013","inadequately","Rural Area","3.96","4.33","65","2","3","5","5.67","7","3.6","4.32","1","7","3.66666674613953","4.66666650772095"
"2013","inadequately","Urban Area","3.78","3.68","129","1.67","2.67","5","5.67","6.67","3.55","4.01","1","6.67","3.66666674613953","4.33333349227905"
