"pli0097_h","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1996","Urban Area","58","0.00603361080405395","0.00440030964567117","0.00766691196243674","2"
"Never","1996","Rural Area","3892","0.864843313177114","0.854752729671992","0.874933896682236","5"
"Never","1996","Urban Area","7871","0.899960022287117","0.893631676866985","0.906288367707249","5"
"Rarely","1996","Rural Area","399","0.106520528581545","0.0974153652229362","0.115625691940153","4"
"Rarely","1996","Urban Area","594","0.0800811444449519","0.0743567220768752","0.0858055668130285","4"
"Daily","1997","Urban Area","","","","","1"
"Daily","1997","Rural Area","","","","","1"
"Min 1x per month","1997","Urban Area","139","0.0168741414745816","0.0141298705575743","0.0196184123915889","3"
"Min 1x per month","1997","Rural Area","76","0.0188278135703839","0.0147766683885627","0.0228789587522051","3"
"Min 1x per week","1997","Rural Area","36","0.00933349780832129","0.00646739871046835","0.0121995969061742","2"
"Min 1x per week","1997","Urban Area","58","0.00747064026915626","0.00563595246542143","0.00930532807289109","2"
"Never","1997","Rural Area","3883","0.886739054293629","0.877293156147179","0.896184952440079","5"
"Never","1997","Urban Area","7808","0.911948705621456","0.905911101152405","0.917986310090508","5"
"Rarely","1997","Urban Area","457","0.0637065126348056","0.0585028456233729","0.0689101796462382","4"
"Rarely","1997","Rural Area","329","0.085099634327666","0.0767828393428713","0.0934164293124608","4"
"Daily","1998","Urban Area","11","","","","1"
"Daily","1998","Rural Area","5","","","","1"
"Min 1x per month","1998","Rural Area","99","0.0201502728015216","0.0161993836540327","0.0241011619490105","3"
"Min 1x per month","1998","Urban Area","150","0.0150400617630447","0.0125764436705431","0.0175036798555463","3"
"Min 1x per week","1998","Rural Area","25","","","","2"
"Min 1x per week","1998","Urban Area","73","0.00777246625268617","0.00599490591513023","0.00955002659024212","2"
"Never","1998","Rural Area","4222","0.857618092019011","0.847792719781172","0.86744346425685","5"
"Never","1998","Urban Area","8321","0.878620183671138","0.872010006232679","0.885230361109598","5"
"Rarely","1998","Urban Area","821","0.097477048836649","0.0914733402319142","0.103480757441384","4"
"Rarely","1998","Rural Area","508","0.115521051430849","0.106533343345595","0.124508759516103","4"
"Daily","1999","Urban Area","","","","","1"
"Daily","1999","Rural Area","","","","","1"
"Min 1x per month","1999","Rural Area","86","0.0182584804666221","0.014427587800208","0.0220893731330362","3"
"Min 1x per month","1999","Urban Area","140","0.0146783452369672","0.0121879394043196","0.0171687510696148","3"
"Min 1x per week","1999","Rural Area","45","0.0101678242994337","0.00729728240719638","0.0130383661916711","2"
"Min 1x per week","1999","Urban Area","77","0.00865208612029606","0.00673422998015721","0.0105699422604349","2"
"Never","1999","Rural Area","4168","0.886657828281887","0.87758708490028","0.895728571663494","5"
"Never","1999","Urban Area","8153","0.908320014162402","0.902344169874753","0.914295858450052","5"
"Rarely","1999","Urban Area","588","0.0683495544803343","0.0631239455650888","0.0735751633955798","4"
"Rarely","1999","Rural Area","393","0.0849158669520573","0.076939703856861","0.0928920300472537","4"
"Daily","2000","Urban Area","","","","","1"
"Daily","2000","Rural Area","","","","","1"
"Min 1x per month","2000","Rural Area","","","","","3"
"Min 1x per month","2000","Urban Area","","","","","3"
"Min 1x per week","2000","Urban Area","","","","","2"
"Min 1x per week","2000","Rural Area","","","","","2"
"Never","2000","Rural Area","","","","","5"
"Never","2000","Urban Area","","","","","5"
"Rarely","2000","Urban Area","","","","","4"
"Rarely","2000","Rural Area","","","","","4"
"Daily","2001","Urban Area","","","","","1"
"Daily","2001","Rural Area","","","","","1"
"Min 1x per month","2001","Urban Area","212","0.0150410235557789","0.0130475559366124","0.0170344911749455","3"
"Min 1x per month","2001","Rural Area","169","0.0233785816560386","0.0199469516301272","0.0268102116819499","3"
"Min 1x per week","2001","Urban Area","130","0.00920326700646341","0.0076393103508423","0.0107672236620845","2"
"Min 1x per week","2001","Rural Area","63","0.00822403501288366","0.00617297899451003","0.0102750910312573","2"
"Never","2001","Urban Area","13097","0.913038553199946","0.908423578175919","0.917653528223972","5"
"Never","2001","Rural Area","6703","0.902462043714984","0.895724066230888","0.909200021199079","5"
"Rarely","2001","Urban Area","882","0.0627171562378121","0.0587462472659631","0.066688065209661","4"
"Rarely","2001","Rural Area","513","0.0659353396160942","0.0602992764558181","0.0715714027763703","4"
"Daily","2002","Rural Area","","","","","1"
"Daily","2002","Urban Area","","","","","1"
"Min 1x per month","2002","Rural Area","","","","","3"
"Min 1x per month","2002","Urban Area","","","","","3"
"Min 1x per week","2002","Urban Area","","","","","2"
"Min 1x per week","2002","Rural Area","","","","","2"
"Never","2002","Urban Area","","","","","5"
"Never","2002","Rural Area","","","","","5"
"Rarely","2002","Urban Area","","","","","4"
"Rarely","2002","Rural Area","","","","","4"
"Daily","2003","Rural Area","23","","","","1"
"Daily","2003","Urban Area","24","","","","1"
"Min 1x per month","2003","Rural Area","181","0.0230964819422932","0.0196523697457709","0.0265405941388154","3"
"Min 1x per month","2003","Urban Area","272","0.0172220688076819","0.0151294772474501","0.0193146603679138","3"
"Min 1x per week","2003","Urban Area","147","0.00833716326850703","0.00687463158278717","0.00979969495422689","2"
"Min 1x per week","2003","Rural Area","61","0.00765308235129052","0.0056549304841536","0.00965123421842744","2"
"Never","2003","Urban Area","13178","0.890626053835229","0.885605880066124","0.895646227604334","5"
"Never","2003","Rural Area","6263","0.864017029372108","0.856157764045533","0.871876294698684","5"
"Rarely","2003","Rural Area","779","0.10314548098444","0.0961717588281302","0.110119203140749","4"
"Rarely","2003","Urban Area","1227","0.0828252877014446","0.0783920438110827","0.0872585315918064","4"
"Daily","2004","Rural Area","","","","","1"
"Daily","2004","Urban Area","","","","","1"
"Min 1x per month","2004","Rural Area","","","","","3"
"Min 1x per month","2004","Urban Area","","","","","3"
"Min 1x per week","2004","Urban Area","","","","","2"
"Min 1x per week","2004","Rural Area","","","","","2"
"Never","2004","Urban Area","","","","","5"
"Never","2004","Rural Area","","","","","5"
"Rarely","2004","Rural Area","","","","","4"
"Rarely","2004","Urban Area","","","","","4"
"Daily","2005","Rural Area","","","","","1"
"Daily","2005","Urban Area","","","","","1"
"Min 1x per month","2005","Urban Area","228","0.0145770118475076","0.0125791699387274","0.0165748537562878","3"
"Min 1x per month","2005","Rural Area","163","0.0267070237519823","0.02288314533031","0.0305309021736547","3"
"Min 1x per week","2005","Urban Area","157","0.00984456729433912","0.00819881100147321","0.011490323587205","2"
"Min 1x per week","2005","Rural Area","77","0.0084904092152735","0.00631429189471567","0.0106665265358313","2"
"Never","2005","Urban Area","12540","0.91128280716381","0.906543160079804","0.916022454247816","5"
"Never","2005","Rural Area","5987","0.879599961460028","0.871881594042356","0.887318328877701","5"
"Rarely","2005","Rural Area","602","0.0852026055727161","0.078581074335532","0.0918241368099001","4"
"Rarely","2005","Urban Area","900","0.0642956136943435","0.0602070051990381","0.0683842221896489","4"
"Daily","2006","Rural Area","","","","","1"
"Daily","2006","Urban Area","","","","","1"
"Min 1x per month","2006","Urban Area","","","","","3"
"Min 1x per month","2006","Rural Area","","","","","3"
"Min 1x per week","2006","Rural Area","","","","","2"
"Min 1x per week","2006","Urban Area","","","","","2"
"Never","2006","Urban Area","","","","","5"
"Never","2006","Rural Area","","","","","5"
"Rarely","2006","Rural Area","","","","","4"
"Rarely","2006","Urban Area","","","","","4"
"Daily","2007","Rural Area","","","","","1"
"Daily","2007","Urban Area","","","","","1"
"Min 1x per month","2007","Urban Area","185","0.0119739418540132","0.0101388900540288","0.0138089936539976","3"
"Min 1x per month","2007","Rural Area","125","0.013526577718848","0.0108039475073115","0.0162492079303845","3"
"Min 1x per week","2007","Rural Area","77","0.00903966669399651","0.006808888744569","0.011270444643424","2"
"Min 1x per week","2007","Urban Area","125","0.00862552206921155","0.00706540525081288","0.0101856388876102","2"
"Never","2007","Urban Area","12443","0.929322847241605","0.924999019474604","0.933646675008607","5"
"Never","2007","Rural Area","6279","0.917592885940993","0.911111627037917","0.92407414484407","5"
"Rarely","2007","Rural Area","434","0.0598408696461621","0.0542503570414348","0.0654313822508895","4"
"Rarely","2007","Urban Area","743","0.0500776888351698","0.0463979945441949","0.0537573831261448","4"
"Daily","2008","Urban Area","24","","","","1"
"Daily","2008","Rural Area","14","","","","1"
"Min 1x per month","2008","Urban Area","231","0.0144877173255375","0.0124165664177779","0.0165588682332972","3"
"Min 1x per month","2008","Rural Area","167","0.0192367371671822","0.0159098233083902","0.0225636510259741","3"
"Min 1x per week","2008","Rural Area","68","0.00781892195152722","0.00568556923680784","0.00995227466624659","2"
"Min 1x per week","2008","Urban Area","87","0.00590198597308925","0.00457430286275373","0.00722966908342477","2"
"Never","2008","Rural Area","5742","0.890285623212343","0.882715722103624","0.897855524321062","5"
"Never","2008","Urban Area","11511","0.910157068027252","0.905200502269908","0.915113633784596","5"
"Rarely","2008","Rural Area","557","0.0811120131773351","0.0744994835204857","0.0877245428341845","4"
"Rarely","2008","Urban Area","933","0.06816865432663","0.0638000595798552","0.0725372490734048","4"
"Daily","2009","Urban Area","","","","","1"
"Daily","2009","Rural Area","","","","","1"
"Min 1x per month","2009","Urban Area","180","0.0125329618716512","0.0105227571519017","0.0145431665914007","3"
"Min 1x per month","2009","Rural Area","112","0.0154559640906212","0.012387628313807","0.0185242998674354","3"
"Min 1x per week","2009","Rural Area","70","0.00776189907382459","0.00557902236725279","0.00994477578039639","2"
"Min 1x per week","2009","Urban Area","82","0.00646108473984177","0.00501332236772262","0.00790884711196092","2"
"Never","2009","Rural Area","5589","0.904290785497964","0.896973193522632","0.911608377473295","5"
"Never","2009","Urban Area","10834","0.924777092642279","0.920011183985618","0.929543001298941","5"
"Rarely","2009","Rural Area","438","0.0724913513375904","0.0660416538848737","0.0789410487903071","4"
"Rarely","2009","Urban Area","669","0.056228860746228","0.0520662565889358","0.0603914649035201","4"
"Daily","2010","Urban Area","","","","","1"
"Daily","2010","Rural Area","","","","","1"
"Min 1x per month","2010","Urban Area","","","","","3"
"Min 1x per month","2010","Rural Area","","","","","3"
"Min 1x per week","2010","Rural Area","","","","","2"
"Min 1x per week","2010","Urban Area","","","","","2"
"Never","2010","Rural Area","","","","","5"
"Never","2010","Urban Area","","","","","5"
"Rarely","2010","Urban Area","","","","","4"
"Rarely","2010","Rural Area","","","","","4"
"Daily","2011","Urban Area","","","","","1"
"Daily","2011","Rural Area","","","","","1"
"Min 1x per month","2011","Rural Area","203","0.0197034638481826","0.016982783079693","0.0224241446166722","3"
"Min 1x per month","2011","Urban Area","267","0.0124911403082845","0.0108840617593914","0.0140982188571776","3"
"Min 1x per week","2011","Rural Area","109","0.00943759596551354","0.0075448201739059","0.0113303717571212","2"
"Min 1x per week","2011","Urban Area","177","0.0102264757358928","0.00877069330784062","0.011682258163945","2"
"Never","2011","Rural Area","9089","0.903661964167815","0.897885933941755","0.909437994393875","5"
"Never","2011","Urban Area","16836","0.918674725918278","0.914719610035845","0.922629841800711","5"
"Rarely","2011","Urban Area","1067","0.0586076580375451","0.0552088387450774","0.0620064773300127","4"
"Rarely","2011","Rural Area","623","0.067196976018489","0.0622958327320756","0.0720981193049024","4"
"Daily","2012","Urban Area","","","","","1"
"Daily","2012","Rural Area","","","","","1"
"Min 1x per month","2012","Rural Area","","","","","3"
"Min 1x per month","2012","Urban Area","","","","","3"
"Min 1x per week","2012","Rural Area","","","","","2"
"Min 1x per week","2012","Urban Area","","","","","2"
"Never","2012","Rural Area","","","","","5"
"Never","2012","Urban Area","","","","","5"
"Rarely","2012","Urban Area","","","","","4"
"Rarely","2012","Rural Area","","","","","4"
"Daily","2013","Urban Area","33","0.00260178203732929","0.00182097147203472","0.00338259260262387","1"
"Daily","2013","Rural Area","32","0.00282833409084883","0.00173809920786195","0.00391856897383572","1"
"Min 1x per month","2013","Rural Area","212","0.0232962372284685","0.0201995733016982","0.0263929011552389","3"
"Min 1x per month","2013","Urban Area","292","0.0168672686032903","0.014893462943956","0.0188410742626246","3"
"Min 1x per week","2013","Urban Area","149","0.00975990340988821","0.00825305714676166","0.0112667496730147","2"
"Min 1x per week","2013","Rural Area","84","0.00701276720447008","0.00529965307136993","0.00872588133757022","2"
"Never","2013","Rural Area","7973","0.871789319655325","0.86492594622739","0.87865269308326","5"
"Never","2013","Urban Area","14550","0.885953344231121","0.881081171967637","0.890825516494605","5"
"Rarely","2013","Urban Area","1327","0.0848177017183712","0.080547258147204","0.0890881452895384","4"
"Rarely","2013","Rural Area","814","0.0950733418208877","0.0890518260873727","0.101094857554403","4"
"Daily","2014","Urban Area","","","","","1"
"Daily","2014","Rural Area","","","","","1"
"Min 1x per month","2014","Urban Area","","","","","3"
"Min 1x per month","2014","Rural Area","","","","","3"
"Min 1x per week","2014","Urban Area","","","","","2"
"Min 1x per week","2014","Rural Area","","","","","2"
"Never","2014","Urban Area","","","","","5"
"Never","2014","Rural Area","","","","","5"
"Rarely","2014","Urban Area","","","","","4"
"Rarely","2014","Rural Area","","","","","4"
"Daily","2015","Rural Area","","","","","1"
"Daily","2015","Urban Area","","","","","1"
"Min 1x per month","2015","Rural Area","177","0.0174189391374724","0.0147359888066688","0.0201018894682761","3"
"Min 1x per month","2015","Urban Area","250","0.0134702509597642","0.0117718941686708","0.0151686077508576","3"
"Min 1x per week","2015","Urban Area","158","0.0105780376885583","0.00907080840346785","0.0120852669736488","2"
"Min 1x per week","2015","Rural Area","81","0.00827228335169987","0.00641479322555674","0.010129773477843","2"
"Never","2015","Urban Area","16303","0.92105080994654","0.917077964872989","0.925023655020091","5"
"Never","2015","Rural Area","8253","0.90733614625347","0.901389708561713","0.913282583945226","5"
"Rarely","2015","Urban Area","987","0.0549009014051373","0.0515449597045728","0.0582568431057018","4"
"Rarely","2015","Rural Area","623","0.0669726312573581","0.061846219808002","0.0720990427067142","4"
"Daily","2016","Rural Area","","","","","1"
"Daily","2016","Urban Area","","","","","1"
"Min 1x per month","2016","Rural Area","","","","","3"
"Min 1x per month","2016","Urban Area","","","","","3"
"Min 1x per week","2016","Urban Area","","","","","2"
"Min 1x per week","2016","Rural Area","","","","","2"
"Never","2016","Urban Area","","","","","5"
"Never","2016","Rural Area","","","","","5"
"Rarely","2016","Rural Area","","","","","4"
"Rarely","2016","Urban Area","","","","","4"
"Daily","2017","Rural Area","","","","","1"
"Daily","2017","Urban Area","","","","","1"
"Min 1x per month","2017","Rural Area","188","0.0185231719482723","0.015798462338417","0.0212478815581277","3"
"Min 1x per month","2017","Urban Area","241","0.0148967298600573","0.0130862426121764","0.0167072171079382","3"
"Min 1x per week","2017","Urban Area","188","0.012401829797126","0.0107478045269468","0.0140558550673053","2"
"Min 1x per week","2017","Rural Area","102","0.0105343927210951","0.00847125783367675","0.0125975276085134","2"
"Never","2017","Urban Area","15836","0.917635268371825","0.913526470179368","0.921744066564282","5"
"Never","2017","Rural Area","8496","0.902191247204664","0.896188353071433","0.908194141337895","5"
"Rarely","2017","Rural Area","621","0.0687511881259684","0.0636379562369752","0.0738644200149616","4"
"Rarely","2017","Urban Area","933","0.0550661719709919","0.0516569736926919","0.0584753702492919","4"
