"pli0097_h","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1985","35-65 y.","Schleswig-Holstein","8","","",""
"Min 1x per month","1985","35-65 y.","Hamburg","2","","",""
"Min 1x per month","1985","35-65 y.","Lower Saxony","12","","",""
"Min 1x per month","1985","35-65 y.","Bremen","1","","",""
"Min 1x per month","1985","35-65 y.","North Rhine-Westphalia","37","0.0274378167336063","0.0192631722162224","0.0356124612509902"
"Min 1x per month","1985","35-65 y.","Hesse","10","","",""
"Min 1x per month","1985","35-65 y.","Rhineland-Palatinate,Saarland","11","","",""
"Min 1x per month","1985","35-65 y.","Baden-Württemberg","11","","",""
"Min 1x per month","1985","35-65 y.","Bavaria","24","","",""
"Min 1x per month","1985","35-65 y.","Berlin","6","","",""
"Min 1x per month","1985","35-65 y.","Brandenburg","","","",""
"Min 1x per month","1985","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1985","35-65 y.","Saxony","","","",""
"Min 1x per month","1985","35-65 y.","Saxony-Anhalt","","","",""
"Min 1x per month","1985","35-65 y.","Thuringia","","","",""
"Min 1x per month","1985","66 and older","Schleswig-Holstein","","","",""
"Min 1x per month","1985","66 and older","Hamburg","","","",""
"Min 1x per month","1985","66 and older","Lower Saxony","1","","",""
"Min 1x per month","1985","66 and older","Bremen","","","",""
"Min 1x per month","1985","66 and older","North Rhine-Westphalia","2","","",""
"Min 1x per month","1985","66 and older","Hesse","","","",""
"Min 1x per month","1985","66 and older","Rhineland-Palatinate,Saarland","1","","",""
"Min 1x per month","1985","66 and older","Baden-Württemberg","","","",""
"Min 1x per month","1985","66 and older","Bavaria","2","","",""
"Min 1x per month","1985","66 and older","Berlin","","","",""
"Min 1x per month","1985","66 and older","Brandenburg","","","",""
"Min 1x per month","1985","66 and older","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1985","66 and older","Saxony","","","",""
"Min 1x per month","1985","66 and older","Saxony-Anhalt","","","",""
"Min 1x per month","1985","66 and older","Thuringia","","","",""
"Rarely","1985","16-34 y.","Schleswig-Holstein","6","","",""
"Rarely","1985","16-34 y.","Hamburg","3","","",""
"Rarely","1985","16-34 y.","Lower Saxony","17","","",""
"Rarely","1985","16-34 y.","Bremen","1","","",""
"Rarely","1985","16-34 y.","North Rhine-Westphalia","88","0.0905035869201813","0.0739791297196746","0.107028044120688"
"Rarely","1985","16-34 y.","Hesse","28","","",""
"Rarely","1985","16-34 y.","Rhineland-Palatinate,Saarland","18","","",""
"Rarely","1985","16-34 y.","Baden-Württemberg","34","0.0516807831659944","0.0362335248817963","0.0671280414501925"
"Rarely","1985","16-34 y.","Bavaria","36","0.0563849254815897","0.0393581475035659","0.0734117034596135"
"Rarely","1985","16-34 y.","Berlin","6","","",""
"Rarely","1985","16-34 y.","Brandenburg","","","",""
"Rarely","1985","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Rarely","1985","16-34 y.","Saxony","","","",""
"Rarely","1985","16-34 y.","Saxony-Anhalt","","","",""
"Rarely","1985","16-34 y.","Thuringia","","","",""
"Rarely","1985","35-65 y.","Schleswig-Holstein","13","","",""
"Rarely","1985","35-65 y.","Hamburg","4","","",""
"Rarely","1985","35-65 y.","Lower Saxony","31","0.0557993947912105","0.036872875636914","0.0747259139455069"
"Rarely","1985","35-65 y.","Bremen","3","","",""
"Rarely","1985","35-65 y.","North Rhine-Westphalia","70","0.0481274694181253","0.037416683928171","0.0588382549080795"
"Rarely","1985","35-65 y.","Hesse","22","","",""
"Rarely","1985","35-65 y.","Rhineland-Palatinate,Saarland","16","","",""
"Rarely","1985","35-65 y.","Baden-Württemberg","36","0.0431120392814917","0.0309307770359745","0.0552933015270089"
"Rarely","1985","35-65 y.","Bavaria","54","0.0603512403541612","0.0453959625372782","0.0753065181710443"
"Rarely","1985","35-65 y.","Berlin","10","","",""
"Rarely","1985","35-65 y.","Brandenburg","","","",""
"Rarely","1985","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Rarely","1985","35-65 y.","Saxony","","","",""
"Rarely","1985","35-65 y.","Saxony-Anhalt","","","",""
"Rarely","1985","35-65 y.","Thuringia","","","",""
"Rarely","1985","66 and older","Schleswig-Holstein","","","",""
"Rarely","1985","66 and older","Hamburg","","","",""
"Rarely","1985","66 and older","Lower Saxony","3","","",""
"Rarely","1985","66 and older","Bremen","1","","",""
"Rarely","1985","66 and older","North Rhine-Westphalia","3","","",""
"Rarely","1985","66 and older","Hesse","2","","",""
"Rarely","1985","66 and older","Rhineland-Palatinate,Saarland","5","","",""
"Rarely","1985","66 and older","Baden-Württemberg","1","","",""
"Rarely","1985","66 and older","Bavaria","5","","",""
"Rarely","1985","66 and older","Berlin","1","","",""
"Rarely","1985","66 and older","Brandenburg","","","",""
"Rarely","1985","66 and older","Mecklenburg-Western Pomerania","","","",""
"Rarely","1985","66 and older","Saxony","","","",""
"Rarely","1985","66 and older","Saxony-Anhalt","","","",""
"Rarely","1985","66 and older","Thuringia","","","",""
"Never","1985","16-34 y.","Schleswig-Holstein","112","0.900691938481471","0.848262709068346","0.953121167894597"
"Never","1985","16-34 y.","Hamburg","80","0.921811687135983","0.865071483325902","0.978551890946064"
"Never","1985","16-34 y.","Lower Saxony","369","0.92411047682431","0.898027728124417","0.950193225524202"
"Never","1985","16-34 y.","Bremen","24","","",""
"Never","1985","16-34 y.","North Rhine-Westphalia","1048","0.88741691794691","0.869211769267001","0.90562206662682"
"Never","1985","16-34 y.","Hesse","395","0.868309874670592","0.836641555653075","0.899978193688109"
"Never","1985","16-34 y.","Rhineland-Palatinate,Saarland","262","0.902445515805467","0.86811808844659","0.936772943164344"
"Never","1985","16-34 y.","Baden-Württemberg","745","0.928309219794936","0.910308595200715","0.946309844389158"
"Never","1985","16-34 y.","Bavaria","647","0.911502748238663","0.890537625186389","0.932467871290936"
"Never","1985","16-34 y.","Berlin","115","0.880030639153631","0.82329618414098","0.936765094166282"
"Never","1985","16-34 y.","Brandenburg","","","",""
"Never","1985","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Never","1985","16-34 y.","Saxony","","","",""
"Never","1985","16-34 y.","Saxony-Anhalt","","","",""
"Never","1985","16-34 y.","Thuringia","","","",""
"Never","1985","35-65 y.","Schleswig-Holstein","162","0.857521870087652","0.807153379958518","0.907890360216787"
"Never","1985","35-65 y.","Hamburg","138","0.960660860215657","0.929127580655874","0.992194139775439"
"Never","1985","35-65 y.","Lower Saxony","514","0.9077725776365","0.883914116292012","0.931631038980987"
"Never","1985","35-65 y.","Bremen","51","0.934341217723178","0.868882738364537","0.99979969708182"
"Never","1985","35-65 y.","North Rhine-Westphalia","1417","0.916093176615972","0.902219106813837","0.929967246418106"
"Never","1985","35-65 y.","Hesse","545","0.914112463715079","0.891406755856389","0.936818171573769"
"Never","1985","35-65 y.","Rhineland-Palatinate,Saarland","344","0.885490472739515","0.853599962982102","0.917380982496928"
"Never","1985","35-65 y.","Baden-Württemberg","1013","0.931180681765719","0.915998484626028","0.946362878905411"
"Never","1985","35-65 y.","Bavaria","881","0.89696398001511","0.877872014050115","0.916055945980105"
"Never","1985","35-65 y.","Berlin","186","0.90942008113409","0.869840550486288","0.948999611781892"
"Never","1985","35-65 y.","Brandenburg","","","",""
"Never","1985","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Never","1985","35-65 y.","Saxony","","","",""
"Never","1985","35-65 y.","Saxony-Anhalt","","","",""
"Never","1985","35-65 y.","Thuringia","","","",""
"Never","1985","66 and older","Schleswig-Holstein","37","1","1","1"
"Never","1985","66 and older","Hamburg","42","1","1","1"
"Never","1985","66 and older","Lower Saxony","117","0.956542610971437","0.920363978130053","0.992721243812821"
"Never","1985","66 and older","Bremen","32","0.962837620969626","0.89829904167889","1.02737620026036"
"Never","1985","66 and older","North Rhine-Westphalia","243","0.97790760182561","0.959651049781144","0.996164153870075"
"Never","1985","66 and older","Hesse","91","0.971931314904762","0.938541578863625","1.0053210509459"
"Never","1985","66 and older","Rhineland-Palatinate,Saarland","86","0.932128482168811","0.880731709741729","0.983525254595893"
"Never","1985","66 and older","Baden-Württemberg","179","0.988851474529621","0.973597372568555","1.00410557649069"
"Never","1985","66 and older","Bavaria","198","0.955272418793668","0.927113612252861","0.983431225334475"
"Never","1985","66 and older","Berlin","37","0.974140981801743","0.923677964343429","1.02460399926006"
"Never","1985","66 and older","Brandenburg","","","",""
"Never","1985","66 and older","Mecklenburg-Western Pomerania","","","",""
"Never","1985","66 and older","Saxony","","","",""
"Never","1985","66 and older","Saxony-Anhalt","","","",""
"Never","1985","66 and older","Thuringia","","","",""
"Daily","1986","16-34 y.","Schleswig-Holstein","","","",""
"Daily","1986","16-34 y.","Hamburg","","","",""
"Daily","1986","16-34 y.","Lower Saxony","","","",""
"Daily","1986","16-34 y.","Bremen","","","",""
"Daily","1986","16-34 y.","North Rhine-Westphalia","","","",""
"Daily","1986","16-34 y.","Hesse","","","",""
"Daily","1986","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Daily","1986","16-34 y.","Baden-Württemberg","","","",""
"Daily","1986","16-34 y.","Bavaria","","","",""
"Daily","1986","16-34 y.","Berlin","","","",""
"Daily","1986","16-34 y.","Brandenburg","","","",""
"Daily","1986","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1986","16-34 y.","Saxony","","","",""
"Daily","1986","16-34 y.","Saxony-Anhalt","","","",""
"Daily","1986","16-34 y.","Thuringia","","","",""
"Daily","1986","35-65 y.","Schleswig-Holstein","","","",""
"Daily","1986","35-65 y.","Hamburg","","","",""
"Daily","1986","35-65 y.","Lower Saxony","","","",""
"Daily","1986","35-65 y.","Bremen","","","",""
"Daily","1986","35-65 y.","North Rhine-Westphalia","","","",""
"Daily","1986","35-65 y.","Hesse","","","",""
"Daily","1986","35-65 y.","Rhineland-Palatinate,Saarland","","","",""
"Daily","1986","35-65 y.","Baden-Württemberg","","","",""
"Daily","1986","35-65 y.","Bavaria","","","",""
"Daily","1986","35-65 y.","Berlin","","","",""
"Daily","1986","35-65 y.","Brandenburg","","","",""
"Daily","1986","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Daily","1986","35-65 y.","Saxony","","","",""
"Daily","1986","35-65 y.","Saxony-Anhalt","","","",""
"Daily","1986","35-65 y.","Thuringia","","","",""
"Daily","1986","66 and older","Schleswig-Holstein","","","",""
"Daily","1986","66 and older","Hamburg","","","",""
"Daily","1986","66 and older","Lower Saxony","","","",""
"Daily","1986","66 and older","Bremen","","","",""
"Daily","1986","66 and older","North Rhine-Westphalia","","","",""
"Daily","1986","66 and older","Hesse","","","",""
"Daily","1986","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Daily","1986","66 and older","Baden-Württemberg","","","",""
"Daily","1986","66 and older","Bavaria","","","",""
"Daily","1986","66 and older","Berlin","","","",""
"Daily","1986","66 and older","Brandenburg","","","",""
"Daily","1986","66 and older","Mecklenburg-Western Pomerania","","","",""
"Daily","1986","66 and older","Saxony","","","",""
"Daily","1986","66 and older","Saxony-Anhalt","","","",""
"Daily","1986","66 and older","Thuringia","","","",""
"Min 1x per week","1986","16-34 y.","Schleswig-Holstein","","","",""
"Min 1x per week","1986","16-34 y.","Hamburg","","","",""
"Min 1x per week","1986","16-34 y.","Lower Saxony","3","","",""
"Min 1x per week","1986","16-34 y.","Bremen","","","",""
"Min 1x per week","1986","16-34 y.","North Rhine-Westphalia","4","","",""
"Min 1x per week","1986","16-34 y.","Hesse","5","","",""
"Min 1x per week","1986","16-34 y.","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1986","16-34 y.","Baden-Württemberg","4","","",""
"Min 1x per week","1986","16-34 y.","Bavaria","5","","",""
"Min 1x per week","1986","16-34 y.","Berlin","","","",""
"Min 1x per week","1986","16-34 y.","Brandenburg","","","",""
"Min 1x per week","1986","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1986","16-34 y.","Saxony","","","",""
"Min 1x per week","1986","16-34 y.","Saxony-Anhalt","","","",""
"Min 1x per week","1986","16-34 y.","Thuringia","","","",""
"Min 1x per week","1986","35-65 y.","Schleswig-Holstein","3","","",""
"Min 1x per week","1986","35-65 y.","Hamburg","1","","",""
"Min 1x per week","1986","35-65 y.","Lower Saxony","9","","",""
"Min 1x per week","1986","35-65 y.","Bremen","","","",""
"Min 1x per week","1986","35-65 y.","North Rhine-Westphalia","11","","",""
"Min 1x per week","1986","35-65 y.","Hesse","4","","",""
"Min 1x per week","1986","35-65 y.","Rhineland-Palatinate,Saarland","13","","",""
"Min 1x per week","1986","35-65 y.","Baden-Württemberg","9","","",""
"Min 1x per week","1986","35-65 y.","Bavaria","17","","",""
"Min 1x per week","1986","35-65 y.","Berlin","1","","",""
"Min 1x per week","1986","35-65 y.","Brandenburg","","","",""
"Min 1x per week","1986","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1986","35-65 y.","Saxony","","","",""
"Min 1x per week","1986","35-65 y.","Saxony-Anhalt","","","",""
"Min 1x per week","1986","35-65 y.","Thuringia","","","",""
"Min 1x per week","1986","66 and older","Schleswig-Holstein","","","",""
"Min 1x per week","1986","66 and older","Hamburg","","","",""
"Min 1x per week","1986","66 and older","Lower Saxony","1","","",""
"Min 1x per week","1986","66 and older","Bremen","","","",""
"Min 1x per week","1986","66 and older","North Rhine-Westphalia","","","",""
"Min 1x per week","1986","66 and older","Hesse","1","","",""
"Min 1x per week","1986","66 and older","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1986","66 and older","Baden-Württemberg","1","","",""
"Min 1x per week","1986","66 and older","Bavaria","4","","",""
"Min 1x per week","1986","66 and older","Berlin","","","",""
"Min 1x per week","1986","66 and older","Brandenburg","","","",""
"Min 1x per week","1986","66 and older","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1986","66 and older","Saxony","","","",""
"Min 1x per week","1986","66 and older","Saxony-Anhalt","","","",""
"Min 1x per week","1986","66 and older","Thuringia","","","",""
"Min 1x per month","1986","16-34 y.","Schleswig-Holstein","3","","",""
"Min 1x per month","1986","16-34 y.","Hamburg","1","","",""
"Min 1x per month","1986","16-34 y.","Lower Saxony","5","","",""
"Min 1x per month","1986","16-34 y.","Bremen","","","",""
"Min 1x per month","1986","16-34 y.","North Rhine-Westphalia","12","","",""
"Min 1x per month","1986","16-34 y.","Hesse","7","","",""
"Min 1x per month","1986","16-34 y.","Rhineland-Palatinate,Saarland","12","","",""
"Min 1x per month","1986","16-34 y.","Baden-Württemberg","5","","",""
"Min 1x per month","1986","16-34 y.","Bavaria","13","","",""
"Min 1x per month","1986","16-34 y.","Berlin","3","","",""
"Min 1x per month","1986","16-34 y.","Brandenburg","","","",""
"Min 1x per month","1986","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1986","16-34 y.","Saxony","","","",""
"Min 1x per month","1986","16-34 y.","Saxony-Anhalt","","","",""
"Min 1x per month","1986","16-34 y.","Thuringia","","","",""
"Min 1x per month","1986","35-65 y.","Schleswig-Holstein","6","","",""
"Min 1x per month","1986","35-65 y.","Hamburg","3","","",""
"Min 1x per month","1986","35-65 y.","Lower Saxony","10","","",""
"Min 1x per month","1986","35-65 y.","Bremen","1","","",""
"Min 1x per month","1986","35-65 y.","North Rhine-Westphalia","32","0.0228486068574674","0.0152283671384501","0.0304688465764847"
"Min 1x per month","1986","35-65 y.","Hesse","5","","",""
"Min 1x per month","1986","35-65 y.","Rhineland-Palatinate,Saarland","10","","",""
"Min 1x per month","1986","35-65 y.","Baden-Württemberg","10","","",""
"Min 1x per month","1986","35-65 y.","Bavaria","19","","",""
"Min 1x per month","1986","35-65 y.","Berlin","5","","",""
"Min 1x per month","1986","35-65 y.","Brandenburg","","","",""
"Min 1x per month","1986","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1986","35-65 y.","Saxony","","","",""
"Min 1x per month","1986","35-65 y.","Saxony-Anhalt","","","",""
"Min 1x per month","1986","35-65 y.","Thuringia","","","",""
"Min 1x per month","1986","66 and older","Schleswig-Holstein","","","",""
"Min 1x per month","1986","66 and older","Hamburg","","","",""
"Min 1x per month","1986","66 and older","Lower Saxony","1","","",""
"Min 1x per month","1986","66 and older","Bremen","1","","",""
"Min 1x per month","1986","66 and older","North Rhine-Westphalia","","","",""
"Min 1x per month","1986","66 and older","Hesse","","","",""
"Min 1x per month","1986","66 and older","Rhineland-Palatinate,Saarland","1","","",""
"Min 1x per month","1986","66 and older","Baden-Württemberg","2","","",""
"Min 1x per month","1986","66 and older","Bavaria","2","","",""
"Min 1x per month","1986","66 and older","Berlin","","","",""
"Min 1x per month","1986","66 and older","Brandenburg","","","",""
"Min 1x per month","1986","66 and older","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1986","66 and older","Saxony","","","",""
"Min 1x per month","1986","66 and older","Saxony-Anhalt","","","",""
"Min 1x per month","1986","66 and older","Thuringia","","","",""
"Rarely","1986","16-34 y.","Schleswig-Holstein","8","","",""
"Rarely","1986","16-34 y.","Hamburg","5","","",""
"Rarely","1986","16-34 y.","Lower Saxony","14","","",""
"Rarely","1986","16-34 y.","Bremen","","","",""
"Rarely","1986","16-34 y.","North Rhine-Westphalia","74","0.0805186578014686","0.0646259236125242","0.0964113919904129"
"Rarely","1986","16-34 y.","Hesse","24","","",""
"Rarely","1986","16-34 y.","Rhineland-Palatinate,Saarland","14","","",""
"Rarely","1986","16-34 y.","Baden-Württemberg","29","","",""
"Rarely","1986","16-34 y.","Bavaria","46","0.0795077172271119","0.0589308730178379","0.100084561436386"
"Rarely","1986","16-34 y.","Berlin","8","","",""
"Rarely","1986","16-34 y.","Brandenburg","","","",""
"Rarely","1986","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Rarely","1986","16-34 y.","Saxony","","","",""
"Rarely","1986","16-34 y.","Saxony-Anhalt","","","",""
"Rarely","1986","16-34 y.","Thuringia","","","",""
"Rarely","1986","35-65 y.","Schleswig-Holstein","9","","",""
"Rarely","1986","35-65 y.","Hamburg","4","","",""
"Rarely","1986","35-65 y.","Lower Saxony","32","0.0586307990241941","0.0393273524978805","0.0779342455505077"
"Rarely","1986","35-65 y.","Bremen","2","","",""
"Rarely","1986","35-65 y.","North Rhine-Westphalia","75","0.0591376243128879","0.0471079787604168","0.071167269865359"
"Rarely","1986","35-65 y.","Hesse","25","","",""
"Rarely","1986","35-65 y.","Rhineland-Palatinate,Saarland","17","","",""
"Rarely","1986","35-65 y.","Baden-Württemberg","38","0.043613242563984","0.0311163977699006","0.0561100873580674"
"Rarely","1986","35-65 y.","Bavaria","53","0.0608472505651127","0.0453581520988556","0.0763363490313698"
"Rarely","1986","35-65 y.","Berlin","13","","",""
"Rarely","1986","35-65 y.","Brandenburg","","","",""
"Rarely","1986","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Rarely","1986","35-65 y.","Saxony","","","",""
"Rarely","1986","35-65 y.","Saxony-Anhalt","","","",""
"Rarely","1986","35-65 y.","Thuringia","","","",""
"Rarely","1986","66 and older","Schleswig-Holstein","","","",""
"Rarely","1986","66 and older","Hamburg","","","",""
"Rarely","1986","66 and older","Lower Saxony","3","","",""
"Rarely","1986","66 and older","Bremen","","","",""
"Rarely","1986","66 and older","North Rhine-Westphalia","3","","",""
"Rarely","1986","66 and older","Hesse","","","",""
"Rarely","1986","66 and older","Rhineland-Palatinate,Saarland","1","","",""
"Rarely","1986","66 and older","Baden-Württemberg","1","","",""
"Rarely","1986","66 and older","Bavaria","3","","",""
"Rarely","1986","66 and older","Berlin","","","",""
"Rarely","1986","66 and older","Brandenburg","","","",""
"Rarely","1986","66 and older","Mecklenburg-Western Pomerania","","","",""
"Rarely","1986","66 and older","Saxony","","","",""
"Rarely","1986","66 and older","Saxony-Anhalt","","","",""
"Rarely","1986","66 and older","Thuringia","","","",""
"Never","1986","16-34 y.","Schleswig-Holstein","104","0.882517383769949","0.82366722892071","0.941367538619188"
"Never","1986","16-34 y.","Hamburg","79","0.912391968610113","0.852288253706443","0.972495683513782"
"Never","1986","16-34 y.","Lower Saxony","389","0.944737500524538","0.922647383362601","0.966827617686476"
"Never","1986","16-34 y.","Bremen","26","","",""
"Never","1986","16-34 y.","North Rhine-Westphalia","1036","0.902233515632656","0.884886156362465","0.919580874902846"
"Never","1986","16-34 y.","Hesse","387","0.889794513614844","0.859952757484559","0.91963626974513"
"Never","1986","16-34 y.","Rhineland-Palatinate,Saarland","271","0.905302466819906","0.872003094197439","0.938601839442373"
"Never","1986","16-34 y.","Baden-Württemberg","757","0.943072661440962","0.926966296153193","0.959179026728731"
"Never","1986","16-34 y.","Bavaria","600","0.892055956017982","0.868453377986722","0.915658534049243"
"Never","1986","16-34 y.","Berlin","114","0.882422418209345","0.825955561500922","0.938889274917768"
"Never","1986","16-34 y.","Brandenburg","","","",""
"Never","1986","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Never","1986","16-34 y.","Saxony","","","",""
"Never","1986","16-34 y.","Saxony-Anhalt","","","",""
"Never","1986","16-34 y.","Thuringia","","","",""
"Never","1986","35-65 y.","Schleswig-Holstein","157","0.888940452873818","0.842387916213753","0.935492989533882"
"Never","1986","35-65 y.","Hamburg","116","0.912337735960805","0.862561573741424","0.962113898180187"
