"pli0097_h","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1990","35-65 y.","131","0.0181461053789684","0.0150221032624519","0.021270107495485","2"
"Never","1990","16-34 y.","4583","0.843338832979541","0.833559589137935","0.853118076821148","5"
"Never","1990","35-65 y.","5678","0.792558224992276","0.783068363578983","0.80204808640557","5"
"Never","1990","66 and older","1334","0.916936690739385","0.902819140121551","0.931054241357218","5"
"Rarely","1990","16-34 y.","565","0.126633391710375","0.117686010145375","0.135580773275375","4"
"Rarely","1990","35-65 y.","901","0.145370213290028","0.137120803113943","0.153619623466113","4"
"Rarely","1990","66 and older","91","0.0578244367965002","0.0458843719090465","0.069764501683954","4"
"Daily","1991","16-34 y.","","","","","1"
"Daily","1991","35-65 y.","","","","","1"
"Daily","1991","66 and older","","","","","1"
"Min 1x per month","1991","16-34 y.","","","","","3"
"Min 1x per month","1991","35-65 y.","","","","","3"
"Min 1x per month","1991","66 and older","","","","","3"
"Min 1x per week","1991","16-34 y.","","","","","2"
"Min 1x per week","1991","35-65 y.","","","","","2"
"Min 1x per week","1991","66 and older","","","","","2"
"Never","1991","16-34 y.","","","","","5"
"Never","1991","35-65 y.","","","","","5"
"Never","1991","66 and older","","","","","5"
"Rarely","1991","16-34 y.","","","","","4"
"Rarely","1991","35-65 y.","","","","","4"
"Rarely","1991","66 and older","","","","","4"
"Daily","1992","16-34 y.","","","","","1"
"Daily","1992","35-65 y.","","","","","1"
"Daily","1992","66 and older","","","","","1"
"Min 1x per month","1992","16-34 y.","52","0.0109487786581158","0.00805218844048444","0.0138453688757471","3"
"Min 1x per month","1992","35-65 y.","154","0.0251158073954615","0.0213909010289866","0.0288407137619364","3"
"Min 1x per month","1992","66 and older","26","","","","3"
"Min 1x per week","1992","16-34 y.","21","","","","2"
"Min 1x per week","1992","35-65 y.","84","0.0114718529101554","0.00893686099292803","0.0140068448273828","2"
"Min 1x per week","1992","66 and older","6","","","","2"
"Never","1992","16-34 y.","4624","0.926056250889052","0.918772346326126","0.933340155451979","5"
"Never","1992","35-65 y.","6107","0.893405564980089","0.886059464458963","0.900751665501216","5"
"Never","1992","66 and older","1366","0.95018554422133","0.938936862947123","0.961434225495537","5"
"Rarely","1992","16-34 y.","261","0.0580313513588662","0.0515233985356057","0.0645393041821267","4"
"Rarely","1992","35-65 y.","434","0.0700067747142936","0.0639327689273462","0.0760807805012409","4"
"Rarely","1992","66 and older","39","0.0256238948542266","0.0174542045944403","0.0337935851140129","4"
"Daily","1993","16-34 y.","","","","","1"
"Daily","1993","35-65 y.","","","","","1"
"Daily","1993","66 and older","","","","","1"
"Min 1x per month","1993","16-34 y.","","","","","3"
"Min 1x per month","1993","35-65 y.","","","","","3"
"Min 1x per month","1993","66 and older","","","","","3"
"Min 1x per week","1993","16-34 y.","","","","","2"
"Min 1x per week","1993","66 and older","","","","","2"
"Min 1x per week","1993","35-65 y.","","","","","2"
"Never","1993","16-34 y.","","","","","5"
"Never","1993","35-65 y.","","","","","5"
"Never","1993","66 and older","","","","","5"
"Rarely","1993","16-34 y.","","","","","4"
"Rarely","1993","35-65 y.","","","","","4"
"Rarely","1993","66 and older","","","","","4"
"Daily","1994","16-34 y.","","","","","1"
"Daily","1994","35-65 y.","","","","","1"
"Daily","1994","66 and older","","","","","1"
"Min 1x per month","1994","16-34 y.","46","0.00903217855474109","0.00635045039368536","0.0117139067157968","3"
"Min 1x per month","1994","35-65 y.","144","0.0217427478409005","0.0182029802912831","0.025282515390518","3"
"Min 1x per month","1994","66 and older","20","","","","3"
"Min 1x per week","1994","16-34 y.","17","","","","2"
"Min 1x per week","1994","35-65 y.","84","0.0120462561808268","0.00939845516781607","0.0146940571938375","2"
"Min 1x per week","1994","66 and older","5","","","","2"
"Never","1994","16-34 y.","4461","0.928322288831902","0.921010390021422","0.935634187642382","5"
"Never","1994","35-65 y.","5838","0.891192378179042","0.883634386981372","0.898750369376712","5"
"Never","1994","66 and older","1388","0.932025788024277","0.919219678972968","0.944831897075585","5"
"Rarely","1994","35-65 y.","455","0.0750186177992307","0.0686250685378924","0.0814121670605689","4"
"Rarely","1994","16-34 y.","257","0.0590104929664285","0.0523309656412283","0.0656900202916287","4"
"Rarely","1994","66 and older","71","0.0529445659308453","0.0415517905025933","0.0643373413590973","4"
"Daily","1995","16-34 y.","4","","","","1"
"Daily","1995","35-65 y.","21","","","","1"
"Daily","1995","66 and older","2","","","","1"
"Min 1x per month","1995","16-34 y.","47","0.0111944845112409","0.00826030913642236","0.0141286598860595","3"
"Min 1x per month","1995","35-65 y.","157","0.0249441955217021","0.0212366290758395","0.0286517619675648","3"
"Min 1x per month","1995","66 and older","37","0.0233289483647442","0.0157654256711527","0.0308924710583357","3"
"Min 1x per week","1995","16-34 y.","26","","","","2"
"Min 1x per week","1995","35-65 y.","88","0.0122456538758903","0.00963105589992453","0.014860251851856","2"
"Min 1x per week","1995","66 and older","9","","","","2"
"Never","1995","16-34 y.","4518","0.905332539538976","0.897167975374578","0.913497103703375","5"
"Never","1995","35-65 y.","5932","0.858367730182657","0.85007863255331","0.866656827812004","5"
"Never","1995","66 and older","1405","0.91476725554581","0.900775863779974","0.928758647311647","5"
"Rarely","1995","16-34 y.","344","0.0776358650615183","0.0701729073626054","0.0850988227604311","4"
"Rarely","1995","35-65 y.","599","0.101365224989689","0.0941901645990985","0.108540285380279","4"
"Rarely","1995","66 and older","77","0.0549449202996638","0.043526797488423","0.0663630431109045","4"
"Daily","1996","16-34 y.","","","","","1"
"Daily","1996","35-65 y.","","","","","1"
"Daily","1996","66 and older","","","","","1"
"Min 1x per month","1996","16-34 y.","41","0.0101587005193775","0.00731089935006296","0.0130065016886921","3"
"Min 1x per month","1996","35-65 y.","118","0.017714751963671","0.0145624796613718","0.0208670242659702","3"
"Min 1x per month","1996","66 and older","28","","","","3"
"Min 1x per week","1996","16-34 y.","11","","","","2"
"Min 1x per week","1996","66 and older","8","","","","2"
"Min 1x per week","1996","35-65 y.","84","0.0123376251879114","0.00969973071350252","0.0149755196623203","2"
"Never","1996","16-34 y.","4393","0.909317709037098","0.901162654560241","0.917472763513955","5"
"Never","1996","35-65 y.","5945","0.870448946641156","0.862424233743742","0.878473659538569","5"
"Never","1996","66 and older","1426","0.90998932018531","0.89577359715707","0.92420504321355","5"
"Rarely","1996","35-65 y.","580","0.0994986762072616","0.0923456765158949","0.106651675898628","4"
"Rarely","1996","16-34 y.","318","0.0785779272628313","0.0709362728986148","0.0862195816270479","4"
"Rarely","1996","66 and older","95","0.0714976331038306","0.0586996620140375","0.0842956041936237","4"
"Daily","1997","16-34 y.","","","","","1"
"Daily","1997","35-65 y.","","","","","1"
"Daily","1997","66 and older","","","","","1"
"Min 1x per month","1997","16-34 y.","47","0.0129318795060844","0.00967226211785078","0.016191496894318","3"
"Min 1x per month","1997","35-65 y.","135","0.0191112003379106","0.0158100375250756","0.0224123631507457","3"
"Min 1x per month","1997","66 and older","33","0.0199012919045829","0.0129797116324655","0.0268228721767003","3"
"Min 1x per week","1997","16-34 y.","15","","","","2"
"Min 1x per week","1997","35-65 y.","72","0.0120794156513612","0.00944552916609296","0.0147133021366295","2"
"Min 1x per week","1997","66 and older","7","","","","2"
"Never","1997","16-34 y.","4332","0.930292583004771","0.922945558088292","0.937639607921251","5"
"Never","1997","35-65 y.","5897","0.880405378300047","0.872581713375173","0.888229043224921","5"
"Never","1997","66 and older","1462","0.929290890807145","0.91658681022942","0.941994971384869","5"
"Rarely","1997","35-65 y.","504","0.0884040057106814","0.0815593714008887","0.0952486400204742","4"
"Rarely","1997","16-34 y.","221","0.0538867077267625","0.0473723045178877","0.0604011109356373","4"
"Rarely","1997","66 and older","62","0.0459377653068186","0.0355624094406538","0.0563131211729834","4"
"Daily","1998","16-34 y.","3","","","","1"
"Daily","1998","35-65 y.","11","","","","1"
"Daily","1998","66 and older","2","","","","1"
"Min 1x per month","1998","16-34 y.","45","0.00979615159621127","0.0070308663349939","0.0125614368574286","3"
"Min 1x per month","1998","35-65 y.","165","0.0198801327648719","0.0167207979690328","0.0230394675607109","3"
"Min 1x per month","1998","66 and older","39","0.0175551327602495","0.0115916795421517","0.0235185859783473","3"
"Min 1x per week","1998","16-34 y.","15","","","","2"
"Min 1x per week","1998","35-65 y.","71","0.00942053614555132","0.00723413984202097","0.0116069324490817","2"
"Min 1x per week","1998","66 and older","12","","","","2"
"Never","1998","16-34 y.","4444","0.905659290779511","0.897452339087219","0.913866242471803","5"
"Never","1998","35-65 y.","6443","0.849686878559324","0.841598260721686","0.857775496396962","5"
"Never","1998","66 and older","1656","0.884829122507163","0.870333305244844","0.899324939769482","5"
"Rarely","1998","16-34 y.","366","0.0809114893424999","0.0732549300236251","0.0885680486613748","4"
"Rarely","1998","35-65 y.","809","0.119693471764798","0.11234666516383","0.127040278365765","4"
"Rarely","1998","66 and older","154","0.0895667865282035","0.0765997956172599","0.102533777439147","4"
"Daily","1999","16-34 y.","","","","","1"
"Daily","1999","35-65 y.","","","","","1"
"Daily","1999","66 and older","","","","","1"
"Min 1x per month","1999","16-34 y.","44","0.00985731138634907","0.00700112719272583","0.0127134955799723","3"
"Min 1x per month","1999","35-65 y.","146","0.0192450788958775","0.016083533578844","0.022406624212911","3"
"Min 1x per month","1999","66 and older","36","0.0145836977070703","0.00904566474049586","0.0201217306736448","3"
"Min 1x per week","1999","16-34 y.","18","","","","2"
"Min 1x per week","1999","66 and older","15","","","","2"
"Min 1x per week","1999","35-65 y.","89","0.0118512510266306","0.00936094582006279","0.0143415562331985","2"
"Never","1999","16-34 y.","4275","0.931487147408441","0.924183622083352","0.93879067273353","5"
"Never","1999","35-65 y.","6405","0.882855257572368","0.875454682472561","0.890255832672176","5"
"Never","1999","66 and older","1641","0.911431645501413","0.898306226439522","0.924557064563305","5"
"Rarely","1999","35-65 y.","614","0.0860484125051233","0.0795949566677547","0.092501868342492","4"
"Rarely","1999","16-34 y.","259","0.0548096422884422","0.048229334526028","0.0613899500508564","4"
"Rarely","1999","66 and older","108","0.0649245470860673","0.0535419954023139","0.0763070987698206","4"
"Daily","2000","16-34 y.","","","","","1"
"Daily","2000","35-65 y.","","","","","1"
"Daily","2000","66 and older","","","","","1"
"Min 1x per month","2000","16-34 y.","","","","","3"
"Min 1x per month","2000","35-65 y.","","","","","3"
"Min 1x per month","2000","66 and older","","","","","3"
"Min 1x per week","2000","16-34 y.","","","","","2"
"Min 1x per week","2000","35-65 y.","","","","","2"
"Min 1x per week","2000","66 and older","","","","","2"
"Never","2000","16-34 y.","","","","","5"
"Never","2000","35-65 y.","","","","","5"
"Never","2000","66 and older","","","","","5"
"Rarely","2000","35-65 y.","","","","","4"
"Rarely","2000","16-34 y.","","","","","4"
"Rarely","2000","66 and older","","","","","4"
"Daily","2001","16-34 y.","","","","","1"
"Daily","2001","35-65 y.","","","","","1"
"Daily","2001","66 and older","","","","","1"
"Min 1x per month","2001","16-34 y.","53","0.0111618326540551","0.00855766481974153","0.0137660004883687","3"
"Min 1x per month","2001","35-65 y.","252","0.0200768061916211","0.0175811231521868","0.0225724892310553","3"
"Min 1x per month","2001","66 and older","76","0.0193450610574295","0.0147037544993779","0.0239863676154811","3"
"Min 1x per week","2001","16-34 y.","24","","","","2"
"Min 1x per week","2001","35-65 y.","143","0.0117745456981673","0.00985523098062395","0.0136938604157106","2"
"Min 1x per week","2001","66 and older","26","","","","2"
"Never","2001","16-34 y.","5858","0.935234518832966","0.929133945267893","0.941335092398039","5"
"Never","2001","35-65 y.","10842","0.894824634789505","0.889366150357476","0.900283119221534","5"
"Never","2001","66 and older","3100","0.917041454678804","0.907747037960333","0.926335871397274","5"
"Rarely","2001","16-34 y.","317","0.0499218270248954","0.0445234462744847","0.0553202077753061","4"
"Rarely","2001","35-65 y.","897","0.0733240133207067","0.0686859874786988","0.0779620391627146","4"
"Rarely","2001","66 and older","181","0.0557044885423126","0.0479759718311046","0.0634330052535207","4"
"Daily","2002","16-34 y.","","","","","1"
"Daily","2002","35-65 y.","","","","","1"
"Daily","2002","66 and older","","","","","1"
"Min 1x per month","2002","16-34 y.","","","","","3"
"Min 1x per month","2002","35-65 y.","","","","","3"
"Min 1x per month","2002","66 and older","","","","","3"
"Min 1x per week","2002","16-34 y.","","","","","2"
"Min 1x per week","2002","66 and older","","","","","2"
"Min 1x per week","2002","35-65 y.","","","","","2"
"Never","2002","16-34 y.","","","","","5"
"Never","2002","35-65 y.","","","","","5"
"Never","2002","66 and older","","","","","5"
"Rarely","2002","16-34 y.","","","","","4"
"Rarely","2002","35-65 y.","","","","","4"
"Rarely","2002","66 and older","","","","","4"
"Daily","2003","16-34 y.","1","","","","1"
"Daily","2003","35-65 y.","39","0.00195097498826145","0.00118134391687165","0.00272060605965125","1"
"Daily","2003","66 and older","7","","","","1"
"Min 1x per month","2003","16-34 y.","68","0.014324326745495","0.011280198410768","0.017368455080222","3"
"Min 1x per month","2003","35-65 y.","306","0.0204582002258491","0.0179891722920365","0.0229272281596617","3"
"Min 1x per month","2003","66 and older","79","0.0209035017600788","0.0162775533364668","0.0255294501836907","3"
"Min 1x per week","2003","16-34 y.","36","0.00540488724683045","0.00352654248267762","0.00728323201098329","2"
"Min 1x per week","2003","66 and older","42","0.00949834127507464","0.0063619516868662","0.0126347308632831","2"
"Min 1x per week","2003","35-65 y.","130","0.00882078719704641","0.00718995014662508","0.0104516242474677","2"
"Never","2003","16-34 y.","5318","0.905608653768991","0.898118422952697","0.913098884585285","5"
"Never","2003","35-65 y.","10842","0.866132904623484","0.860193950185892","0.872071859061076","5"
"Never","2003","66 and older","3281","0.896396748398639","0.886542685177016","0.906250811620263","5"
"Rarely","2003","35-65 y.","1311","0.102637132965359","0.0973439475442297","0.107930318386488","4"
"Rarely","2003","16-34 y.","430","0.0744487349882463","0.0677238055830868","0.0811736643934057","4"
"Rarely","2003","66 and older","265","0.0721461563171184","0.0637800207093645","0.0805122919248723","4"
"Daily","2004","16-34 y.","","","","","1"
"Daily","2004","35-65 y.","","","","","1"
"Daily","2004","66 and older","","","","","1"
"Min 1x per month","2004","16-34 y.","","","","","3"
"Min 1x per month","2004","35-65 y.","","","","","3"
"Min 1x per month","2004","66 and older","","","","","3"
"Min 1x per week","2004","16-34 y.","","","","","2"
"Min 1x per week","2004","35-65 y.","","","","","2"
"Min 1x per week","2004","66 and older","","","","","2"
"Never","2004","16-34 y.","","","","","5"
"Never","2004","35-65 y.","","","","","5"
"Never","2004","66 and older","","","","","5"
"Rarely","2004","16-34 y.","","","","","4"
"Rarely","2004","35-65 y.","","","","","4"
"Rarely","2004","66 and older","","","","","4"
"Daily","2005","16-34 y.","","","","","1"
"Daily","2005","35-65 y.","","","","","1"
"Daily","2005","66 and older","","","","","1"
"Min 1x per month","2005","16-34 y.","49","0.00926010451254741","0.00668482077139059","0.0118353882537042","3"
"Min 1x per month","2005","35-65 y.","235","0.0210008240095315","0.0183887939963218","0.0236128540227412","3"
"Min 1x per month","2005","66 and older","107","0.0225840577542025","0.0178376616299294","0.0273304538784757","3"
"Min 1x per week","2005","16-34 y.","22","","","","2"
"Min 1x per week","2005","66 and older","41","0.00745148028822692","0.00470408951680931","0.0101988710596445","2"
"Min 1x per week","2005","35-65 y.","171","0.0133035448613281","0.0112164398293342","0.015390649893322","2"
"Never","2005","16-34 y.","4953","0.92913923727163","0.922240324916912","0.936038149626348","5"
"Never","2005","35-65 y.","10210","0.88651965483864","0.880741710678791","0.892297598998489","5"
"Never","2005","66 and older","3364","0.905126544949704","0.895764940376581","0.914488149522827","5"
"Rarely","2005","16-34 y.","290","0.0585462203248321","0.0522339404122081","0.0648585002374561","4"
"Rarely","2005","35-65 y.","960","0.0791759762905002","0.0742572362970753","0.0840947162839251","4"
"Rarely","2005","66 and older","252","0.0648379170078668","0.0569714222867732","0.0727044117289603","4"
"Daily","2006","16-34 y.","","","","","1"
"Daily","2006","35-65 y.","","","","","1"
"Daily","2006","66 and older","","","","","1"
"Min 1x per month","2006","16-34 y.","","","","","3"
"Min 1x per month","2006","35-65 y.","","","","","3"
"Min 1x per month","2006","66 and older","","","","","3"
"Min 1x per week","2006","16-34 y.","","","","","2"
"Min 1x per week","2006","66 and older","","","","","2"
"Min 1x per week","2006","35-65 y.","","","","","2"
"Never","2006","16-34 y.","","","","","5"
"Never","2006","35-65 y.","","","","","5"
"Never","2006","66 and older","","","","","5"
"Rarely","2006","35-65 y.","","","","","4"
"Rarely","2006","16-34 y.","","","","","4"
"Rarely","2006","66 and older","","","","","4"
"Daily","2007","16-34 y.","","","","","1"
"Daily","2007","35-65 y.","","","","","1"
"Daily","2007","66 and older","","","","","1"
"Min 1x per month","2007","16-34 y.","36","0.00559221122593162","0.00345937214928252","0.00772505030258071","3"
"Min 1x per month","2007","35-65 y.","190","0.0143466792809688","0.0121619598619555","0.016531398699982","3"
"Min 1x per month","2007","66 and older","84","0.0151854326751896","0.01154465252341","0.0188262128269692","3"
"Min 1x per week","2007","16-34 y.","19","","","","2"
"Min 1x per week","2007","35-65 y.","139","0.0105824316679677","0.00870250709561392","0.0124623562403214","2"
"Min 1x per week","2007","66 and older","44","0.00867339089723945","0.00591277185544217","0.0114340099390367","2"
"Never","2007","16-34 y.","4455","0.949157714917591","0.94287473359495","0.955440696240232","5"
"Never","2007","35-65 y.","10287","0.912706377689447","0.907520590630809","0.917892164748086","5"
"Never","2007","66 and older","3980","0.930984884441423","0.923438358623544","0.938531410259301","5"
"Rarely","2007","16-34 y.","186","0.0404956497598526","0.0348578232579184","0.0461334762617869","4"
"Rarely","2007","35-65 y.","765","0.0623645113616161","0.0579218454081999","0.0668071773150323","4"
"Rarely","2007","66 and older","226","0.0451562919861481","0.0389742931475521","0.0513382908247442","4"
"Daily","2008","16-34 y.","3","","","","1"
"Daily","2008","35-65 y.","22","","","","1"
"Daily","2008","66 and older","13","","","","1"
"Min 1x per month","2008","16-34 y.","58","0.0113015544717771","0.00816569217173227","0.014437416771822","3"
"Min 1x per month","2008","35-65 y.","225","0.0150438157025589","0.0127318513403191","0.0173557800647987","3"
"Min 1x per month","2008","66 and older","115","0.0227809524324195","0.0183316890234844","0.0272302158413545","3"
"Min 1x per week","2008","16-34 y.","12","","","","2"
"Min 1x per week","2008","66 and older","33","0.00553720418179745","0.00332438586937359","0.0077500224942213","2"
"Min 1x per week","2008","35-65 y.","110","0.00911177035012814","0.00730706047383078","0.0109164802264255","2"
"Never","2008","16-34 y.","4039","0.91946998035907","0.911397562272207","0.927542398445932","5"
"Never","2008","35-65 y.","9378","0.900392480259613","0.894704531567288","0.906080428951937","5"
"Never","2008","66 and older","3836","0.896078174262772","0.886978359511806","0.905177989013739","5"
"Rarely","2008","16-34 y.","253","0.0661997672729248","0.0588239323677891","0.0735756021780604","4"
"Rarely","2008","35-65 y.","914","0.0746510337873405","0.06965915119028","0.079642916384401","4"
"Rarely","2008","66 and older","323","0.0729708838216228","0.0652150640549422","0.0807267035883035","4"
"Daily","2009","16-34 y.","","","","","1"
"Daily","2009","35-65 y.","","","","","1"
"Daily","2009","66 and older","","","","","1"
"Min 1x per month","2009","16-34 y.","42","0.00914182813397024","0.006186836864846","0.0120968194030945","3"
"Min 1x per month","2009","35-65 y.","181","0.0151578151607273","0.0127410291298873","0.0175746011915673","3"
"Min 1x per month","2009","66 and older","69","0.0141605732200129","0.0105748934204966","0.0177462530195291","3"
"Min 1x per week","2009","16-34 y.","15","","","","2"
"Min 1x per week","2009","35-65 y.","100","0.00792596096546336","0.00617194079113128","0.00967998113979545","2"
"Min 1x per week","2009","66 and older","37","0.00770226962478562","0.00504914070343745","0.0103553985461338","2"
"Never","2009","16-34 y.","3718","0.930232680303693","0.922323058034513","0.938142302572873","5"
"Never","2009","35-65 y.","8874","0.912111345519557","0.90651084407055","0.917711846968563","5"
"Never","2009","66 and older","3831","0.919487360796564","0.911230158787978","0.927744562805151","5"
"Rarely","2009","35-65 y.","663","0.0648048783542525","0.0599352979246418","0.0696744587838633","4"
"Rarely","2009","16-34 y.","210","0.0568175046257659","0.0496300871350089","0.0640049221165229","4"
"Rarely","2009","66 and older","234","0.0586497963586373","0.0515190192636678","0.0657805734536068","4"
"Daily","2010","16-34 y.","","","","","1"
"Daily","2010","35-65 y.","","","","","1"
"Daily","2010","66 and older","","","","","1"
"Min 1x per month","2010","16-34 y.","","","","","3"
"Min 1x per month","2010","35-65 y.","","","","","3"
"Min 1x per month","2010","66 and older","","","","","3"
"Min 1x per week","2010","16-34 y.","","","","","2"
"Min 1x per week","2010","35-65 y.","","","","","2"
"Min 1x per week","2010","66 and older","","","","","2"
"Never","2010","16-34 y.","","","","","5"
"Never","2010","35-65 y.","","","","","5"
"Never","2010","66 and older","","","","","5"
"Rarely","2010","16-34 y.","","","","","4"
"Rarely","2010","35-65 y.","","","","","4"
"Rarely","2010","66 and older","","","","","4"
"Daily","2011","16-34 y.","","","","","1"
"Daily","2011","35-65 y.","","","","","1"
"Daily","2011","66 and older","","","","","1"
"Min 1x per month","2011","16-34 y.","67","0.0104034078155952","0.00799390366620135","0.0128129119649891","3"
"Min 1x per month","2011","35-65 y.","302","0.0166645905519885","0.01470547032028","0.018623710783697","3"
"Min 1x per month","2011","66 and older","101","0.0150296340008631","0.0117092125813802","0.0183500554203461","3"
"Min 1x per week","2011","16-34 y.","39","0.0100417254771112","0.00767404338947191","0.0124094075647505","2"
"Min 1x per week","2011","35-65 y.","196","0.00987523790608673","0.00836191477175136","0.0113885610404221","2"
"Min 1x per week","2011","66 and older","51","0.0101269355743594","0.00739458639488469","0.0128592847538341","2"
"Never","2011","16-34 y.","6400","0.92475075999164","0.918486436469339","0.931015083513941","5"
"Never","2011","35-65 y.","14820","0.908492183220766","0.904079501322163","0.912904865119368","5"
"Never","2011","66 and older","4705","0.914928282482265","0.907314621252169","0.92254194371236","5"
"Rarely","2011","16-34 y.","306","0.0548041067156537","0.0493993240370982","0.0602088893942092","4"
"Rarely","2011","35-65 y.","1083","0.0649679883211592","0.0611959519106563","0.0687400247316621","4"
"Rarely","2011","66 and older","301","0.0599151479425129","0.0534383661214104","0.0663919297636155","4"
"Daily","2012","16-34 y.","","","","","1"
"Daily","2012","35-65 y.","","","","","1"
"Daily","2012","66 and older","","","","","1"
"Min 1x per month","2012","16-34 y.","","","","","3"
"Min 1x per month","2012","35-65 y.","","","","","3"
"Min 1x per month","2012","66 and older","","","","","3"
"Min 1x per week","2012","16-34 y.","","","","","2"
"Min 1x per week","2012","35-65 y.","","","","","2"
