"year","pgisced97","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","higher vocational","Urban Area","30035.17","28402.61","477","13338","19583","37104","47334","75597","28569.9","31500.44","2106","185898","28496","31299"
"1994","in school","Rural Area","40714.26","33324.16","69","19831","25527","39927","56389","204137","34497.55","46930.97","9958","204137","26822","34013"
"1994","in school","Urban Area","36029.77","33107.19","171","18414","25943","42387","53263","101478","33641.25","38418.29","4831","111455","30521","34889"
"1994","inadequately","Rural Area","21383.81","21864","90","6267","13472","26817","32132","57851","18590.87","24176.75","4724","67296","21336","25519"
"1994","inadequately","Urban Area","24021.84","22875","469","9503","14905","30907","40795","65917","22821.77","25221.91","0","75597","24064","27128"
"1994","middle vocational","Rural Area","24688.6","22386.81","2370","10348","14918","30976","41528","69399","24170.53","25206.67","2045","204137","23578","24772"
"1994","middle vocational","Urban Area","27302.1","25287","4226","11678","17291","34103","44940","72254","26869.95","27734.25","0","155461","25826","26581"
"1994","vocational + Abi","Rural Area","25432.47","23278.24","102","8788","17498","33145","44393","58188","22871.74","27993.2","4093","69399","23932","29830"
"1994","vocational + Abi","Urban Area","27631.1","25419.46","291","12199","17171","35998","45870","68842","25912.69","29349.51","0","89724","25258","29027"
"1995","general elemantary","Rural Area","21266.3","18842","763","7532","11327","28681","38527","58217","20353.62","22178.98","1585","76118","20817","23769"
"1995","general elemantary","Urban Area","21579.91","19389","1753","7442","12215","28424","37922","64571","20952.54","22207.28","385","92696","22371","23793"
"1995","higher education","Rural Area","32161.93","29869.57","636","14910","20590","39581","50781","107767","30769.26","33554.6","3549","210927","29003","31283"
"1995","higher education","Urban Area","35688.22","32582","1127","13069","21946","45946","59165","103096","34531.74","36844.7","0","213353","32510","34978"
"1995","higher vocational","Rural Area","28597.22","25464.86","291","13547","19164","35435","47831","67060","27001.84","30192.6","4204","97902","25104","28392"
