"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2006","secondary school degree","33784.73","30518.9","6520","13406","20235","41999","54536","102218","33099.08","34470.38","0","890439","33764","34725"
"2007","college entrance qualification","43249.4","37651.63","5452","13819","24412","54262","73660","153271","42194.37","44304.43","0","624538","44531","46048"
"2007","lower secondary degree","27419.02","23979","6989","11280","16441","34806","46760","79354","26963.48","27874.56","200","375214","25560","26455"
"2007","no degree/no degree yet","33550.35","29887.02","849","11901","18148","43350","58960","119193","31453.79","35646.91","4","311299","35509","39348"
"2007","Other degree","29451.35","25544.14","1078","11205","16746","36349","50437","94401","27839.62","31063.08","81","426223","26704","29035"
"2007","secondary school degree","34004.65","30774.05","6107","13608","21102","41818","55316","103896","33345.11","34664.19","28","544488","33583","34530"
"2008","college entrance qualification","44263.54","38060.48","5154","14179","24076","55443","75790","154027","43065.62","45461.46","170","1329526","44831","46817"
"2008","lower secondary degree","28167.87","24628","6525","11410","16660","35808","48008","84447","27630.66","28705.08","40","790491","25534","26430"
"2008","no degree/no degree yet","35211.17","30398.17","752","13473","19506","44051","62822","117484","33035.78","37386.56","1848","322697","36078","39997"
"2008","Other degree","30113.94","26133","951","11172","16131","36114","45832","103935","27085.66","33142.22","2959","1329526","26849","29579"
"2008","secondary school degree","34661.15","31562.57","5799","14060","21188","42562","55959","103939","34039.82","35282.48","0","519663","34524","35521"
"2009","college entrance qualification","44766.04","38445.29","4911","15935","25160","57006","77944","155519","43674.59","45857.49","50","678817","45518","47657"
"2009","lower secondary degree","28339.29","24702","5992","11126","16514","35721","48750","88244","27806.02","28872.56","0","678817","25590","26549"
"2009","no degree/no degree yet","36289.06","31280.9","684","12387","20484","44377","63915","117265","33895.17","38682.95","3130","298988","37094","40870"
"2009","Other degree","29857.5","26013.05","812","11527","17231","37607","49696","116478","28282.28","31432.72","4140","249661","27514","30416"
"2009","secondary school degree","35128.59","31895.43","5454","14048","21481","43758","58333","107696","34437.89","35819.29","1923","562997","34959","36193"
"2010","college entrance qualification","45168.76","38845.47","6819","15312","26035","56792","77098","153074","44348.56","45988.96","0","664511","44324","45895"
"2010","lower secondary degree","28204.35","24301.83","6919","11157","16510","36117","48413","88351","27789.42","28619.28","0","319665","26103","27114"
"2010","no degree/no degree yet","36583.83","31748.26","1074","13098","19336","48264","62563","128313","34898.03","38269.63","0","317467","30327","33287"
"2010","Other degree","31612.46","27177.89","1591","12000","17400","37558","51941","124456","30558.38","32666.54","0","198898","26743","28254"
"2010","secondary school degree","35507.74","31860.78","7506","14381","21460","44912","58881","101747","34990.51","36024.97","2018","317467","32991","33920"
"2011","college entrance qualification","46160.59","40536.32","7974","14959","26131","59038","78686","153305","45341.12","46980.06","0","725750","45255","46830"
"2011","lower secondary degree","28929.55","24961.73","8242","11452","16679","36830","50068","90640","28533.46","29325.64","0","275413","26685","27494"
"2011","no degree/no degree yet","38173.82","32524.57","1328","12124","19232","50140","68248","125412","36596.66","39750.98","0","292875","32628","36107"
"2011","Other degree","32631.52","28416","1887","11295","18198","39438","56178","125318","31575.74","33687.3","144","386588","28422","30369"
"2011","secondary school degree","36433.37","32791","8739","14601","22046","45792","60433","110960","35929.89","36936.85","83","725750","33978","34856"
"2012","college entrance qualification","47515.01","41524.01","7850","15616","26450","59962","80180","143192","46475.19","48554.83","0","1498562","45890","47176"
"2012","lower secondary degree","28824.32","25059","7988","11846","17183","36424","49459","83862","28443.34","29205.3","0","269188","26310","27206"
"2012","no degree/no degree yet","39726.06","33121.21","1342","12355","19482","49061","69600","194008","37722.98","41729.14","104","725909","33130","36339"
"2012","Other degree","33734.08","29120.09","1863","12122","19710","40997","55843","141512","32484.83","34983.33","1200","725909","29092","30452"
"2012","secondary school degree","36575.05","33031","8534","14056","21714","46079","61514","115335","36062.33","37087.77","0","338807","33928","34882"
"2013","college entrance qualification","48266.35","42830.24","8112","16211","26989","61137","81414","159122","47336.04","49196.66","0","1141458","45773","47189"
"2013","lower secondary degree","29329.19","25724","7838","12151","17599","37301","50548","84630","28939.27","29719.11","0","263642","27336","28055"
"2013","no degree/no degree yet","38738.47","31738.2","1778","11392","18521","49034","69106","163098","37234.42","40242.52","1800","677047","30978","33411"
"2013","Other degree","32580.7","27834","4150","11592","18029","39631","56252","125547","31861.5","33299.9","0","677047","29342","30332"
"2013","secondary school degree","37092.7","33008.53","8568","15216","22795","46854","61974","103124","36592.7","37592.7","0","478072","34554","35533"
"2014","college entrance qualification","48767.32","42945.4","7465","16494","27339","59689","83134","161881","47803.48","49731.16","0","1295921","46729","48149"
"2014","lower secondary degree","29673.15","25776.4","6990","11847","17318","37797","51503","97430","29242.43","30103.87","0","236459","27937","28761"
"2014","no degree/no degree yet","38750.47","33037.33","1446","12397","19502","47877","70974","156441","37138.22","40362.72","2208","725974","32633","35425"
"2014","Other degree","33169.98","27969.3","3311","12687","18677","40526","55606","140259","32384.18","33955.78","0","366989","30057","31410"
"2014","secondary school degree","38285.58","34058.49","7634","14731","22879","47724","64115","112487","37715.45","38855.71","0","351186","35663","36705"
"2015","college entrance qualification","49455.07","45056","7245","17064","28351","62914","84864","145147","48605.42","50304.72","0","1034092","48080","49528"
"2015","lower secondary degree","29822.63","26303.18","6475","12247","17638","38188","52101","89421","29372.86","30272.4","21","285204","28354","29277"
"2015","no degree/no degree yet","35433.58","31003","1380","11678","18970","44392","67793","114237","34166.7","36700.46","0","213043","31480","33597"
"2015","Other degree","31601.76","27702.81","4128","11515","17395","39703","57870","97798","30970.55","32232.97","0","338249","28545","29697"
"2015","secondary school degree","38770.98","34832.3","7301","14764","22695","48618","64675","117557","38227.57","39314.39","21","362113","36319","37339"
"2016","college entrance qualification","50828.33","44857.47","6834","17418","28248","63141","86443","179020","49773.34","51883.32","0","1592880","49030","50512"
"2016","lower secondary degree","30771.75","27063.04","5921","11958","17909","39030","52549","93017","30280.82","31262.68","0","299148","28799","29739"
"2016","no degree/no degree yet","39040.11","34282.69","1216","14060","22099","48716","70078","129665","37370.6","40709.62","0","494038","34596","37935"
"2016","Other degree","34077.6","29557","3323","12133","19120","43344","60036","108855","33276.23","34878.97","0","571359","30653","31807"
"2016","secondary school degree","39279.65","35886","6737","15361","23475","49548","65089","118632","38675.41","39883.89","1918","571359","37541","38583"
"2017","college entrance qualification","51671.92","46111","7963","16987","29072","64150","86010","201098","50659.73","52684.11","0","947279","50250","51717"
"2017","lower secondary degree","31543.34","27353.65","6159","12862","18374","40314","53555","93282","31040.78","32045.9","0","330941","29846","30998"
"2017","no degree/no degree yet","38383.09","32114.82","2127","11550","19297","51766","68837","137532","37225.98","39540.2","0","267492","26340","28423"
"2017","Other degree","35448.68","30665.08","4344","12076","19405","44332","64905","120651","34639.38","36257.98","0","605732","27222","28479"
"2017","secondary school degree","40353.6","36407.56","7694","15924","24123","50864","68111","119962","39787.14","40920.06","0","604643","38530","39600"
"2018","college entrance qualification","52975.68","47222.44","7709","18324","29444","65880","89443","179486","51975.12","53976.24","0","985295","50474","51819"
"2018","lower secondary degree","32033.89","28391.14","5814","12762","18689","40987","54014","93705","31494.16","32573.62","0","769624","30133","31168"
"2018","no degree/no degree yet","38180.65","31905.24","2591","11137","18323","49620","73807","123002","37102.22","39259.08","0","627339","23580","25560"
"2018","Other degree","35387.37","30801.22","4847","11150","19154","45255","61907","127417","34654.58","36120.16","0","666144","25608","27160"
"2018","secondary school degree","40702.62","37346.9","7359","15987","24530","51677","67835","112199","40093.63","41311.61","0","666144","38676","39775"
"2019","college entrance qualification","54817.12","47963.22","8594","18720","30899","68125","90893","196273","52396.14","57238.1","0","8068819","55775","57567"
"2019","lower secondary degree","33594.82","29268.09","5433","13292","19120","42806","58010","103360","32879.34","34310.3","13","431587","31668","32900"
"2019","no degree/no degree yet","40145.85","33782.85","2343","12048","19404","51228","77313","170578","38984.33","41307.37","0","416277","25339","27261"
"2019","Other degree","39416.43","33728.67","4246","12905","21143","49100","70281","146479","38272.66","40560.2","0","754144","27362","28748"
"2019","secondary school degree","42584.46","38933.44","7548","16581","25737","52913","70583","127871","41363.36","43805.56","0","2734678","42145","43550"
