"ple0017","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2015","Hesse","Full Time","45","1","1","1"
"Yes","2015","Hesse","Part Time","54","1","1","1"
"Yes","2015","Hesse","Not Working","49","1","1","1"
"Yes","2015","Rhineland-Palatinate,Saarland","Full Time","17","","",""
"Yes","2015","Rhineland-Palatinate,Saarland","Part Time","44","1","1","1"
"Yes","2015","Rhineland-Palatinate,Saarland","Not Working","29","","",""
"Yes","2015","Baden-Württemberg","Full Time","74","1","1","1"
"Yes","2015","Baden-Württemberg","Part Time","71","1","1","1"
"Yes","2015","Baden-Württemberg","Not Working","65","1","1","1"
"Yes","2015","Bavaria","Full Time","91","1","1","1"
"Yes","2015","Bavaria","Part Time","120","1","1","1"
"Yes","2015","Bavaria","Not Working","76","1","1","1"
"Yes","2015","Berlin","Full Time","24","","",""
"Yes","2015","Berlin","Part Time","23","","",""
"Yes","2015","Berlin","Not Working","28","","",""
"Yes","2015","Brandenburg","Full Time","19","","",""
"Yes","2015","Brandenburg","Part Time","10","","",""
"Yes","2015","Brandenburg","Not Working","18","","",""
"Yes","2015","Mecklenburg-Western Pomerania","Full Time","9","","",""
"Yes","2015","Mecklenburg-Western Pomerania","Part Time","16","","",""
"Yes","2015","Mecklenburg-Western Pomerania","Not Working","9","","",""
"Yes","2015","Saxony","Full Time","24","","",""
"Yes","2015","Saxony","Part Time","37","1","1","1"
"Yes","2015","Saxony","Not Working","26","","",""
"Yes","2015","Saxony-Anhalt","Full Time","16","","",""
"Yes","2015","Saxony-Anhalt","Part Time","12","","",""
"Yes","2015","Saxony-Anhalt","Not Working","16","","",""
"Yes","2015","Thuringia","Full Time","26","","",""
"Yes","2015","Thuringia","Part Time","19","","",""
"Yes","2015","Thuringia","Not Working","13","","",""
"Yes","2016","Schleswig-Holstein","Full Time","","","",""
"Yes","2016","Schleswig-Holstein","Part Time","","","",""
"Yes","2016","Schleswig-Holstein","Not Working","","","",""
"Yes","2016","Hamburg","Full Time","","","",""
"Yes","2016","Hamburg","Part Time","","","",""
"Yes","2016","Hamburg","Not Working","","","",""
"Yes","2016","Lower Saxony","Full Time","","","",""
"Yes","2016","Lower Saxony","Part Time","","","",""
"Yes","2016","Lower Saxony","Not Working","","","",""
"Yes","2016","Bremen","Full Time","","","",""
"Yes","2016","Bremen","Part Time","","","",""
"Yes","2016","Bremen","Not Working","","","",""
"Yes","2016","North Rhine-Westphalia","Full Time","","","",""
"Yes","2016","North Rhine-Westphalia","Part Time","","","",""
"Yes","2016","North Rhine-Westphalia","Not Working","","","",""
"Yes","2016","Hesse","Full Time","","","",""
"Yes","2016","Hesse","Part Time","","","",""
"Yes","2016","Hesse","Not Working","","","",""
"Yes","2016","Rhineland-Palatinate,Saarland","Full Time","","","",""
"Yes","2016","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Yes","2016","Rhineland-Palatinate,Saarland","Not Working","","","",""
"Yes","2016","Baden-Württemberg","Full Time","","","",""
"Yes","2016","Baden-Württemberg","Part Time","","","",""
"Yes","2016","Baden-Württemberg","Not Working","","","",""
"Yes","2016","Bavaria","Full Time","","","",""
"Yes","2016","Bavaria","Part Time","","","",""
"Yes","2016","Bavaria","Not Working","","","",""
"Yes","2016","Berlin","Full Time","","","",""
"Yes","2016","Berlin","Part Time","","","",""
"Yes","2016","Berlin","Not Working","","","",""
"Yes","2016","Brandenburg","Full Time","","","",""
"Yes","2016","Brandenburg","Part Time","","","",""
"Yes","2016","Brandenburg","Not Working","","","",""
"Yes","2016","Mecklenburg-Western Pomerania","Full Time","","","",""
"Yes","2016","Mecklenburg-Western Pomerania","Part Time","","","",""
"Yes","2016","Mecklenburg-Western Pomerania","Not Working","","","",""
"Yes","2016","Saxony","Full Time","","","",""
"Yes","2016","Saxony","Part Time","","","",""
"Yes","2016","Saxony","Not Working","","","",""
"Yes","2016","Saxony-Anhalt","Full Time","","","",""
"Yes","2016","Saxony-Anhalt","Part Time","","","",""
"Yes","2016","Saxony-Anhalt","Not Working","","","",""
"Yes","2016","Thuringia","Full Time","","","",""
"Yes","2016","Thuringia","Part Time","","","",""
"Yes","2016","Thuringia","Not Working","","","",""
"Yes","2017","Schleswig-Holstein","Full Time","29","","",""
"Yes","2017","Schleswig-Holstein","Part Time","31","1","1","1"
"Yes","2017","Schleswig-Holstein","Not Working","20","","",""
"Yes","2017","Hamburg","Full Time","18","","",""
"Yes","2017","Hamburg","Part Time","6","","",""
"Yes","2017","Hamburg","Not Working","11","","",""
"Yes","2017","Lower Saxony","Full Time","59","1","1","1"
"Yes","2017","Lower Saxony","Part Time","99","1","1","1"
"Yes","2017","Lower Saxony","Not Working","60","1","1","1"
"Yes","2017","Bremen","Full Time","8","","",""
"Yes","2017","Bremen","Part Time","3","","",""
"Yes","2017","Bremen","Not Working","8","","",""
"Yes","2017","North Rhine-Westphalia","Full Time","124","1","1","1"
"Yes","2017","North Rhine-Westphalia","Part Time","156","1","1","1"
"Yes","2017","North Rhine-Westphalia","Not Working","129","1","1","1"
"Yes","2017","Hesse","Full Time","43","1","1","1"
"Yes","2017","Hesse","Part Time","53","1","1","1"
"Yes","2017","Hesse","Not Working","29","","",""
"Yes","2017","Rhineland-Palatinate,Saarland","Full Time","27","","",""
"Yes","2017","Rhineland-Palatinate,Saarland","Part Time","35","1","1","1"
"Yes","2017","Rhineland-Palatinate,Saarland","Not Working","28","","",""
"Yes","2017","Baden-Württemberg","Full Time","89","1","1","1"
"Yes","2017","Baden-Württemberg","Part Time","91","1","1","1"
"Yes","2017","Baden-Württemberg","Not Working","69","1","1","1"
"Yes","2017","Bavaria","Full Time","91","1","1","1"
"Yes","2017","Bavaria","Part Time","128","1","1","1"
"Yes","2017","Bavaria","Not Working","85","1","1","1"
"Yes","2017","Berlin","Full Time","28","","",""
"Yes","2017","Berlin","Part Time","25","","",""
"Yes","2017","Berlin","Not Working","28","","",""
"Yes","2017","Brandenburg","Full Time","17","","",""
"Yes","2017","Brandenburg","Part Time","17","","",""
"Yes","2017","Brandenburg","Not Working","23","","",""
"Yes","2017","Mecklenburg-Western Pomerania","Full Time","10","","",""
"Yes","2017","Mecklenburg-Western Pomerania","Part Time","12","","",""
"Yes","2017","Mecklenburg-Western Pomerania","Not Working","12","","",""
"Yes","2017","Saxony","Full Time","47","1","1","1"
"Yes","2017","Saxony","Part Time","26","","",""
"Yes","2017","Saxony","Not Working","27","","",""
"Yes","2017","Saxony-Anhalt","Full Time","16","","",""
"Yes","2017","Saxony-Anhalt","Part Time","23","","",""
"Yes","2017","Saxony-Anhalt","Not Working","15","","",""
"Yes","2017","Thuringia","Full Time","24","","",""
"Yes","2017","Thuringia","Part Time","19","","",""
"Yes","2017","Thuringia","Not Working","15","","",""
"Yes","2018","Schleswig-Holstein","Full Time","","","",""
"Yes","2018","Schleswig-Holstein","Part Time","","","",""
"Yes","2018","Schleswig-Holstein","Not Working","","","",""
"Yes","2018","Hamburg","Full Time","","","",""
"Yes","2018","Hamburg","Part Time","","","",""
"Yes","2018","Hamburg","Not Working","","","",""
"Yes","2018","Lower Saxony","Full Time","","","",""
"Yes","2018","Lower Saxony","Part Time","","","",""
"Yes","2018","Lower Saxony","Not Working","","","",""
"Yes","2018","Bremen","Full Time","","","",""
"Yes","2018","Bremen","Part Time","","","",""
"Yes","2018","Bremen","Not Working","","","",""
"Yes","2018","North Rhine-Westphalia","Full Time","","","",""
"Yes","2018","North Rhine-Westphalia","Part Time","","","",""
"Yes","2018","North Rhine-Westphalia","Not Working","","","",""
"Yes","2018","Hesse","Full Time","","","",""
"Yes","2018","Hesse","Part Time","","","",""
"Yes","2018","Hesse","Not Working","","","",""
"Yes","2018","Rhineland-Palatinate,Saarland","Full Time","","","",""
"Yes","2018","Rhineland-Palatinate,Saarland","Part Time","","","",""
"Yes","2018","Rhineland-Palatinate,Saarland","Not Working","","","",""
"Yes","2018","Baden-Württemberg","Full Time","","","",""
"Yes","2018","Baden-Württemberg","Part Time","","","",""
"Yes","2018","Baden-Württemberg","Not Working","","","",""
"Yes","2018","Bavaria","Full Time","","","",""
"Yes","2018","Bavaria","Part Time","","","",""
"Yes","2018","Bavaria","Not Working","","","",""
"Yes","2018","Berlin","Full Time","","","",""
"Yes","2018","Berlin","Part Time","","","",""
"Yes","2018","Berlin","Not Working","","","",""
"Yes","2018","Brandenburg","Full Time","","","",""
"Yes","2018","Brandenburg","Part Time","","","",""
"Yes","2018","Brandenburg","Not Working","","","",""
"Yes","2018","Mecklenburg-Western Pomerania","Full Time","","","",""
"Yes","2018","Mecklenburg-Western Pomerania","Part Time","","","",""
"Yes","2018","Mecklenburg-Western Pomerania","Not Working","","","",""
"Yes","2018","Saxony","Full Time","","","",""
"Yes","2018","Saxony","Part Time","","","",""
"Yes","2018","Saxony","Not Working","","","",""
"Yes","2018","Saxony-Anhalt","Full Time","","","",""
"Yes","2018","Saxony-Anhalt","Part Time","","","",""
"Yes","2018","Saxony-Anhalt","Not Working","","","",""
"Yes","2018","Thuringia","Full Time","","","",""
"Yes","2018","Thuringia","Part Time","","","",""
"Yes","2018","Thuringia","Not Working","","","",""
"Yes","2019","Schleswig-Holstein","Full Time","22","","",""
"Yes","2019","Schleswig-Holstein","Part Time","40","1","1","1"
"Yes","2019","Schleswig-Holstein","Not Working","21","","",""
"Yes","2019","Hamburg","Full Time","13","","",""
"Yes","2019","Hamburg","Part Time","7","","",""
"Yes","2019","Hamburg","Not Working","13","","",""
"Yes","2019","Lower Saxony","Full Time","64","1","1","1"
"Yes","2019","Lower Saxony","Part Time","82","1","1","1"
"Yes","2019","Lower Saxony","Not Working","52","1","1","1"
"Yes","2019","Bremen","Full Time","4","","",""
"Yes","2019","Bremen","Part Time","6","","",""
"Yes","2019","Bremen","Not Working","9","","",""
"Yes","2019","North Rhine-Westphalia","Full Time","117","1","1","1"
"Yes","2019","North Rhine-Westphalia","Part Time","164","1","1","1"
"Yes","2019","North Rhine-Westphalia","Not Working","123","1","1","1"
"Yes","2019","Hesse","Full Time","55","1","1","1"
"Yes","2019","Hesse","Part Time","51","1","1","1"
"Yes","2019","Hesse","Not Working","31","1","1","1"
"Yes","2019","Rhineland-Palatinate,Saarland","Full Time","20","","",""
"Yes","2019","Rhineland-Palatinate,Saarland","Part Time","35","1","1","1"
"Yes","2019","Rhineland-Palatinate,Saarland","Not Working","34","1","1","1"
"Yes","2019","Baden-Württemberg","Full Time","86","1","1","1"
"Yes","2019","Baden-Württemberg","Part Time","91","1","1","1"
"Yes","2019","Baden-Württemberg","Not Working","64","1","1","1"
"Yes","2019","Bavaria","Full Time","107","1","1","1"
"Yes","2019","Bavaria","Part Time","125","1","1","1"
"Yes","2019","Bavaria","Not Working","65","1","1","1"
"Yes","2019","Berlin","Full Time","32","1","1","1"
"Yes","2019","Berlin","Part Time","33","1","1","1"
"Yes","2019","Berlin","Not Working","26","","",""
"Yes","2019","Brandenburg","Full Time","24","","",""
"Yes","2019","Brandenburg","Part Time","14","","",""
"Yes","2019","Brandenburg","Not Working","26","","",""
"Yes","2019","Mecklenburg-Western Pomerania","Full Time","12","","",""
"Yes","2019","Mecklenburg-Western Pomerania","Part Time","9","","",""
"Yes","2019","Mecklenburg-Western Pomerania","Not Working","15","","",""
"Yes","2019","Saxony","Full Time","44","1","1","1"
"Yes","2019","Saxony","Part Time","36","1","1","1"
"Yes","2019","Saxony","Not Working","28","","",""
"Yes","2019","Saxony-Anhalt","Full Time","16","","",""
"Yes","2019","Saxony-Anhalt","Part Time","21","","",""
"Yes","2019","Saxony-Anhalt","Not Working","20","","",""
"Yes","2019","Thuringia","Full Time","23","","",""
"Yes","2019","Thuringia","Part Time","20","","",""
"Yes","2019","Thuringia","Not Working","21","","",""
