"ple0017","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2014","35-65 y.","Male","","","","","2"
"No","2014","35-65 y.","Female","","","","","2"
"No","2014","66 and older","Male","","","","","2"
"No","2014","66 and older","Female","","","","","2"
"Yes","2014","16-34 y.","Male","","","","","1"
"Yes","2014","16-34 y.","Female","","","","","1"
"Yes","2014","35-65 y.","Male","","","","","1"
"Yes","2014","35-65 y.","Female","","","","","1"
"Yes","2014","66 and older","Male","","","","","1"
"Yes","2014","66 and older","Female","","","","","1"
"No","2015","16-34 y.","Male","2556","0.964788570355347","0.957760443551814","0.971816697158881","2"
"No","2015","16-34 y.","Female","2791","0.887217732457394","0.876132361354357","0.898303103560431","2"
"No","2015","35-65 y.","Male","6263","0.965769323174041","0.961337578951679","0.970201067396403","2"
"No","2015","35-65 y.","Female","7075","0.888395912042169","0.881488611491106","0.895303212593232","2"
"No","2015","66 and older","Male","2373","0.981045289357738","0.975599851593024","0.986490727122452","2"
"No","2015","66 and older","Female","2393","0.940457874646717","0.931258842047833","0.949656907245601","2"
"Yes","2015","16-34 y.","Male","86","0.0352114296446528","0.0281833028411191","0.0422395564481865","1"
"Yes","2015","16-34 y.","Female","337","0.112782267542606","0.101696896439569","0.123867638645643","1"
"Yes","2015","35-65 y.","Male","203","0.0342306768259591","0.0297989326035971","0.038662421048321","1"
"Yes","2015","35-65 y.","Female","908","0.111604087957831","0.104696787406768","0.118511388508894","1"
"Yes","2015","66 and older","Male","36","0.0189547106422624","0.0135092728775483","0.0244001484069764","1"
"Yes","2015","66 and older","Female","149","0.0595421253532833","0.0503430927543992","0.0687411579521674","1"
"No","2016","16-34 y.","Male","","","","","2"
"No","2016","16-34 y.","Female","","","","","2"
"No","2016","35-65 y.","Male","","","","","2"
"No","2016","35-65 y.","Female","","","","","2"
"No","2016","66 and older","Male","","","","","2"
"No","2016","66 and older","Female","","","","","2"
"Yes","2016","35-65 y.","Male","","","","","1"
"Yes","2016","35-65 y.","Female","","","","","1"
"Yes","2016","16-34 y.","Male","","","","","1"
"Yes","2016","16-34 y.","Female","","","","","1"
"Yes","2016","66 and older","Male","","","","","1"
"Yes","2016","66 and older","Female","","","","","1"
"No","2017","16-34 y.","Male","2819","0.955988078772013","0.94856972535659","0.963406432187436","2"
"No","2017","16-34 y.","Female","2958","0.890001067127077","0.879338670338333","0.900663463915821","2"
"No","2017","35-65 y.","Male","6673","0.960335774043712","0.955739041372295","0.96493250671513","2"
"No","2017","35-65 y.","Female","7515","0.883819130506457","0.877014926854421","0.890623334158492","2"
"No","2017","66 and older","Male","2448","0.984926917682507","0.980128609627595","0.989725225737418","2"
"No","2017","66 and older","Female","2397","0.929346794340599","0.919412832107562","0.939280756573636","2"
"Yes","2017","35-65 y.","Male","252","0.039664225956288","0.0350674932848706","0.0442609586277055","1"
"Yes","2017","35-65 y.","Female","1005","0.116180869493543","0.109376665841508","0.122985073145579","1"
"Yes","2017","66 and older","Male","29","","","","1"
"Yes","2017","16-34 y.","Male","118","0.0440119212279869","0.0365935678125641","0.0514302746434096","1"
"Yes","2017","16-34 y.","Female","350","0.109998932872923","0.0993365360841788","0.120661329661667","1"
"Yes","2017","66 and older","Female","159","0.0706532056594006","0.0607192434263634","0.0805871678924377","1"
"No","2018","16-34 y.","Male","","","","","2"
"No","2018","16-34 y.","Female","","","","","2"
"No","2018","35-65 y.","Male","","","","","2"
"No","2018","35-65 y.","Female","","","","","2"
"No","2018","66 and older","Male","","","","","2"
"No","2018","66 and older","Female","","","","","2"
"Yes","2018","35-65 y.","Male","","","","","1"
"Yes","2018","35-65 y.","Female","","","","","1"
"Yes","2018","66 and older","Male","","","","","1"
"Yes","2018","16-34 y.","Male","","","","","1"
"Yes","2018","66 and older","Female","","","","","1"
"Yes","2018","16-34 y.","Female","","","","","1"
"No","2019","16-34 y.","Male","2497","0.959965658317692","0.952423014424098","0.967508302211286","2"
"No","2019","16-34 y.","Female","2521","0.891074221951939","0.879648299691792","0.902500144212086","2"
"No","2019","35-65 y.","Male","6829","0.956321511085622","0.951571572635824","0.96107144953542","2"
"No","2019","35-65 y.","Female","7075","0.879290663175625","0.872178686998774","0.886402639352477","2"
"No","2019","66 and older","Male","2602","0.980787457312168","0.975557079686081","0.986017834938254","2"
"No","2019","66 and older","Female","2427","0.929475392749116","0.919636024805117","0.939314760693116","2"
"Yes","2019","35-65 y.","Male","283","0.0436784889143783","0.0389285504645804","0.0484284273641762","1"
"Yes","2019","35-65 y.","Female","986","0.120709336824375","0.113597360647523","0.127821313001226","1"
"Yes","2019","16-34 y.","Male","98","0.0400343416823079","0.0324916977887135","0.0475769855759023","1"
"Yes","2019","66 and older","Male","44","0.0192125426878324","0.0139821650617459","0.0244429203139188","1"
"Yes","2019","66 and older","Female","174","0.0705246072508838","0.0606852393068842","0.0803639751948835","1"
"Yes","2019","16-34 y.","Female","335","0.108925778048061","0.0974998557879139","0.120351700308208","1"
