"pli0093_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1990","35-65 y.","Couple + C. LE 16 ","97","0.102372942395217","0.0839317085550483","0.120814176235386"
"Min 1x per week","1990","35-65 y.","Couple + C. GT 16 ","77","0.0804862656587789","0.064680448303621","0.0962920830139367"
"Min 1x per week","1990","35-65 y.","Couple + C. LE and GT 16","30","0.0785491618980604","0.0555360525100728","0.101562271286048"
"Min 1x per week","1990","66 and older","1-pers.-HH","19","","",""
"Min 1x per week","1990","66 and older","(Married) couple without C. ","24","","",""
"Min 1x per week","1990","66 and older","Single parent ","2","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1990","66 and older","Couple + C. GT 16 ","5","","",""
"Min 1x per week","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1990","16-34 y.","1-pers.-HH","56","0.224941182670393","0.174669089088367","0.275213276252419"
"Min 1x per month","1990","16-34 y.","(Married) couple without C. ","94","0.162181740643644","0.133443151668832","0.190920329618456"
"Min 1x per month","1990","16-34 y.","Single parent ","26","","",""
"Min 1x per month","1990","16-34 y.","Couple + C. LE 16 ","115","0.125988261353483","0.105830309647369","0.146146213059596"
"Min 1x per month","1990","16-34 y.","Couple + C. GT 16 ","136","0.168035179176838","0.142840113337006","0.193230245016669"
"Min 1x per month","1990","16-34 y.","Couple + C. LE and GT 16","34","0.105685918417777","0.0735692597049259","0.137802577130627"
"Min 1x per month","1990","35-65 y.","1-pers.-HH","54","0.150081264738421","0.11486028074308","0.185302248733762"
"Min 1x per month","1990","35-65 y.","(Married) couple without C. ","146","0.125052117326951","0.106114693361341","0.14398954129256"
"Min 1x per month","1990","35-65 y.","Single parent ","24","","",""
"Min 1x per month","1990","35-65 y.","Couple + C. LE 16 ","104","0.125956778026945","0.105771876252932","0.146141679800958"
"Min 1x per month","1990","35-65 y.","Couple + C. GT 16 ","107","0.109400517583065","0.0912650871588712","0.127535948007259"
"Min 1x per month","1990","35-65 y.","Couple + C. LE and GT 16","48","0.135513313638044","0.10623550442274","0.164791122853349"
"Min 1x per month","1990","66 and older","1-pers.-HH","22","","",""
"Min 1x per month","1990","66 and older","(Married) couple without C. ","34","0.0674066772641666","0.0453638393462264","0.0894495151821068"
"Min 1x per month","1990","66 and older","Single parent ","1","","",""
"Min 1x per month","1990","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per month","1990","66 and older","Couple + C. GT 16 ","6","","",""
"Min 1x per month","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","1990","16-34 y.","1-pers.-HH","81","0.315132195508352","0.259198319296705","0.37106607172"
"Rarely","1990","16-34 y.","(Married) couple without C. ","228","0.396944999908241","0.358800389717711","0.435089610098771"
"Rarely","1990","16-34 y.","Single parent ","53","0.273977230308382","0.21530886872313","0.332645591893634"
"Rarely","1990","16-34 y.","Couple + C. LE 16 ","318","0.351739655285006","0.322732300886846","0.380747009683166"
"Rarely","1990","16-34 y.","Couple + C. GT 16 ","220","0.269277299157281","0.23938639303457","0.299168205279992"
"Rarely","1990","16-34 y.","Couple + C. LE and GT 16","81","0.263791535788591","0.217754474785516","0.309828596791666"
"Rarely","1990","35-65 y.","1-pers.-HH","97","0.253335219111673","0.210444812668079","0.296225625555266"
"Rarely","1990","35-65 y.","(Married) couple without C. ","310","0.300187159042273","0.273946708100968","0.326427609983577"
"Rarely","1990","35-65 y.","Single parent ","53","0.276793160162768","0.216423907043669","0.337162413281867"
"Rarely","1990","35-65 y.","Couple + C. LE 16 ","361","0.391994262690351","0.36229517502603","0.421693350354672"
"Rarely","1990","35-65 y.","Couple + C. GT 16 ","332","0.336797036510398","0.309338061628487","0.36425601139231"
"Rarely","1990","35-65 y.","Couple + C. LE and GT 16","142","0.33814845264625","0.297681319733675","0.378615585558825"
"Rarely","1990","66 and older","1-pers.-HH","44","0.121221648643549","0.0881434342423146","0.154299863044783"
"Rarely","1990","66 and older","(Married) couple without C. ","80","0.165212676988983","0.132562953812005","0.19786240016596"
"Rarely","1990","66 and older","Single parent ","4","","",""
"Rarely","1990","66 and older","Couple + C. LE 16 ","","","",""
"Rarely","1990","66 and older","Couple + C. GT 16 ","8","","",""
"Rarely","1990","66 and older","Couple + C. LE and GT 16","1","","",""
"Never","1990","16-34 y.","1-pers.-HH","78","0.285881319386517","0.231480775727656","0.340281863045379"
"Never","1990","16-34 y.","(Married) couple without C. ","216","0.283288614641734","0.248158767187451","0.318418462096016"
"Never","1990","16-34 y.","Single parent ","98","0.413821254139856","0.349033483838962","0.47860902444075"
"Never","1990","16-34 y.","Couple + C. LE 16 ","516","0.416665034170546","0.386716521474873","0.44661354686622"
"Never","1990","16-34 y.","Couple + C. GT 16 ","313","0.337662131436488","0.305794933246749","0.369529329626227"
"Never","1990","16-34 y.","Couple + C. LE and GT 16","164","0.38059738156177","0.329875404208979","0.431319358914561"
"Never","1990","35-65 y.","1-pers.-HH","193","0.435624317456473","0.386726469349853","0.484522165563092"
"Never","1990","35-65 y.","(Married) couple without C. ","606","0.47097761099882","0.442400294640476","0.499554927357165"
"Never","1990","35-65 y.","Single parent ","110","0.475292280816038","0.407909959155174","0.542674602476901"
"Never","1990","35-65 y.","Couple + C. LE 16 ","453","0.352878954431299","0.323808283486808","0.381949625375791"
"Never","1990","35-65 y.","Couple + C. GT 16 ","597","0.449211306926044","0.420311508892856","0.478111104959232"
"Never","1990","35-65 y.","Couple + C. LE and GT 16","299","0.430431275712865","0.388077374799582","0.472785176626148"
"Never","1990","66 and older","1-pers.-HH","282","0.756409305411449","0.71290611899434","0.799912491828558"
"Never","1990","66 and older","(Married) couple without C. ","346","0.693268647555475","0.652727152383724","0.733810142727226"
"Never","1990","66 and older","Single parent ","19","","",""
"Never","1990","66 and older","Couple + C. LE 16 ","","","",""
"Never","1990","66 and older","Couple + C. GT 16 ","45","0.666012762792541","0.552228464728283","0.779797060856799"
"Never","1990","66 and older","Couple + C. LE and GT 16","","","",""
"Daily","1991","16-34 y.","1-pers.-HH","","","",""
"Daily","1991","16-34 y.","(Married) couple without C. ","","","",""
"Daily","1991","16-34 y.","Single parent ","","","",""
"Daily","1991","16-34 y.","Couple + C. LE 16 ","","","",""
"Daily","1991","16-34 y.","Couple + C. GT 16 ","","","",""
"Daily","1991","16-34 y.","Couple + C. LE and GT 16","","","",""
"Daily","1991","35-65 y.","1-pers.-HH","","","",""
"Daily","1991","35-65 y.","(Married) couple without C. ","","","",""
"Daily","1991","35-65 y.","Single parent ","","","",""
"Daily","1991","35-65 y.","Couple + C. LE 16 ","","","",""
"Daily","1991","35-65 y.","Couple + C. GT 16 ","","","",""
"Daily","1991","35-65 y.","Couple + C. LE and GT 16","","","",""
"Daily","1991","66 and older","1-pers.-HH","","","",""
"Daily","1991","66 and older","(Married) couple without C. ","","","",""
"Daily","1991","66 and older","Single parent ","","","",""
"Daily","1991","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1991","66 and older","Couple + C. GT 16 ","","","",""
"Daily","1991","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1991","16-34 y.","1-pers.-HH","","","",""
"Min 1x per week","1991","16-34 y.","(Married) couple without C. ","","","",""
"Min 1x per week","1991","16-34 y.","Single parent ","","","",""
"Min 1x per week","1991","16-34 y.","Couple + C. LE 16 ","","","",""
"Min 1x per week","1991","16-34 y.","Couple + C. GT 16 ","","","",""
"Min 1x per week","1991","16-34 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1991","35-65 y.","1-pers.-HH","","","",""
"Min 1x per week","1991","35-65 y.","(Married) couple without C. ","","","",""
"Min 1x per week","1991","35-65 y.","Single parent ","","","",""
"Min 1x per week","1991","35-65 y.","Couple + C. LE 16 ","","","",""
"Min 1x per week","1991","35-65 y.","Couple + C. GT 16 ","","","",""
"Min 1x per week","1991","35-65 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1991","66 and older","1-pers.-HH","","","",""
"Min 1x per week","1991","66 and older","(Married) couple without C. ","","","",""
"Min 1x per week","1991","66 and older","Single parent ","","","",""
"Min 1x per week","1991","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1991","66 and older","Couple + C. GT 16 ","","","",""
"Min 1x per week","1991","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1991","16-34 y.","1-pers.-HH","","","",""
"Min 1x per month","1991","16-34 y.","(Married) couple without C. ","","","",""
"Min 1x per month","1991","16-34 y.","Single parent ","","","",""
"Min 1x per month","1991","16-34 y.","Couple + C. LE 16 ","","","",""
"Min 1x per month","1991","16-34 y.","Couple + C. GT 16 ","","","",""
"Min 1x per month","1991","16-34 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1991","35-65 y.","1-pers.-HH","","","",""
"Min 1x per month","1991","35-65 y.","(Married) couple without C. ","","","",""
"Min 1x per month","1991","35-65 y.","Single parent ","","","",""
"Min 1x per month","1991","35-65 y.","Couple + C. LE 16 ","","","",""
"Min 1x per month","1991","35-65 y.","Couple + C. GT 16 ","","","",""
"Min 1x per month","1991","35-65 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1991","66 and older","1-pers.-HH","","","",""
"Min 1x per month","1991","66 and older","(Married) couple without C. ","","","",""
"Min 1x per month","1991","66 and older","Single parent ","","","",""
"Min 1x per month","1991","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per month","1991","66 and older","Couple + C. GT 16 ","","","",""
"Min 1x per month","1991","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","1991","16-34 y.","1-pers.-HH","","","",""
"Rarely","1991","16-34 y.","(Married) couple without C. ","","","",""
"Rarely","1991","16-34 y.","Single parent ","","","",""
"Rarely","1991","16-34 y.","Couple + C. LE 16 ","","","",""
"Rarely","1991","16-34 y.","Couple + C. GT 16 ","","","",""
"Rarely","1991","16-34 y.","Couple + C. LE and GT 16","","","",""
"Rarely","1991","35-65 y.","1-pers.-HH","","","",""
"Rarely","1991","35-65 y.","(Married) couple without C. ","","","",""
"Rarely","1991","35-65 y.","Single parent ","","","",""
"Rarely","1991","35-65 y.","Couple + C. LE 16 ","","","",""
"Rarely","1991","35-65 y.","Couple + C. GT 16 ","","","",""
"Rarely","1991","35-65 y.","Couple + C. LE and GT 16","","","",""
"Rarely","1991","66 and older","1-pers.-HH","","","",""
"Rarely","1991","66 and older","(Married) couple without C. ","","","",""
"Rarely","1991","66 and older","Single parent ","","","",""
"Rarely","1991","66 and older","Couple + C. LE 16 ","","","",""
"Rarely","1991","66 and older","Couple + C. GT 16 ","","","",""
"Rarely","1991","66 and older","Couple + C. LE and GT 16","","","",""
"Never","1991","16-34 y.","1-pers.-HH","","","",""
"Never","1991","16-34 y.","(Married) couple without C. ","","","",""
"Never","1991","16-34 y.","Single parent ","","","",""
"Never","1991","16-34 y.","Couple + C. LE 16 ","","","",""
"Never","1991","16-34 y.","Couple + C. GT 16 ","","","",""
"Never","1991","16-34 y.","Couple + C. LE and GT 16","","","",""
"Never","1991","35-65 y.","1-pers.-HH","","","",""
"Never","1991","35-65 y.","(Married) couple without C. ","","","",""
"Never","1991","35-65 y.","Single parent ","","","",""
"Never","1991","35-65 y.","Couple + C. LE 16 ","","","",""
"Never","1991","35-65 y.","Couple + C. GT 16 ","","","",""
"Never","1991","35-65 y.","Couple + C. LE and GT 16","","","",""
"Never","1991","66 and older","1-pers.-HH","","","",""
"Never","1991","66 and older","(Married) couple without C. ","","","",""
"Never","1991","66 and older","Single parent ","","","",""
"Never","1991","66 and older","Couple + C. LE 16 ","","","",""
"Never","1991","66 and older","Couple + C. GT 16 ","","","",""
"Never","1991","66 and older","Couple + C. LE and GT 16","","","",""
"Daily","1992","16-34 y.","1-pers.-HH","","","",""
"Daily","1992","16-34 y.","(Married) couple without C. ","","","",""
"Daily","1992","16-34 y.","Single parent ","","","",""
"Daily","1992","16-34 y.","Couple + C. LE 16 ","","","",""
"Daily","1992","16-34 y.","Couple + C. GT 16 ","","","",""
"Daily","1992","16-34 y.","Couple + C. LE and GT 16","","","",""
"Daily","1992","35-65 y.","1-pers.-HH","","","",""
"Daily","1992","35-65 y.","(Married) couple without C. ","","","",""
"Daily","1992","35-65 y.","Single parent ","","","",""
"Daily","1992","35-65 y.","Couple + C. LE 16 ","","","",""
"Daily","1992","35-65 y.","Couple + C. GT 16 ","","","",""
"Daily","1992","35-65 y.","Couple + C. LE and GT 16","","","",""
"Daily","1992","66 and older","1-pers.-HH","","","",""
"Daily","1992","66 and older","(Married) couple without C. ","","","",""
"Daily","1992","66 and older","Single parent ","","","",""
"Daily","1992","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1992","66 and older","Couple + C. GT 16 ","","","",""
"Daily","1992","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1992","16-34 y.","1-pers.-HH","","","",""
"Min 1x per week","1992","16-34 y.","(Married) couple without C. ","","","",""
"Min 1x per week","1992","16-34 y.","Single parent ","","","",""
"Min 1x per week","1992","16-34 y.","Couple + C. LE 16 ","","","",""
"Min 1x per week","1992","16-34 y.","Couple + C. GT 16 ","","","",""
"Min 1x per week","1992","16-34 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1992","35-65 y.","1-pers.-HH","","","",""
"Min 1x per week","1992","35-65 y.","(Married) couple without C. ","","","",""
"Min 1x per week","1992","35-65 y.","Single parent ","","","",""
"Min 1x per week","1992","35-65 y.","Couple + C. LE 16 ","","","",""
"Min 1x per week","1992","35-65 y.","Couple + C. GT 16 ","","","",""
"Min 1x per week","1992","35-65 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1992","66 and older","1-pers.-HH","","","",""
"Min 1x per week","1992","66 and older","(Married) couple without C. ","","","",""
"Min 1x per week","1992","66 and older","Single parent ","","","",""
"Min 1x per week","1992","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1992","66 and older","Couple + C. GT 16 ","","","",""
"Min 1x per week","1992","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1992","16-34 y.","1-pers.-HH","","","",""
"Min 1x per month","1992","16-34 y.","(Married) couple without C. ","","","",""
"Min 1x per month","1992","16-34 y.","Single parent ","","","",""
"Min 1x per month","1992","16-34 y.","Couple + C. LE 16 ","","","",""
"Min 1x per month","1992","16-34 y.","Couple + C. GT 16 ","","","",""
"Min 1x per month","1992","16-34 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1992","35-65 y.","1-pers.-HH","","","",""
"Min 1x per month","1992","35-65 y.","(Married) couple without C. ","","","",""
"Min 1x per month","1992","35-65 y.","Single parent ","","","",""
"Min 1x per month","1992","35-65 y.","Couple + C. LE 16 ","","","",""
"Min 1x per month","1992","35-65 y.","Couple + C. GT 16 ","","","",""
"Min 1x per month","1992","35-65 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1992","66 and older","1-pers.-HH","","","",""
"Min 1x per month","1992","66 and older","(Married) couple without C. ","","","",""
"Min 1x per month","1992","66 and older","Single parent ","","","",""
"Min 1x per month","1992","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per month","1992","66 and older","Couple + C. GT 16 ","","","",""
"Min 1x per month","1992","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","1992","16-34 y.","1-pers.-HH","","","",""
"Rarely","1992","16-34 y.","(Married) couple without C. ","","","",""
"Rarely","1992","16-34 y.","Single parent ","","","",""
"Rarely","1992","16-34 y.","Couple + C. LE 16 ","","","",""
"Rarely","1992","16-34 y.","Couple + C. GT 16 ","","","",""
"Rarely","1992","16-34 y.","Couple + C. LE and GT 16","","","",""
"Rarely","1992","35-65 y.","1-pers.-HH","","","",""
"Rarely","1992","35-65 y.","(Married) couple without C. ","","","",""
"Rarely","1992","35-65 y.","Single parent ","","","",""
"Rarely","1992","35-65 y.","Couple + C. LE 16 ","","","",""
"Rarely","1992","35-65 y.","Couple + C. GT 16 ","","","",""
"Rarely","1992","35-65 y.","Couple + C. LE and GT 16","","","",""
"Rarely","1992","66 and older","1-pers.-HH","","","",""
"Rarely","1992","66 and older","(Married) couple without C. ","","","",""
"Rarely","1992","66 and older","Single parent ","","","",""
"Rarely","1992","66 and older","Couple + C. LE 16 ","","","",""
"Rarely","1992","66 and older","Couple + C. GT 16 ","","","",""
"Rarely","1992","66 and older","Couple + C. LE and GT 16","","","",""
"Never","1992","16-34 y.","1-pers.-HH","","","",""
"Never","1992","16-34 y.","(Married) couple without C. ","","","",""
"Never","1992","16-34 y.","Single parent ","","","",""
"Never","1992","16-34 y.","Couple + C. LE 16 ","","","",""
"Never","1992","16-34 y.","Couple + C. GT 16 ","","","",""
"Never","1992","16-34 y.","Couple + C. LE and GT 16","","","",""
"Never","1992","35-65 y.","1-pers.-HH","","","",""
"Never","1992","35-65 y.","(Married) couple without C. ","","","",""
"Never","1992","35-65 y.","Single parent ","","","",""
"Never","1992","35-65 y.","Couple + C. LE 16 ","","","",""
"Never","1992","35-65 y.","Couple + C. GT 16 ","","","",""
"Never","1992","35-65 y.","Couple + C. LE and GT 16","","","",""
"Never","1992","66 and older","1-pers.-HH","","","",""
"Never","1992","66 and older","(Married) couple without C. ","","","",""
"Never","1992","66 and older","Single parent ","","","",""
"Never","1992","66 and older","Couple + C. LE 16 ","","","",""
"Never","1992","66 and older","Couple + C. GT 16 ","","","",""
"Never","1992","66 and older","Couple + C. LE and GT 16","","","",""
"Daily","1993","16-34 y.","1-pers.-HH","","","",""
"Daily","1993","16-34 y.","(Married) couple without C. ","","","",""
"Daily","1993","16-34 y.","Single parent ","","","",""
"Daily","1993","16-34 y.","Couple + C. LE 16 ","","","",""
"Daily","1993","16-34 y.","Couple + C. GT 16 ","","","",""
"Daily","1993","16-34 y.","Couple + C. LE and GT 16","","","",""
"Daily","1993","35-65 y.","1-pers.-HH","","","",""
"Daily","1993","35-65 y.","(Married) couple without C. ","","","",""
"Daily","1993","35-65 y.","Single parent ","","","",""
"Daily","1993","35-65 y.","Couple + C. LE 16 ","","","",""
"Daily","1993","35-65 y.","Couple + C. GT 16 ","","","",""
"Daily","1993","35-65 y.","Couple + C. LE and GT 16","","","",""
"Daily","1993","66 and older","1-pers.-HH","","","",""
"Daily","1993","66 and older","(Married) couple without C. ","","","",""
"Daily","1993","66 and older","Single parent ","","","",""
"Daily","1993","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1993","66 and older","Couple + C. GT 16 ","","","",""
"Daily","1993","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1993","16-34 y.","1-pers.-HH","","","",""
"Min 1x per week","1993","16-34 y.","(Married) couple without C. ","","","",""
"Min 1x per week","1993","16-34 y.","Single parent ","","","",""
"Min 1x per week","1993","16-34 y.","Couple + C. LE 16 ","","","",""
"Min 1x per week","1993","16-34 y.","Couple + C. GT 16 ","","","",""
"Min 1x per week","1993","16-34 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1993","35-65 y.","1-pers.-HH","","","",""
"Min 1x per week","1993","35-65 y.","(Married) couple without C. ","","","",""
"Min 1x per week","1993","35-65 y.","Single parent ","","","",""
"Min 1x per week","1993","35-65 y.","Couple + C. LE 16 ","","","",""
"Min 1x per week","1993","35-65 y.","Couple + C. GT 16 ","","","",""
"Min 1x per week","1993","35-65 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1993","66 and older","1-pers.-HH","","","",""
"Min 1x per week","1993","66 and older","(Married) couple without C. ","","","",""
"Min 1x per week","1993","66 and older","Single parent ","","","",""
"Min 1x per week","1993","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1993","66 and older","Couple + C. GT 16 ","","","",""
"Min 1x per week","1993","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1993","16-34 y.","1-pers.-HH","","","",""
"Min 1x per month","1993","16-34 y.","(Married) couple without C. ","","","",""
"Min 1x per month","1993","16-34 y.","Single parent ","","","",""
"Min 1x per month","1993","16-34 y.","Couple + C. LE 16 ","","","",""
"Min 1x per month","1993","16-34 y.","Couple + C. GT 16 ","","","",""
"Min 1x per month","1993","16-34 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1993","35-65 y.","1-pers.-HH","","","",""
"Min 1x per month","1993","35-65 y.","(Married) couple without C. ","","","",""
"Min 1x per month","1993","35-65 y.","Single parent ","","","",""
"Min 1x per month","1993","35-65 y.","Couple + C. LE 16 ","","","",""
"Min 1x per month","1993","35-65 y.","Couple + C. GT 16 ","","","",""
"Min 1x per month","1993","35-65 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1993","66 and older","1-pers.-HH","","","",""
"Min 1x per month","1993","66 and older","(Married) couple without C. ","","","",""
"Min 1x per month","1993","66 and older","Single parent ","","","",""
"Min 1x per month","1993","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per month","1993","66 and older","Couple + C. GT 16 ","","","",""
"Min 1x per month","1993","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely","1993","16-34 y.","1-pers.-HH","","","",""
"Rarely","1993","16-34 y.","(Married) couple without C. ","","","",""
"Rarely","1993","16-34 y.","Single parent ","","","",""
"Rarely","1993","16-34 y.","Couple + C. LE 16 ","","","",""
"Rarely","1993","16-34 y.","Couple + C. GT 16 ","","","",""
"Rarely","1993","16-34 y.","Couple + C. LE and GT 16","","","",""
"Rarely","1993","35-65 y.","1-pers.-HH","","","",""
"Rarely","1993","35-65 y.","(Married) couple without C. ","","","",""
"Rarely","1993","35-65 y.","Single parent ","","","",""
"Rarely","1993","35-65 y.","Couple + C. LE 16 ","","","",""
"Rarely","1993","35-65 y.","Couple + C. GT 16 ","","","",""
"Rarely","1993","35-65 y.","Couple + C. LE and GT 16","","","",""
"Rarely","1993","66 and older","1-pers.-HH","","","",""
"Rarely","1993","66 and older","(Married) couple without C. ","","","",""
"Rarely","1993","66 and older","Single parent ","","","",""
"Rarely","1993","66 and older","Couple + C. LE 16 ","","","",""
"Rarely","1993","66 and older","Couple + C. GT 16 ","","","",""
"Rarely","1993","66 and older","Couple + C. LE and GT 16","","","",""
"Never","1993","16-34 y.","1-pers.-HH","","","",""
"Never","1993","16-34 y.","(Married) couple without C. ","","","",""
"Never","1993","16-34 y.","Single parent ","","","",""
"Never","1993","16-34 y.","Couple + C. LE 16 ","","","",""
"Never","1993","16-34 y.","Couple + C. GT 16 ","","","",""
"Never","1993","16-34 y.","Couple + C. LE and GT 16","","","",""
"Never","1993","35-65 y.","1-pers.-HH","","","",""
"Never","1993","35-65 y.","(Married) couple without C. ","","","",""
"Never","1993","35-65 y.","Single parent ","","","",""
"Never","1993","35-65 y.","Couple + C. LE 16 ","","","",""
"Never","1993","35-65 y.","Couple + C. GT 16 ","","","",""
"Never","1993","35-65 y.","Couple + C. LE and GT 16","","","",""
"Never","1993","66 and older","1-pers.-HH","","","",""
"Never","1993","66 and older","(Married) couple without C. ","","","",""
"Never","1993","66 and older","Single parent ","","","",""
"Never","1993","66 and older","Couple + C. LE 16 ","","","",""
"Never","1993","66 and older","Couple + C. GT 16 ","","","",""
"Never","1993","66 and older","Couple + C. LE and GT 16","","","",""
"Daily","1994","16-34 y.","1-pers.-HH","","","",""
"Daily","1994","16-34 y.","(Married) couple without C. ","","","",""
"Daily","1994","16-34 y.","Single parent ","","","",""
"Daily","1994","16-34 y.","Couple + C. LE 16 ","","","",""
"Daily","1994","16-34 y.","Couple + C. GT 16 ","","","",""
"Daily","1994","16-34 y.","Couple + C. LE and GT 16","","","",""
"Daily","1994","35-65 y.","1-pers.-HH","","","",""
"Daily","1994","35-65 y.","(Married) couple without C. ","","","",""
"Daily","1994","35-65 y.","Single parent ","","","",""
"Daily","1994","35-65 y.","Couple + C. LE 16 ","","","",""
"Daily","1994","35-65 y.","Couple + C. GT 16 ","","","",""
"Daily","1994","35-65 y.","Couple + C. LE and GT 16","","","",""
"Daily","1994","66 and older","1-pers.-HH","","","",""
"Daily","1994","66 and older","(Married) couple without C. ","","","",""
"Daily","1994","66 and older","Single parent ","","","",""
"Daily","1994","66 and older","Couple + C. LE 16 ","","","",""
"Daily","1994","66 and older","Couple + C. GT 16 ","","","",""
"Daily","1994","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1994","16-34 y.","1-pers.-HH","","","",""
"Min 1x per week","1994","16-34 y.","(Married) couple without C. ","","","",""
"Min 1x per week","1994","16-34 y.","Single parent ","","","",""
"Min 1x per week","1994","16-34 y.","Couple + C. LE 16 ","","","",""
"Min 1x per week","1994","16-34 y.","Couple + C. GT 16 ","","","",""
"Min 1x per week","1994","16-34 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1994","35-65 y.","1-pers.-HH","","","",""
"Min 1x per week","1994","35-65 y.","(Married) couple without C. ","","","",""
"Min 1x per week","1994","35-65 y.","Single parent ","","","",""
"Min 1x per week","1994","35-65 y.","Couple + C. LE 16 ","","","",""
"Min 1x per week","1994","35-65 y.","Couple + C. GT 16 ","","","",""
"Min 1x per week","1994","35-65 y.","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1994","66 and older","1-pers.-HH","","","",""
"Min 1x per week","1994","66 and older","(Married) couple without C. ","","","",""
"Min 1x per week","1994","66 and older","Single parent ","","","",""
"Min 1x per week","1994","66 and older","Couple + C. LE 16 ","","","",""
"Min 1x per week","1994","66 and older","Couple + C. GT 16 ","","","",""
"Min 1x per week","1994","66 and older","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1994","16-34 y.","1-pers.-HH","","","",""
