"pli0093_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1990","Hamburg","Rural Area","","","","","3"
"Min 1x per month","1990","Saxony","Rural Area","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Rural Area","21","","","","3"
"Min 1x per month","1990","Hamburg","Urban Area","21","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Min 1x per month","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Min 1x per month","1990","Saxony","Urban Area","","","","","3"
"Min 1x per month","1990","Schleswig-Holstein","Urban Area","17","","","","3"
"Min 1x per month","1990","Brandenburg","Rural Area","","","","","3"
"Min 1x per month","1990","Thuringia","Rural Area","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Urban Area","","","","","3"
"Min 1x per month","1990","Saxony-Anhalt","Rural Area","","","","","3"
"Min 1x per month","1990","Thuringia","Urban Area","","","","","3"
"Min 1x per month","1990","Lower Saxony","Urban Area","63","0.130718837688489","0.102047361518129","0.159390313858848","3"
"Min 1x per month","1990","Lower Saxony","Rural Area","57","0.10942545314637","0.0804211522656331","0.138429754027108","3"
"Min 1x per month","1990","Bremen","Urban Area","14","","","","3"
"Min 1x per month","1990","Bremen","Rural Area","","","","","3"
"Min 1x per month","1990","North Rhine-Westphalia","Urban Area","252","0.11081306207576","0.0984787504095037","0.123147373742017","3"
"Min 1x per month","1990","North Rhine-Westphalia","Rural Area","5","","","","3"
"Min 1x per month","1990","Hesse","Urban Area","86","0.120248387243775","0.0983313131655867","0.142165461321964","3"
"Min 1x per month","1990","Hesse","Rural Area","12","","","","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Urban Area","47","0.0883061290421496","0.0647637182776465","0.111848539806653","3"
"Min 1x per month","1990","Rhineland-Palatinate,Saarland","Rural Area","7","","","","3"
"Min 1x per month","1990","Baden-Württemberg","Urban Area","176","0.134465726706055","0.117509436892714","0.151422016519396","3"
"Min 1x per month","1990","Baden-Württemberg","Rural Area","27","","","","3"
"Min 1x per month","1990","Bavaria","Urban Area","115","0.158707507427872","0.133863604635563","0.183551410220181","3"
"Min 1x per month","1990","Bavaria","Rural Area","95","0.123623205680516","0.100283420904918","0.146962990456113","3"
"Min 1x per month","1990","Berlin","Urban Area","39","0.13129126508132","0.0947986360085463","0.167783894154094","3"
"Min 1x per month","1990","Berlin","Rural Area","","","","","3"
"Min 1x per month","1990","Brandenburg","Urban Area","","","","","3"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"Min 1x per week","1990","Saxony","Urban Area","","","","","2"
"Min 1x per week","1990","Saxony","Rural Area","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Urban Area","","","","","2"
"Min 1x per week","1990","Saxony-Anhalt","Rural Area","","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Urban Area","13","","","","2"
"Min 1x per week","1990","Schleswig-Holstein","Rural Area","9","","","","2"
"Min 1x per week","1990","Hamburg","Urban Area","14","","","","2"
"Min 1x per week","1990","Hamburg","Rural Area","","","","","2"
"Min 1x per week","1990","Lower Saxony","Urban Area","58","0.109731130939257","0.0831467622296966","0.136315499648818","2"
"Min 1x per week","1990","Lower Saxony","Rural Area","48","0.114927751914285","0.0852951420632768","0.144560361765293","2"
"Min 1x per week","1990","Bremen","Urban Area","9","","","","2"
"Min 1x per week","1990","Bremen","Rural Area","","","","","2"
"Min 1x per week","1990","North Rhine-Westphalia","Urban Area","213","0.0899753954078313","0.0787316409657585","0.101219149849904","2"
"Min 1x per week","1990","North Rhine-Westphalia","Rural Area","6","","","","2"
"Min 1x per week","1990","Hesse","Urban Area","57","0.0789055214778809","0.0607391288558744","0.0970719140998873","2"
"Min 1x per week","1990","Hesse","Rural Area","7","","","","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Urban Area","54","0.116396647118177","0.0897875643559641","0.143005729880389","2"
"Min 1x per week","1990","Thuringia","Urban Area","","","","","2"
"Min 1x per week","1990","Thuringia","Rural Area","","","","","2"
"Min 1x per week","1990","Brandenburg","Rural Area","","","","","2"
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"Min 1x per week","1990","Baden-Württemberg","Rural Area","23","","","","2"
"Min 1x per week","1990","Bavaria","Urban Area","92","0.115398395835675","0.0936753196028715","0.137121472068479","2"
"Min 1x per week","1990","Bavaria","Rural Area","70","0.0959258014197703","0.075043845850117","0.116807756989423","2"
"Min 1x per week","1990","Berlin","Urban Area","31","0.0887942898552486","0.0580580400305995","0.119530539679898","2"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Rural Area","4","","","","2"
"Min 1x per week","1990","Baden-Württemberg","Urban Area","140","0.108852598071794","0.0933723802778424","0.124332815865745","2"
"Min 1x per week","1990","Berlin","Rural Area","","","","","2"
"Min 1x per week","1990","Brandenburg","Urban Area","","","","","2"
"Never","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","5"
"Never","1990","Saxony","Urban Area","","","","","5"
"Never","1990","Schleswig-Holstein","Rural Area","61","0.41649758059508","0.336532710663518","0.496462450526642","5"
"Never","1990","North Rhine-Westphalia","Urban Area","1276","0.474352275476689","0.45473129112107","0.493973259832309","5"
"Never","1990","Schleswig-Holstein","Urban Area","70","0.41008707622299","0.328025369609083","0.492148782836898","5"
"Never","1990","Hamburg","Rural Area","","","","","5"
"Never","1990","Lower Saxony","Rural Area","199","0.449884541464492","0.403662880751335","0.49610620217765","5"
"Never","1990","Bremen","Urban Area","56","0.536037037562396","0.439727669275741","0.632346405849051","5"
"Never","1990","Bremen","Rural Area","","","","","5"
"Never","1990","Saxony","Rural Area","","","","","5"
"Never","1990","Hamburg","Urban Area","76","0.440143845572913","0.364629477549071","0.515658213596755","5"
"Never","1990","Lower Saxony","Urban Area","240","0.452941801166787","0.410602976526376","0.495280625807198","5"
"Never","1990","Brandenburg","Rural Area","","","","","5"
"Never","1990","Saxony-Anhalt","Urban Area","","","","","5"
"Never","1990","Saxony-Anhalt","Rural Area","","","","","5"
"Never","1990","Thuringia","Urban Area","","","","","5"
"Never","1990","Thuringia","Rural Area","","","","","5"
"Never","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","5"
"Never","1990","North Rhine-Westphalia","Rural Area","38","0.493243747585742","0.376951900396691","0.609535594774793","5"
"Never","1990","Hesse","Urban Area","484","0.493339155820492","0.459649670684839","0.527028640956145","5"
"Never","1990","Hesse","Rural Area","83","0.613243653022452","0.530476593482645","0.696010712562259","5"
"Never","1990","Rhineland-Palatinate,Saarland","Urban Area","328","0.563797679768225","0.522650827307585","0.604944532228866","5"
"Never","1990","Rhineland-Palatinate,Saarland","Rural Area","66","0.568062929148129","0.475912987304857","0.6602128709914","5"
"Never","1990","Baden-Württemberg","Urban Area","753","0.41139792046584","0.386939701067147","0.435856139864532","5"
"Never","1990","Baden-Württemberg","Rural Area","122","0.450085278881907","0.386612550529015","0.513558007234798","5"
"Never","1990","Bavaria","Urban Area","388","0.428043172309689","0.394401855219783","0.461684489399595","5"
"Never","1990","Bavaria","Rural Area","330","0.432607426498329","0.397476450079877","0.467738402916781","5"
"Never","1990","Berlin","Urban Area","153","0.418750330998343","0.365440281839362","0.472060380157325","5"
"Never","1990","Berlin","Rural Area","","","","","5"
"Never","1990","Brandenburg","Urban Area","","","","","5"
"Rarely","1990","Saxony","Urban Area","","","","","4"
"Rarely","1990","Hamburg","Urban Area","46","0.271963213102759","0.204273014098731","0.339653412106787","4"
"Rarely","1990","Schleswig-Holstein","Rural Area","53","0.371199008206797","0.292832287167025","0.449565729246568","4"
"Rarely","1990","North Rhine-Westphalia","Urban Area","670","0.292080660895966","0.27421306207907","0.309948259712861","4"
"Rarely","1990","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"Rarely","1990","Bavaria","Urban Area","211","0.265198541668482","0.235184937562726","0.295212145774237","4"
"Rarely","1990","North Rhine-Westphalia","Rural Area","21","","","","4"
"Rarely","1990","Hesse","Urban Area","202","0.288592615019135","0.258059950855424","0.319125279182846","4"
"Rarely","1990","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"Rarely","1990","Schleswig-Holstein","Urban Area","34","0.290827585415453","0.215056717194196","0.36659845363671","4"
"Rarely","1990","Hamburg","Rural Area","","","","","4"
"Rarely","1990","Lower Saxony","Urban Area","157","0.282436727837852","0.244146185558646","0.320727270117059","4"
"Rarely","1990","Lower Saxony","Rural Area","134","0.308737466831515","0.265815040587945","0.351659893075085","4"
"Rarely","1990","Bremen","Urban Area","23","","","","4"
"Rarely","1990","Bremen","Rural Area","","","","","4"
"Rarely","1990","Hesse","Rural Area","29","","","","4"
"Rarely","1990","Baden-Württemberg","Rural Area","61","0.293723739362435","0.235614001234611","0.35183347749026","4"
"Rarely","1990","Saxony","Rural Area","","","","","4"
"Rarely","1990","Thuringia","Rural Area","","","","","4"
"Rarely","1990","Rhineland-Palatinate,Saarland","Urban Area","108","0.192457961993732","0.159747889802445","0.225168034185018","4"
"Rarely","1990","Rhineland-Palatinate,Saarland","Rural Area","32","0.314080812943514","0.227734503390275","0.400427122496754","4"
"Rarely","1990","Baden-Württemberg","Urban Area","447","0.313271045315147","0.290217607299097","0.336324483331198","4"
"Rarely","1990","Saxony-Anhalt","Urban Area","","","","","4"
"Rarely","1990","Saxony-Anhalt","Rural Area","","","","","4"
"Rarely","1990","Thuringia","Urban Area","","","","","4"
"Rarely","1990","Brandenburg","Rural Area","","","","","4"
"Rarely","1990","Bavaria","Rural Area","250","0.323064655601319","0.289904257901835","0.356225053300803","4"
"Rarely","1990","Berlin","Urban Area","93","0.330312929798079","0.279491265155184","0.381134594440974","4"
"Rarely","1990","Berlin","Rural Area","","","","","4"
"Rarely","1990","Brandenburg","Urban Area","","","","","4"
"Daily","1991","Schleswig-Holstein","Urban Area","","","","","1"
"Daily","1991","Schleswig-Holstein","Rural Area","","","","","1"
"Daily","1991","Hamburg","Urban Area","","","","","1"
"Daily","1991","Hamburg","Rural Area","","","","","1"
"Daily","1991","Lower Saxony","Urban Area","","","","","1"
"Daily","1991","Lower Saxony","Rural Area","","","","","1"
"Daily","1991","Bremen","Urban Area","","","","","1"
"Daily","1991","Bremen","Rural Area","","","","","1"
"Daily","1991","North Rhine-Westphalia","Urban Area","","","","","1"
"Daily","1991","North Rhine-Westphalia","Rural Area","","","","","1"
"Daily","1991","Hesse","Urban Area","","","","","1"
"Daily","1991","Hesse","Rural Area","","","","","1"
"Daily","1991","Rhineland-Palatinate,Saarland","Urban Area","","","","","1"
"Daily","1991","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Daily","1991","Baden-Württemberg","Urban Area","","","","","1"
"Daily","1991","Baden-Württemberg","Rural Area","","","","","1"
"Daily","1991","Bavaria","Urban Area","","","","","1"
"Daily","1991","Bavaria","Rural Area","","","","","1"
"Daily","1991","Berlin","Urban Area","","","","","1"
"Daily","1991","Berlin","Rural Area","","","","","1"
"Daily","1991","Brandenburg","Urban Area","","","","","1"
"Daily","1991","Brandenburg","Rural Area","","","","","1"
"Daily","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Daily","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Daily","1991","Saxony","Urban Area","","","","","1"
"Daily","1991","Saxony","Rural Area","","","","","1"
"Daily","1991","Saxony-Anhalt","Urban Area","","","","","1"
"Daily","1991","Saxony-Anhalt","Rural Area","","","","","1"
"Daily","1991","Thuringia","Urban Area","","","","","1"
"Daily","1991","Thuringia","Rural Area","","","","","1"
"Min 1x per month","1991","Saxony","Rural Area","","","","","3"
"Min 1x per month","1991","Hamburg","Urban Area","","","","","3"
"Min 1x per month","1991","Schleswig-Holstein","Rural Area","","","","","3"
"Min 1x per month","1991","Hamburg","Rural Area","","","","","3"
"Min 1x per month","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Min 1x per month","1991","Saxony","Urban Area","","","","","3"
"Min 1x per month","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Min 1x per month","1991","Schleswig-Holstein","Urban Area","","","","","3"
"Min 1x per month","1991","Brandenburg","Rural Area","","","","","3"
"Min 1x per month","1991","Thuringia","Rural Area","","","","","3"
"Min 1x per month","1991","Saxony-Anhalt","Urban Area","","","","","3"
"Min 1x per month","1991","Saxony-Anhalt","Rural Area","","","","","3"
"Min 1x per month","1991","Thuringia","Urban Area","","","","","3"
"Min 1x per month","1991","Lower Saxony","Urban Area","","","","","3"
"Min 1x per month","1991","Lower Saxony","Rural Area","","","","","3"
"Min 1x per month","1991","Bremen","Urban Area","","","","","3"
"Min 1x per month","1991","Bremen","Rural Area","","","","","3"
"Min 1x per month","1991","North Rhine-Westphalia","Urban Area","","","","","3"
"Min 1x per month","1991","North Rhine-Westphalia","Rural Area","","","","","3"
"Min 1x per month","1991","Hesse","Urban Area","","","","","3"
"Min 1x per month","1991","Hesse","Rural Area","","","","","3"
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","Urban Area","","","","","3"
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","Rural Area","","","","","3"
"Min 1x per month","1991","Baden-Württemberg","Urban Area","","","","","3"
"Min 1x per month","1991","Baden-Württemberg","Rural Area","","","","","3"
"Min 1x per month","1991","Bavaria","Urban Area","","","","","3"
"Min 1x per month","1991","Bavaria","Rural Area","","","","","3"
"Min 1x per month","1991","Berlin","Urban Area","","","","","3"
"Min 1x per month","1991","Berlin","Rural Area","","","","","3"
"Min 1x per month","1991","Brandenburg","Urban Area","","","","","3"
"Min 1x per week","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"Min 1x per week","1991","Saxony","Urban Area","","","","","2"
"Min 1x per week","1991","Saxony","Rural Area","","","","","2"
"Min 1x per week","1991","Saxony-Anhalt","Urban Area","","","","","2"
"Min 1x per week","1991","Saxony-Anhalt","Rural Area","","","","","2"
"Min 1x per week","1991","Thuringia","Urban Area","","","","","2"
"Min 1x per week","1991","Thuringia","Rural Area","","","","","2"
"Min 1x per week","1991","Schleswig-Holstein","Urban Area","","","","","2"
"Min 1x per week","1991","Schleswig-Holstein","Rural Area","","","","","2"
"Min 1x per week","1991","Hamburg","Urban Area","","","","","2"
"Min 1x per week","1991","Hamburg","Rural Area","","","","","2"
"Min 1x per week","1991","Lower Saxony","Urban Area","","","","","2"
"Min 1x per week","1991","Lower Saxony","Rural Area","","","","","2"
"Min 1x per week","1991","Bremen","Urban Area","","","","","2"
"Min 1x per week","1991","Bremen","Rural Area","","","","","2"
"Min 1x per week","1991","North Rhine-Westphalia","Urban Area","","","","","2"
"Min 1x per week","1991","North Rhine-Westphalia","Rural Area","","","","","2"
"Min 1x per week","1991","Hesse","Urban Area","","","","","2"
"Min 1x per week","1991","Hesse","Rural Area","","","","","2"
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","Urban Area","","","","","2"
"Min 1x per week","1991","Brandenburg","Rural Area","","","","","2"
"Min 1x per week","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"Min 1x per week","1991","Baden-Württemberg","Rural Area","","","","","2"
"Min 1x per week","1991","Bavaria","Urban Area","","","","","2"
"Min 1x per week","1991","Bavaria","Rural Area","","","","","2"
"Min 1x per week","1991","Berlin","Urban Area","","","","","2"
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","Rural Area","","","","","2"
"Min 1x per week","1991","Baden-Württemberg","Urban Area","","","","","2"
"Min 1x per week","1991","Berlin","Rural Area","","","","","2"
"Min 1x per week","1991","Brandenburg","Urban Area","","","","","2"
"Never","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","5"
"Never","1991","North Rhine-Westphalia","Urban Area","","","","","5"
"Never","1991","Schleswig-Holstein","Rural Area","","","","","5"
"Never","1991","Hamburg","Urban Area","","","","","5"
"Never","1991","Hamburg","Rural Area","","","","","5"
"Never","1991","Lower Saxony","Urban Area","","","","","5"
"Never","1991","Bremen","Urban Area","","","","","5"
"Never","1991","Bremen","Rural Area","","","","","5"
"Never","1991","Saxony","Urban Area","","","","","5"
"Never","1991","Saxony","Rural Area","","","","","5"
"Never","1991","Saxony-Anhalt","Urban Area","","","","","5"
"Never","1991","Saxony-Anhalt","Rural Area","","","","","5"
"Never","1991","Thuringia","Urban Area","","","","","5"
"Never","1991","Thuringia","Rural Area","","","","","5"
"Never","1991","Lower Saxony","Rural Area","","","","","5"
"Never","1991","Schleswig-Holstein","Urban Area","","","","","5"
"Never","1991","Brandenburg","Rural Area","","","","","5"
"Never","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","5"
"Never","1991","North Rhine-Westphalia","Rural Area","","","","","5"
"Never","1991","Hesse","Urban Area","","","","","5"
"Never","1991","Hesse","Rural Area","","","","","5"
"Never","1991","Rhineland-Palatinate,Saarland","Urban Area","","","","","5"
"Never","1991","Rhineland-Palatinate,Saarland","Rural Area","","","","","5"
"Never","1991","Baden-Württemberg","Urban Area","","","","","5"
"Never","1991","Baden-Württemberg","Rural Area","","","","","5"
"Never","1991","Bavaria","Urban Area","","","","","5"
"Never","1991","Bavaria","Rural Area","","","","","5"
"Never","1991","Berlin","Urban Area","","","","","5"
"Never","1991","Berlin","Rural Area","","","","","5"
"Never","1991","Brandenburg","Urban Area","","","","","5"
"Rarely","1991","Schleswig-Holstein","Rural Area","","","","","4"
"Rarely","1991","Hamburg","Urban Area","","","","","4"
"Rarely","1991","North Rhine-Westphalia","Urban Area","","","","","4"
"Rarely","1991","North Rhine-Westphalia","Rural Area","","","","","4"
"Rarely","1991","Hesse","Urban Area","","","","","4"
"Rarely","1991","Hesse","Rural Area","","","","","4"
"Rarely","1991","Rhineland-Palatinate,Saarland","Urban Area","","","","","4"
"Rarely","1991","Rhineland-Palatinate,Saarland","Rural Area","","","","","4"
"Rarely","1991","Baden-Württemberg","Urban Area","","","","","4"
"Rarely","1991","Baden-Württemberg","Rural Area","","","","","4"
"Rarely","1991","Bavaria","Urban Area","","","","","4"
"Rarely","1991","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"Rarely","1991","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"Rarely","1991","Saxony","Urban Area","","","","","4"
"Rarely","1991","Schleswig-Holstein","Urban Area","","","","","4"
"Rarely","1991","Hamburg","Rural Area","","","","","4"
"Rarely","1991","Lower Saxony","Urban Area","","","","","4"
"Rarely","1991","Lower Saxony","Rural Area","","","","","4"
"Rarely","1991","Bremen","Urban Area","","","","","4"
"Rarely","1991","Bremen","Rural Area","","","","","4"
"Rarely","1991","Saxony","Rural Area","","","","","4"
"Rarely","1991","Thuringia","Rural Area","","","","","4"
"Rarely","1991","Saxony-Anhalt","Urban Area","","","","","4"
"Rarely","1991","Saxony-Anhalt","Rural Area","","","","","4"
"Rarely","1991","Thuringia","Urban Area","","","","","4"
"Rarely","1991","Brandenburg","Rural Area","","","","","4"
"Rarely","1991","Bavaria","Rural Area","","","","","4"
"Rarely","1991","Berlin","Urban Area","","","","","4"
"Rarely","1991","Berlin","Rural Area","","","","","4"
"Rarely","1991","Brandenburg","Urban Area","","","","","4"
"Daily","1992","Schleswig-Holstein","Urban Area","","","","","1"
"Daily","1992","Schleswig-Holstein","Rural Area","","","","","1"
"Daily","1992","Hamburg","Urban Area","","","","","1"
"Daily","1992","Hamburg","Rural Area","","","","","1"
"Daily","1992","Lower Saxony","Urban Area","","","","","1"
"Daily","1992","Lower Saxony","Rural Area","","","","","1"
"Daily","1992","Bremen","Urban Area","","","","","1"
"Daily","1992","Bremen","Rural Area","","","","","1"
"Daily","1992","North Rhine-Westphalia","Urban Area","","","","","1"
"Daily","1992","North Rhine-Westphalia","Rural Area","","","","","1"
"Daily","1992","Hesse","Urban Area","","","","","1"
"Daily","1992","Hesse","Rural Area","","","","","1"
"Daily","1992","Rhineland-Palatinate,Saarland","Urban Area","","","","","1"
"Daily","1992","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Daily","1992","Baden-Württemberg","Urban Area","","","","","1"
"Daily","1992","Baden-Württemberg","Rural Area","","","","","1"
"Daily","1992","Bavaria","Urban Area","","","","","1"
"Daily","1992","Bavaria","Rural Area","","","","","1"
"Daily","1992","Berlin","Urban Area","","","","","1"
"Daily","1992","Berlin","Rural Area","","","","","1"
"Daily","1992","Brandenburg","Urban Area","","","","","1"
"Daily","1992","Brandenburg","Rural Area","","","","","1"
"Daily","1992","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Daily","1992","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Daily","1992","Saxony","Urban Area","","","","","1"
"Daily","1992","Saxony","Rural Area","","","","","1"
"Daily","1992","Saxony-Anhalt","Urban Area","","","","","1"
"Daily","1992","Saxony-Anhalt","Rural Area","","","","","1"
"Daily","1992","Thuringia","Urban Area","","","","","1"
"Daily","1992","Thuringia","Rural Area","","","","","1"
"Min 1x per month","1992","Saxony","Rural Area","","","","","3"
"Min 1x per month","1992","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Min 1x per month","1992","Saxony","Urban Area","","","","","3"
"Min 1x per month","1992","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Min 1x per month","1992","Hamburg","Urban Area","","","","","3"
"Min 1x per month","1992","Hamburg","Rural Area","","","","","3"
"Min 1x per month","1992","Schleswig-Holstein","Rural Area","","","","","3"
"Min 1x per month","1992","Brandenburg","Rural Area","","","","","3"
"Min 1x per month","1992","Schleswig-Holstein","Urban Area","","","","","3"
"Min 1x per month","1992","Saxony-Anhalt","Urban Area","","","","","3"
"Min 1x per month","1992","Saxony-Anhalt","Rural Area","","","","","3"
"Min 1x per month","1992","Thuringia","Urban Area","","","","","3"
"Min 1x per month","1992","Thuringia","Rural Area","","","","","3"
"Min 1x per month","1992","Baden-Württemberg","Rural Area","","","","","3"
"Min 1x per month","1992","Bavaria","Urban Area","","","","","3"
"Min 1x per month","1992","Bavaria","Rural Area","","","","","3"
"Min 1x per month","1992","Berlin","Urban Area","","","","","3"
"Min 1x per month","1992","Berlin","Rural Area","","","","","3"
"Min 1x per month","1992","Brandenburg","Urban Area","","","","","3"
"Min 1x per month","1992","Lower Saxony","Urban Area","","","","","3"
"Min 1x per month","1992","Lower Saxony","Rural Area","","","","","3"
"Min 1x per month","1992","Bremen","Urban Area","","","","","3"
"Min 1x per month","1992","Bremen","Rural Area","","","","","3"
"Min 1x per month","1992","North Rhine-Westphalia","Urban Area","","","","","3"
"Min 1x per month","1992","North Rhine-Westphalia","Rural Area","","","","","3"
"Min 1x per month","1992","Hesse","Urban Area","","","","","3"
"Min 1x per month","1992","Hesse","Rural Area","","","","","3"
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","Urban Area","","","","","3"
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","Rural Area","","","","","3"
"Min 1x per month","1992","Baden-Württemberg","Urban Area","","","","","3"
"Min 1x per week","1992","Thuringia","Rural Area","","","","","2"
"Min 1x per week","1992","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"Min 1x per week","1992","Saxony","Urban Area","","","","","2"
"Min 1x per week","1992","Saxony","Rural Area","","","","","2"
"Min 1x per week","1992","Saxony-Anhalt","Urban Area","","","","","2"
"Min 1x per week","1992","Saxony-Anhalt","Rural Area","","","","","2"
"Min 1x per week","1992","Thuringia","Urban Area","","","","","2"
"Min 1x per week","1992","Schleswig-Holstein","Urban Area","","","","","2"
"Min 1x per week","1992","Schleswig-Holstein","Rural Area","","","","","2"
"Min 1x per week","1992","Hamburg","Urban Area","","","","","2"
"Min 1x per week","1992","Hamburg","Rural Area","","","","","2"
"Min 1x per week","1992","Lower Saxony","Urban Area","","","","","2"
"Min 1x per week","1992","Lower Saxony","Rural Area","","","","","2"
"Min 1x per week","1992","Bremen","Urban Area","","","","","2"
"Min 1x per week","1992","Bremen","Rural Area","","","","","2"
"Min 1x per week","1992","North Rhine-Westphalia","Urban Area","","","","","2"
"Min 1x per week","1992","North Rhine-Westphalia","Rural Area","","","","","2"
"Min 1x per week","1992","Hesse","Urban Area","","","","","2"
"Min 1x per week","1992","Hesse","Rural Area","","","","","2"
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","Urban Area","","","","","2"
"Min 1x per week","1992","Brandenburg","Rural Area","","","","","2"
"Min 1x per week","1992","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"Min 1x per week","1992","Baden-Württemberg","Rural Area","","","","","2"
"Min 1x per week","1992","Bavaria","Urban Area","","","","","2"
"Min 1x per week","1992","Bavaria","Rural Area","","","","","2"
"Min 1x per week","1992","Baden-Württemberg","Urban Area","","","","","2"
"Min 1x per week","1992","Berlin","Urban Area","","","","","2"
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","Rural Area","","","","","2"
"Min 1x per week","1992","Berlin","Rural Area","","","","","2"
"Min 1x per week","1992","Brandenburg","Urban Area","","","","","2"
"Never","1992","Mecklenburg-Western Pomerania","Rural Area","","","","","5"
"Never","1992","Schleswig-Holstein","Rural Area","","","","","5"
"Never","1992","Hamburg","Urban Area","","","","","5"
"Never","1992","Hamburg","Rural Area","","","","","5"
"Never","1992","Lower Saxony","Urban Area","","","","","5"
"Never","1992","Lower Saxony","Rural Area","","","","","5"
"Never","1992","Bremen","Urban Area","","","","","5"
"Never","1992","Bremen","Rural Area","","","","","5"
"Never","1992","North Rhine-Westphalia","Urban Area","","","","","5"
"Never","1992","Saxony","Urban Area","","","","","5"
"Never","1992","Saxony","Rural Area","","","","","5"
"Never","1992","Saxony-Anhalt","Urban Area","","","","","5"
"Never","1992","Saxony-Anhalt","Rural Area","","","","","5"
"Never","1992","Thuringia","Urban Area","","","","","5"
"Never","1992","Thuringia","Rural Area","","","","","5"
