"pli0093_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Never","1992","16-34 y.","Employed","","","",""
"Never","1992","35-65 y.","Not Employed","","","",""
"Never","1992","35-65 y.","Employed","","","",""
"Never","1992","66 and older","Not Employed","","","",""
"Never","1992","66 and older","Employed","","","",""
"Daily","1993","16-34 y.","Not Employed","","","",""
"Daily","1993","16-34 y.","Employed","","","",""
"Daily","1993","35-65 y.","Not Employed","","","",""
"Daily","1993","35-65 y.","Employed","","","",""
"Daily","1993","66 and older","Not Employed","","","",""
"Daily","1993","66 and older","Employed","","","",""
"Min 1x per week","1993","16-34 y.","Not Employed","","","",""
"Min 1x per week","1993","16-34 y.","Employed","","","",""
"Min 1x per week","1993","35-65 y.","Not Employed","","","",""
"Min 1x per week","1993","35-65 y.","Employed","","","",""
"Min 1x per week","1993","66 and older","Not Employed","","","",""
"Min 1x per week","1993","66 and older","Employed","","","",""
"Min 1x per month","1993","16-34 y.","Not Employed","","","",""
"Min 1x per month","1993","16-34 y.","Employed","","","",""
"Min 1x per month","1993","35-65 y.","Not Employed","","","",""
"Min 1x per month","1993","35-65 y.","Employed","","","",""
"Min 1x per month","1993","66 and older","Not Employed","","","",""
"Min 1x per month","1993","66 and older","Employed","","","",""
"Rarely","1993","16-34 y.","Not Employed","","","",""
"Rarely","1993","16-34 y.","Employed","","","",""
"Rarely","1993","35-65 y.","Not Employed","","","",""
"Rarely","1993","35-65 y.","Employed","","","",""
"Rarely","1993","66 and older","Not Employed","","","",""
"Rarely","1993","66 and older","Employed","","","",""
"Never","1993","16-34 y.","Not Employed","","","",""
"Never","1993","16-34 y.","Employed","","","",""
"Never","1993","35-65 y.","Not Employed","","","",""
"Never","1993","35-65 y.","Employed","","","",""
"Never","1993","66 and older","Not Employed","","","",""
"Never","1993","66 and older","Employed","","","",""
"Daily","1994","16-34 y.","Not Employed","","","",""
"Daily","1994","16-34 y.","Employed","","","",""
"Daily","1994","35-65 y.","Not Employed","","","",""
"Daily","1994","35-65 y.","Employed","","","",""
"Daily","1994","66 and older","Not Employed","","","",""
"Daily","1994","66 and older","Employed","","","",""
"Min 1x per week","1994","16-34 y.","Not Employed","","","",""
"Min 1x per week","1994","16-34 y.","Employed","","","",""
"Min 1x per week","1994","35-65 y.","Not Employed","","","",""
"Min 1x per week","1994","35-65 y.","Employed","","","",""
"Min 1x per week","1994","66 and older","Not Employed","","","",""
"Min 1x per week","1994","66 and older","Employed","","","",""
"Min 1x per month","1994","16-34 y.","Not Employed","","","",""
"Min 1x per month","1994","16-34 y.","Employed","","","",""
"Min 1x per month","1994","35-65 y.","Not Employed","","","",""
"Min 1x per month","1994","35-65 y.","Employed","","","",""
"Min 1x per month","1994","66 and older","Not Employed","","","",""
"Min 1x per month","1994","66 and older","Employed","","","",""
"Rarely","1994","16-34 y.","Not Employed","","","",""
"Rarely","1994","16-34 y.","Employed","","","",""
"Rarely","1994","35-65 y.","Not Employed","","","",""
"Rarely","1994","35-65 y.","Employed","","","",""
"Rarely","1994","66 and older","Not Employed","","","",""
"Rarely","1994","66 and older","Employed","","","",""
"Never","1994","16-34 y.","Not Employed","","","",""
"Never","1994","16-34 y.","Employed","","","",""
"Never","1994","35-65 y.","Not Employed","","","",""
"Never","1994","35-65 y.","Employed","","","",""
"Never","1994","66 and older","Not Employed","","","",""
"Never","1994","66 and older","Employed","","","",""
"Daily","1995","16-34 y.","Not Employed","91","0.0776796698787795","0.0634748581383331","0.0918844816192259"
"Daily","1995","16-34 y.","Employed","104","0.0338074780625727","0.0278763847093636","0.0397385714157818"
"Daily","1995","35-65 y.","Not Employed","39","0.021311372867705","0.0148865182040551","0.027736227531355"
"Daily","1995","35-65 y.","Employed","82","0.0243841130016518","0.0200553418539428","0.0287128841493608"
"Daily","1995","66 and older","Not Employed","30","0.0226658921155954","0.015118781269027","0.0302130029621638"
"Daily","1995","66 and older","Employed","3","","",""
"Min 1x per week","1995","16-34 y.","Not Employed","179","0.150574680342219","0.131595411312157","0.169553949372281"
"Min 1x per week","1995","16-34 y.","Employed","339","0.105198561815798","0.0951300618168675","0.115267061814729"
"Min 1x per week","1995","35-65 y.","Not Employed","121","0.0787057298843524","0.0667262576916468","0.090685202077058"
"Min 1x per week","1995","35-65 y.","Employed","352","0.0854482425431901","0.0776026197331301","0.09329386535325"
"Min 1x per week","1995","66 and older","Not Employed","92","0.0736029168944545","0.060361974544866","0.0868438592440431"
"Min 1x per week","1995","66 and older","Employed","5","","",""
"Min 1x per month","1995","16-34 y.","Not Employed","128","0.10397189209794","0.0877739554412824","0.120169828754598"
"Min 1x per month","1995","16-34 y.","Employed","348","0.0975433130559565","0.0878066874417316","0.107279938670181"
"Min 1x per month","1995","35-65 y.","Not Employed","119","0.0756600483582678","0.0638952498702992","0.0874248468462365"
"Min 1x per month","1995","35-65 y.","Employed","412","0.106188682643406","0.0975423138721977","0.114835051414615"
"Min 1x per month","1995","66 and older","Not Employed","83","0.0489607010025134","0.0380187229946871","0.0599026790103396"
"Min 1x per month","1995","66 and older","Employed","5","","",""
"Rarely","1995","16-34 y.","Not Employed","368","0.282203838353274","0.258318965710549","0.306088710995998"
"Rarely","1995","16-34 y.","Employed","1168","0.332341686723433","0.316883232057504","0.347800141389361"
"Rarely","1995","35-65 y.","Not Employed","443","0.264989632547253","0.245356188130375","0.284623076964131"
"Rarely","1995","35-65 y.","Employed","1598","0.336554742393146","0.323292953280418","0.349816531505873"
"Rarely","1995","66 and older","Not Employed","208","0.143892637178356","0.126095252216811","0.161690022139902"
"Rarely","1995","66 and older","Employed","11","","",""
"Never","1995","16-34 y.","Not Employed","598","0.385569919327788","0.359739663186257","0.411400175469318"
"Never","1995","16-34 y.","Employed","1608","0.43110896034224","0.414857042887739","0.447360877796741"
"Never","1995","35-65 y.","Not Employed","1219","0.559333216342422","0.537246772942899","0.581419659741945"
"Never","1995","35-65 y.","Employed","2433","0.447424219418606","0.433469298468611","0.461379140368602"
"Never","1995","66 and older","Not Employed","1081","0.71087785280908","0.687889335333408","0.733866370284753"
"Never","1995","66 and older","Employed","18","","",""
"Daily","1996","16-34 y.","Not Employed","","","",""
"Daily","1996","16-34 y.","Employed","","","",""
"Daily","1996","35-65 y.","Not Employed","","","",""
"Daily","1996","35-65 y.","Employed","","","",""
"Daily","1996","66 and older","Not Employed","","","",""
"Daily","1996","66 and older","Employed","","","",""
"Min 1x per week","1996","16-34 y.","Not Employed","","","",""
"Min 1x per week","1996","16-34 y.","Employed","","","",""
"Min 1x per week","1996","35-65 y.","Not Employed","","","",""
"Min 1x per week","1996","35-65 y.","Employed","","","",""
"Min 1x per week","1996","66 and older","Not Employed","","","",""
"Min 1x per week","1996","66 and older","Employed","","","",""
"Min 1x per month","1996","16-34 y.","Not Employed","","","",""
"Min 1x per month","1996","16-34 y.","Employed","","","",""
"Min 1x per month","1996","35-65 y.","Not Employed","","","",""
"Min 1x per month","1996","35-65 y.","Employed","","","",""
"Min 1x per month","1996","66 and older","Not Employed","","","",""
"Min 1x per month","1996","66 and older","Employed","","","",""
"Rarely","1996","16-34 y.","Not Employed","","","",""
"Rarely","1996","16-34 y.","Employed","","","",""
"Rarely","1996","35-65 y.","Not Employed","","","",""
"Rarely","1996","35-65 y.","Employed","","","",""
"Rarely","1996","66 and older","Not Employed","","","",""
"Rarely","1996","66 and older","Employed","","","",""
"Never","1996","16-34 y.","Not Employed","","","",""
"Never","1996","16-34 y.","Employed","","","",""
"Never","1996","35-65 y.","Not Employed","","","",""
"Never","1996","35-65 y.","Employed","","","",""
"Never","1996","66 and older","Not Employed","","","",""
"Never","1996","66 and older","Employed","","","",""
"Daily","1997","16-34 y.","Not Employed","","","",""
"Daily","1997","16-34 y.","Employed","","","",""
"Daily","1997","35-65 y.","Not Employed","","","",""
"Daily","1997","35-65 y.","Employed","","","",""
"Daily","1997","66 and older","Not Employed","","","",""
"Daily","1997","66 and older","Employed","","","",""
"Min 1x per week","1997","16-34 y.","Not Employed","","","",""
"Min 1x per week","1997","16-34 y.","Employed","","","",""
"Min 1x per week","1997","35-65 y.","Not Employed","","","",""
"Min 1x per week","1997","35-65 y.","Employed","","","",""
"Min 1x per week","1997","66 and older","Not Employed","","","",""
"Min 1x per week","1997","66 and older","Employed","","","",""
"Min 1x per month","1997","16-34 y.","Not Employed","","","",""
"Min 1x per month","1997","16-34 y.","Employed","","","",""
"Min 1x per month","1997","35-65 y.","Not Employed","","","",""
"Min 1x per month","1997","35-65 y.","Employed","","","",""
"Min 1x per month","1997","66 and older","Not Employed","","","",""
"Min 1x per month","1997","66 and older","Employed","","","",""
"Rarely","1997","16-34 y.","Not Employed","","","",""
"Rarely","1997","16-34 y.","Employed","","","",""
"Rarely","1997","35-65 y.","Not Employed","","","",""
"Rarely","1997","35-65 y.","Employed","","","",""
"Rarely","1997","66 and older","Not Employed","","","",""
"Rarely","1997","66 and older","Employed","","","",""
"Never","1997","16-34 y.","Not Employed","","","",""
"Never","1997","16-34 y.","Employed","","","",""
"Never","1997","35-65 y.","Not Employed","","","",""
"Never","1997","35-65 y.","Employed","","","",""
"Never","1997","66 and older","Not Employed","","","",""
"Never","1997","66 and older","Employed","","","",""
"Daily","1998","16-34 y.","Not Employed","83","0.0710433028601389","0.0575575247050986","0.0845290810151793"
"Daily","1998","16-34 y.","Employed","72","0.027069745302154","0.0216685300458328","0.0324709605584752"
"Daily","1998","35-65 y.","Not Employed","30","0.0174061269437513","0.0119213385973785","0.022890915290124"
"Daily","1998","35-65 y.","Employed","100","0.0237450685870156","0.0196491532755375","0.0278409838984938"
"Daily","1998","66 and older","Not Employed","34","0.0183369992142431","0.0121250995423486","0.0245488988861376"
"Daily","1998","66 and older","Employed","1","","",""
"Min 1x per week","1998","16-34 y.","Not Employed","189","0.15043415050233","0.131667427391493","0.169200873613167"
"Min 1x per week","1998","16-34 y.","Employed","300","0.0951207379848556","0.0853564299932103","0.104885045976501"
"Min 1x per week","1998","35-65 y.","Not Employed","132","0.0726291478821481","0.0617447610252902","0.083513534739006"
"Min 1x per week","1998","35-65 y.","Employed","378","0.0828239767799979","0.0754093888478281","0.0902385647121677"
"Min 1x per week","1998","66 and older","Not Employed","98","0.0621869313692372","0.0510057731745773","0.073368089563897"
"Min 1x per week","1998","66 and older","Employed","4","","",""
"Min 1x per month","1998","16-34 y.","Not Employed","146","0.101400641298301","0.0855546246772553","0.117246657919348"
"Min 1x per month","1998","16-34 y.","Employed","327","0.0968722436791823","0.08702798945006","0.106716497908305"
"Min 1x per month","1998","35-65 y.","Not Employed","142","0.0708865603223851","0.0601234424431652","0.0816496782016051"
"Min 1x per month","1998","35-65 y.","Employed","442","0.0956687838913008","0.0877559596059226","0.103581608176679"
"Min 1x per month","1998","66 and older","Not Employed","94","0.0502792189756266","0.0401617630706775","0.0603966748805757"
"Min 1x per month","1998","66 and older","Employed","5","","",""
"Rarely","1998","16-34 y.","Not Employed","343","0.267774681459757","0.244529987606585","0.29101937531293"
"Rarely","1998","16-34 y.","Employed","1006","0.294330910256856","0.279162955287298","0.309498865226413"
"Rarely","1998","35-65 y.","Not Employed","475","0.236517000912042","0.218695156777413","0.254338845046671"
"Rarely","1998","35-65 y.","Employed","1692","0.329029654138771","0.316389516073194","0.341669792204348"
"Rarely","1998","66 and older","Not Employed","260","0.144641905257519","0.12835644113517","0.160927369379868"
"Rarely","1998","66 and older","Employed","11","","",""
"Never","1998","16-34 y.","Not Employed","633","0.409347223879472","0.383534802059847","0.435159645699097"
"Never","1998","16-34 y.","Employed","1763","0.486606362776952","0.469971367600763","0.503241357953141"
"Never","1998","35-65 y.","Not Employed","1405","0.602561163939673","0.582037377177929","0.623084950701417"
"Never","1998","35-65 y.","Employed","2696","0.468732516602915","0.4553079030512","0.482157130154629"
"Never","1998","66 and older","Not Employed","1306","0.724554945183374","0.703871054173567","0.74523883619318"
"Never","1998","66 and older","Employed","36","0.608457773915018","0.481746520157516","0.735169027672519"
"Daily","1999","16-34 y.","Not Employed","","","",""
"Daily","1999","16-34 y.","Employed","","","",""
"Daily","1999","35-65 y.","Not Employed","","","",""
"Daily","1999","35-65 y.","Employed","","","",""
"Daily","1999","66 and older","Not Employed","","","",""
"Daily","1999","66 and older","Employed","","","",""
"Min 1x per week","1999","16-34 y.","Not Employed","","","",""
"Min 1x per week","1999","16-34 y.","Employed","","","",""
"Min 1x per week","1999","35-65 y.","Not Employed","","","",""
"Min 1x per week","1999","35-65 y.","Employed","","","",""
"Min 1x per week","1999","66 and older","Not Employed","","","",""
"Min 1x per week","1999","66 and older","Employed","","","",""
"Min 1x per month","1999","16-34 y.","Not Employed","","","",""
"Min 1x per month","1999","16-34 y.","Employed","","","",""
"Min 1x per month","1999","35-65 y.","Not Employed","","","",""
"Min 1x per month","1999","35-65 y.","Employed","","","",""
"Min 1x per month","1999","66 and older","Not Employed","","","",""
"Min 1x per month","1999","66 and older","Employed","","","",""
"Rarely","1999","16-34 y.","Not Employed","","","",""
"Rarely","1999","16-34 y.","Employed","","","",""
"Rarely","1999","35-65 y.","Not Employed","","","",""
"Rarely","1999","35-65 y.","Employed","","","",""
"Rarely","1999","66 and older","Not Employed","","","",""
"Rarely","1999","66 and older","Employed","","","",""
"Never","1999","16-34 y.","Not Employed","","","",""
"Never","1999","16-34 y.","Employed","","","",""
"Never","1999","35-65 y.","Not Employed","","","",""
"Never","1999","35-65 y.","Employed","","","",""
"Never","1999","66 and older","Not Employed","","","",""
"Never","1999","66 and older","Employed","","","",""
"Daily","2000","16-34 y.","Not Employed","","","",""
"Daily","2000","16-34 y.","Employed","","","",""
"Daily","2000","35-65 y.","Not Employed","","","",""
"Daily","2000","35-65 y.","Employed","","","",""
"Daily","2000","66 and older","Not Employed","","","",""
"Daily","2000","66 and older","Employed","","","",""
"Min 1x per week","2000","16-34 y.","Not Employed","","","",""
"Min 1x per week","2000","16-34 y.","Employed","","","",""
"Min 1x per week","2000","35-65 y.","Not Employed","","","",""
"Min 1x per week","2000","35-65 y.","Employed","","","",""
"Min 1x per week","2000","66 and older","Not Employed","","","",""
"Min 1x per week","2000","66 and older","Employed","","","",""
"Min 1x per month","2000","16-34 y.","Not Employed","","","",""
"Min 1x per month","2000","16-34 y.","Employed","","","",""
"Min 1x per month","2000","35-65 y.","Not Employed","","","",""
"Min 1x per month","2000","35-65 y.","Employed","","","",""
"Min 1x per month","2000","66 and older","Not Employed","","","",""
"Min 1x per month","2000","66 and older","Employed","","","",""
"Rarely","2000","16-34 y.","Not Employed","","","",""
"Rarely","2000","16-34 y.","Employed","","","",""
"Rarely","2000","35-65 y.","Not Employed","","","",""
"Rarely","2000","35-65 y.","Employed","","","",""
"Rarely","2000","66 and older","Not Employed","","","",""
"Rarely","2000","66 and older","Employed","","","",""
"Never","2000","16-34 y.","Not Employed","","","",""
"Never","2000","16-34 y.","Employed","","","",""
"Never","2000","35-65 y.","Not Employed","","","",""
"Never","2000","35-65 y.","Employed","","","",""
"Never","2000","66 and older","Not Employed","","","",""
"Never","2000","66 and older","Employed","","","",""
"Daily","2001","16-34 y.","Not Employed","","","",""
"Daily","2001","16-34 y.","Employed","","","",""
"Daily","2001","35-65 y.","Not Employed","","","",""
"Daily","2001","35-65 y.","Employed","","","",""
"Daily","2001","66 and older","Not Employed","","","",""
"Daily","2001","66 and older","Employed","","","",""
"Min 1x per week","2001","16-34 y.","Not Employed","241","0.145023662661317","0.127715697549546","0.162331627773088"
"Min 1x per week","2001","16-34 y.","Employed","468","0.0993371983044706","0.0907510373958607","0.10792335921308"
"Min 1x per week","2001","35-65 y.","Not Employed","227","0.0715345100680362","0.0625983004742053","0.0804707196618671"
"Min 1x per week","2001","35-65 y.","Employed","719","0.0835195484988747","0.0777969961113723","0.089242100886377"
"Min 1x per week","2001","66 and older","Not Employed","210","0.0657010297654798","0.0571659857589156","0.0742360737720439"
"Min 1x per week","2001","66 and older","Employed","21","","",""
"Min 1x per month","2001","16-34 y.","Not Employed","133","0.093196981898184","0.0789078142549548","0.107486149541413"
"Min 1x per month","2001","16-34 y.","Employed","332","0.0696385135696024","0.0623319601365744","0.0769450670026303"
"Min 1x per month","2001","35-65 y.","Not Employed","180","0.0700837122674306","0.0612316769900534","0.0789357475448077"
"Min 1x per month","2001","35-65 y.","Employed","509","0.0608059510760897","0.0558630170474985","0.065748885104681"
"Min 1x per month","2001","66 and older","Not Employed","131","0.0426671432839052","0.0357048068283553","0.049629479739455"
"Min 1x per month","2001","66 and older","Employed","8","","",""
"Rarely","2001","16-34 y.","Not Employed","394","0.2516984005637","0.230366571570095","0.273030229557305"
"Rarely","2001","16-34 y.","Employed","1256","0.26793912337289","0.25522596019696","0.28065228654882"
"Rarely","2001","35-65 y.","Not Employed","640","0.207340973535519","0.193283786243453","0.221398160827585"
"Rarely","2001","35-65 y.","Employed","2255","0.247872443573457","0.238941569215473","0.256803317931442"
"Rarely","2001","66 and older","Not Employed","412","0.126899639181022","0.115432924171986","0.138366354190059"
"Rarely","2001","66 and older","Employed","37","0.216353202974634","0.15110865575849","0.281597750190777"
"Never","2001","16-34 y.","Not Employed","822","0.510080954876799","0.485509478924949","0.534652430828649"
"Never","2001","16-34 y.","Employed","2606","0.563085164753037","0.54884721700607","0.577323112500005"
"Never","2001","35-65 y.","Not Employed","2148","0.651040804129014","0.634513421259777","0.667568186998251"
"Never","2001","35-65 y.","Employed","5496","0.607802056851578","0.59770330167366","0.617900812029497"
"Never","2001","66 and older","Not Employed","2484","0.764732187769593","0.750120086165811","0.779344289373374"
"Never","2001","66 and older","Employed","87","0.565078180789877","0.486525277193681","0.643631084386072"
"Daily","2002","16-34 y.","Not Employed","","","",""
"Daily","2002","16-34 y.","Employed","","","",""
"Daily","2002","35-65 y.","Not Employed","","","",""
"Daily","2002","35-65 y.","Employed","","","",""
"Daily","2002","66 and older","Not Employed","","","",""
"Daily","2002","66 and older","Employed","","","",""
"Min 1x per week","2002","16-34 y.","Not Employed","","","",""
"Min 1x per week","2002","16-34 y.","Employed","","","",""
"Min 1x per week","2002","35-65 y.","Not Employed","","","",""
"Min 1x per week","2002","35-65 y.","Employed","","","",""
"Min 1x per week","2002","66 and older","Not Employed","","","",""
"Min 1x per week","2002","66 and older","Employed","","","",""
"Min 1x per month","2002","16-34 y.","Not Employed","","","",""
"Min 1x per month","2002","16-34 y.","Employed","","","",""
"Min 1x per month","2002","35-65 y.","Not Employed","","","",""
"Min 1x per month","2002","35-65 y.","Employed","","","",""
"Min 1x per month","2002","66 and older","Not Employed","","","",""
"Min 1x per month","2002","66 and older","Employed","","","",""
"Rarely","2002","16-34 y.","Not Employed","","","",""
"Rarely","2002","16-34 y.","Employed","","","",""
"Rarely","2002","35-65 y.","Not Employed","","","",""
"Rarely","2002","35-65 y.","Employed","","","",""
"Rarely","2002","66 and older","Not Employed","","","",""
"Rarely","2002","66 and older","Employed","","","",""
"Never","2002","16-34 y.","Not Employed","","","",""
"Never","2002","16-34 y.","Employed","","","",""
"Never","2002","35-65 y.","Not Employed","","","",""
"Never","2002","35-65 y.","Employed","","","",""
"Never","2002","66 and older","Not Employed","","","",""
"Never","2002","66 and older","Employed","","","",""
"Daily","2003","16-34 y.","Not Employed","117","0.0577695849137984","0.0464917594926383","0.0690474103349585"
"Daily","2003","16-34 y.","Employed","140","0.0298233033911217","0.0246869410381911","0.0349596657440523"
"Daily","2003","35-65 y.","Not Employed","63","0.0196982214082611","0.0147552214133614","0.0246412214031608"
"Daily","2003","35-65 y.","Employed","198","0.0200537448445586","0.0172476289833738","0.0228598607057434"
"Daily","2003","66 and older","Not Employed","66","0.0183439671637528","0.0138668143957802","0.0228211199317255"
"Daily","2003","66 and older","Employed","10","","",""
"Min 1x per week","2003","16-34 y.","Not Employed","258","0.137138582730199","0.12051029472858","0.153766870731817"
"Min 1x per week","2003","16-34 y.","Employed","511","0.11512014594025","0.105482517452781","0.124757774427719"
"Min 1x per week","2003","35-65 y.","Not Employed","245","0.0829385423283684","0.0731284153859985","0.0927486692707383"
"Min 1x per week","2003","35-65 y.","Employed","935","0.0866008499859095","0.0809709833616347","0.0922307166101843"
"Min 1x per week","2003","66 and older","Not Employed","188","0.0547541372538701","0.0471638803744737","0.0623443941332665"
"Min 1x per week","2003","66 and older","Employed","33","0.143059056117175","0.0954763050331893","0.190641807201161"
"Min 1x per month","2003","16-34 y.","Not Employed","169","0.113429485707449","0.098100380404933","0.128758591009966"
"Min 1x per month","2003","16-34 y.","Employed","438","0.0994760138258785","0.0904382873996703","0.108513740252087"
"Min 1x per month","2003","35-65 y.","Not Employed","224","0.0693554713395045","0.0603183630700276","0.0783925796089815"
"Min 1x per month","2003","35-65 y.","Employed","947","0.0957197695658303","0.0898305320809054","0.101609007050755"
"Min 1x per month","2003","66 and older","Not Employed","182","0.0523714046793967","0.0449387868757588","0.0598040224830346"
"Min 1x per month","2003","66 and older","Employed","14","","",""
"Rarely","2003","16-34 y.","Not Employed","356","0.21172138264892","0.191973550906351","0.231469214391489"
"Rarely","2003","16-34 y.","Employed","1166","0.294063673250953","0.280305657073258","0.307821689428647"
"Rarely","2003","35-65 y.","Not Employed","681","0.220028822421754","0.205292935784676","0.234764709058833"
"Rarely","2003","35-65 y.","Employed","2867","0.289476802589536","0.280398539979482","0.298555065199591"
"Rarely","2003","66 and older","Not Employed","538","0.158479820290349","0.146295680759536","0.170663959821161"
"Rarely","2003","66 and older","Employed","49","0.203662270436002","0.148932911601084","0.25839162927092"
"Never","2003","16-34 y.","Not Employed","744","0.479940963999634","0.455790948296861","0.504090979702407"
"Never","2003","16-34 y.","Employed","1958","0.461516863591797","0.4464635467658","0.476570180417794"
"Never","2003","35-65 y.","Not Employed","1823","0.607978942502112","0.590613087354233","0.625344797649991"
"Never","2003","35-65 y.","Employed","4640","0.508148833014165","0.498141483993795","0.518156182034536"
"Never","2003","66 and older","Not Employed","2477","0.716050670612632","0.701006511676256","0.731094829549007"
"Never","2003","66 and older","Employed","102","0.547929049087167","0.480292430577437","0.615565667596896"
"Daily","2004","16-34 y.","Not Employed","","","",""
"Daily","2004","16-34 y.","Employed","","","",""
"Daily","2004","35-65 y.","Not Employed","","","",""
