"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","Female","4254.81","2061.99","1260","0","0","6255","11448","23760","3945.58","4564.04","0","43824","2088","3552"
"2005","direct migration background","Male","4298.07","2400","1124","0","0","6456","11317","22144","3978.73","4617.41","0","31939","2500","3648"
"2005","indirect migration background","Female","4432.86","3335.3","429","0","1500","6000","9550","23760","3932.78","4932.94","0","43824","3201","3696"
"2005","indirect migration background","Male","4466.64","3599.57","406","0","923","5537","9600","25200","3907.75","5025.53","0","43824","3201","3696"
"2005","no migration background","Female","2567.89","420","9176","0","0","3696","7848","16954","2485.14","2650.64","0","42000","1800","1847"
"2005","no migration background","Male","2669.41","941.92","8417","0","0","3696","7948","16800","2582.88","2755.94","0","43824","1800","1848"
"2006","direct migration background","Female","4927.03","3165.41","1287","0","0","7501","13740","28803","4594.72","5259.34","0","37608","2300","3648"
"2006","direct migration background","Male","4621.01","3469.54","1112","0","0","7343","11875","27422","4276.92","4965.1","0","37608","2460","3648"
"2006","indirect migration background","Female","4837.95","3601.04","450","0","1250","6480","12668","28803","4350.58","5325.32","0","33685","3111","3696"
"2006","indirect migration background","Male","4846.82","3656.01","413","0","645","6480","12000","28803","4248.92","5444.72","0","36193","3586","3696"
"2006","no migration background","Female","2552.88","0","9968","0","0","3696","7746","18612","2470.32","2635.44","0","40800","1278","1800"
"2006","no migration background","Male","2662.75","899.3","9151","0","0","3696","7700","18120","2576.13","2749.37","0","47076","1377","1800"
"2007","direct migration background","Female","4779.41","1863.45","1158","0","0","6556","13547","28892","4423.8","5135.02","0","43560","1848","2958"
"2007","direct migration background","Male","4826.47","2216.33","991","0","0","6408","14323","28866","4446.43","5206.51","0","43560","1848","3600"
"2007","indirect migration background","Female","5263.27","3696","441","0","1800","6483","12796","43560","4704.32","5822.22","0","43560","2860","3696"
"2007","indirect migration background","Male","5429.39","3696","404","0","1206","7280","13777","33280","4771.03","6087.75","0","43560","3648","3696"
"2007","no migration background","Female","2648.01","0","9369","0","0","3696","7848","19296","2560.02","2736","0","48420","1250","1800"
"2007","no migration background","Male","2615.33","700.58","8602","0","0","3696","7692","19944","2525.9","2704.76","0","48420","1250","1800"
"2008","direct migration background","Female","4285.84","1848","1033","0","0","6480","11980","27828","3931.61","4640.07","0","31954","1848","2700"
"2008","direct migration background","Male","4392.67","1898.75","887","0","0","6411","12398","27885","4019.68","4765.66","0","31954","1848","3156"
"2008","indirect migration background","Female","5075.51","3533.58","430","0","1320","6440","13333","27885","4500.53","5650.49","0","30996","3210","3696"
"2008","indirect migration background","Male","4772.88","2648","400","0","462","6480","13555","29896","4155.63","5390.13","0","31954","2473","3696"
"2008","no migration background","Female","2457.69","0","8838","0","0","3696","7380","18828","2371.65","2543.73","0","40200","1120","1562"
"2008","no migration background","Male","2473.84","152.04","8098","0","0","3696","7019","18000","2386.16","2561.52","0","40200","1025","1410"
"2009","direct migration background","Female","3703.24","1848","909","0","0","5544","9453","21024","3354.16","4052.32","0","37875","1848","2502"
"2009","direct migration background","Male","4289.53","2405.03","767","0","0","6468","11848","22748","3901.92","4677.14","0","37875","1848","3352"
"2009","indirect migration background","Female","4399.35","3019.13","396","0","1500","6000","9096","21552","3857.32","4941.38","0","30440","2880","3744"
"2009","indirect migration background","Male","4750.23","3648","361","0","1232","6546","11676","26460","4089.68","5410.78","0","37875","3648","3696"
"2009","no migration background","Female","2365.49","0","8283","0","0","3696","7116","18639","2277.45","2453.53","0","51016","360","960"
"2009","no migration background","Male","2351.06","0","7647","0","0","3696","6746","18192","2261.15","2440.97","0","51016","580","1078"
"2010","direct migration background","Female","4482.58","2500","1616","0","0","6432","12000","24000","4147.83","4817.33","0","53600","4008","4806"
"2010","direct migration background","Male","5363.93","3600","1305","0","0","7924","14849","25786","4979.01","5748.85","0","53600","4248","5310"
"2010","indirect migration background","Female","4759.9","3016.52","679","0","840","7488","10818","26160","4268.37","5251.43","0","42358","3960","5496"
"2010","indirect migration background","Male","5196.31","3447.42","549","0","0","8616","13836","20400","4641.12","5751.5","0","36744","3936","5280"
"2010","no migration background","Female","2452.91","0","11005","0","0","3696","7392","18514","2355.94","2549.88","0","42766","2160","2460"
"2010","no migration background","Male","2486.97","0","9278","0","0","3934","7196","18000","2385.51","2588.43","0","51900","1980","2208"
"2011","direct migration background","Female","4624.51","2208","1832","0","0","6657","12932","27336","4290.73","4958.29","0","58350","4416","4560"
"2011","direct migration background","Male","5010.19","2232","1448","0","0","6900","14166","30808","4611.42","5408.96","0","58350","4416","5042"
"2011","indirect migration background","Female","4897.7","3122.43","778","0","0","6696","12228","27211","4412.28","5383.12","0","40205","4560","6120"
"2011","indirect migration background","Male","5174.43","3123.87","632","0","0","6696","12636","29040","4572.94","5775.92","0","101700","4416","5488"
"2011","no migration background","Female","2497.68","0","13225","0","0","3828","7565","19848","2403.42","2591.94","0","78480","2208","2208"
"2011","no migration background","Male","2554.83","0","11100","0","0","4200","7622","19658","2453.59","2656.07","0","101700","2208","2208"
"2012","direct migration background","Female","4378.58","2208","1706","0","0","6315","11856","25728","4049.71","4707.45","0","50496","4416","4416"
"2012","direct migration background","Male","4372.9","2208","1365","0","0","6430","11616","25440","3997.86","4747.94","0","50496","4416","4416"
"2012","indirect migration background","Female","4819.83","3918.11","757","0","40","6720","11616","23442","4358.23","5281.43","0","63616","4416","5158"
"2012","indirect migration background","Male","4484.64","3166.28","617","0","0","6624","11616","22621","3983.94","4985.34","0","63616","4416","4872"
"2012","no migration background","Female","2453.67","0","12953","0","0","3700","7296","19808","2362.77","2544.57","0","63616","2208","2208"
"2012","no migration background","Male","2473.16","0","10878","0","0","4200","7200","19800","2377.89","2568.43","0","59651","2208","2208"
"2013","direct migration background","Female","4391.96","2208","3537","0","0","6600","12840","25416","4167.63","4616.29","0","45000","4416","4416"
"2013","direct migration background","Male","4236.11","2208","2892","0","0","6000","12000","27408","3979.58","4492.64","0","54888","4416","4416"
"2013","indirect migration background","Female","5355.06","3709.11","1173","0","460","7407","14208","27636","4970.37","5739.75","0","49140","4416","4440"
"2013","indirect migration background","Male","4905.53","2561.35","1064","0","0","6816","13008","30312","4486.45","5324.61","0","49140","4416","4416"
"2013","no migration background","Female","2427.04","0","12297","0","0","3716","7200","20040","2333.02","2521.06","0","61701","2208","2208"
"2013","no migration background","Male","2472.8","0","10353","0","0","4320","7266","19360","2374.68","2570.92","0","61701","2208","2208"
"2014","direct migration background","Female","4754.18","2208","2823","0","0","6720","12927","26087","4483.32","5025.04","0","48000","4416","4416"
"2014","direct migration background","Male","5002.18","2208","2359","0","0","7120","13278","31200","4691.31","5313.05","0","49229","4416","4416"
"2014","indirect migration background","Female","5194.82","3976.17","1030","0","1104","7416","12000","25872","4814.11","5575.53","0","40416","4416","4440"
"2014","indirect migration background","Male","5326.49","3751.77","903","0","0","7197","12816","31580","4850.35","5802.63","0","47330","4416","4416"
