"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Not Employed","direct migration background","4682.65","1848","1015","0","0","7296","15000","24432","4287.67","5077.63","0","43824","1848","2500"
"2005","Not Employed","indirect migration background","6087.62","3696","285","0","1848","7848","13662","30584","5348.09","6827.15","0","43824","3980","5544"
"2005","Not Employed","no migration background","2346.89","0","6629","0","0","3097","8400","19356","2237.76","2456.02","0","42000","0","0"
"2006","Employed","direct migration background","4089.6","3600","1363","0","0","6360","9420","20940","3833.69","4345.51","0","36193","3086","3672"
"2006","Employed","indirect migration background","3939.94","1848","567","0","0","5500","10440","22955","3513.3","4366.58","0","36193","1848","3048"
"2006","Employed","no migration background","2819.37","1848","11552","0","0","3900","7692","17003","2748.58","2890.16","0","37836","1848","1848"
"2006","Not Employed","direct migration background","5678.84","2480","1036","0","0","8832","15838","32158","5241.56","6116.12","0","37608","1848","3400"
"2006","Not Employed","indirect migration background","6660","5135.51","296","0","2863","8000","14647","28803","5954.02","7365.98","0","33685","3960","5640"
"2006","Not Employed","no migration background","2308.17","0","7567","0","0","2876","7920","20376","2203.09","2413.25","0","47076","0","0"
"2007","Employed","direct migration background","4481.57","2525.63","1249","0","0","6039","12452","25848","4194.43","4768.71","0","33524","2520","3672"
"2007","Employed","indirect migration background","4156.58","3076.45","555","0","625","5520","9144","22724","3736.69","4576.47","0","33280","1848","3072"
"2007","Employed","no migration background","2757.38","1848","10808","0","0","3756","7589","16719","2683.89","2830.87","0","43200","1848","1848"
"2007","Not Employed","direct migration background","5227.96","1848","900","0","0","8080","16284","34284","4753.63","5702.29","0","43560","924","1848"
"2007","Not Employed","indirect migration background","7786.97","4143.49","290","0","1848","9900","19296","43560","6895.86","8678.08","0","43560","3893","5996"
"2007","Not Employed","no migration background","2456.01","0","7163","0","0","3600","8222","22126","2344.48","2567.54","0","48420","0","0"
