"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2006","higher vocational","East Germany","","","","","","","","","","","","","",""
"2006","higher vocational","West Germany","45.72","30","175","9","14","60","90","300","37.12","54.32","1","430","24","40"
"2006","in school","East Germany","","","","","","","","","","","","","",""
"2006","in school","West Germany","","","","","","","","","","","","","",""
"2006","inadequately","East Germany","","","","","","","","","","","","","",""
"2006","inadequately","West Germany","","","","","","","","","","","","","",""
"2006","middle vocational","East Germany","14.76","12","147","2","8","20","27","100","12.36","17.16","1","100","12","15"
"2006","middle vocational","West Germany","45.71","28","1106","9","15","60","100","280","42.69","48.73","1","540","25","30"
"2006","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2006","vocational + Abi","West Germany","41.96","30","207","8","14","50","97","280","33.98","49.94","1","380","27","36"
"2007","general elemantary","East Germany","","","","","","","","","","","","","",""
"2007","general elemantary","West Germany","36.3","20","94","7","10","50","90","120","29.23","43.37","2","200","15","26"
"2007","higher education","East Germany","17.7","13","161","2","9","21","35","100","14.19","21.21","1","177","12","15"
"2007","higher education","West Germany","54.39","37","465","12","20","74","103","250","48.2","60.58","1","600","40","50"
"2007","higher vocational","East Germany","20.54","11.83","33","9","10","16","24","300","2.17","38.91","1","300","11","20"
"2007","higher vocational","West Germany","41.35","27","186","10","14","55","77","225","34.35","48.35","1","398","20","33"
"2007","in school","East Germany","","","","","","","","","","","","","",""
"2007","in school","West Germany","","","","","","","","","","","","","",""
"2007","inadequately","East Germany","","","","","","","","","","","","","",""
"2007","inadequately","West Germany","","","","","","","","","","","","","",""
"2007","middle vocational","East Germany","24.95","11","163","3","7","20","30","93","4.15","45.75","1","1725","11","15"
"2007","middle vocational","West Germany","40.84","25","1102","8","12","57","90","200","38.01","43.67","1","560","25","30"
"2007","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2007","vocational + Abi","West Germany","41.41","25","212","8","15","50","80","300","33.52","49.3","1","380","22","35"
"2008","general elemantary","East Germany","","","","","","","","","","","","","",""
"2008","general elemantary","West Germany","34.26","19","122","8","10","50","80","161","28.39","40.13","2","161","15","20"
"2008","higher education","East Germany","16.11","13","182","1","8","20","30","100","14.01","18.21","1","101","12","14"
"2008","higher education","West Germany","50.89","35","517","10","17","63","100","400","46.1","55.68","1","530","35","45"
"2008","higher vocational","East Germany","15.53","13.55","32","8","10","14","22","63","8.72","22.34","5","100","10","18"
"2008","higher vocational","West Germany","34.53","20","187","9","12","52","70","170","29.08","39.98","1","205","18","25"
"2008","in school","East Germany","","","","","","","","","","","","","",""
"2008","in school","West Germany","","","","","","","","","","","","","",""
"2008","inadequately","East Germany","","","","","","","","","","","","","",""
"2008","inadequately","West Germany","","","","","","","","","","","","","",""
"2008","middle vocational","East Germany","14.88","12","188","1","8","20","29","50","12.99","16.77","1","100","11","15"
"2008","middle vocational","West Germany","39.31","22","1197","8","12","54","87","250","36.95","41.67","1","389","22","26"
"2008","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2008","vocational + Abi","West Germany","37.53","26","199","6","10","50","80","200","30.09","44.97","1","380","20","30"
"2009","general elemantary","East Germany","","","","","","","","","","","","","",""
"2009","general elemantary","West Germany","","","","","","","","","","","","","",""
"2009","higher education","East Germany","","","","","","","","","","","","","",""
