"plh0177","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"8 on Scale 1 to 10","1984","Not Employed","in school","26","","","","8"
"8 on Scale 1 to 10","1984","Not Employed","inadequately","68","0.192402134714804","0.152768964087575","0.232035305342033","8"
"8 on Scale 1 to 10","1984","Not Employed","general elemantary","325","0.18885119143426","0.170497992570574","0.207204390297947","8"
"8 on Scale 1 to 10","1984","Not Employed","higher vocational","30","0.153278612293834","0.101365953600564","0.205191270987104","8"
"8 on Scale 1 to 10","1984","Not Employed","higher education","24","","","","8"
"8 on Scale 1 to 10","1984","Employed","in school","1","","","","8"
"8 on Scale 1 to 10","1984","Employed","inadequately","86","0.110769102690655","0.0864350607119069","0.135103144669403","8"
"8 on Scale 1 to 10","1984","Employed","middle vocational","716","0.19132340873314","0.178843385355856","0.203803432110424","8"
"8 on Scale 1 to 10","1984","Employed","higher vocational","100","0.213757272527686","0.176733863264358","0.250780681791014","8"
"8 on Scale 1 to 10","1984","Employed","higher education","132","0.198489879880118","0.167393255952331","0.229586503807905","8"
"8 on Scale 1 to 10","1984","Employed","general elemantary","304","0.192780963906846","0.173973401570534","0.211588526243157","8"
"9 on Scale 1 to 10","1984","Not Employed","in school","23","","","","9"
"9 on Scale 1 to 10","1984","Employed","inadequately","53","0.089449260782777","0.0673214669956745","0.111577054569879","9"
"9 on Scale 1 to 10","1984","Employed","higher vocational","78","0.159420609854859","0.126360884655542","0.192480335054175","9"
"9 on Scale 1 to 10","1984","Not Employed","inadequately","34","0.105103595146139","0.0742680621109752","0.135939128181303","9"
"9 on Scale 1 to 10","1984","Not Employed","higher education","22","","","","9"
"9 on Scale 1 to 10","1984","Not Employed","higher vocational","19","","","","9"
"9 on Scale 1 to 10","1984","Not Employed","vocational + Abi","5","","","","9"
"9 on Scale 1 to 10","1984","Not Employed","general elemantary","275","0.164095101059556","0.14672797799964","0.181462224119472","9"
"9 on Scale 1 to 10","1984","Not Employed","middle vocational","270","0.154267191125905","0.137930892171339","0.170603490080471","9"
"9 on Scale 1 to 10","1984","Employed","in school","2","","","","9"
"9 on Scale 1 to 10","1984","Employed","general elemantary","202","0.128005433458049","0.112076898594742","0.143933968321356","9"
