"plh0177","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"7 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","7"
"8 on Scale 1 to 10","1985","inadequately","East Germany","","","","","8"
"8 on Scale 1 to 10","1985","general elemantary","West Germany","584","0.208714463370929","0.19425158371591","0.223177343025949","8"
"8 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","8"
"8 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","8"
"8 on Scale 1 to 10","1985","in school","West Germany","35","0.182782165254917","0.126163790016249","0.239400540493585","8"
"8 on Scale 1 to 10","1985","in school","East Germany","","","","","8"
"8 on Scale 1 to 10","1985","inadequately","West Germany","142","0.153874114826572","0.129502050270172","0.178246179382972","8"
"8 on Scale 1 to 10","1985","vocational + Abi","West Germany","47","0.165884075054427","0.121999782240947","0.209768367867907","8"
"8 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","8"
"8 on Scale 1 to 10","1985","higher vocational","West Germany","136","0.216003541523492","0.183559022538844","0.248448060508139","8"
"8 on Scale 1 to 10","1985","middle vocational","West Germany","1119","0.21944262549987","0.208150228157287","0.230735022842454","8"
"8 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","8"
"8 on Scale 1 to 10","1985","higher education","West Germany","174","0.228498690449687","0.19854951936796","0.258447861531414","8"
"8 on Scale 1 to 10","1985","higher education","East Germany","","","","","8"
"9 on Scale 1 to 10","1985","in school","West Germany","33","0.19598208311914","0.137830355226962","0.254133811011317","9"
"9 on Scale 1 to 10","1985","higher education","West Germany","136","0.185020874169303","0.157322248435558","0.212719499903048","9"
"9 on Scale 1 to 10","1985","general elemantary","East Germany","","","","","9"
"9 on Scale 1 to 10","1985","middle vocational","West Germany","747","0.149547387587723","0.13981683026559","0.159277944909856","9"
"9 on Scale 1 to 10","1985","middle vocational","East Germany","","","","","9"
"9 on Scale 1 to 10","1985","in school","East Germany","","","","","9"
"9 on Scale 1 to 10","1985","general elemantary","West Germany","412","0.142488447089273","0.130048409218975","0.154928484959571","9"
"9 on Scale 1 to 10","1985","inadequately","West Germany","97","0.111060145130599","0.0898371168623103","0.132283173398887","9"
"9 on Scale 1 to 10","1985","inadequately","East Germany","","","","","9"
"9 on Scale 1 to 10","1985","vocational + Abi","West Germany","50","0.204445490200442","0.156866273439409","0.252024706961475","9"
"9 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","","","9"
"9 on Scale 1 to 10","1985","higher vocational","West Germany","99","0.155899336517583","0.127298870622425","0.18449980241274","9"
"9 on Scale 1 to 10","1985","higher vocational","East Germany","","","","","9"
"9 on Scale 1 to 10","1985","higher education","East Germany","","","","","9"
"0 Completely dissatisfied","1986","in school","East Germany","","","","","0"
"0 Completely dissatisfied","1986","in school","West Germany","3","","","","0"
"0 Completely dissatisfied","1986","inadequately","West Germany","32","0.0274717462838751","0.0160375008583488","0.0389059917094015","0"
"0 Completely dissatisfied","1986","inadequately","East Germany","","","","","0"
"0 Completely dissatisfied","1986","general elemantary","West Germany","39","0.0103350106424867","0.00665415606659889","0.0140158652183744","0"
"0 Completely dissatisfied","1986","general elemantary","East Germany","","","","","0"
"0 Completely dissatisfied","1986","middle vocational","West Germany","53","0.00895541803003769","0.00634231318407765","0.0115685228759977","0"
"0 Completely dissatisfied","1986","middle vocational","East Germany","","","","","0"
"0 Completely dissatisfied","1986","vocational + Abi","West Germany","7","","","","0"
"0 Completely dissatisfied","1986","vocational + Abi","East Germany","","","","","0"
"0 Completely dissatisfied","1986","higher vocational","West Germany","3","","","","0"
"0 Completely dissatisfied","1986","higher vocational","East Germany","","","","","0"
"0 Completely dissatisfied","1986","higher education","West Germany","5","","","","0"
"0 Completely dissatisfied","1986","higher education","East Germany","","","","","0"
"1 on Scale 1 to 10","1986","higher education","West Germany","7","","","","1"
"1 on Scale 1 to 10","1986","inadequately","West Germany","15","","","","1"
"1 on Scale 1 to 10","1986","inadequately","East Germany","","","","","1"
"1 on Scale 1 to 10","1986","in school","West Germany","","","","","1"
"1 on Scale 1 to 10","1986","in school","East Germany","","","","","1"
"1 on Scale 1 to 10","1986","general elemantary","West Germany","31","0.00612395408451699","0.00328452408335924","0.00896338408567473","1"
"1 on Scale 1 to 10","1986","general elemantary","East Germany","","","","","1"
"1 on Scale 1 to 10","1986","middle vocational","West Germany","24","","","","1"
"1 on Scale 1 to 10","1986","middle vocational","East Germany","","","","","1"
"1 on Scale 1 to 10","1986","vocational + Abi","West Germany","2","","","","1"
"1 on Scale 1 to 10","1986","vocational + Abi","East Germany","","","","","1"
"1 on Scale 1 to 10","1986","higher vocational","West Germany","4","","","","1"
"1 on Scale 1 to 10","1986","higher vocational","East Germany","","","","","1"
