"party","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"CDU/CSU","1985","Couple + C. GT 16 ","East Germany","","","","","1"
"CDU/CSU","1985","Couple + C. LE and GT 16","West Germany","269","0.524528137978888","0.485218499293408","0.563837776664369","1"
"FDP","1985","Couple + C. GT 16 ","East Germany","","","","","3"
"FDP","1985","Couple + C. LE and GT 16","West Germany","17","","","","3"
"FDP","1985","Couple + C. LE 16 ","East Germany","","","","","3"
"FDP","1985","Couple + C. GT 16 ","West Germany","28","","","","3"
"FDP","1985","Couple + C. LE and GT 16","East Germany","","","","","3"
"FDP","1985","(Married) couple without C. ","West Germany","59","0.0413341619256301","0.0311616092193914","0.0515067146318689","3"
"FDP","1985","1-pers.-HH","West Germany","36","0.0576459810137616","0.0398239593613155","0.0754680026662077","3"
"FDP","1985","1-pers.-HH","East Germany","","","","","3"
"FDP","1985","Couple + C. LE 16 ","West Germany","46","0.0388508688596427","0.0287429838208483","0.0489587538984372","3"
"FDP","1985","(Married) couple without C. ","East Germany","","","","","3"
"FDP","1985","Single parent ","East Germany","","","","","3"
"FDP","1985","Single parent ","West Germany","3","","","","3"
"NPD Combination","1985","Couple + C. LE 16 ","East Germany","","","","","6"
"NPD Combination","1985","(Married) couple without C. ","East Germany","","","","","6"
"NPD Combination","1985","1-pers.-HH","West Germany","","","","","6"
"NPD Combination","1985","1-pers.-HH","East Germany","","","","","6"
"NPD Combination","1985","Single parent ","West Germany","","","","","6"
"NPD Combination","1985","Couple + C. LE 16 ","West Germany","","","","","6"
"NPD Combination","1985","Couple + C. GT 16 ","West Germany","","","","","6"
"NPD Combination","1985","Couple + C. GT 16 ","East Germany","","","","","6"
"NPD Combination","1985","Couple + C. LE and GT 16","West Germany","","","","","6"
"NPD Combination","1985","Couple + C. LE and GT 16","East Germany","","","","","6"
"NPD Combination","1985","Single parent ","East Germany","","","","","6"
"NPD Combination","1985","(Married) couple without C. ","West Germany","","","","","6"
"Other","1985","(Married) couple without C. ","East Germany","","","","","8"
"Other","1985","Single parent ","West Germany","1","","","","8"
"Other","1985","Single parent ","East Germany","","","","","8"
"Other","1985","1-pers.-HH","West Germany","3","","","","8"
"Other","1985","1-pers.-HH","East Germany","","","","","8"
"Other","1985","Couple + C. LE 16 ","West Germany","4","","","","8"
"Other","1985","Couple + C. GT 16 ","West Germany","10","","","","8"
"Other","1985","Couple + C. GT 16 ","East Germany","","","","","8"
"Other","1985","Couple + C. LE and GT 16","West Germany","5","","","","8"
"Other","1985","Couple + C. LE and GT 16","East Germany","","","","","8"
"Other","1985","(Married) couple without C. ","West Germany","11","","","","8"
"Other","1985","Couple + C. LE 16 ","East Germany","","","","","8"
"PDS/Linke","1985","(Married) couple without C. ","East Germany","","","","","5"
"PDS/Linke","1985","Single parent ","West Germany","","","","","5"
"PDS/Linke","1985","Single parent ","East Germany","","","","","5"
"PDS/Linke","1985","Couple + C. GT 16 ","East Germany","","","","","5"
"PDS/Linke","1985","Couple + C. LE and GT 16","West Germany","","","","","5"
"PDS/Linke","1985","Couple + C. LE 16 ","West Germany","","","","","5"
"PDS/Linke","1985","Couple + C. LE 16 ","East Germany","","","","","5"
"PDS/Linke","1985","Couple + C. GT 16 ","West Germany","","","","","5"
"PDS/Linke","1985","1-pers.-HH","West Germany","","","","","5"
"PDS/Linke","1985","1-pers.-HH","East Germany","","","","","5"
"PDS/Linke","1985","(Married) couple without C. ","West Germany","","","","","5"
"PDS/Linke","1985","Couple + C. LE and GT 16","East Germany","","","","","5"
"SPD","1985","Single parent ","West Germany","132","0.490305732518007","0.428088511280287","0.552522953755727","2"
"SPD","1985","Single parent ","East Germany","","","","","2"
"SPD","1985","(Married) couple without C. ","East Germany","","","","","2"
"SPD","1985","Couple + C. LE 16 ","West Germany","780","0.5020006225902","0.475847047420861","0.52815419775954","2"
"SPD","1985","1-pers.-HH","West Germany","312","0.453161815029881","0.415097196955387","0.491226433104374","2"
"SPD","1985","1-pers.-HH","East Germany","","","","","2"
