"party","year","migback","n","percent","lower_confidence","upper_confidence","value"
"SPD","1986","no migration background","2027","0.449880784429269","0.435363385643197","0.464398183215342","1"
"SPD","1986","indirect migration background","26","","","","1"
"SPD","1986","direct migration background","638","0.535988813717074","0.503693281761385","0.568284345672764","1"
"AfD","1987","no migration background","","","","","7"
"AfD","1987","direct migration background","","","","","7"
"AfD","1987","indirect migration background","","","","","7"
"CDU/CSU","1987","no migration background","2177","0.457532979648421","0.443480196894936","0.471585762401906","2"
"CDU/CSU","1987","direct migration background","223","0.393688716341691","0.362322333138625","0.425055099544757","2"
"CDU/CSU","1987","indirect migration background","19","","","","2"
"FDP","1987","no migration background","260","0.0564173759530525","0.049909176275087","0.062925575631018","3"
"FDP","1987","direct migration background","18","","","","3"
"FDP","1987","indirect migration background","","","","","3"
"NPD","1987","no migration background","","","","","6"
"NPD","1987","indirect migration background","","","","","6"
"NPD","1987","direct migration background","","","","","6"
"Other","1987","no migration background","34","0.00766735821870618","0.00520690010602693","0.0101278163313854","8"
"Other","1987","direct migration background","3","","","","8"
"Other","1987","indirect migration background","","","","","8"
"PDS/Linke","1987","direct migration background","","","","","5"
"PDS/Linke","1987","no migration background","","","","","5"
"PDS/Linke","1987","indirect migration background","","","","","5"
"SPD","1987","direct migration background","586","0.4916777615527","0.459581830923568","0.523773692181832","1"
"SPD","1987","no migration background","1995","0.412024156584968","0.398140446327092","0.425907866842844","1"
"SPD","1987","indirect migration background","37","0.351301354003798","0.233421599191722","0.469181108815874","1"
"AfD","1988","no migration background","","","","","7"
"AfD","1988","direct migration background","","","","","7"
"AfD","1988","indirect migration background","","","","","7"
"CDU/CSU","1988","no migration background","1808","0.424278890925228","0.409498078825845","0.439059703024612","2"
"CDU/CSU","1988","direct migration background","190","0.374251753844482","0.341545422233648","0.406958085455316","2"
"CDU/CSU","1988","indirect migration background","16","","","","2"
"FDP","1988","no migration background","198","0.047771006963657","0.041392494549068","0.0541495193782459","3"
"FDP","1988","direct migration background","16","","","","3"
"FDP","1988","indirect migration background","","","","","3"
"NPD","1988","no migration background","","","","","6"
"NPD","1988","direct migration background","","","","","6"
"NPD","1988","indirect migration background","","","","","6"
"Other","1988","no migration background","40","0.0103769245678749","0.0073462748504794","0.0134075742852704","8"
"Other","1988","direct migration background","6","","","","8"
"Other","1988","indirect migration background","2","","","","8"
"PDS/Linke","1988","no migration background","","","","","5"
"PDS/Linke","1988","direct migration background","","","","","5"
"PDS/Linke","1988","indirect migration background","","","","","5"
"SPD","1988","no migration background","1991","0.46063214115716","0.445725281679135","0.475539000635184","1"
"SPD","1988","direct migration background","556","0.531355298466597","0.497629327909276","0.565081269023919","1"
"SPD","1988","indirect migration background","53","0.493210521280915","0.382964098487286","0.603456944074544","1"
"AfD","1989","no migration background","","","","","7"
"AfD","1989","direct migration background","","","","","7"
"AfD","1989","indirect migration background","","","","","7"
"CDU/CSU","1989","no migration background","1540","0.395863675274454","0.380605245213708","0.4111221053352","2"
"CDU/CSU","1989","direct migration background","174","0.325344418779195","0.295552462114871","0.355136375443518","2"
"CDU/CSU","1989","indirect migration background","16","","","","2"
"FDP","1989","no migration background","127","0.0325618879875916","0.0270241049625308","0.0380996710126523","3"
"FDP","1989","direct migration background","10","","","","3"
"FDP","1989","indirect migration background","2","","","","3"
"NPD","1989","no migration background","","","","","6"
"NPD","1989","indirect migration background","","","","","6"
"NPD","1989","direct migration background","","","","","6"
"Other","1989","no migration background","167","0.043282850786587","0.0369336471155103","0.0496320544576637","8"
"Other","1989","direct migration background","19","","","","8"
"Other","1989","indirect migration background","","","","","8"
"PDS/Linke","1989","direct migration background","","","","","5"
"PDS/Linke","1989","no migration background","","","","","5"
"PDS/Linke","1989","indirect migration background","","","","","5"
"SPD","1989","direct migration background","659","0.547254092847251","0.515601589455374","0.578906596239128","1"
"SPD","1989","no migration background","1854","0.467860190803992","0.452291916602759","0.483428465005224","1"
"SPD","1989","indirect migration background","70","0.565085423456623","0.467921034196231","0.662249812717016","1"
"AfD","1990","no migration background","","","","","7"
"AfD","1990","direct migration background","","","","","7"
"AfD","1990","indirect migration background","","","","","7"
"CDU/CSU","1990","direct migration background","181","0.327338324441804","0.297228790096383","0.357447858787225","2"
"CDU/CSU","1990","no migration background","1634","0.407859778507883","0.392737636656282","0.422981920359484","2"
"CDU/CSU","1990","indirect migration background","11","","","","2"
"FDP","1990","no migration background","181","0.0451879077029771","0.0387962183561451","0.0515795970498092","3"
"FDP","1990","indirect migration background","1","","","","3"
"FDP","1990","direct migration background","15","","","","3"
"NPD","1990","no migration background","66","0.0138423351922511","0.0102471319627362","0.0174375384217659","6"
"NPD","1990","direct migration background","5","","","","6"
"NPD","1990","indirect migration background","2","","","","6"
"Other","1990","no migration background","24","","","","8"
"Other","1990","direct migration background","4","","","","8"
"Other","1990","indirect migration background","1","","","","8"
"PDS/Linke","1990","no migration background","","","","","5"
"PDS/Linke","1990","direct migration background","","","","","5"
"PDS/Linke","1990","indirect migration background","","","","","5"
"SPD","1990","no migration background","1936","0.477611053535854","0.462240844950501","0.492981262121207","1"
"SPD","1990","direct migration background","659","0.564166520889536","0.532348642441398","0.595984399337674","1"
"SPD","1990","indirect migration background","69","0.565795176358205","0.46766287240073","0.663927480315679","1"
"AfD","1991","no migration background","","","","","7"
"AfD","1991","direct migration background","","","","","7"
"AfD","1991","indirect migration background","","","","","7"
"CDU/CSU","1991","direct migration background","116","0.510643574125442","0.444886393072154","0.57640075517873","2"
"CDU/CSU","1991","no migration background","1652","0.427649932885527","0.412150609007238","0.443149256763816","2"
"CDU/CSU","1991","indirect migration background","8","","","","2"
"FDP","1991","no migration background","198","0.0561621356883123","0.0489492643461733","0.0633750070304513","3"
"FDP","1991","direct migration background","7","","","","3"
"FDP","1991","indirect migration background","","","","","3"
"NPD","1991","no migration background","41","0.00947918992871665","0.00644351618055055","0.0125148636768828","6"
"NPD","1991","direct migration background","3","","","","6"
"NPD","1991","indirect migration background","1","","","","6"
"Other","1991","no migration background","19","","","","8"
"Other","1991","direct migration background","","","","","8"
"Other","1991","indirect migration background","","","","","8"
"PDS/Linke","1991","direct migration background","","","","","5"
"PDS/Linke","1991","no migration background","3","","","","5"
"PDS/Linke","1991","indirect migration background","1","","","","5"
"SPD","1991","no migration background","1789","0.449118461372994","0.433535598704176","0.464701324041813","1"
"SPD","1991","direct migration background","88","0.402310747694984","0.337806228204279","0.46681526718569","1"
"SPD","1991","indirect migration background","14","","","","1"
"AfD","1992","no migration background","","","","","7"
"AfD","1992","direct migration background","","","","","7"
"AfD","1992","indirect migration background","","","","","7"
"CDU/CSU","1992","direct migration background","183","0.368092841393798","0.333010780014761","0.403174902772836","2"
"CDU/CSU","1992","no migration background","1906","0.419125891584591","0.405046548972951","0.43320523419623","2"
"CDU/CSU","1992","indirect migration background","15","","","","2"
"FDP","1992","no migration background","227","0.04942869807372","0.0432435363756109","0.0556138597718291","3"
"FDP","1992","indirect migration background","5","","","","3"
"FDP","1992","direct migration background","16","","","","3"
"NPD","1992","no migration background","","","","","6"
"NPD","1992","direct migration background","","","","","6"
"NPD","1992","indirect migration background","","","","","6"
"Other","1992","no migration background","101","0.0217414665912411","0.0175800579613637","0.0259028752211185","8"
"Other","1992","direct migration background","14","","","","8"
"Other","1992","indirect migration background","4","","","","8"
"PDS/Linke","1992","no migration background","116","0.0162894369356335","0.0126773696937591","0.0199015041775078","5"
"PDS/Linke","1992","direct migration background","10","","","","5"
"PDS/Linke","1992","indirect migration background","","","","","5"
"SPD","1992","no migration background","2036","0.434242026902986","0.420098738712705","0.448385315093267","1"
"SPD","1992","direct migration background","449","0.510540023219142","0.474177562073615","0.54690248436467","1"
"SPD","1992","indirect migration background","67","0.470342866447319","0.376210081634072","0.564475651260567","1"
"AfD","1993","no migration background","","","","","7"
"AfD","1993","direct migration background","","","","","7"
"AfD","1993","indirect migration background","","","","","7"
"CDU/CSU","1993","direct migration background","151","0.350352900168182","0.314010742623379","0.386695057712985","2"
"CDU/CSU","1993","no migration background","1551","0.390755672855178","0.375894815394591","0.405616530315766","2"
"CDU/CSU","1993","indirect migration background","13","","","","2"
"FDP","1993","no migration background","190","0.0514538179716204","0.0447250815131495","0.0581825544300913","3"
"FDP","1993","indirect migration background","1","","","","3"
"FDP","1993","direct migration background","12","","","","3"
"NPD","1993","no migration background","133","0.031733610180654","0.0263946996191557","0.0370725207421524","6"
"NPD","1993","direct migration background","5","","","","6"
"NPD","1993","indirect migration background","1","","","","6"
"Other","1993","no migration background","40","0.0092574672255348","0.00634056433238643","0.0121743701186832","8"
"Other","1993","direct migration background","5","","","","8"
"Other","1993","indirect migration background","","","","","8"
"PDS/Linke","1993","direct migration background","9","","","","5"
"PDS/Linke","1993","no migration background","134","0.0213655466856747","0.016961390305528","0.0257697030658213","5"
"PDS/Linke","1993","indirect migration background","","","","","5"
"SPD","1993","no migration background","1733","0.417332970019785","0.402313761530585","0.432352178508985","1"
"SPD","1993","direct migration background","421","0.483014898744989","0.444948799677066","0.521080997812911","1"
"SPD","1993","indirect migration background","70","0.563502855569029","0.468185894970783","0.658819816167275","1"
"AfD","1994","direct migration background","","","","","7"
"AfD","1994","no migration background","","","","","7"
"AfD","1994","indirect migration background","","","","","7"
"CDU/CSU","1994","direct migration background","174","0.372180210042546","0.336164732074061","0.408195688011031","2"
"CDU/CSU","1994","no migration background","1573","0.382165164558941","0.367634760237082","0.3966955688808","2"
"CDU/CSU","1994","indirect migration background","15","","","","2"
"FDP","1994","no migration background","136","0.0367990299340411","0.0311692347463158","0.0424288251217663","3"
"FDP","1994","direct migration background","13","","","","3"
"FDP","1994","indirect migration background","2","","","","3"
"NPD","1994","no migration background","87","0.016646254913063","0.0128203945660215","0.0204721152601046","6"
"NPD","1994","direct migration background","3","","","","6"
"NPD","1994","indirect migration background","3","","","","6"
"Other","1994","no migration background","55","0.0113132154942425","0.0081506585864479","0.0144757724020372","8"
"Other","1994","direct migration background","8","","","","8"
"Other","1994","indirect migration background","2","","","","8"
"PDS/Linke","1994","no migration background","200","0.0299281636669267","0.0248330023600096","0.0350233249738438","5"
"PDS/Linke","1994","direct migration background","10","","","","5"
"PDS/Linke","1994","indirect migration background","","","","","5"
"SPD","1994","no migration background","1895","0.447542671448116","0.432673644479902","0.46241169841633","1"
"SPD","1994","direct migration background","430","0.498072962323229","0.460819913411747","0.535326011234711","1"
"SPD","1994","indirect migration background","90","0.571338023075736","0.485268325760231","0.657407720391241","1"
"AfD","1995","no migration background","","","","","7"
"AfD","1995","direct migration background","","","","","7"
"AfD","1995","indirect migration background","","","","","7"
"CDU/CSU","1995","direct migration background","325","0.443684930114536","0.411244735807126","0.476125124421946","2"
"CDU/CSU","1995","no migration background","1911","0.400956324219179","0.387130621342698","0.414782027095661","2"
"CDU/CSU","1995","indirect migration background","19","","","","2"
"FDP","1995","no migration background","130","0.0309450110714748","0.0260598490323624","0.0358301731105871","3"
"FDP","1995","indirect migration background","1","","","","3"
"FDP","1995","direct migration background","15","","","","3"
"NPD","1995","no migration background","48","0.0100570334541987","0.00724222092038412","0.0128718459880134","6"
"NPD","1995","direct migration background","5","","","","6"
"NPD","1995","indirect migration background","3","","","","6"
"Other","1995","no migration background","35","0.00658043946635095","0.0042995552267987","0.0088613237059032","8"
"Other","1995","direct migration background","14","","","","8"
"Other","1995","indirect migration background","2","","","","8"
"PDS/Linke","1995","no migration background","251","0.0346981639175662","0.0295352574788637","0.0398610703562687","5"
"PDS/Linke","1995","direct migration background","14","","","","5"
"PDS/Linke","1995","indirect migration background","3","","","","5"
"SPD","1995","no migration background","1987","0.426117017515682","0.41216665304412","0.440067381987243","1"
"SPD","1995","direct migration background","446","0.401787210821882","0.369775300125233","0.433799121518532","1"
"SPD","1995","indirect migration background","71","0.441920122363396","0.354510887458815","0.529329357267977","1"
"AfD","1996","no migration background","","","","","7"
"AfD","1996","direct migration background","","","","","7"
"AfD","1996","indirect migration background","","","","","7"
"CDU/CSU","1996","direct migration background","309","0.438586128953483","0.404179373807622","0.472992884099344","2"
"CDU/CSU","1996","no migration background","1884","0.431829268719976","0.417400199725835","0.446258337714117","2"
"CDU/CSU","1996","indirect migration background","23","","","","2"
"FDP","1996","no migration background","105","0.0276192475405955","0.0228454176229321","0.0323930774582589","3"
"FDP","1996","direct migration background","12","","","","3"
"FDP","1996","indirect migration background","","","","","3"
"NPD","1996","no migration background","70","0.0151594905092668","0.0116001617919116","0.018718819226622","6"
"NPD","1996","direct migration background","6","","","","6"
"NPD","1996","indirect migration background","","","","","6"
"Other","1996","no migration background","42","0.00917611405977312","0.00639850909854732","0.0119537190209989","8"
"Other","1996","direct migration background","7","","","","8"
"Other","1996","indirect migration background","","","","","8"
"PDS/Linke","1996","direct migration background","14","","","","5"
"PDS/Linke","1996","no migration background","262","0.0361664606196956","0.0307277385530709","0.0416051826863203","5"
"PDS/Linke","1996","indirect migration background","4","","","","5"
"SPD","1996","no migration background","1687","0.384374004833201","0.370203728382434","0.398544281283968","1"
"SPD","1996","direct migration background","382","0.375569547302001","0.341990998400488","0.409148096203513","1"
"SPD","1996","indirect migration background","73","0.438964287335428","0.353656974321413","0.524271600349443","1"
"AfD","1997","no migration background","","","","","7"
"AfD","1997","direct migration background","","","","","7"
"AfD","1997","indirect migration background","","","","","7"
"CDU/CSU","1997","direct migration background","279","0.426874242405995","0.390968884054376","0.462779600757615","2"
"CDU/CSU","1997","no migration background","1649","0.404503850215236","0.389697731618554","0.419309968811919","2"
"CDU/CSU","1997","indirect migration background","21","","","","2"
"FDP","1997","no migration background","99","0.0261510224147473","0.0213367511458948","0.0309652936835998","3"
"FDP","1997","indirect migration background","3","","","","3"
"FDP","1997","direct migration background","6","","","","3"
"NPD","1997","no migration background","90","0.0180666779779054","0.0140485795983045","0.0220847763575062","6"
"NPD","1997","direct migration background","8","","","","6"
"NPD","1997","indirect migration background","1","","","","6"
"Other","1997","no migration background","40","0.00905020354359006","0.00619330107214963","0.0119071060150305","8"
"Other","1997","direct migration background","6","","","","8"
"Other","1997","indirect migration background","2","","","","8"
"PDS/Linke","1997","no migration background","227","0.0315116851135547","0.0262415297110131","0.0367818405160963","5"
"PDS/Linke","1997","direct migration background","13","","","","5"
"PDS/Linke","1997","indirect migration background","1","","","","5"
"SPD","1997","no migration background","1708","0.418691836046932","0.403808822657196","0.433574849436668","1"
"SPD","1997","direct migration background","370","0.446653217812101","0.410564765708717","0.482741669915484","1"
"SPD","1997","indirect migration background","65","0.351396133221583","0.268691210148542","0.434101056294624","1"
"AfD","1998","no migration background","","","","","7"
"AfD","1998","direct migration background","","","","","7"
"AfD","1998","indirect migration background","","","","","7"
"CDU/CSU","1998","direct migration background","274","0.411756909135268","0.37585823926049","0.447655579010046","2"
"CDU/CSU","1998","no migration background","1740","0.370370363122357","0.356868577449343","0.38387214879537","2"
"CDU/CSU","1998","indirect migration background","21","","","","2"
"FDP","1998","no migration background","115","0.0287868701674666","0.0241118336024173","0.0334619067325159","3"
"FDP","1998","direct migration background","9","","","","3"
"FDP","1998","indirect migration background","5","","","","3"
"NPD","1998","no migration background","89","0.0182539410117909","0.0145110393269505","0.0219968426966314","6"
"NPD","1998","direct migration background","2","","","","6"
"NPD","1998","indirect migration background","1","","","","6"
"Other","1998","no migration background","73","0.0162734712718482","0.0127358787477885","0.0198110637959078","8"
"Other","1998","direct migration background","7","","","","8"
"Other","1998","indirect migration background","","","","","8"
"PDS/Linke","1998","no migration background","233","0.0296613981086813","0.0249180174511599","0.0344047787662026","5"
"PDS/Linke","1998","direct migration background","15","","","","5"
"PDS/Linke","1998","indirect migration background","3","","","","5"
"SPD","1998","no migration background","2205","0.448233649849454","0.434328990646508","0.4621383090524","1"
"SPD","1998","direct migration background","365","0.467767845231722","0.43137255147582","0.504163138987625","1"
"SPD","1998","indirect migration background","88","0.464924664918142","0.383176345778285","0.546672984057998","1"
"AfD","1999","no migration background","","","","","7"
"AfD","1999","direct migration background","","","","","7"
"AfD","1999","indirect migration background","","","","","7"
"CDU/CSU","1999","direct migration background","286","0.432685929256961","0.396165443289678","0.469206415224244","2"
"CDU/CSU","1999","no migration background","2098","0.419014564035348","0.405737483825391","0.432291644245305","2"
"CDU/CSU","1999","indirect migration background","28","","","","2"
"FDP","1999","no migration background","120","0.026058283913812","0.0217713697608111","0.0303451980668129","3"
"FDP","1999","indirect migration background","6","","","","3"
"FDP","1999","direct migration background","9","","","","3"
"NPD","1999","no migration background","76","0.0110219063993821","0.00821241897737412","0.0138313938213901","6"
"NPD","1999","direct migration background","2","","","","6"
"NPD","1999","indirect migration background","1","","","","6"
"Other","1999","no migration background","64","0.0111781062203132","0.00834900458434066","0.0140072078562857","8"
"Other","1999","direct migration background","4","","","","8"
"Other","1999","indirect migration background","4","","","","8"
"PDS/Linke","1999","no migration background","286","0.0377177040079475","0.0325911059485284","0.0428443020673665","5"
"PDS/Linke","1999","direct migration background","16","","","","5"
"PDS/Linke","1999","indirect migration background","2","","","","5"
"SPD","1999","no migration background","2301","0.432123231298553","0.418793043876628","0.445453418720478","1"
"SPD","1999","direct migration background","350","0.466201531405641","0.42942981570112","0.502973247110161","1"
"SPD","1999","indirect migration background","106","0.594072083302542","0.519593074608237","0.668551091996848","1"
"AfD","2000","direct migration background","","","","","7"
"AfD","2000","no migration background","","","","","7"
"AfD","2000","indirect migration background","","","","","7"
"CDU/CSU","2000","direct migration background","450","0.44227852446737","0.411932834706821","0.472624214227918","2"
"CDU/CSU","2000","indirect migration background","55","0.309168925315948","0.248238276227939","0.370099574403956","2"
"CDU/CSU","2000","no migration background","3677","0.399595156848261","0.389654099325394","0.409536214371129","2"
"FDP","2000","no migration background","253","0.0307860882349511","0.0272802856254814","0.0342918908444208","3"
"FDP","2000","direct migration background","19","","","","3"
"FDP","2000","indirect migration background","8","","","","3"
"NPD","2000","no migration background","117","0.0108883443800936","0.00878212323026658","0.0129945655299206","6"
"NPD","2000","indirect migration background","1","","","","6"
"NPD","2000","direct migration background","4","","","","6"
"Other","2000","no migration background","97","0.00989535783845054","0.00788646539210452","0.0119042502847966","8"
"Other","2000","direct migration background","10","","","","8"
"Other","2000","indirect migration background","3","","","","8"
"PDS/Linke","2000","no migration background","494","0.0413246492991559","0.0372850270614739","0.045364271536838","5"
"PDS/Linke","2000","direct migration background","31","0.031441425426445","0.0207790379182411","0.042103812934649","5"
"PDS/Linke","2000","indirect migration background","5","","","","5"
"SPD","2000","no migration background","4019","0.437753918334565","0.427685097216632","0.447822739452498","1"
"SPD","2000","direct migration background","460","0.424495419636539","0.394295812025392","0.454695027247685","1"
"SPD","2000","indirect migration background","124","0.472973797020821","0.407149444035847","0.538798150005795","1"
"AfD","2001","direct migration background","","","","","7"
"AfD","2001","no migration background","","","","","7"
"AfD","2001","indirect migration background","","","","","7"
"CDU/CSU","2001","direct migration background","354","0.405552335997136","0.372485956034244","0.438618715960028","2"
"CDU/CSU","2001","indirect migration background","49","0.319154823674727","0.255498820071216","0.382810827278238","2"
"CDU/CSU","2001","no migration background","3130","0.392742118510063","0.382158399376115","0.403325837644011","2"
"FDP","2001","no migration background","279","0.037446834213177","0.0333323262776778","0.0415613421486761","3"
"FDP","2001","direct migration background","20","","","","3"
"FDP","2001","indirect migration background","6","","","","3"
"NPD","2001","no migration background","96","0.00918981891550103","0.00712183720223655","0.0112578006287655","6"
"NPD","2001","indirect migration background","","","","","6"
"NPD","2001","direct migration background","2","","","","6"
"Other","2001","no migration background","80","0.0103271608863964","0.00813620171699348","0.0125181200557993","8"
"Other","2001","direct migration background","9","","","","8"
"Other","2001","indirect migration background","1","","","","8"
"PDS/Linke","2001","no migration background","407","0.0390589552823785","0.034860334314487","0.04325757625027","5"
"PDS/Linke","2001","direct migration background","21","","","","5"
"PDS/Linke","2001","indirect migration background","5","","","","5"
"SPD","2001","no migration background","3559","0.438192131542374","0.427439266797161","0.448944996287587","1"
"SPD","2001","direct migration background","396","0.46436119659561","0.430774262487324","0.497948130703896","1"
"SPD","2001","indirect migration background","119","0.479006878731548","0.410788506797759","0.547225250665337","1"
"AfD","2002","direct migration background","","","","","7"
"AfD","2002","no migration background","","","","","7"
"AfD","2002","indirect migration background","","","","","7"
"CDU/CSU","2002","direct migration background","394","0.451711092847496","0.418904806888245","0.484517378806746","2"
"CDU/CSU","2002","indirect migration background","75","0.303918224701423","0.246789185392988","0.361047264009858","2"
"CDU/CSU","2002","no migration background","3686","0.398424301214175","0.38845172062169","0.40839688180666","2"
"FDP","2002","no migration background","457","0.0433185495289915","0.0391717777656277","0.0474653212923553","3"
"FDP","2002","direct migration background","20","","","","3"
"FDP","2002","indirect migration background","7","","","","3"
"NPD","2002","no migration background","72","0.00886582153324744","0.00695634105997904","0.0107753020065158","6"
"NPD","2002","direct migration background","2","","","","6"
"NPD","2002","indirect migration background","1","","","","6"
"Other","2002","no migration background","91","0.0113107109882909","0.00915661838164499","0.0134648035949367","8"
"Other","2002","direct migration background","9","","","","8"
"Other","2002","indirect migration background","3","","","","8"
"PDS/Linke","2002","no migration background","525","0.050461881734229","0.046002984887583","0.0549207785808749","5"
"PDS/Linke","2002","direct migration background","22","","","","5"
"PDS/Linke","2002","indirect migration background","6","","","","5"
"SPD","2002","no migration background","3735","0.42286405376657","0.412801019546472","0.432927087986667","1"
"SPD","2002","direct migration background","396","0.434356224107772","0.40168115690863","0.467031291306914","1"
"SPD","2002","indirect migration background","134","0.455803693965562","0.393942950890179","0.517664437040945","1"
"AfD","2003","direct migration background","","","","","7"
"AfD","2003","no migration background","","","","","7"
"AfD","2003","indirect migration background","","","","","7"
"CDU/CSU","2003","direct migration background","424","0.485641708822","0.451721702275277","0.519561715368722","2"
"CDU/CSU","2003","indirect migration background","81","0.321613867959838","0.26494641385216","0.378281322067516","2"
"CDU/CSU","2003","no migration background","4151","0.434803284786775","0.424804152461238","0.444802417112312","2"
"FDP","2003","no migration background","406","0.039770103171686","0.0358284168198298","0.0437117895235421","3"
"FDP","2003","direct migration background","13","","","","3"
"FDP","2003","indirect migration background","5","","","","3"
"NPD","2003","no migration background","61","0.0071676291191272","0.00546609046333464","0.00886916777491977","6"
"NPD","2003","indirect migration background","1","","","","6"
"NPD","2003","direct migration background","3","","","","6"
"Other","2003","no migration background","80","0.00886672306530443","0.00697584425969998","0.0107576018709089","8"
"Other","2003","direct migration background","5","","","","8"
"Other","2003","indirect migration background","6","","","","8"
"PDS/Linke","2003","no migration background","367","0.0323655317477233","0.0287959845287293","0.0359350789667172","5"
"PDS/Linke","2003","direct migration background","15","","","","5"
"PDS/Linke","2003","indirect migration background","4","","","","5"
"SPD","2003","no migration background","3473","0.38816673110104","0.378336996498308","0.397996465703773","1"
"SPD","2003","direct migration background","321","0.365190658641669","0.332513329681953","0.397867987601385","1"
"SPD","2003","indirect migration background","120","0.419191804054256","0.359329890305082","0.47905371780343","1"
"AfD","2004","direct migration background","","","","","7"
"AfD","2004","no migration background","","","","","7"
"AfD","2004","indirect migration background","","","","","7"
"CDU/CSU","2004","direct migration background","371","0.511622209598701","0.475084922887811","0.548159496309591","2"
"CDU/CSU","2004","indirect migration background","75","0.316920691347663","0.255015212607835","0.378826170087491","2"
"CDU/CSU","2004","no migration background","3585","0.446817852037236","0.435946551206368","0.457689152868104","2"
"FDP","2004","no migration background","360","0.0413819068165668","0.037026685417597","0.0457371282155366","3"
"FDP","2004","direct migration background","21","","","","3"
"FDP","2004","indirect migration background","2","","","","3"
"NPD","2004","no migration background","66","0.00958157708760965","0.00745142784827937","0.0117117263269399","6"
"NPD","2004","direct migration background","2","","","","6"
"NPD","2004","indirect migration background","1","","","","6"
"Other","2004","no migration background","84","0.0107105540585739","0.00845968705844439","0.0129614210587034","8"
"Other","2004","direct migration background","8","","","","8"
"Other","2004","indirect migration background","","","","","8"
"PDS/Linke","2004","direct migration background","18","","","","5"
"PDS/Linke","2004","no migration background","396","0.0419266988400528","0.0375441488293586","0.046309248850747","5"
"PDS/Linke","2004","indirect migration background","5","","","","5"
"SPD","2004","no migration background","2743","0.360445012222404","0.349946188773635","0.370943835671173","1"
"SPD","2004","direct migration background","252","0.350956991624874","0.316071300348365","0.385842682901383","1"
"SPD","2004","indirect migration background","103","0.401008754383633","0.33580007745545","0.466217431311816","1"
"AfD","2005","direct migration background","","","","","7"
"AfD","2005","no migration background","","","","","7"
"AfD","2005","indirect migration background","","","","","7"
