"party","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"CDU/CSU","1986","West Germany","2204","0.441878745983059","0.428729123705733","0.455028368260386","2"
"FDP","1986","West Germany","170","0.0348798878477047","0.0300216847820127","0.0397380909133966","3"
"FDP","1986","East Germany","","","","","3"
"Grüne","1986","West Germany","385","0.0623826119641329","0.0559787487844372","0.0687864751438286","4"
"Grüne","1986","East Germany","","","","","4"
"NPD","1986","East Germany","","","","","6"
"NPD","1986","West Germany","","","","","6"
"Other","1986","West Germany","29","","","","8"
"Other","1986","East Germany","","","","","8"
"PDS/Linke","1986","West Germany","","","","","5"
"PDS/Linke","1986","East Germany","","","","","5"
"SPD","1986","West Germany","2691","0.455374751981624","0.44218821369656","0.468561290266689","1"
"SPD","1986","East Germany","","","","","1"
"AfD","1987","West Germany","","","","","7"
"AfD","1987","East Germany","","","","","7"
"CDU/CSU","1987","East Germany","","","","","2"
"CDU/CSU","1987","West Germany","2419","0.453496115948949","0.440709426772719","0.466282805125179","2"
"FDP","1987","West Germany","278","0.0539436485489551","0.0481413060927636","0.0597459910051465","3"
"FDP","1987","East Germany","","","","","3"
"Grüne","1987","West Germany","471","0.068058378648568","0.0615897853068469","0.0745269719902892","4"
"Grüne","1987","East Germany","","","","","4"
"NPD","1987","East Germany","","","","","6"
"NPD","1987","West Germany","","","","","6"
"Other","1987","West Germany","37","0.00725299520357775","0.00507351622861508","0.00943247417854042","8"
"Other","1987","East Germany","","","","","8"
"PDS/Linke","1987","West Germany","","","","","5"
"PDS/Linke","1987","East Germany","","","","","5"
"SPD","1987","East Germany","","","","","1"
"SPD","1987","West Germany","2618","0.41724886164995","0.404583609470979","0.429914113828921","1"
"AfD","1988","West Germany","","","","","7"
"AfD","1988","East Germany","","","","","7"
"CDU/CSU","1988","East Germany","","","","","2"
"CDU/CSU","1988","West Germany","2014","0.420281571869684","0.406884815435367","0.433678328304002","2"
"FDP","1988","West Germany","214","0.0456551277127314","0.0399898867350395","0.0513203686904233","3"
"FDP","1988","East Germany","","","","","3"
"Grüne","1988","West Germany","339","0.0576837387577358","0.0513560373399542","0.0640114401755173","4"
"Grüne","1988","East Germany","","","","","4"
"NPD","1988","West Germany","","","","","6"
"NPD","1988","East Germany","","","","","6"
"Other","1988","West Germany","48","0.0104157108612144","0.00766026559795832","0.0131711561244705","8"
"Other","1988","East Germany","","","","","8"
"PDS/Linke","1988","West Germany","","","","","5"
"PDS/Linke","1988","East Germany","","","","","5"
"SPD","1988","East Germany","","","","","1"
"SPD","1988","West Germany","2600","0.465963850798634","0.452424982134807","0.479502719462461","1"
"AfD","1989","West Germany","","","","","7"
"AfD","1989","East Germany","","","","","7"
"CDU/CSU","1989","East Germany","","","","","2"
"CDU/CSU","1989","West Germany","1730","0.389539412904193","0.376017398511303","0.403061427297083","2"
"FDP","1989","West Germany","139","0.0314648055339466","0.0266241173801041","0.0363054936877891","3"
"FDP","1989","East Germany","","","","","3"
"Grüne","1989","West Germany","358","0.0628685065796523","0.056137907609864","0.0695991055494406","4"
"Grüne","1989","East Germany","","","","","4"
"NPD","1989","East Germany","","","","","6"
"NPD","1989","West Germany","","","","","6"
"Other","1989","West Germany","186","0.04099575714168","0.0354976069863005","0.0464939072970595","8"
"Other","1989","East Germany","","","","","8"
"PDS/Linke","1989","West Germany","","","","","5"
"PDS/Linke","1989","East Germany","","","","","5"
"SPD","1989","East Germany","","","","","1"
"SPD","1989","West Germany","2583","0.475131517840528","0.461284092139137","0.488978943541919","1"
"AfD","1990","East Germany","","","","","7"
"AfD","1990","West Germany","","","","","7"
"CDU/CSU","1990","East Germany","","","","","2"
"CDU/CSU","1990","West Germany","1826","0.400140344789317","0.386678470288915","0.413602219289718","2"
"FDP","1990","West Germany","197","0.0426739078355172","0.0371201659066518","0.0482276497643826","3"
"FDP","1990","East Germany","","","","","3"
"Grüne","1990","West Germany","299","0.0517270505100819","0.0456414970986631","0.0578126039215008","4"
"Grüne","1990","East Germany","","","","","4"
"NPD","1990","East Germany","","","","","6"
"NPD","1990","West Germany","73","0.0135755961351769","0.0103958979537322","0.0167552943166216","6"
"Other","1990","East Germany","","","","","8"
"Other","1990","West Germany","29","","","","8"
"PDS/Linke","1990","East Germany","","","","","5"
"PDS/Linke","1990","West Germany","","","","","5"
"SPD","1990","East Germany","","","","","1"
"SPD","1990","West Germany","2664","0.485556582801353","0.471823650787376","0.499289514815329","1"
"AfD","1991","East Germany","","","","","7"
"AfD","1991","West Germany","","","","","7"
"CDU/CSU","1991","East Germany","","","","","2"
"CDU/CSU","1991","West Germany","1776","0.43215553995241","0.417103894767986","0.447207185136835","2"
"FDP","1991","West Germany","205","0.0541933942770093","0.0473144216544356","0.061072366899583","3"
"FDP","1991","East Germany","","","","","3"
"Grüne","1991","West Germany","221","0.0517429691984878","0.0450126146647227","0.058473323732253","4"
"Grüne","1991","East Germany","","","","","4"
"NPD","1991","West Germany","45","0.00984709522157151","0.00684686601257409","0.0128473244305689","6"
"NPD","1991","East Germany","","","","","6"
"Other","1991","East Germany","","","","","8"
"Other","1991","West Germany","19","","","","8"
"PDS/Linke","1991","East Germany","","","","","5"
"PDS/Linke","1991","West Germany","4","","","","5"
"SPD","1991","East Germany","","","","","1"
"SPD","1991","West Germany","1891","0.446452367063557","0.431347590789006","0.461557143338109","1"
"AfD","1992","East Germany","","","","","7"
"AfD","1992","West Germany","","","","","7"
"CDU/CSU","1992","East Germany","478","0.352082337349765","0.326089114393943","0.378075560305587","2"
"CDU/CSU","1992","West Germany","1626","0.423751537343767","0.40890384903204","0.438599225655493","2"
"FDP","1992","East Germany","80","0.0578279459790838","0.0451247764053632","0.0705311155528043","3"
"FDP","1992","West Germany","168","0.0460584417611069","0.0397602799559594","0.0523566035662545","3"
"Grüne","1992","West Germany","273","0.0543762634178715","0.0475628903142427","0.0611896365215003","4"
"Grüne","1992","East Germany","130","0.100145316689586","0.0838080418284341","0.116482591550738","4"
"NPD","1992","East Germany","","","","","6"
"NPD","1992","West Germany","","","","","6"
"Other","1992","East Germany","31","0.0256417850022216","0.0170395449885654","0.0342440250158778","8"
"Other","1992","West Germany","88","0.020332750488574","0.0160920688549061","0.024573432122242","8"
"PDS/Linke","1992","West Germany","12","","","","5"
"PDS/Linke","1992","East Germany","114","0.097331254659082","0.0811999881431096","0.113462521175054","5"
"SPD","1992","West Germany","2088","0.452619347191077","0.437663549307382","0.467575145074773","1"
"SPD","1992","East Germany","464","0.366971360320262","0.340740902644483","0.39320181799604","1"
"AfD","1993","East Germany","","","","","7"
"AfD","1993","West Germany","","","","","7"
"CDU/CSU","1993","East Germany","341","0.303381323221598","0.276275729182392","0.330486917260805","2"
"CDU/CSU","1993","West Germany","1374","0.398491228415381","0.382928977967234","0.414053478863527","2"
"FDP","1993","West Germany","148","0.0485155673072375","0.0416861533879233","0.0553449812265516","3"
"FDP","1993","East Germany","55","0.0506994453876581","0.0377643265338101","0.0636345642415061","3"
"Grüne","1993","West Germany","325","0.0795778089329645","0.070975172603346","0.088180445262583","4"
"Grüne","1993","East Germany","113","0.093493990776053","0.0763289774596712","0.110659004092435","4"
"NPD","1993","East Germany","34","0.0284203058463973","0.0186226869954614","0.0382179246973332","6"
"NPD","1993","West Germany","105","0.030552425533076","0.0250819252345241","0.0360229258316278","6"
"Other","1993","West Germany","32","0.00874370346514611","0.00578444618639199","0.0117029607439002","8"
"Other","1993","East Germany","13","","","","8"
"PDS/Linke","1993","West Germany","9","","","","5"
"PDS/Linke","1993","East Germany","134","0.139074410841993","0.118672381179019","0.159476440504967","5"
"SPD","1993","West Germany","1809","0.432538875531625","0.416790974914648","0.448286776148601","1"
"SPD","1993","East Germany","415","0.374406779097693","0.345871322851193","0.402942235344193","1"
"AfD","1994","East Germany","","","","","7"
"AfD","1994","West Germany","","","","","7"
"CDU/CSU","1994","East Germany","360","0.306134491324873","0.279345174400423","0.332923808249322","2"
"CDU/CSU","1994","West Germany","1402","0.390905972673459","0.375742662278707","0.406069283068211","2"
"FDP","1994","West Germany","110","0.0352157166347796","0.0294877684987091","0.0409436647708501","3"
"FDP","1994","East Germany","41","0.0360815004704116","0.0252414747875407","0.0469215261532826","3"
"Grüne","1994","West Germany","308","0.0732403879007871","0.0651443120365551","0.081336463765019","4"
"Grüne","1994","East Germany","111","0.0995424144524052","0.0821402377395698","0.116944591165241","4"
"NPD","1994","East Germany","22","","","","6"
"NPD","1994","West Germany","71","0.0157390774136671","0.0118713090315457","0.0196068457957884","6"
"Other","1994","West Germany","39","0.00885557577842053","0.00594423814341078","0.0117669134134303","8"
"Other","1994","East Germany","26","","","","8"
"PDS/Linke","1994","West Germany","16","","","","5"
"PDS/Linke","1994","East Germany","194","0.179795133560138","0.157473910068102","0.202116357052173","5"
"SPD","1994","West Germany","2032","0.471931097402293","0.45641793653564","0.487444258268946","1"
"SPD","1994","East Germany","383","0.338365321517302","0.310862964725449","0.365867678309155","1"
"AfD","1995","East Germany","","","","","7"
"AfD","1995","West Germany","","","","","7"
"CDU/CSU","1995","East Germany","525","0.367926082740846","0.342268106999688","0.393584058482004","2"
"CDU/CSU","1995","West Germany","1730","0.410019320150782","0.39564112749219","0.424397512809374","2"
"FDP","1995","West Germany","114","0.0298424549597922","0.0248682732149476","0.0348166367046368","3"
"FDP","1995","East Germany","32","0.0221238932163544","0.0142980550735011","0.0299497313592077","3"
"Grüne","1995","West Germany","470","0.09750362332434","0.0888316815374293","0.106175565111251","4"
"Grüne","1995","East Germany","102","0.074772169379458","0.0607778267854873","0.0887665119734286","4"
"NPD","1995","East Germany","15","","","","6"
"NPD","1995","West Germany","41","0.0095038438108476","0.00666749730800689","0.0123401903136883","6"
"Other","1995","West Germany","39","0.00734254711738326","0.00484676701579678","0.00983832721896973","8"
"Other","1995","East Germany","12","","","","8"
"PDS/Linke","1995","West Germany","24","","","","5"
"PDS/Linke","1995","East Germany","244","0.200076565397575","0.17879123043396","0.22136190036119","5"
"SPD","1995","West Germany","2077","0.442356487605031","0.427837117675362","0.4568758575347","1"
"SPD","1995","East Germany","427","0.315180521742851","0.290461805933556","0.339899237552146","1"
"AfD","1996","West Germany","","","","","7"
"AfD","1996","East Germany","","","","","7"
"CDU/CSU","1996","East Germany","491","0.383331712274872","0.356259383223846","0.410404041325897","2"
"CDU/CSU","1996","West Germany","1725","0.436856118075979","0.421886001346166","0.451826234805791","2"
"FDP","1996","West Germany","96","0.0285229462729262","0.023498829140959","0.0335470634048933","3"
"FDP","1996","East Germany","21","","","","3"
"Grüne","1996","West Germany","458","0.102815300788934","0.0936485358514324","0.111982065726436","4"
"Grüne","1996","East Germany","118","0.0877944828433371","0.0720367984592064","0.103552167227468","4"
"NPD","1996","East Germany","23","","","","6"
"NPD","1996","West Germany","53","0.0138975340739662","0.010364269274798","0.0174307988731344","6"
"Other","1996","West Germany","39","0.00937758309460048","0.00646856899111921","0.0122865971980817","8"
"Other","1996","East Germany","10","","","","8"
"PDS/Linke","1996","West Germany","27","","","","5"
"PDS/Linke","1996","East Germany","253","0.217727138056809","0.194747253005632","0.240707023107986","5"
"SPD","1996","West Germany","1819","0.402628988314872","0.387826971868073","0.417431004761671","1"
"SPD","1996","East Germany","323","0.266347109290512","0.241733134684458","0.290961083896567","1"
"AfD","1997","East Germany","","","","","7"
"AfD","1997","West Germany","","","","","7"
"CDU/CSU","1997","West Germany","1537","0.411808499415457","0.396470035380391","0.427146963450522","2"
"CDU/CSU","1997","East Germany","412","0.35600923650442","0.328004682214846","0.384013790793994","2"
"FDP","1997","East Germany","23","","","","3"
"FDP","1997","West Germany","85","0.0257160507532004","0.0207829525830289","0.0306491489233719","3"
"Grüne","1997","West Germany","410","0.0968388280675338","0.0876219840262623","0.106055672108805","4"
"Grüne","1997","East Germany","80","0.0685098511035652","0.0537349746554934","0.083284727551637","4"
"NPD","1997","East Germany","33","0.0312090154119688","0.0210391948302873","0.0413788359936503","6"
"NPD","1997","West Germany","66","0.0159179399819576","0.0120173173537484","0.0198185626101668","6"
"Other","1997","West Germany","37","0.00885468292703883","0.00593503811369608","0.0117743277403816","8"
"Other","1997","East Germany","11","","","","8"
"PDS/Linke","1997","West Germany","21","","","","5"
"PDS/Linke","1997","East Germany","220","0.199524128481098","0.176150289551697","0.2228979674105","5"
"SPD","1997","East Germany","344","0.3121053734943","0.285005342077645","0.339205404910956","1"
"SPD","1997","West Germany","1799","0.437497823382563","0.422037274825514","0.452958371939613","1"
"AfD","1998","East Germany","","","","","7"
"AfD","1998","West Germany","","","","","7"
"CDU/CSU","1998","East Germany","361","0.304997391874434","0.278604795541128","0.33138998820774","2"
"CDU/CSU","1998","West Germany","1674","0.382250679321568","0.368223256124923","0.396278102518212","2"
"FDP","1998","East Germany","21","","","","3"
"FDP","1998","West Germany","108","0.0291356908322814","0.0242806872321221","0.0339906944324407","3"
"Grüne","1998","West Germany","435","0.0891129518626235","0.0808886260530053","0.0973372776722416","4"
"Grüne","1998","East Germany","99","0.0919893378979023","0.0754219112660873","0.108556764529717","4"
"NPD","1998","East Germany","31","0.0225534878188771","0.0140422212457957","0.0310647543919585","6"
"NPD","1998","West Germany","61","0.0160491832671819","0.0124216551132398","0.019676711421124","6"
"Other","1998","West Germany","56","0.0135177526262347","0.0101842982712091","0.0168512069812603","8"
"Other","1998","East Germany","24","","","","8"
"PDS/Linke","1998","West Germany","28","","","","5"
"PDS/Linke","1998","East Germany","223","0.185506033354411","0.163223539737434","0.207788526971388","5"
"SPD","1998","East Germany","410","0.352827268575729","0.325434747040516","0.380219790110941","1"
"SPD","1998","West Germany","2248","0.465202326627251","0.450803956879492","0.479600696375009","1"
"AfD","1999","East Germany","","","","","7"
"AfD","1999","West Germany","","","","","7"
"CDU/CSU","1999","East Germany","463","0.313827728270449","0.289683177359562","0.337972279181336","2"
"CDU/CSU","1999","West Germany","1949","0.434803860297424","0.420720998941221","0.448886721653627","2"
"FDP","1999","East Germany","24","","","","3"
"FDP","1999","West Germany","111","0.0265296214872054","0.021964298461898","0.0310949445125129","3"
"Grüne","1999","West Germany","350","0.0661116560782763","0.0590528522876465","0.0731704598689061","4"
"Grüne","1999","East Germany","70","0.0486835066287109","0.0374862834952125","0.0598807297622093","4"
"NPD","1999","East Germany","28","","","","6"
"NPD","1999","West Germany","51","0.00813491354132802","0.00558310911069603","0.01068671797196","6"
"Other","1999","West Germany","44","0.00945426548297485","0.00670513231564971","0.0122033986503","8"
"Other","1999","East Germany","28","","","","8"
"PDS/Linke","1999","West Germany","41","0.00869819194143859","0.00606026928901651","0.0113361145938607","5"
"PDS/Linke","1999","East Germany","263","0.18973566360486","0.169334979053304","0.210136348156416","5"
"SPD","1999","East Germany","543","0.393956789320045","0.368533427216528","0.419380151423562","1"
"SPD","1999","West Germany","2214","0.446267491171353","0.432145619818042","0.460389362524664","1"
"AfD","2000","East Germany","","","","","7"
"AfD","2000","West Germany","","","","","7"
"CDU/CSU","2000","East Germany","735","0.336144084478588","0.316063973342912","0.356224195614265","2"
"CDU/CSU","2000","West Germany","3447","0.413907439455323","0.403405864001746","0.4244090149089","2"
"FDP","2000","East Germany","39","0.0168726113329496","0.0113978838033758","0.0223473388625234","3"
"FDP","2000","West Germany","241","0.0326271778494465","0.0288392087056302","0.0364151469932627","3"
"Grüne","2000","West Germany","654","0.0751996938537299","0.0695769052590403","0.0808224824484196","4"
"Grüne","2000","East Germany","95","0.041568703720092","0.0330841267264073","0.0500532807137767","4"
"NPD","2000","East Germany","48","0.0225519257261059","0.0162408248079002","0.0288630266443115","6"
"NPD","2000","West Germany","74","0.00796657741831297","0.00607109928306514","0.0098620555535608","6"
"Other","2000","West Germany","82","0.00968650746136018","0.00759822282537876","0.0117747920973416","8"
"Other","2000","East Germany","28","","","","8"
"PDS/Linke","2000","West Germany","60","0.0065459223572507","0.00482651389534146","0.00826533081915994","5"
"PDS/Linke","2000","East Germany","470","0.225018616608489","0.207267678036172","0.242769555180807","5"
"SPD","2000","East Germany","711","0.343610639967077","0.323423233434064","0.36379804650009","1"
"SPD","2000","West Germany","3892","0.454066681604577","0.443450964065456","0.464682399143697","1"
"AfD","2001","East Germany","","","","","7"
"AfD","2001","West Germany","","","","","7"
"CDU/CSU","2001","East Germany","611","0.335013105090276","0.313172014858345","0.356854195322207","2"
"CDU/CSU","2001","West Germany","2922","0.402190236761137","0.391046848369644","0.41333362515263","2"
"FDP","2001","East Germany","51","0.0266181486873217","0.0191696727809727","0.0340666245936708","3"
"FDP","2001","West Germany","254","0.0386529897669927","0.034272207788341","0.0430337717456444","3"
"Grüne","2001","West Germany","615","0.0762552513440543","0.0702236743822757","0.0822868283058329","4"
"Grüne","2001","East Germany","84","0.0517875106469776","0.0415333002257927","0.0620417210681626","4"
"NPD","2001","East Germany","31","0.015226076252941","0.00955978176349839","0.0208923707423836","6"
"NPD","2001","West Germany","67","0.00741043375092583","0.00546136718638534","0.00935950031546631","6"
"Other","2001","East Germany","28","","","","8"
"Other","2001","West Germany","62","0.00975525886996114","0.00752163174189845","0.0119888859980238","8"
"PDS/Linke","2001","West Germany","53","0.00735603760742981","0.00541408455181939","0.00929799066304023","5"
"PDS/Linke","2001","East Germany","380","0.218410901439882","0.199291985049589","0.237529817830175","5"
"SPD","2001","East Germany","609","0.338599652903","0.316701255383908","0.360498050422092","1"
"SPD","2001","West Germany","3465","0.458379791899499","0.447056305431877","0.469703278367122","1"
"AfD","2002","East Germany","","","","","7"
"AfD","2002","West Germany","","","","","7"
"CDU/CSU","2002","East Germany","652","0.324491659508852","0.303423259632485","0.345560059385219","2"
"CDU/CSU","2002","West Germany","3503","0.41438591391665","0.403909800006139","0.424862027827161","2"
"FDP","2002","East Germany","75","0.0355630543546235","0.0272291047138245","0.0438970039954225","3"
"FDP","2002","West Germany","409","0.0418649733635774","0.0376057469134344","0.0461241998137203","3"
"Grüne","2002","West Germany","675","0.0695301556059956","0.0641209970153021","0.0749393141966891","4"
"Grüne","2002","East Germany","81","0.0397054016590801","0.0309183846836682","0.0484924186344921","4"
"NPD","2002","East Germany","26","","","","6"
"NPD","2002","West Germany","49","0.00741459121238878","0.00559019352901268","0.00923898889576488","6"
"Other","2002","East Germany","24","","","","8"
"Other","2002","West Germany","79","0.0106152482140947","0.00843583466799449","0.0127946617601949","8"
"PDS/Linke","2002","West Germany","78","0.0103325816571585","0.00818207385700471","0.0124830894573123","5"
"PDS/Linke","2002","East Germany","475","0.267462825627653","0.247544126380181","0.287381524875124","5"
"SPD","2002","East Germany","564","0.301182163657505","0.280537346511382","0.321826980803627","1"
"SPD","2002","West Germany","3701","0.445856536030135","0.435285911691066","0.456427160369204","1"
"AfD","2003","East Germany","","","","","7"
"AfD","2003","West Germany","","","","","7"
"CDU/CSU","2003","East Germany","751","0.358930919420515","0.337727095680068","0.380134743160963","2"
"CDU/CSU","2003","West Germany","3905","0.449901237343894","0.43936922713738","0.460433247550408","2"
"FDP","2003","East Germany","69","0.0343375792399171","0.0262883585088782","0.0423867999709561","3"
"FDP","2003","West Germany","355","0.0383146562379091","0.0342508657555105","0.0423784467203078","3"
"Grüne","2003","West Germany","877","0.0965627079066543","0.090309741892057","0.102815673921252","4"
"Grüne","2003","East Germany","124","0.062301854624818","0.0516177446342697","0.0729859646153663","4"
"NPD","2003","East Germany","27","","","","6"
"NPD","2003","West Germany","38","0.00543169847677034","0.00387567022851456","0.00698772672502611","6"
"Other","2003","East Germany","22","","","","8"
"Other","2003","West Germany","69","0.00861190598738462","0.00665574842447954","0.0105680635502897","8"
"PDS/Linke","2003","West Germany","42","0.00461849431757473","0.00318307980136809","0.00605390883378136","5"
"PDS/Linke","2003","East Germany","344","0.188598183009518","0.171306268712654","0.205890097306381","5"
"SPD","2003","West Germany","3285","0.396559299729813","0.386203021435201","0.406915578024425","1"
"SPD","2003","East Germany","629","0.328311962258646","0.307554058472934","0.349069866044358","1"
"AfD","2004","East Germany","","","","","7"
"AfD","2004","West Germany","","","","","7"
"CDU/CSU","2004","East Germany","600","0.353996260911089","0.330738284172291","0.377254237649887","2"
"CDU/CSU","2004","West Germany","3431","0.465587560027791","0.454180818715905","0.476994301339677","2"
"FDP","2004","East Germany","65","0.0362230061273309","0.0271356907458467","0.0453103215088151","3"
"FDP","2004","West Germany","318","0.0394850154357857","0.0350316241259601","0.0439384067456113","3"
"Grüne","2004","West Germany","773","0.0956711892305358","0.0889448866687145","0.102397491792357","4"
"Grüne","2004","East Germany","105","0.0608034238329827","0.0491809829343534","0.0724258647316121","4"
"NPD","2004","East Germany","27","","","","6"
"NPD","2004","West Germany","42","0.00682345312007013","0.00494094021183189","0.00870596602830838","6"
"Other","2004","East Germany","19","","","","8"
"Other","2004","West Germany","73","0.00995236483546231","0.00768242775961749","0.0122223019113071","8"
"PDS/Linke","2004","West Germany","56","0.00859154108373865","0.00648104536914684","0.0107020367983305","5"
"PDS/Linke","2004","East Germany","363","0.233550398780715","0.212973155771874","0.254127641789557","5"
"SPD","2004","West Germany","2653","0.373888876266616","0.362824686623307","0.384953065909926","1"
"SPD","2004","East Germany","445","0.278231229011594","0.256436219679082","0.300026238344106","1"
"AfD","2005","East Germany","","","","","7"
"AfD","2005","West Germany","","","","","7"
"CDU/CSU","2005","East Germany","582","0.310206903521203","0.288345954138471","0.332067852903934","2"
"CDU/CSU","2005","West Germany","3183","0.432409607650391","0.421029468128961","0.443789747171821","2"
"FDP","2005","East Germany","72","0.0374422860700241","0.0284705097896564","0.0464140623503917","3"
"FDP","2005","West Germany","313","0.0364927844190511","0.0321854024293727","0.0408001664087296","3"
"Grüne","2005","West Germany","784","0.104711879243421","0.0976785363756099","0.111745222111233","4"
"Grüne","2005","East Germany","118","0.07629879284291","0.0637527011691929","0.0888448845166271","4"
"NPD","2005","East Germany","55","0.0552692843841473","0.0444703772586047","0.0660681915096898","6"
"NPD","2005","West Germany","74","0.0119467347505439","0.00945100709874149","0.0144424624023463","6"
"Other","2005","East Germany","22","","","","8"
"Other","2005","West Germany","63","0.00921024102707432","0.00701587710850575","0.0114046049456429","8"
"PDS/Linke","2005","West Germany","58","0.00870066694029501","0.00656732200814244","0.0108340118724476","5"
"PDS/Linke","2005","East Germany","379","0.222058359860524","0.202416123146783","0.241700596574265","5"
"SPD","2005","West Germany","2805","0.396528085969223","0.3852911499137","0.407765022024746","1"
"SPD","2005","East Germany","492","0.275551207677905","0.254436315243283","0.296666100112528","1"
"AfD","2006","West Germany","","","","","7"
"AfD","2006","East Germany","","","","","7"
"CDU/CSU","2006","East Germany","678","0.324177797188911","0.303653976565814","0.344701617812008","2"
"CDU/CSU","2006","West Germany","3646","0.41924178744248","0.408697228448023","0.429786346436937","2"
"FDP","2006","East Germany","90","0.040263232617578","0.0316437591806723","0.0488827060544837","3"
"FDP","2006","West Germany","403","0.0463863606173675","0.0418918766450559","0.0508808445896792","3"
"Grüne","2006","West Germany","824","0.0917453750613469","0.0855766649998626","0.0979140851228311","4"
"Grüne","2006","East Germany","118","0.0572583330793741","0.0470708699370223","0.0674457962217258","4"
"NPD","2006","East Germany","49","0.0367735918234656","0.0285211482193776","0.0450260354275535","6"
"NPD","2006","West Germany","83","0.0132005220067486","0.0107615407249901","0.0156395032885071","6"
"Other","2006","East Germany","18","","","","8"
"Other","2006","West Germany","74","0.00968721097174125","0.00759413962776585","0.0117802823157167","8"
"PDS/Linke","2006","West Germany","158","0.0213989553313442","0.0183065416739788","0.0244913689887096","5"
"PDS/Linke","2006","East Germany","458","0.24501266352091","0.226153846426945","0.263871480614875","5"
"SPD","2006","West Germany","3224","0.398339788568972","0.387878120192089","0.408801456945854","1"
"SPD","2006","East Germany","587","0.286663180136834","0.266834964790307","0.306491395483362","1"
"AfD","2007","East Germany","","","","","7"
"AfD","2007","West Germany","","","","","7"
"CDU/CSU","2007","West Germany","3050","0.418185769163013","0.406731617472477","0.429639920853549","2"
"CDU/CSU","2007","East Germany","511","0.274489493492448","0.252931025691356","0.296047961293539","2"
"FDP","2007","East Germany","77","0.0442587787930174","0.0343229740636405","0.0541945835223944","3"
"FDP","2007","West Germany","375","0.0427540051294944","0.0380562938987343","0.0474517163602545","3"
"Grüne","2007","West Germany","755","0.106040330763902","0.0988907490268318","0.113189912500973","4"
"Grüne","2007","East Germany","115","0.0830212723160395","0.0696919675357692","0.0963505770963098","4"
"NPD","2007","West Germany","77","0.0127135819558543","0.0101119750281212","0.0153151888835874","6"
"NPD","2007","East Germany","38","0.0349656058272202","0.0260914898497487","0.0438397218046917","6"
"Other","2007","West Germany","64","0.00863300231354379","0.00648475492310248","0.0107812497039851","8"
"Other","2007","East Germany","14","","","","8"
"PDS/Linke","2007","West Germany","136","0.0217519395522998","0.0183645930268835","0.0251392860777161","5"
"PDS/Linke","2007","East Germany","414","0.263221073314357","0.241946439124713","0.284495707504001","5"
"SPD","2007","West Germany","2667","0.389921371121892","0.378595605732824","0.40124713651096","1"
"SPD","2007","East Germany","477","0.29274295659355","0.270761065922147","0.314724847264953","1"
"AfD","2008","East Germany","","","","","7"
"AfD","2008","West Germany","","","","","7"
"CDU/CSU","2008","East Germany","502","0.308619540114908","0.285616107737474","0.331622972492341","2"
"CDU/CSU","2008","West Germany","2998","0.433601246898276","0.421770162614108","0.445432331182443","2"
"FDP","2008","East Germany","75","0.0439768708888185","0.0337658598885233","0.0541878818891136","3"
"FDP","2008","West Germany","364","0.046613050316434","0.0415802870070499","0.051645813625818","3"
"Grüne","2008","West Germany","692","0.102826157935746","0.0955749852387371","0.110077330632755","4"
"Grüne","2008","East Germany","104","0.080356062296896","0.0668184659131959","0.0938936586805961","4"
"NPD","2008","West Germany","61","0.00896905029171342","0.00671826026988442","0.0112198403135424","6"
"NPD","2008","East Germany","40","0.0380071293573809","0.0284848516433582","0.0475294070714036","6"
