"party","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"SPD","1984","(1a) inadequately completed","East Germany","","","",""
"SPD","1984","(1b) general elementary school","West Germany","799","0.511164271565682","0.48550578451915","0.536822758612214"
"SPD","1984","(1b) general elementary school","East Germany","","","",""
"SPD","1984","(1c) basic vocational qualification","West Germany","1307","0.510134748907237","0.490408510083458","0.529860987731015"
"SPD","1984","(1c) basic vocational qualification","East Germany","","","",""
"SPD","1984","(2b) intermediate general qualification","West Germany","78","0.31046307426726","0.251557328461773","0.369368820072747"
"SPD","1984","(2b) intermediate general qualification","East Germany","","","",""
"SPD","1984","(2a) intermediate vocational","West Germany","326","0.358139832602291","0.326058605416678","0.390221059787903"
"SPD","1984","(2a) intermediate vocational","East Germany","","","",""
"SPD","1984","(2c_gen) general maturity certificate","West Germany","72","0.2768150439014","0.218091102652046","0.335538985150755"
"SPD","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"SPD","1984","(2c_voc) vocational maturity certificate","West Germany","115","0.340267866422296","0.285163855837587","0.395371877007006"
"SPD","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"SPD","1984","(3a) lower tertiary education","West Germany","57","0.311352210515275","0.242151839459761","0.380552581570789"
"SPD","1984","(3a) lower tertiary education","East Germany","","","",""
"SPD","1984","(3b) higher tertiary education","West Germany","123","0.320941451472985","0.270875626792203","0.371007276153768"
"SPD","1984","(3b) higher tertiary education","East Germany","","","",""
"FDP","1984","(0) in school","West Germany","","","",""
"FDP","1984","(0) in school","East Germany","","","",""
"FDP","1984","(1a) inadequately completed","West Germany","1","","",""
"FDP","1984","(1a) inadequately completed","East Germany","","","",""
"FDP","1984","(1b) general elementary school","West Germany","28","","",""
"FDP","1984","(1b) general elementary school","East Germany","","","",""
"FDP","1984","(1c) basic vocational qualification","West Germany","48","0.0217491117258957","0.0159932625693274","0.0275049608824639"
"FDP","1984","(1c) basic vocational qualification","East Germany","","","",""
"FDP","1984","(2b) intermediate general qualification","West Germany","5","","",""
"FDP","1984","(2b) intermediate general qualification","East Germany","","","",""
"FDP","1984","(2a) intermediate vocational","West Germany","32","0.0413137179851644","0.0279972256354672","0.0546302103348615"
"FDP","1984","(2a) intermediate vocational","East Germany","","","",""
"FDP","1984","(2c_gen) general maturity certificate","West Germany","5","","",""
"FDP","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","West Germany","17","","",""
"FDP","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"FDP","1984","(3a) lower tertiary education","West Germany","13","","",""
"FDP","1984","(3a) lower tertiary education","East Germany","","","",""
"FDP","1984","(3b) higher tertiary education","West Germany","31","0.1002788084995","0.0680656421716306","0.13249197482737"
"FDP","1984","(3b) higher tertiary education","East Germany","","","",""
"Grüne","1984","(0) in school","West Germany","20","","",""
"Grüne","1984","(0) in school","East Germany","","","",""
"Grüne","1984","(1a) inadequately completed","West Germany","13","","",""
"Grüne","1984","(1a) inadequately completed","East Germany","","","",""
"Grüne","1984","(1b) general elementary school","West Germany","45","0.0186559639459289","0.0117106989692728","0.025601228922585"
"Grüne","1984","(1b) general elementary school","East Germany","","","",""
"Grüne","1984","(1c) basic vocational qualification","West Germany","62","0.021158606975345","0.0154797201297253","0.0268374938209647"
"Grüne","1984","(1c) basic vocational qualification","East Germany","","","",""
"Grüne","1984","(2b) intermediate general qualification","West Germany","49","0.18289397786391","0.133677239808143","0.232110715919677"
"Grüne","1984","(2b) intermediate general qualification","East Germany","","","",""
"Grüne","1984","(2a) intermediate vocational","West Germany","55","0.0580547142692517","0.0424075359652494","0.073701892573254"
"Grüne","1984","(2a) intermediate vocational","East Germany","","","",""
"Grüne","1984","(2c_gen) general maturity certificate","West Germany","83","0.359596507173762","0.296612507263321","0.422580507084203"
"Grüne","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Grüne","1984","(2c_voc) vocational maturity certificate","West Germany","41","0.133248385235605","0.0937238084756326","0.172772961995578"
"Grüne","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Grüne","1984","(3a) lower tertiary education","West Germany","16","","",""
"Grüne","1984","(3a) lower tertiary education","East Germany","","","",""
"Grüne","1984","(3b) higher tertiary education","West Germany","45","0.130129444948401","0.0940474981812387","0.166211391715563"
"Grüne","1984","(3b) higher tertiary education","East Germany","","","",""
"PDS/Linke","1984","(0) in school","West Germany","","","",""
"PDS/Linke","1984","(0) in school","East Germany","","","",""
"PDS/Linke","1984","(1a) inadequately completed","West Germany","","","",""
"PDS/Linke","1984","(1a) inadequately completed","East Germany","","","",""
"PDS/Linke","1984","(1b) general elementary school","West Germany","","","",""
"PDS/Linke","1984","(1b) general elementary school","East Germany","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","West Germany","","","",""
"PDS/Linke","1984","(1c) basic vocational qualification","East Germany","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","West Germany","","","",""
"PDS/Linke","1984","(2b) intermediate general qualification","East Germany","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","West Germany","","","",""
"PDS/Linke","1984","(2a) intermediate vocational","East Germany","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","West Germany","","","",""
"PDS/Linke","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","West Germany","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","West Germany","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","East Germany","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","West Germany","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","East Germany","","","",""
"NPD Combination","1984","(0) in school","West Germany","","","",""
"NPD Combination","1984","(0) in school","East Germany","","","",""
"NPD Combination","1984","(1a) inadequately completed","West Germany","","","",""
"NPD Combination","1984","(1a) inadequately completed","East Germany","","","",""
"NPD Combination","1984","(1b) general elementary school","West Germany","","","",""
"NPD Combination","1984","(1b) general elementary school","East Germany","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","West Germany","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","East Germany","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","West Germany","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","East Germany","","","",""
"NPD Combination","1984","(2a) intermediate vocational","West Germany","","","",""
"NPD Combination","1984","(2a) intermediate vocational","East Germany","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","West Germany","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","West Germany","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"NPD Combination","1984","(3a) lower tertiary education","West Germany","","","",""
"NPD Combination","1984","(3a) lower tertiary education","East Germany","","","",""
"NPD Combination","1984","(3b) higher tertiary education","West Germany","","","",""
"NPD Combination","1984","(3b) higher tertiary education","East Germany","","","",""
"AfD","1984","(0) in school","West Germany","","","",""
"AfD","1984","(0) in school","East Germany","","","",""
"AfD","1984","(1a) inadequately completed","West Germany","","","",""
"AfD","1984","(1a) inadequately completed","East Germany","","","",""
"AfD","1984","(1b) general elementary school","West Germany","","","",""
"AfD","1984","(1b) general elementary school","East Germany","","","",""
"AfD","1984","(1c) basic vocational qualification","West Germany","","","",""
"AfD","1984","(1c) basic vocational qualification","East Germany","","","",""
"AfD","1984","(2b) intermediate general qualification","West Germany","","","",""
"AfD","1984","(2b) intermediate general qualification","East Germany","","","",""
"AfD","1984","(2a) intermediate vocational","West Germany","","","",""
"AfD","1984","(2a) intermediate vocational","East Germany","","","",""
"AfD","1984","(2c_gen) general maturity certificate","West Germany","","","",""
"AfD","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"AfD","1984","(2c_voc) vocational maturity certificate","West Germany","","","",""
"AfD","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"AfD","1984","(3a) lower tertiary education","West Germany","","","",""
"AfD","1984","(3a) lower tertiary education","East Germany","","","",""
"AfD","1984","(3b) higher tertiary education","West Germany","","","",""
"AfD","1984","(3b) higher tertiary education","East Germany","","","",""
"Other","1984","(0) in school","West Germany","1","","",""
"Other","1984","(0) in school","East Germany","","","",""
"Other","1984","(1a) inadequately completed","West Germany","5","","",""
"Other","1984","(1a) inadequately completed","East Germany","","","",""
"Other","1984","(1b) general elementary school","West Germany","9","","",""
"Other","1984","(1b) general elementary school","East Germany","","","",""
"Other","1984","(1c) basic vocational qualification","West Germany","10","","",""
"Other","1984","(1c) basic vocational qualification","East Germany","","","",""
"Other","1984","(2b) intermediate general qualification","West Germany","5","","",""
"Other","1984","(2b) intermediate general qualification","East Germany","","","",""
"Other","1984","(2a) intermediate vocational","West Germany","3","","",""
"Other","1984","(2a) intermediate vocational","East Germany","","","",""
"Other","1984","(2c_gen) general maturity certificate","West Germany","2","","",""
"Other","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","West Germany","4","","",""
"Other","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","1984","(3a) lower tertiary education","West Germany","","","",""
"Other","1984","(3a) lower tertiary education","East Germany","","","",""
"Other","1984","(3b) higher tertiary education","West Germany","1","","",""
"Other","1984","(3b) higher tertiary education","East Germany","","","",""
"CDU/CSU","1985","(0) in school","West Germany","30","0.461921691562163","0.34755657373243","0.576286809391895"
"CDU/CSU","1985","(0) in school","East Germany","","","",""
"CDU/CSU","1985","(1a) inadequately completed","West Germany","25","","",""
"CDU/CSU","1985","(1a) inadequately completed","East Germany","","","",""
"CDU/CSU","1985","(1b) general elementary school","West Germany","475","0.454340010239919","0.425978863504661","0.482701156975178"
"CDU/CSU","1985","(1b) general elementary school","East Germany","","","",""
"CDU/CSU","1985","(1c) basic vocational qualification","West Germany","909","0.434891056728949","0.414142633235015","0.455639480222882"
"CDU/CSU","1985","(1c) basic vocational qualification","East Germany","","","",""
"CDU/CSU","1985","(2b) intermediate general qualification","West Germany","94","0.47187800080194","0.406649285257381","0.5371067163465"
"CDU/CSU","1985","(2b) intermediate general qualification","East Germany","","","",""
"CDU/CSU","1985","(2a) intermediate vocational","West Germany","404","0.506659714241996","0.472789586120693","0.540529842363299"
"CDU/CSU","1985","(2a) intermediate vocational","East Germany","","","",""
"CDU/CSU","1985","(2c_gen) general maturity certificate","West Germany","60","0.32203438309085","0.258987761498641","0.385081004683059"
"CDU/CSU","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"CDU/CSU","1985","(2c_voc) vocational maturity certificate","West Germany","103","0.435304653640713","0.376166199459662","0.494443107821764"
"CDU/CSU","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"CDU/CSU","1985","(3a) lower tertiary education","West Germany","76","0.479254257082998","0.404595677782817","0.55391283638318"
"CDU/CSU","1985","(3a) lower tertiary education","East Germany","","","",""
"CDU/CSU","1985","(3b) higher tertiary education","West Germany","135","0.395760679487601","0.34489150057768","0.446629858397522"
"CDU/CSU","1985","(3b) higher tertiary education","East Germany","","","",""
"SPD","1985","(0) in school","West Germany","20","","",""
"SPD","1985","(0) in school","East Germany","","","",""
"SPD","1985","(1a) inadequately completed","West Germany","168","0.727286439607123","0.667052044222032","0.787520834992215"
"SPD","1985","(1a) inadequately completed","East Germany","","","",""
"SPD","1985","(1b) general elementary school","West Germany","651","0.505776092937457","0.477297845228234","0.534254340646679"
"SPD","1985","(1b) general elementary school","East Germany","","","",""
"SPD","1985","(1c) basic vocational qualification","West Germany","1144","0.500696417757518","0.479769832928394","0.521623002586642"
"SPD","1985","(1c) basic vocational qualification","East Germany","","","",""
"SPD","1985","(2b) intermediate general qualification","West Germany","86","0.338875329865434","0.277028350933186","0.400722308797681"
"SPD","1985","(2b) intermediate general qualification","East Germany","","","",""
"SPD","1985","(2a) intermediate vocational","West Germany","340","0.382885467399389","0.349954636383579","0.415816298415199"
"SPD","1985","(2a) intermediate vocational","East Germany","","","",""
"SPD","1985","(2c_gen) general maturity certificate","West Germany","74","0.297391022614826","0.235713398231082","0.359068646998571"
"SPD","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"SPD","1985","(2c_voc) vocational maturity certificate","West Germany","103","0.315556264511302","0.260122612837168","0.370989916185437"
"SPD","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"SPD","1985","(3a) lower tertiary education","West Germany","62","0.328970721846085","0.258755184098502","0.399186259593667"
"SPD","1985","(3a) lower tertiary education","East Germany","","","",""
"SPD","1985","(3b) higher tertiary education","West Germany","135","0.358973690065613","0.309073390640197","0.408873989491029"
"SPD","1985","(3b) higher tertiary education","East Germany","","","",""
"FDP","1985","(0) in school","West Germany","2","","",""
"FDP","1985","(0) in school","East Germany","","","",""
"FDP","1985","(1a) inadequately completed","West Germany","1","","",""
"FDP","1985","(1a) inadequately completed","East Germany","","","",""
"FDP","1985","(1b) general elementary school","West Germany","15","","",""
"FDP","1985","(1b) general elementary school","East Germany","","","",""
"FDP","1985","(1c) basic vocational qualification","West Germany","61","0.0320971961577821","0.0247202230998339","0.0394741692157303"
"FDP","1985","(1c) basic vocational qualification","East Germany","","","",""
"FDP","1985","(2b) intermediate general qualification","West Germany","7","","",""
"FDP","1985","(2b) intermediate general qualification","East Germany","","","",""
"FDP","1985","(2a) intermediate vocational","West Germany","37","0.0513634213904599","0.0364092529597717","0.066317589821148"
"FDP","1985","(2a) intermediate vocational","East Germany","","","",""
"FDP","1985","(2c_gen) general maturity certificate","West Germany","6","","",""
"FDP","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"FDP","1985","(2c_voc) vocational maturity certificate","West Germany","16","","",""
"FDP","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"FDP","1985","(3a) lower tertiary education","West Germany","19","","",""
"FDP","1985","(3a) lower tertiary education","East Germany","","","",""
"FDP","1985","(3b) higher tertiary education","West Germany","32","0.0982412892586836","0.0672794954433116","0.129203083074056"
"FDP","1985","(3b) higher tertiary education","East Germany","","","",""
"Grüne","1985","(0) in school","West Germany","17","","",""
"Grüne","1985","(0) in school","East Germany","","","",""
"Grüne","1985","(1a) inadequately completed","West Germany","15","","",""
"Grüne","1985","(1a) inadequately completed","East Germany","","","",""
"Grüne","1985","(1b) general elementary school","West Germany","37","0.0199932867936464","0.0120201564661836","0.0279664171211092"
"Grüne","1985","(1b) general elementary school","East Germany","","","",""
"Grüne","1985","(1c) basic vocational qualification","West Germany","68","0.0268488364182199","0.0200836204894195","0.0336140523470204"
"Grüne","1985","(1c) basic vocational qualification","East Germany","","","",""
"Grüne","1985","(2b) intermediate general qualification","West Germany","36","0.143394247553054","0.0975997614380396","0.189188733668068"
"Grüne","1985","(2b) intermediate general qualification","East Germany","","","",""
"Grüne","1985","(2a) intermediate vocational","West Germany","52","0.0546241719341631","0.0392291595663948","0.0700191843019315"
"Grüne","1985","(2a) intermediate vocational","East Germany","","","",""
"Grüne","1985","(2c_gen) general maturity certificate","West Germany","69","0.339828070871315","0.275918630386218","0.403737511356413"
"Grüne","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Grüne","1985","(2c_voc) vocational maturity certificate","West Germany","46","0.172398426412657","0.127343372724804","0.217453480100511"
"Grüne","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Grüne","1985","(3a) lower tertiary education","West Germany","15","","",""
"Grüne","1985","(3a) lower tertiary education","East Germany","","","",""
"Grüne","1985","(3b) higher tertiary education","West Germany","49","0.134575563134508","0.0990752981745825","0.170075828094434"
"Grüne","1985","(3b) higher tertiary education","East Germany","","","",""
"PDS/Linke","1985","(0) in school","West Germany","","","",""
"PDS/Linke","1985","(0) in school","East Germany","","","",""
"PDS/Linke","1985","(1a) inadequately completed","West Germany","","","",""
"PDS/Linke","1985","(1a) inadequately completed","East Germany","","","",""
"PDS/Linke","1985","(1b) general elementary school","West Germany","","","",""
"PDS/Linke","1985","(1b) general elementary school","East Germany","","","",""
"PDS/Linke","1985","(1c) basic vocational qualification","West Germany","","","",""
"PDS/Linke","1985","(1c) basic vocational qualification","East Germany","","","",""
"PDS/Linke","1985","(2b) intermediate general qualification","West Germany","","","",""
"PDS/Linke","1985","(2b) intermediate general qualification","East Germany","","","",""
"PDS/Linke","1985","(2a) intermediate vocational","West Germany","","","",""
"PDS/Linke","1985","(2a) intermediate vocational","East Germany","","","",""
"PDS/Linke","1985","(2c_gen) general maturity certificate","West Germany","","","",""
"PDS/Linke","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"PDS/Linke","1985","(2c_voc) vocational maturity certificate","West Germany","","","",""
"PDS/Linke","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"PDS/Linke","1985","(3a) lower tertiary education","West Germany","","","",""
"PDS/Linke","1985","(3a) lower tertiary education","East Germany","","","",""
"PDS/Linke","1985","(3b) higher tertiary education","West Germany","","","",""
"PDS/Linke","1985","(3b) higher tertiary education","East Germany","","","",""
"NPD Combination","1985","(0) in school","West Germany","","","",""
"NPD Combination","1985","(0) in school","East Germany","","","",""
"NPD Combination","1985","(1a) inadequately completed","West Germany","","","",""
"NPD Combination","1985","(1a) inadequately completed","East Germany","","","",""
"NPD Combination","1985","(1b) general elementary school","West Germany","","","",""
"NPD Combination","1985","(1b) general elementary school","East Germany","","","",""
"NPD Combination","1985","(1c) basic vocational qualification","West Germany","","","",""
"NPD Combination","1985","(1c) basic vocational qualification","East Germany","","","",""
"NPD Combination","1985","(2b) intermediate general qualification","West Germany","","","",""
"NPD Combination","1985","(2b) intermediate general qualification","East Germany","","","",""
"NPD Combination","1985","(2a) intermediate vocational","West Germany","","","",""
"NPD Combination","1985","(2a) intermediate vocational","East Germany","","","",""
"NPD Combination","1985","(2c_gen) general maturity certificate","West Germany","","","",""
"NPD Combination","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"NPD Combination","1985","(2c_voc) vocational maturity certificate","West Germany","","","",""
"NPD Combination","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"NPD Combination","1985","(3a) lower tertiary education","West Germany","","","",""
"NPD Combination","1985","(3a) lower tertiary education","East Germany","","","",""
"NPD Combination","1985","(3b) higher tertiary education","West Germany","","","",""
"NPD Combination","1985","(3b) higher tertiary education","East Germany","","","",""
"AfD","1985","(0) in school","West Germany","","","",""
"AfD","1985","(0) in school","East Germany","","","",""
"AfD","1985","(1a) inadequately completed","West Germany","","","",""
"AfD","1985","(1a) inadequately completed","East Germany","","","",""
"AfD","1985","(1b) general elementary school","West Germany","","","",""
"AfD","1985","(1b) general elementary school","East Germany","","","",""
"AfD","1985","(1c) basic vocational qualification","West Germany","","","",""
"AfD","1985","(1c) basic vocational qualification","East Germany","","","",""
"AfD","1985","(2b) intermediate general qualification","West Germany","","","",""
"AfD","1985","(2b) intermediate general qualification","East Germany","","","",""
"AfD","1985","(2a) intermediate vocational","West Germany","","","",""
"AfD","1985","(2a) intermediate vocational","East Germany","","","",""
"AfD","1985","(2c_gen) general maturity certificate","West Germany","","","",""
"AfD","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"AfD","1985","(2c_voc) vocational maturity certificate","West Germany","","","",""
"AfD","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"AfD","1985","(3a) lower tertiary education","West Germany","","","",""
"AfD","1985","(3a) lower tertiary education","East Germany","","","",""
"AfD","1985","(3b) higher tertiary education","West Germany","","","",""
"AfD","1985","(3b) higher tertiary education","East Germany","","","",""
"Other","1985","(0) in school","West Germany","4","","",""
"Other","1985","(0) in school","East Germany","","","",""
"Other","1985","(1a) inadequately completed","West Germany","1","","",""
"Other","1985","(1a) inadequately completed","East Germany","","","",""
"Other","1985","(1b) general elementary school","West Germany","6","","",""
"Other","1985","(1b) general elementary school","East Germany","","","",""
"Other","1985","(1c) basic vocational qualification","West Germany","11","","",""
"Other","1985","(1c) basic vocational qualification","East Germany","","","",""
"Other","1985","(2b) intermediate general qualification","West Germany","2","","",""
"Other","1985","(2b) intermediate general qualification","East Germany","","","",""
"Other","1985","(2a) intermediate vocational","West Germany","4","","",""
"Other","1985","(2a) intermediate vocational","East Germany","","","",""
"Other","1985","(2c_gen) general maturity certificate","West Germany","2","","",""
"Other","1985","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1985","(2c_voc) vocational maturity certificate","West Germany","2","","",""
"Other","1985","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","1985","(3a) lower tertiary education","West Germany","","","",""
"Other","1985","(3a) lower tertiary education","East Germany","","","",""
"Other","1985","(3b) higher tertiary education","West Germany","4","","",""
"Other","1985","(3b) higher tertiary education","East Germany","","","",""
"CDU/CSU","1986","(0) in school","West Germany","19","","",""
"CDU/CSU","1986","(0) in school","East Germany","","","",""
"CDU/CSU","1986","(1a) inadequately completed","West Germany","26","","",""
"CDU/CSU","1986","(1a) inadequately completed","East Germany","","","",""
"CDU/CSU","1986","(1b) general elementary school","West Germany","442","0.446510288811178","0.417198827980211","0.475821749642146"
"CDU/CSU","1986","(1b) general elementary school","East Germany","","","",""
"CDU/CSU","1986","(1c) basic vocational qualification","West Germany","863","0.432269402265137","0.41092341509811","0.453615389432165"
"CDU/CSU","1986","(1c) basic vocational qualification","East Germany","","","",""
"CDU/CSU","1986","(2b) intermediate general qualification","West Germany","84","0.474352796017566","0.406655260355532","0.5420503316796"
"CDU/CSU","1986","(2b) intermediate general qualification","East Germany","","","",""
"CDU/CSU","1986","(2a) intermediate vocational","West Germany","388","0.517684103407536","0.482795532138216","0.552572674676856"
"CDU/CSU","1986","(2a) intermediate vocational","East Germany","","","",""
"CDU/CSU","1986","(2c_gen) general maturity certificate","West Germany","57","0.299139635750894","0.238496902981612","0.359782368520176"
"CDU/CSU","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"CDU/CSU","1986","(2c_voc) vocational maturity certificate","West Germany","93","0.419556655681973","0.359105677368585","0.480007633995362"
"CDU/CSU","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"CDU/CSU","1986","(3a) lower tertiary education","West Germany","80","0.512515126519883","0.435781061662431","0.589249191377334"
"CDU/CSU","1986","(3a) lower tertiary education","East Germany","","","",""
"CDU/CSU","1986","(3b) higher tertiary education","West Germany","134","0.411991833687147","0.360279462543598","0.463704204830697"
"CDU/CSU","1986","(3b) higher tertiary education","East Germany","","","",""
"SPD","1986","(0) in school","West Germany","22","","",""
"SPD","1986","(0) in school","East Germany","","","",""
"SPD","1986","(1a) inadequately completed","West Germany","169","0.750997914196934","0.692088625858226","0.809907202535642"
"SPD","1986","(1a) inadequately completed","East Germany","","","",""
"SPD","1986","(1b) general elementary school","West Germany","612","0.514662964955154","0.48519500118982","0.544130928720487"
"SPD","1986","(1b) general elementary school","East Germany","","","",""
"SPD","1986","(1c) basic vocational qualification","West Germany","1090","0.510365741665676","0.488825801067195","0.531905682264157"
"SPD","1986","(1c) basic vocational qualification","East Germany","","","",""
"SPD","1986","(2b) intermediate general qualification","West Germany","87","0.367191454717328","0.301839678125109","0.432543231309548"
"SPD","1986","(2b) intermediate general qualification","East Germany","","","",""
"SPD","1986","(2a) intermediate vocational","West Germany","312","0.378854614897812","0.344984403703723","0.412724826091901"
"SPD","1986","(2a) intermediate vocational","East Germany","","","",""
"SPD","1986","(2c_gen) general maturity certificate","West Germany","88","0.368459370543638","0.304571048158243","0.432347692929033"
"SPD","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"SPD","1986","(2c_voc) vocational maturity certificate","West Germany","106","0.342605738150862","0.284470644141238","0.400740832160487"
"SPD","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"SPD","1986","(3a) lower tertiary education","West Germany","49","0.286674303749012","0.217253025426478","0.356095582071547"
"SPD","1986","(3a) lower tertiary education","East Germany","","","",""
"SPD","1986","(3b) higher tertiary education","West Germany","129","0.337760341933202","0.28807018260688","0.387450501259523"
"SPD","1986","(3b) higher tertiary education","East Germany","","","",""
"FDP","1986","(0) in school","West Germany","2","","",""
"FDP","1986","(0) in school","East Germany","","","",""
"FDP","1986","(1a) inadequately completed","West Germany","","","",""
"FDP","1986","(1a) inadequately completed","East Germany","","","",""
"FDP","1986","(1b) general elementary school","West Germany","13","","",""
"FDP","1986","(1b) general elementary school","East Germany","","","",""
"FDP","1986","(1c) basic vocational qualification","West Germany","50","0.0269334898196025","0.0199578279125579","0.0339091517266471"
"FDP","1986","(1c) basic vocational qualification","East Germany","","","",""
"FDP","1986","(2b) intermediate general qualification","West Germany","4","","",""
"FDP","1986","(2b) intermediate general qualification","East Germany","","","",""
"FDP","1986","(2a) intermediate vocational","West Germany","40","0.0519025207435697","0.0364141511476774","0.067390890339462"
"FDP","1986","(2a) intermediate vocational","East Germany","","","",""
"FDP","1986","(2c_gen) general maturity certificate","West Germany","5","","",""
"FDP","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"FDP","1986","(2c_voc) vocational maturity certificate","West Germany","15","","",""
"FDP","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"FDP","1986","(3a) lower tertiary education","West Germany","15","","",""
"FDP","1986","(3a) lower tertiary education","East Germany","","","",""
"FDP","1986","(3b) higher tertiary education","West Germany","24","","",""
"FDP","1986","(3b) higher tertiary education","East Germany","","","",""
"Grüne","1986","(0) in school","West Germany","17","","",""
"Grüne","1986","(0) in school","East Germany","","","",""
"Grüne","1986","(1a) inadequately completed","West Germany","11","","",""
"Grüne","1986","(1a) inadequately completed","East Germany","","","",""
"Grüne","1986","(1b) general elementary school","West Germany","33","0.0220726768130941","0.0134100871184211","0.0307352665077672"
"Grüne","1986","(1b) general elementary school","East Germany","","","",""
