"party","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"FDP","1987","66 and older","Not Employed","39","0.0621975509562378","0.0437581118157586","0.0806369900967169","3"
"FDP","1987","16-34 y.","Employed","44","0.0351017913829597","0.0256487231215007","0.0445548596444186","3"
"FDP","1987","16-34 y.","Not Employed","19","","","","3"
"FDP","1987","35-65 y.","Not Employed","43","0.0478486750408788","0.0342757254979388","0.0614216245838189","3"
"FDP","1987","35-65 y.","Employed","127","0.0609164084072984","0.0510402791303175","0.0707925376842792","3"
"NPD Combination","1987","16-34 y.","Not Employed","","","","","6"
"NPD Combination","1987","16-34 y.","Employed","","","","","6"
"NPD Combination","1987","35-65 y.","Employed","","","","","6"
"NPD Combination","1987","35-65 y.","Not Employed","","","","","6"
"NPD Combination","1987","66 and older","Not Employed","","","","","6"
"NPD Combination","1987","66 and older","Employed","","","","","6"
"Other","1987","16-34 y.","Not Employed","3","","","","8"
"Other","1987","16-34 y.","Employed","10","","","","8"
"Other","1987","35-65 y.","Not Employed","5","","","","8"
"Other","1987","35-65 y.","Employed","13","","","","8"
"Other","1987","66 and older","Not Employed","6","","","","8"
"Other","1987","66 and older","Employed","","","","","8"
"PDS/Linke","1987","35-65 y.","Not Employed","","","","","5"
"PDS/Linke","1987","66 and older","Employed","","","","","5"
"PDS/Linke","1987","16-34 y.","Not Employed","","","","","5"
"PDS/Linke","1987","16-34 y.","Employed","","","","","5"
"PDS/Linke","1987","35-65 y.","Employed","","","","","5"
"PDS/Linke","1987","66 and older","Not Employed","","","","","5"
"SPD","1987","66 and older","Employed","8","","","","2"
"SPD","1987","66 and older","Not Employed","267","0.407080357725396","0.369570676232936","0.444590039217855","2"
"SPD","1987","35-65 y.","Not Employed","419","0.425215712204013","0.393778546502291","0.456652877905734","2"
"SPD","1987","35-65 y.","Employed","1074","0.438261188663601","0.417773110761916","0.458749266565287","2"
"SPD","1987","16-34 y.","Not Employed","216","0.397452586745673","0.353257304218175","0.441647869273171","2"
"SPD","1987","16-34 y.","Employed","634","0.394897068076825","0.369788382006725","0.420005754146925","2"
"AfD","1988","16-34 y.","Not Employed","","","","","7"
"AfD","1988","16-34 y.","Employed","","","","","7"
"AfD","1988","35-65 y.","Not Employed","","","","","7"
"AfD","1988","35-65 y.","Employed","","","","","7"
"AfD","1988","66 and older","Not Employed","","","","","7"
"AfD","1988","66 and older","Employed","","","","","7"
"CDU/CSU","1988","16-34 y.","Employed","404","0.349064681542707","0.322838253048691","0.375291110036723","1"
"CDU/CSU","1988","16-34 y.","Not Employed","113","0.287928757384715","0.243720864744348","0.332136650025082","1"
"CDU/CSU","1988","35-65 y.","Not Employed","372","0.463985991980844","0.430301302390431","0.497670681571256","1"
"CDU/CSU","1988","35-65 y.","Employed","792","0.421476115818404","0.400063928258211","0.442888303378597","1"
"CDU/CSU","1988","66 and older","Not Employed","307","0.487180982469086","0.447868586318746","0.526493378619425","1"
"CDU/CSU","1988","66 and older","Employed","26","","","","1"
"FDP","1988","16-34 y.","Employed","37","0.0318724376599429","0.022207674577008","0.0415372007428779","3"
"FDP","1988","66 and older","Not Employed","34","0.0557637085679499","0.0377161500133296","0.0738112671225702","3"
"FDP","1988","66 and older","Employed","3","","","","3"
"FDP","1988","35-65 y.","Employed","98","0.0497258560062182","0.0402998112380537","0.0591519007743827","3"
"FDP","1988","16-34 y.","Not Employed","15","","","","3"
"FDP","1988","35-65 y.","Not Employed","27","","","","3"
"NPD Combination","1988","16-34 y.","Not Employed","","","","","6"
"NPD Combination","1988","16-34 y.","Employed","","","","","6"
"NPD Combination","1988","35-65 y.","Employed","","","","","6"
"NPD Combination","1988","35-65 y.","Not Employed","","","","","6"
"NPD Combination","1988","66 and older","Not Employed","","","","","6"
"NPD Combination","1988","66 and older","Employed","","","","","6"
"Other","1988","16-34 y.","Not Employed","4","","","","8"
"Other","1988","16-34 y.","Employed","13","","","","8"
"Other","1988","35-65 y.","Not Employed","6","","","","8"
"Other","1988","35-65 y.","Employed","17","","","","8"
"Other","1988","66 and older","Not Employed","8","","","","8"
"Other","1988","66 and older","Employed","","","","","8"
"PDS/Linke","1988","16-34 y.","Not Employed","","","","","5"
"PDS/Linke","1988","16-34 y.","Employed","","","","","5"
"PDS/Linke","1988","35-65 y.","Not Employed","","","","","5"
"PDS/Linke","1988","35-65 y.","Employed","","","","","5"
"PDS/Linke","1988","66 and older","Not Employed","","","","","5"
"PDS/Linke","1988","66 and older","Employed","","","","","5"
"SPD","1988","35-65 y.","Employed","1061","0.489576984375228","0.467900465978486","0.511253502771971","2"
"SPD","1988","35-65 y.","Not Employed","410","0.457127122437323","0.423479094775129","0.490775150099517","2"
"SPD","1988","16-34 y.","Not Employed","198","0.435078464029147","0.386675336191779","0.483481591866515","2"
"SPD","1988","66 and older","Employed","8","","","","2"
"SPD","1988","66 and older","Not Employed","270","0.439855136632066","0.400815361827961","0.478894911436171","2"
"SPD","1988","16-34 y.","Employed","653","0.476237258081181","0.448758552855524","0.503715963306838","2"
"AfD","1989","16-34 y.","Not Employed","","","","","7"
"AfD","1989","16-34 y.","Employed","","","","","7"
"AfD","1989","35-65 y.","Employed","","","","","7"
"AfD","1989","35-65 y.","Not Employed","","","","","7"
"AfD","1989","66 and older","Not Employed","","","","","7"
"AfD","1989","66 and older","Employed","","","","","7"
"CDU/CSU","1989","16-34 y.","Employed","332","0.315360296362322","0.289135689566745","0.341584903157899","1"
"CDU/CSU","1989","35-65 y.","Employed","698","0.390890140821499","0.369467667307581","0.412312614335418","1"
"CDU/CSU","1989","16-34 y.","Not Employed","90","0.270619464134462","0.226412689667709","0.314826238601214","1"
"CDU/CSU","1989","35-65 y.","Not Employed","295","0.416506953754228","0.381731851836743","0.451282055671714","1"
"CDU/CSU","1989","66 and older","Not Employed","295","0.467920066232869","0.428225777829955","0.507614354635782","1"
"CDU/CSU","1989","66 and older","Employed","20","","","","1"
"FDP","1989","66 and older","Employed","2","","","","3"
"FDP","1989","66 and older","Not Employed","21","","","","3"
"FDP","1989","16-34 y.","Employed","24","","","","3"
"FDP","1989","35-65 y.","Employed","68","0.035188395171022","0.0270990115527417","0.0432777787893023","3"
"FDP","1989","16-34 y.","Not Employed","10","","","","3"
"FDP","1989","35-65 y.","Not Employed","14","","","","3"
"NPD Combination","1989","66 and older","Not Employed","","","","","6"
"NPD Combination","1989","16-34 y.","Not Employed","","","","","6"
"NPD Combination","1989","16-34 y.","Employed","","","","","6"
"NPD Combination","1989","35-65 y.","Not Employed","","","","","6"
"NPD Combination","1989","35-65 y.","Employed","","","","","6"
"NPD Combination","1989","66 and older","Employed","","","","","6"
"Other","1989","35-65 y.","Employed","65","0.0349169727729644","0.0268577145187412","0.0429762310271876","8"
"Other","1989","16-34 y.","Not Employed","18","","","","8"
"Other","1989","66 and older","Not Employed","23","","","","8"
"Other","1989","66 and older","Employed","2","","","","8"
"Other","1989","16-34 y.","Employed","52","0.051592678045771","0.0391083284380707","0.0640770276534713","8"
"Other","1989","35-65 y.","Not Employed","26","","","","8"
"PDS/Linke","1989","16-34 y.","Not Employed","","","","","5"
"PDS/Linke","1989","16-34 y.","Employed","","","","","5"
"PDS/Linke","1989","35-65 y.","Not Employed","","","","","5"
"PDS/Linke","1989","35-65 y.","Employed","","","","","5"
"PDS/Linke","1989","66 and older","Not Employed","","","","","5"
"PDS/Linke","1989","66 and older","Employed","","","","","5"
"SPD","1989","35-65 y.","Not Employed","402","0.485166078024951","0.449911279901482","0.52042087614842","2"
"SPD","1989","35-65 y.","Employed","1081","0.500817820931958","0.478866337962482","0.522769303901434","2"
"SPD","1989","16-34 y.","Not Employed","191","0.418942291056","0.369849359828648","0.468035222283352","2"
"SPD","1989","66 and older","Not Employed","265","0.449597372554221","0.410023743646044","0.489171001462398","2"
"SPD","1989","66 and older","Employed","6","","","","2"
"SPD","1989","16-34 y.","Employed","638","0.473736620653984","0.445556393399787","0.501916847908181","2"
"AfD","1990","35-65 y.","Employed","","","","","7"
"AfD","1990","16-34 y.","Not Employed","","","","","7"
"AfD","1990","16-34 y.","Employed","","","","","7"
"AfD","1990","35-65 y.","Not Employed","","","","","7"
"AfD","1990","66 and older","Not Employed","","","","","7"
"AfD","1990","66 and older","Employed","","","","","7"
"CDU/CSU","1990","35-65 y.","Employed","698","0.384800400858781","0.36345017759929","0.406150624118272","1"
"CDU/CSU","1990","16-34 y.","Employed","367","0.339138442523551","0.312904522414884","0.365372362632218","1"
"CDU/CSU","1990","66 and older","Not Employed","331","0.505839831036993","0.467433928362928","0.544245733711058","1"
"CDU/CSU","1990","66 and older","Employed","24","","","","1"
"CDU/CSU","1990","16-34 y.","Not Employed","92","0.281750492391384","0.235409661537948","0.328091323244819","1"
"CDU/CSU","1990","35-65 y.","Not Employed","314","0.418796903647859","0.384501950222208","0.453091857073509","1"
"FDP","1990","66 and older","Employed","5","","","","3"
"FDP","1990","66 and older","Not Employed","26","","","","3"
"FDP","1990","16-34 y.","Employed","33","0.0281319330283232","0.0189692454229082","0.0372946206337381","3"
"FDP","1990","16-34 y.","Not Employed","18","","","","3"
"FDP","1990","35-65 y.","Not Employed","30","0.0438540345988634","0.0296198890425053","0.0580881801552214","3"
"FDP","1990","35-65 y.","Employed","85","0.0432069496640497","0.0342849449049133","0.0521289544231861","3"
"NPD Combination","1990","66 and older","Not Employed","5","","","","6"
"NPD Combination","1990","16-34 y.","Not Employed","3","","","","6"
"NPD Combination","1990","16-34 y.","Employed","34","0.025186858617768","0.0165039121009936","0.0338698051345423","6"
"NPD Combination","1990","35-65 y.","Not Employed","11","","","","6"
"NPD Combination","1990","35-65 y.","Employed","20","","","","6"
"NPD Combination","1990","66 and older","Employed","","","","","6"
"Other","1990","16-34 y.","Not Employed","4","","","","8"
"Other","1990","35-65 y.","Employed","11","","","","8"
"Other","1990","16-34 y.","Employed","7","","","","8"
"Other","1990","66 and older","Not Employed","4","","","","8"
"Other","1990","66 and older","Employed","","","","","8"
"Other","1990","35-65 y.","Not Employed","3","","","","8"
"PDS/Linke","1990","16-34 y.","Not Employed","","","","","5"
"PDS/Linke","1990","16-34 y.","Employed","","","","","5"
"PDS/Linke","1990","35-65 y.","Not Employed","","","","","5"
"PDS/Linke","1990","35-65 y.","Employed","","","","","5"
"PDS/Linke","1990","66 and older","Not Employed","","","","","5"
"PDS/Linke","1990","66 and older","Employed","","","","","5"
"SPD","1990","16-34 y.","Employed","672","0.489547294814538","0.461846354051747","0.517248235577329","2"
"SPD","1990","35-65 y.","Employed","1099","0.517681291736598","0.495754508154881","0.539608075318315","2"
"SPD","1990","35-65 y.","Not Employed","414","0.489223749794971","0.454475443544202","0.523972056045739","2"
"SPD","1990","16-34 y.","Not Employed","191","0.465541868993944","0.41415761887829","0.516926119109597","2"
"SPD","1990","66 and older","Not Employed","284","0.433920323246171","0.395848701755481","0.47199194473686","2"
"SPD","1990","66 and older","Employed","4","","","","2"
"AfD","1991","16-34 y.","Employed","","","","","7"
"AfD","1991","35-65 y.","Employed","","","","","7"
"AfD","1991","16-34 y.","Not Employed","","","","","7"
"AfD","1991","35-65 y.","Not Employed","","","","","7"
"AfD","1991","66 and older","Employed","","","","","7"
"AfD","1991","66 and older","Not Employed","","","","","7"
"CDU/CSU","1991","66 and older","Not Employed","338","0.508824718926554","0.470002466713396","0.547646971139713","1"
"CDU/CSU","1991","16-34 y.","Employed","338","0.349712261039642","0.319307583690457","0.380116938388826","1"
"CDU/CSU","1991","35-65 y.","Employed","690","0.422393990711328","0.398604089329289","0.446183892093367","1"
"CDU/CSU","1991","16-34 y.","Not Employed","95","0.368170596277337","0.309880511935535","0.426460680619139","1"
"CDU/CSU","1991","66 and older","Employed","18","","","","1"
"CDU/CSU","1991","35-65 y.","Not Employed","297","0.469260897056298","0.430475587727721","0.508046206384874","1"
"FDP","1991","66 and older","Employed","3","","","","3"
"FDP","1991","66 and older","Not Employed","29","","","","3"
"FDP","1991","16-34 y.","Employed","36","0.0451614849146554","0.0319216900064193","0.0584012798228915","3"
"FDP","1991","16-34 y.","Not Employed","10","","","","3"
"FDP","1991","35-65 y.","Employed","94","0.0548392165425985","0.0438740207081912","0.0658044123770057","3"
"FDP","1991","35-65 y.","Not Employed","33","0.0657078816741002","0.0464517250825213","0.0849640382656791","3"
"NPD Combination","1991","16-34 y.","Not Employed","2","","","","6"
"NPD Combination","1991","35-65 y.","Not Employed","4","","","","6"
"NPD Combination","1991","35-65 y.","Employed","9","","","","6"
"NPD Combination","1991","66 and older","Not Employed","4","","","","6"
"NPD Combination","1991","66 and older","Employed","","","","","6"
"NPD Combination","1991","16-34 y.","Employed","26","","","","6"
"Other","1991","16-34 y.","Not Employed","1","","","","8"
"Other","1991","35-65 y.","Employed","6","","","","8"
"Other","1991","16-34 y.","Employed","8","","","","8"
"Other","1991","66 and older","Not Employed","1","","","","8"
"Other","1991","66 and older","Employed","","","","","8"
"Other","1991","35-65 y.","Not Employed","3","","","","8"
"PDS/Linke","1991","16-34 y.","Not Employed","1","","","","5"
"PDS/Linke","1991","35-65 y.","Not Employed","","","","","5"
"PDS/Linke","1991","66 and older","Employed","","","","","5"
"PDS/Linke","1991","66 and older","Not Employed","2","","","","5"
"PDS/Linke","1991","16-34 y.","Employed","1","","","","5"
"PDS/Linke","1991","35-65 y.","Employed","","","","","5"
"SPD","1991","35-65 y.","Employed","788","0.469009099210035","0.444973658011041","0.493044540409028","2"
"SPD","1991","16-34 y.","Employed","450","0.472797792698952","0.440966189172621","0.504629396225283","2"
"SPD","1991","35-65 y.","Not Employed","284","0.42881278598968","0.390349832037854","0.467275739941506","2"
"SPD","1991","16-34 y.","Not Employed","109","0.38237003257665","0.323637825586275","0.441102239567026","2"
"SPD","1991","66 and older","Employed","3","","","","2"
"SPD","1991","66 and older","Not Employed","257","0.418354290803101","0.380047148677165","0.456661432929038","2"
"AfD","1992","35-65 y.","Employed","","","","","7"
"AfD","1992","16-34 y.","Not Employed","","","","","7"
"AfD","1992","16-34 y.","Employed","","","","","7"
"AfD","1992","35-65 y.","Not Employed","","","","","7"
"AfD","1992","66 and older","Not Employed","","","","","7"
"AfD","1992","66 and older","Employed","","","","","7"
"CDU/CSU","1992","66 and older","Not Employed","373","0.511142653787835","0.475053518047709","0.54723178952796","1"
"CDU/CSU","1992","66 and older","Employed","15","","","","1"
"CDU/CSU","1992","16-34 y.","Employed","394","0.336871521139935","0.31087727546722","0.362865766812649","1"
"CDU/CSU","1992","35-65 y.","Employed","907","0.407684100131512","0.388028306062935","0.42733989420009","1"
"CDU/CSU","1992","16-34 y.","Not Employed","89","0.279825750184599","0.233772075208071","0.325879425161128","1"
"CDU/CSU","1992","35-65 y.","Not Employed","326","0.440133033559484","0.404653853446015","0.475612213672953","1"
"FDP","1992","16-34 y.","Employed","42","0.0454388232206556","0.0339847052492888","0.0568929411920224","3"
"FDP","1992","66 and older","Not Employed","29","","","","3"
"FDP","1992","66 and older","Employed","5","","","","3"
"FDP","1992","35-65 y.","Not Employed","23","","","","3"
"FDP","1992","35-65 y.","Employed","132","0.0544883661238682","0.0454093802124907","0.0635673520352458","3"
"FDP","1992","16-34 y.","Not Employed","17","","","","3"
"NPD Combination","1992","66 and older","Employed","","","","","6"
"NPD Combination","1992","66 and older","Not Employed","","","","","6"
"NPD Combination","1992","35-65 y.","Employed","","","","","6"
"NPD Combination","1992","16-34 y.","Not Employed","","","","","6"
"NPD Combination","1992","35-65 y.","Not Employed","","","","","6"
"NPD Combination","1992","16-34 y.","Employed","","","","","6"
"Other","1992","66 and older","Employed","","","","","8"
"Other","1992","16-34 y.","Not Employed","10","","","","8"
"Other","1992","66 and older","Not Employed","8","","","","8"
"Other","1992","35-65 y.","Employed","35","0.0170578972579749","0.0118785059095796","0.0222372886063701","8"
"Other","1992","16-34 y.","Employed","54","0.0390492935199869","0.028395522059956","0.0497030649800177","8"
"Other","1992","35-65 y.","Not Employed","12","","","","8"
"PDS/Linke","1992","35-65 y.","Employed","53","0.0133906467206193","0.00879310793859476","0.0179881855026439","5"
"PDS/Linke","1992","16-34 y.","Not Employed","6","","","","5"
"PDS/Linke","1992","35-65 y.","Not Employed","24","","","","5"
"PDS/Linke","1992","16-34 y.","Employed","19","","","","5"
"PDS/Linke","1992","66 and older","Not Employed","24","","","","5"
"PDS/Linke","1992","66 and older","Employed","","","","","5"
"SPD","1992","16-34 y.","Not Employed","171","0.42522286421154","0.374505146168867","0.475940582254214","2"
"SPD","1992","66 and older","Employed","7","","","","2"
"SPD","1992","16-34 y.","Employed","601","0.454051891173076","0.426669292712391","0.481434489633762","2"
"SPD","1992","35-65 y.","Employed","1136","0.452450494297419","0.432541503762892","0.472359484831947","2"
"SPD","1992","66 and older","Not Employed","296","0.404815553992676","0.36937759272738","0.440253515257972","2"
"SPD","1992","35-65 y.","Not Employed","341","0.45008628092246","0.414528525723798","0.485644036121122","2"
"AfD","1993","35-65 y.","Employed","","","","","7"
"AfD","1993","16-34 y.","Not Employed","","","","","7"
"AfD","1993","16-34 y.","Employed","","","","","7"
"AfD","1993","35-65 y.","Not Employed","","","","","7"
"AfD","1993","66 and older","Not Employed","","","","","7"
"AfD","1993","66 and older","Employed","","","","","7"
"CDU/CSU","1993","66 and older","Not Employed","330","0.47318517509661","0.435850336235062","0.510520013958157","1"
"CDU/CSU","1993","66 and older","Employed","10","","","","1"
"CDU/CSU","1993","35-65 y.","Employed","739","0.371786031399","0.351291037395466","0.392281025402533","1"
"CDU/CSU","1993","16-34 y.","Employed","279","0.307157900374411","0.279214919733539","0.335100881015282","1"
"CDU/CSU","1993","16-34 y.","Not Employed","78","0.285172963197432","0.234167170366528","0.336178756028335","1"
"CDU/CSU","1993","35-65 y.","Not Employed","279","0.423204062012336","0.387040223307466","0.459367900717207","1"
"FDP","1993","66 and older","Employed","3","","","","3"
"FDP","1993","66 and older","Not Employed","28","","","","3"
"FDP","1993","35-65 y.","Not Employed","24","","","","3"
"FDP","1993","35-65 y.","Employed","99","0.0497814147588034","0.0405579765096755","0.0590048530079314","3"
