"party","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"NPD","1984","Part Time","indirect migration background","","","","","6"
"NPD","1984","Full Time","direct migration background","","","","","6"
"NPD","1984","Full Time","indirect migration background","","","","","6"
"NPD","1984","Part Time","direct migration background","","","","","6"
"NPD","1984","Part Time","no migration background","","","","","6"
"NPD","1984","Not Working","no migration background","","","","","6"
"NPD","1984","Not Working","direct migration background","","","","","6"
"NPD","1984","Not Working","indirect migration background","","","","","6"
"Other","1984","Part Time","no migration background","6","","","","8"
"Other","1984","Full Time","direct migration background","5","","","","8"
"Other","1984","Full Time","indirect migration background","","","","","8"
"Other","1984","Part Time","direct migration background","3","","","","8"
"Other","1984","Full Time","no migration background","10","","","","8"
"Other","1984","Part Time","indirect migration background","","","","","8"
"Other","1984","Not Working","no migration background","12","","","","8"
"Other","1984","Not Working","direct migration background","3","","","","8"
"Other","1984","Not Working","indirect migration background","1","","","","8"
"PDS/Linke","1984","Full Time","no migration background","","","","","5"
"PDS/Linke","1984","Not Working","indirect migration background","","","","","5"
"PDS/Linke","1984","Part Time","indirect migration background","","","","","5"
"PDS/Linke","1984","Full Time","direct migration background","","","","","5"
"PDS/Linke","1984","Full Time","indirect migration background","","","","","5"
"PDS/Linke","1984","Part Time","no migration background","","","","","5"
"PDS/Linke","1984","Part Time","direct migration background","","","","","5"
"PDS/Linke","1984","Not Working","no migration background","","","","","5"
"PDS/Linke","1984","Not Working","direct migration background","","","","","5"
"SPD","1984","Full Time","no migration background","1073","0.457464685401117","0.437249230678197","0.477680140124038","1"
"SPD","1984","Full Time","direct migration background","489","0.641454946622346","0.604615547016722","0.67829434622797","1"
"SPD","1984","Not Working","indirect migration background","9","","","","1"
"SPD","1984","Not Working","direct migration background","192","0.468939887476755","0.411603275676686","0.526276499276825","1"
"SPD","1984","Full Time","indirect migration background","14","","","","1"
"SPD","1984","Part Time","no migration background","370","0.449530919895853","0.415357996118419","0.483703843673288","1"
"SPD","1984","Part Time","indirect migration background","5","","","","1"
"SPD","1984","Part Time","direct migration background","110","0.503396810895833","0.430151208088618","0.576642413703048","1"
"SPD","1984","Not Working","no migration background","913","0.432162890209308","0.411070867314222","0.453254913104393","1"
"AfD","1985","Part Time","indirect migration background","","","","","7"
"AfD","1985","Not Working","direct migration background","","","","","7"
"AfD","1985","Not Working","indirect migration background","","","","","7"
"AfD","1985","Full Time","no migration background","","","","","7"
"AfD","1985","Full Time","direct migration background","","","","","7"
"AfD","1985","Full Time","indirect migration background","","","","","7"
"AfD","1985","Part Time","no migration background","","","","","7"
"AfD","1985","Part Time","direct migration background","","","","","7"
"AfD","1985","Not Working","no migration background","","","","","7"
"CDU/CSU","1985","Full Time","no migration background","890","0.434496625500275","0.413137736929885","0.455855514070665","2"
"CDU/CSU","1985","Part Time","indirect migration background","1","","","","2"
"CDU/CSU","1985","Full Time","direct migration background","98","0.300976951906063","0.262782034413604","0.339171869398522","2"
"CDU/CSU","1985","Part Time","direct migration background","31","0.343880358028495","0.266298165357987","0.421462550699003","2"
"CDU/CSU","1985","Not Working","indirect migration background","8","","","","2"
"CDU/CSU","1985","Not Working","direct migration background","75","0.491794714382594","0.431374573443427","0.552214855321761","2"
"CDU/CSU","1985","Part Time","no migration background","345","0.413200254311969","0.379701065289904","0.446699443334034","2"
"CDU/CSU","1985","Full Time","indirect migration background","4","","","","2"
"CDU/CSU","1985","Not Working","no migration background","873","0.476380996827016","0.453720095198003","0.49904189845603","2"
"FDP","1985","Not Working","no migration background","81","0.0462482755526711","0.0367190477014478","0.0557775034038943","3"
"FDP","1985","Full Time","indirect migration background","","","","","3"
"FDP","1985","Full Time","no migration background","82","0.0391983687796916","0.0308362042399665","0.0475605333194166","3"
"FDP","1985","Full Time","direct migration background","6","","","","3"
"FDP","1985","Part Time","no migration background","24","","","","3"
"FDP","1985","Part Time","direct migration background","","","","","3"
"FDP","1985","Part Time","indirect migration background","","","","","3"
"FDP","1985","Not Working","direct migration background","5","","","","3"
"FDP","1985","Not Working","indirect migration background","","","","","3"
"NPD","1985","Full Time","no migration background","","","","","6"
"NPD","1985","Full Time","direct migration background","","","","","6"
"NPD","1985","Full Time","indirect migration background","","","","","6"
"NPD","1985","Part Time","direct migration background","","","","","6"
"NPD","1985","Part Time","indirect migration background","","","","","6"
"NPD","1985","Part Time","no migration background","","","","","6"
"NPD","1985","Not Working","no migration background","","","","","6"
"NPD","1985","Not Working","direct migration background","","","","","6"
"NPD","1985","Not Working","indirect migration background","","","","","6"
"Other","1985","Part Time","direct migration background","","","","","8"
"Other","1985","Part Time","no migration background","5","","","","8"
"Other","1985","Full Time","no migration background","14","","","","8"
"Other","1985","Full Time","direct migration background","","","","","8"
"Other","1985","Full Time","indirect migration background","","","","","8"
"Other","1985","Part Time","indirect migration background","","","","","8"
"Other","1985","Not Working","no migration background","17","","","","8"
"Other","1985","Not Working","direct migration background","","","","","8"
"Other","1985","Not Working","indirect migration background","","","","","8"
"PDS/Linke","1985","Full Time","no migration background","","","","","5"
"PDS/Linke","1985","Not Working","indirect migration background","","","","","5"
"PDS/Linke","1985","Part Time","indirect migration background","","","","","5"
"PDS/Linke","1985","Full Time","direct migration background","","","","","5"
"PDS/Linke","1985","Full Time","indirect migration background","","","","","5"
"PDS/Linke","1985","Part Time","no migration background","","","","","5"
"PDS/Linke","1985","Part Time","direct migration background","","","","","5"
"PDS/Linke","1985","Not Working","no migration background","","","","","5"
"PDS/Linke","1985","Not Working","direct migration background","","","","","5"
"SPD","1985","Full Time","indirect migration background","12","","","","1"
"SPD","1985","Full Time","direct migration background","412","0.606675108379961","0.565998286597095","0.647351930162828","1"
"SPD","1985","Full Time","no migration background","969","0.463748152747837","0.442260283996282","0.485236021499392","1"
"SPD","1985","Not Working","no migration background","771","0.416150180499412","0.393785232634433","0.438515128364391","1"
"SPD","1985","Part Time","direct migration background","91","0.5365863968022","0.455140152386655","0.618032641217745","1"
"SPD","1985","Part Time","indirect migration background","5","","","","1"
"SPD","1985","Not Working","indirect migration background","13","","","","1"
"SPD","1985","Part Time","no migration background","375","0.456639616741659","0.422752093880188","0.490527139603131","1"
"SPD","1985","Not Working","direct migration background","160","0.440158128351111","0.380164204368808","0.500152052333413","1"
"AfD","1986","Part Time","indirect migration background","","","","","7"
"AfD","1986","Not Working","indirect migration background","","","","","7"
"AfD","1986","Not Working","direct migration background","","","","","7"
"AfD","1986","Full Time","no migration background","","","","","7"
"AfD","1986","Full Time","direct migration background","","","","","7"
"AfD","1986","Full Time","indirect migration background","","","","","7"
"AfD","1986","Part Time","no migration background","","","","","7"
"AfD","1986","Part Time","direct migration background","","","","","7"
"AfD","1986","Not Working","no migration background","","","","","7"
"CDU/CSU","1986","Part Time","indirect migration background","4","","","","2"
"CDU/CSU","1986","Part Time","direct migration background","34","0.448373588571327","0.364168520948639","0.532578656194014","2"
"CDU/CSU","1986","Not Working","indirect migration background","6","","","","2"
"CDU/CSU","1986","Part Time","no migration background","320","0.402551609483177","0.368397223536328","0.436705995430026","2"
"CDU/CSU","1986","Not Working","direct migration background","69","0.439683426273917","0.379235001087719","0.500131851460115","2"
"CDU/CSU","1986","Full Time","direct migration background","96","0.295504349107687","0.256400604904896","0.334608093310478","2"
"CDU/CSU","1986","Full Time","no migration background","867","0.43848684409477","0.41660857937915","0.46036510881039","2"
"CDU/CSU","1986","Full Time","indirect migration background","6","","","","2"
"CDU/CSU","1986","Not Working","no migration background","802","0.471054036300765","0.447620360572599","0.494487712028932","2"
"FDP","1986","Full Time","indirect migration background","","","","","3"
"FDP","1986","Not Working","no migration background","62","0.0381110193779746","0.029122520783635","0.0470995179723141","3"
"FDP","1986","Full Time","direct migration background","8","","","","3"
"FDP","1986","Full Time","no migration background","80","0.0391393356493556","0.0305888348279106","0.0476898364708005","3"
"FDP","1986","Part Time","no migration background","18","","","","3"
"FDP","1986","Part Time","direct migration background","","","","","3"
"FDP","1986","Part Time","indirect migration background","","","","","3"
"FDP","1986","Not Working","indirect migration background","","","","","3"
"FDP","1986","Not Working","direct migration background","2","","","","3"
"NPD","1986","Full Time","direct migration background","","","","","6"
"NPD","1986","Full Time","no migration background","","","","","6"
"NPD","1986","Full Time","indirect migration background","","","","","6"
"NPD","1986","Part Time","no migration background","","","","","6"
"NPD","1986","Part Time","indirect migration background","","","","","6"
"NPD","1986","Not Working","no migration background","","","","","6"
"NPD","1986","Not Working","direct migration background","","","","","6"
"NPD","1986","Part Time","direct migration background","","","","","6"
"NPD","1986","Not Working","indirect migration background","","","","","6"
"Other","1986","Part Time","no migration background","3","","","","8"
"Other","1986","Part Time","direct migration background","2","","","","8"
"Other","1986","Full Time","no migration background","12","","","","8"
"Other","1986","Full Time","direct migration background","2","","","","8"
"Other","1986","Full Time","indirect migration background","","","","","8"
"Other","1986","Part Time","indirect migration background","","","","","8"
"Other","1986","Not Working","no migration background","9","","","","8"
"Other","1986","Not Working","direct migration background","1","","","","8"
"Other","1986","Not Working","indirect migration background","","","","","8"
"PDS/Linke","1986","Not Working","indirect migration background","","","","","5"
"PDS/Linke","1986","Full Time","no migration background","","","","","5"
"PDS/Linke","1986","Full Time","direct migration background","","","","","5"
"PDS/Linke","1986","Full Time","indirect migration background","","","","","5"
"PDS/Linke","1986","Part Time","indirect migration background","","","","","5"
"PDS/Linke","1986","Not Working","direct migration background","","","","","5"
"PDS/Linke","1986","Part Time","no migration background","","","","","5"
"PDS/Linke","1986","Not Working","no migration background","","","","","5"
"PDS/Linke","1986","Part Time","direct migration background","","","","","5"
"SPD","1986","Full Time","no migration background","910","0.463507632486026","0.44152069003019","0.485494574941862","1"
"SPD","1986","Full Time","direct migration background","380","0.585919192406699","0.543704983070971","0.628133401742428","1"
"SPD","1986","Full Time","indirect migration background","12","","","","1"
"SPD","1986","Part Time","no migration background","355","0.45201767036923","0.417356239759944","0.486679100978515","1"
"SPD","1986","Part Time","direct migration background","88","0.489640830949389","0.405001452430538","0.57428020946824","1"
"SPD","1986","Not Working","no migration background","762","0.436367432252703","0.413085254411905","0.4596496100935","1"
"SPD","1986","Part Time","indirect migration background","8","","","","1"
"SPD","1986","Not Working","indirect migration background","6","","","","1"
"SPD","1986","Not Working","direct migration background","170","0.493574782633188","0.432686692470669","0.554462872795706","1"
"AfD","1987","Part Time","indirect migration background","","","","","7"
"AfD","1987","Not Working","indirect migration background","","","","","7"
"AfD","1987","Not Working","direct migration background","","","","","7"
"AfD","1987","Full Time","no migration background","","","","","7"
"AfD","1987","Full Time","direct migration background","","","","","7"
"AfD","1987","Full Time","indirect migration background","","","","","7"
"AfD","1987","Part Time","no migration background","","","","","7"
"AfD","1987","Part Time","direct migration background","","","","","7"
"AfD","1987","Not Working","no migration background","","","","","7"
"CDU/CSU","1987","Part Time","no migration background","378","0.434281495350335","0.401458221770486","0.467104768930185","2"
"CDU/CSU","1987","Part Time","direct migration background","36","0.403248627412231","0.324217096349702","0.48228015847476","2"
"CDU/CSU","1987","Part Time","indirect migration background","4","","","","2"
"CDU/CSU","1987","Not Working","indirect migration background","9","","","","2"
"CDU/CSU","1987","Not Working","direct migration background","75","0.435366588965684","0.375216167809127","0.495517010122241","2"
"CDU/CSU","1987","Full Time","direct migration background","112","0.354319090328118","0.313326676177784","0.395311504478452","2"
"CDU/CSU","1987","Full Time","no migration background","970","0.451533931300039","0.430537646788576","0.472530215811502","2"
"CDU/CSU","1987","Full Time","indirect migration background","6","","","","2"
"CDU/CSU","1987","Not Working","no migration background","829","0.472877023610735","0.449774099503598","0.495979947717872","2"
"FDP","1987","Not Working","no migration background","95","0.0574311261201027","0.0466648110570014","0.068197441183204","3"
"FDP","1987","Full Time","indirect migration background","","","","","3"
"FDP","1987","Full Time","direct migration background","11","","","","3"
"FDP","1987","Part Time","direct migration background","1","","","","3"
"FDP","1987","Full Time","no migration background","127","0.0601222903669661","0.0500928706993839","0.0701517100345483","3"
"FDP","1987","Part Time","no migration background","38","0.0447535308102171","0.0310615144078401","0.0584455472125942","3"
"FDP","1987","Part Time","indirect migration background","","","","","3"
"FDP","1987","Not Working","direct migration background","6","","","","3"
"FDP","1987","Not Working","indirect migration background","","","","","3"
"NPD","1987","Full Time","no migration background","","","","","6"
"NPD","1987","Full Time","indirect migration background","","","","","6"
"NPD","1987","Full Time","direct migration background","","","","","6"
"NPD","1987","Part Time","no migration background","","","","","6"
"NPD","1987","Part Time","indirect migration background","","","","","6"
"NPD","1987","Not Working","no migration background","","","","","6"
"NPD","1987","Not Working","direct migration background","","","","","6"
"NPD","1987","Part Time","direct migration background","","","","","6"
"NPD","1987","Not Working","indirect migration background","","","","","6"
"Other","1987","Part Time","direct migration background","","","","","8"
"Other","1987","Part Time","no migration background","9","","","","8"
"Other","1987","Full Time","no migration background","12","","","","8"
"Other","1987","Full Time","direct migration background","2","","","","8"
"Other","1987","Full Time","indirect migration background","","","","","8"
"Other","1987","Part Time","indirect migration background","","","","","8"
"Other","1987","Not Working","no migration background","13","","","","8"
"Other","1987","Not Working","direct migration background","1","","","","8"
"Other","1987","Not Working","indirect migration background","","","","","8"
"PDS/Linke","1987","Not Working","indirect migration background","","","","","5"
"PDS/Linke","1987","Full Time","no migration background","","","","","5"
"PDS/Linke","1987","Full Time","direct migration background","","","","","5"
"PDS/Linke","1987","Full Time","indirect migration background","","","","","5"
"PDS/Linke","1987","Part Time","no migration background","","","","","5"
"PDS/Linke","1987","Part Time","indirect migration background","","","","","5"
"PDS/Linke","1987","Not Working","no migration background","","","","","5"
"PDS/Linke","1987","Not Working","direct migration background","","","","","5"
"PDS/Linke","1987","Part Time","direct migration background","","","","","5"
"SPD","1987","Full Time","no migration background","907","0.419292585362798","0.398473595786182","0.440111574939415","1"
"SPD","1987","Full Time","direct migration background","348","0.53496907682909","0.492222385752538","0.577715767905642","1"
"SPD","1987","Full Time","indirect migration background","19","","","","1"
"SPD","1987","Part Time","direct migration background","89","0.484657817521743","0.404141724923871","0.565173910119615","1"
"SPD","1987","Part Time","no migration background","347","0.394407854335231","0.362044097281923","0.426771611388539","1"
"SPD","1987","Not Working","no migration background","741","0.411890174069909","0.389115256947528","0.434665091192289","1"
"SPD","1987","Not Working","indirect migration background","12","","","","1"
"SPD","1987","Not Working","direct migration background","149","0.444374124002727","0.384091319321351","0.504656928684103","1"
"SPD","1987","Part Time","indirect migration background","6","","","","1"
"AfD","1988","Full Time","no migration background","","","","","7"
"AfD","1988","Full Time","direct migration background","","","","","7"
"AfD","1988","Part Time","indirect migration background","","","","","7"
"AfD","1988","Not Working","direct migration background","","","","","7"
"AfD","1988","Not Working","indirect migration background","","","","","7"
"AfD","1988","Full Time","indirect migration background","","","","","7"
"AfD","1988","Part Time","no migration background","","","","","7"
"AfD","1988","Part Time","direct migration background","","","","","7"
"AfD","1988","Not Working","no migration background","","","","","7"
"CDU/CSU","1988","Full Time","no migration background","801","0.415958596264768","0.39393478750943","0.437982405020106","2"
"CDU/CSU","1988","Part Time","no migration background","299","0.391294266349745","0.356822926284979","0.425765606414511","2"
"CDU/CSU","1988","Not Working","direct migration background","78","0.496867595803279","0.432390779843483","0.561344411763075","2"
"CDU/CSU","1988","Part Time","direct migration background","26","","","","2"
"CDU/CSU","1988","Part Time","indirect migration background","5","","","","2"
"CDU/CSU","1988","Not Working","indirect migration background","6","","","","2"
"CDU/CSU","1988","Full Time","direct migration background","86","0.294427217450788","0.252866121587257","0.33598831331432","2"
"CDU/CSU","1988","Full Time","indirect migration background","5","","","","2"
"CDU/CSU","1988","Not Working","no migration background","708","0.445238093518446","0.420893535272977","0.469582651763915","2"
"FDP","1988","Full Time","no migration background","94","0.0480460024484886","0.0384898698411373","0.0576021350558399","3"
"FDP","1988","Part Time","direct migration background","1","","","","3"
"FDP","1988","Part Time","no migration background","32","0.0416119428246764","0.0275066397670895","0.0557172458822632","3"
"FDP","1988","Not Working","indirect migration background","","","","","3"
"FDP","1988","Full Time","indirect migration background","","","","","3"
"FDP","1988","Full Time","direct migration background","11","","","","3"
"FDP","1988","Not Working","no migration background","72","0.0498869236729803","0.039222597136691","0.0605512502092696","3"
"FDP","1988","Not Working","direct migration background","4","","","","3"
"FDP","1988","Part Time","indirect migration background","","","","","3"
"NPD","1988","Full Time","direct migration background","","","","","6"
"NPD","1988","Full Time","no migration background","","","","","6"
"NPD","1988","Full Time","indirect migration background","","","","","6"
"NPD","1988","Part Time","no migration background","","","","","6"
"NPD","1988","Part Time","direct migration background","","","","","6"
"NPD","1988","Part Time","indirect migration background","","","","","6"
"NPD","1988","Not Working","no migration background","","","","","6"
"NPD","1988","Not Working","direct migration background","","","","","6"
"NPD","1988","Not Working","indirect migration background","","","","","6"
"Other","1988","Part Time","direct migration background","2","","","","8"
"Other","1988","Full Time","no migration background","19","","","","8"
"Other","1988","Part Time","no migration background","5","","","","8"
"Other","1988","Full Time","direct migration background","3","","","","8"
"Other","1988","Full Time","indirect migration background","1","","","","8"
"Other","1988","Part Time","indirect migration background","","","","","8"
"Other","1988","Not Working","no migration background","16","","","","8"
"Other","1988","Not Working","direct migration background","1","","","","8"
"Other","1988","Not Working","indirect migration background","1","","","","8"
"PDS/Linke","1988","Full Time","no migration background","","","","","5"
"PDS/Linke","1988","Full Time","direct migration background","","","","","5"
"PDS/Linke","1988","Full Time","indirect migration background","","","","","5"
"PDS/Linke","1988","Part Time","no migration background","","","","","5"
"PDS/Linke","1988","Not Working","indirect migration background","","","","","5"
"PDS/Linke","1988","Part Time","direct migration background","","","","","5"
"PDS/Linke","1988","Part Time","indirect migration background","","","","","5"
"PDS/Linke","1988","Not Working","no migration background","","","","","5"
"PDS/Linke","1988","Not Working","direct migration background","","","","","5"
"SPD","1988","Full Time","direct migration background","323","0.597904366784179","0.553194060577774","0.642614672990583","1"
"SPD","1988","Full Time","no migration background","903","0.467881730008598","0.445586205899776","0.49017725411742","1"
"SPD","1988","Part Time","direct migration background","101","0.57088992116357","0.491149637026899","0.65063020530024","1"
"SPD","1988","Full Time","indirect migration background","19","","","","1"
"SPD","1988","Part Time","no migration background","365","0.477851217951017","0.442569785317025","0.51313265058501","1"
"SPD","1988","Part Time","indirect migration background","11","","","","1"
"SPD","1988","Not Working","no migration background","723","0.446833740829781","0.422480697249634","0.471186784409927","1"
"SPD","1988","Not Working","indirect migration background","23","","","","1"
"SPD","1988","Not Working","direct migration background","132","0.437628659460086","0.373654208287019","0.501603110633153","1"
"AfD","1989","Full Time","direct migration background","","","","","7"
"AfD","1989","Not Working","indirect migration background","","","","","7"
"AfD","1989","Full Time","no migration background","","","","","7"
"AfD","1989","Full Time","indirect migration background","","","","","7"
"AfD","1989","Part Time","no migration background","","","","","7"
"AfD","1989","Part Time","direct migration background","","","","","7"
"AfD","1989","Part Time","indirect migration background","","","","","7"
"AfD","1989","Not Working","no migration background","","","","","7"
"AfD","1989","Not Working","direct migration background","","","","","7"
"CDU/CSU","1989","Part Time","no migration background","242","0.370424164961402","0.333912037834944","0.406936292087859","2"
"CDU/CSU","1989","Part Time","indirect migration background","2","","","","2"
"CDU/CSU","1989","Not Working","indirect migration background","9","","","","2"
"CDU/CSU","1989","Full Time","no migration background","693","0.383635801782761","0.36125232960852","0.406019273957002","2"
"CDU/CSU","1989","Part Time","direct migration background","32","0.340122948689369","0.266715931056535","0.413529966322202","2"
"CDU/CSU","1989","Not Working","direct migration background","66","0.418866104887974","0.359010675616405","0.478721534159544","2"
"CDU/CSU","1989","Full Time","direct migration background","76","0.242001839694414","0.205504293700083","0.278499385688744","2"
"CDU/CSU","1989","Full Time","indirect migration background","5","","","","2"
"CDU/CSU","1989","Not Working","no migration background","605","0.417466026908987","0.392179208980936","0.442752844837039","2"
"FDP","1989","Full Time","no migration background","63","0.0327173739213827","0.0245286712687822","0.0409060765739831","3"
"FDP","1989","Part Time","direct migration background","1","","","","3"
"FDP","1989","Full Time","indirect migration background","1","","","","3"
"FDP","1989","Part Time","no migration background","22","","","","3"
"FDP","1989","Not Working","indirect migration background","1","","","","3"
"FDP","1989","Full Time","direct migration background","7","","","","3"
"FDP","1989","Not Working","no migration background","42","0.0325936221152697","0.0234883323925551","0.0416989118379842","3"
"FDP","1989","Not Working","direct migration background","2","","","","3"
"FDP","1989","Part Time","indirect migration background","","","","","3"
"NPD","1989","Full Time","direct migration background","","","","","6"
"NPD","1989","Full Time","no migration background","","","","","6"
"NPD","1989","Part Time","no migration background","","","","","6"
"NPD","1989","Part Time","direct migration background","","","","","6"
"NPD","1989","Full Time","indirect migration background","","","","","6"
"NPD","1989","Part Time","indirect migration background","","","","","6"
"NPD","1989","Not Working","no migration background","","","","","6"
"NPD","1989","Not Working","direct migration background","","","","","6"
"NPD","1989","Not Working","indirect migration background","","","","","6"
"Other","1989","Full Time","no migration background","85","0.049667518982101","0.0396669845670056","0.0596680533971964","8"
"Other","1989","Part Time","direct migration background","4","","","","8"
"Other","1989","Full Time","direct migration background","11","","","","8"
"Other","1989","Full Time","indirect migration background","","","","","8"
"Other","1989","Part Time","no migration background","19","","","","8"
"Other","1989","Part Time","indirect migration background","","","","","8"
"Other","1989","Not Working","no migration background","63","0.0422996253622936","0.0319789986052127","0.0526202521193745","8"
"Other","1989","Not Working","direct migration background","4","","","","8"
"Other","1989","Not Working","indirect migration background","","","","","8"
"PDS/Linke","1989","Full Time","no migration background","","","","","5"
"PDS/Linke","1989","Full Time","direct migration background","","","","","5"
"PDS/Linke","1989","Full Time","indirect migration background","","","","","5"
"PDS/Linke","1989","Part Time","no migration background","","","","","5"
"PDS/Linke","1989","Not Working","indirect migration background","","","","","5"
"PDS/Linke","1989","Part Time","direct migration background","","","","","5"
"PDS/Linke","1989","Part Time","indirect migration background","","","","","5"
"PDS/Linke","1989","Not Working","no migration background","","","","","5"
"PDS/Linke","1989","Not Working","direct migration background","","","","","5"
"SPD","1989","Full Time","no migration background","868","0.476775955780402","0.453785360921356","0.499766550639448","1"
"SPD","1989","Full Time","direct migration background","389","0.627402691874039","0.586201165984167","0.66860421776391","1"
"SPD","1989","Part Time","direct migration background","105","0.483770051453649","0.406336498415364","0.561203604491935","1"
"SPD","1989","Part Time","no migration background","324","0.471870695139977","0.434126941301843","0.509614448978112","1"
"SPD","1989","Not Working","no migration background","662","0.457398901895438","0.431853609618097","0.482944194172779","1"
"SPD","1989","Full Time","indirect migration background","24","","","","1"
"SPD","1989","Not Working","direct migration background","165","0.478675135891355","0.41807096818473","0.539279303597981","1"
"SPD","1989","Not Working","indirect migration background","31","0.401233798129869","0.25802515576049","0.544442440499248","1"
"SPD","1989","Part Time","indirect migration background","15","","","","1"
"AfD","1990","Full Time","no migration background","","","","","7"
"AfD","1990","Full Time","direct migration background","","","","","7"
"AfD","1990","Not Working","indirect migration background","","","","","7"
"AfD","1990","Full Time","indirect migration background","","","","","7"
"AfD","1990","Part Time","no migration background","","","","","7"
"AfD","1990","Part Time","direct migration background","","","","","7"
"AfD","1990","Part Time","indirect migration background","","","","","7"
"AfD","1990","Not Working","no migration background","","","","","7"
"AfD","1990","Not Working","direct migration background","","","","","7"
"CDU/CSU","1990","Full Time","no migration background","711","0.398906257293583","0.376303742843479","0.421508771743687","2"
"CDU/CSU","1990","Full Time","direct migration background","84","0.269376572047352","0.231678513646267","0.307074630448438","2"
"CDU/CSU","1990","Part Time","indirect migration background","","","","","2"
"CDU/CSU","1990","Full Time","indirect migration background","4","","","","2"
"CDU/CSU","1990","Part Time","no migration background","269","0.348774258094998","0.314779449005119","0.382769067184878","2"
"CDU/CSU","1990","Not Working","indirect migration background","7","","","","2"
"CDU/CSU","1990","Part Time","direct migration background","21","","","","2"
"CDU/CSU","1990","Not Working","direct migration background","76","0.410076142537621","0.351190295589604","0.468961989485637","2"
"CDU/CSU","1990","Not Working","no migration background","654","0.441978913203827","0.416838445392699","0.467119381014954","2"
"FDP","1990","Part Time","direct migration background","1","","","","3"
"FDP","1990","Full Time","no migration background","75","0.037370066718642","0.0286153550925807","0.0461247783447033","3"
"FDP","1990","Full Time","indirect migration background","1","","","","3"
"FDP","1990","Part Time","no migration background","35","0.0506616158093501","0.0350184497988496","0.0663047818198505","3"
"FDP","1990","Not Working","indirect migration background","","","","","3"
"FDP","1990","Full Time","direct migration background","11","","","","3"
"FDP","1990","Not Working","no migration background","71","0.0508762305073955","0.0397520977625368","0.0620003632522541","3"
"FDP","1990","Not Working","direct migration background","3","","","","3"
"FDP","1990","Part Time","indirect migration background","","","","","3"
"NPD","1990","Full Time","no migration background","40","0.0191022697468668","0.0127839066591512","0.0254206328345824","6"
"NPD","1990","Full Time","direct migration background","2","","","","6"
"NPD","1990","Full Time","indirect migration background","","","","","6"
"NPD","1990","Part Time","no migration background","11","","","","6"
"NPD","1990","Part Time","direct migration background","1","","","","6"
"NPD","1990","Part Time","indirect migration background","","","","","6"
"NPD","1990","Not Working","no migration background","15","","","","6"
"NPD","1990","Not Working","direct migration background","2","","","","6"
"NPD","1990","Not Working","indirect migration background","2","","","","6"
"Other","1990","Full Time","no migration background","11","","","","8"
"Other","1990","Part Time","direct migration background","","","","","8"
"Other","1990","Full Time","direct migration background","3","","","","8"
"Other","1990","Full Time","indirect migration background","","","","","8"
"Other","1990","Part Time","no migration background","3","","","","8"
"Other","1990","Part Time","indirect migration background","1","","","","8"
"Other","1990","Not Working","no migration background","10","","","","8"
"Other","1990","Not Working","direct migration background","1","","","","8"
"Other","1990","Not Working","indirect migration background","","","","","8"
"PDS/Linke","1990","Full Time","no migration background","","","","","5"
"PDS/Linke","1990","Full Time","direct migration background","","","","","5"
"PDS/Linke","1990","Full Time","indirect migration background","","","","","5"
"PDS/Linke","1990","Part Time","no migration background","","","","","5"
"PDS/Linke","1990","Not Working","indirect migration background","","","","","5"
"PDS/Linke","1990","Part Time","direct migration background","","","","","5"
"PDS/Linke","1990","Part Time","indirect migration background","","","","","5"
