"party","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"AfD","1986","Employed","no migration background","","","",""
"AfD","1986","Employed","direct migration background","","","",""
"AfD","1986","Employed","indirect migration background","","","",""
"Other","1986","Not Employed","no migration background","9","","",""
"Other","1986","Not Employed","direct migration background","1","","",""
"Other","1986","Not Employed","indirect migration background","","","",""
"Other","1986","Employed","no migration background","15","","",""
"Other","1986","Employed","direct migration background","4","","",""
"Other","1986","Employed","indirect migration background","","","",""
"CDU/CSU","1987","Not Employed","no migration background","829","0.472877023610735","0.449774099503598","0.495979947717872"
"CDU/CSU","1987","Not Employed","direct migration background","75","0.435366588965684","0.375216167809127","0.495517010122241"
"CDU/CSU","1987","Not Employed","indirect migration background","9","","",""
"CDU/CSU","1987","Employed","no migration background","1348","0.446561193524129","0.428871691928006","0.464250695120253"
"CDU/CSU","1987","Employed","direct migration background","148","0.367364473507183","0.3308880544245","0.403840892589865"
"CDU/CSU","1987","Employed","indirect migration background","10","","",""
"SPD","1987","Not Employed","no migration background","741","0.411890174069909","0.389115256947528","0.434665091192289"
"SPD","1987","Not Employed","direct migration background","149","0.444374124002727","0.384091319321351","0.504656928684103"
"SPD","1987","Not Employed","indirect migration background","12","","",""
"SPD","1987","Employed","no migration background","1254","0.412119961022392","0.394605511784209","0.429634410260576"
"SPD","1987","Employed","direct migration background","437","0.521555304801013","0.483758691596574","0.559351918005452"
"SPD","1987","Employed","indirect migration background","25","","",""
"FDP","1987","Not Employed","no migration background","95","0.0574311261201027","0.0466648110570014","0.068197441183204"
"FDP","1987","Not Employed","direct migration background","6","","",""
"FDP","1987","Not Employed","indirect migration background","","","",""
"FDP","1987","Employed","no migration background","165","0.0556924920799576","0.0475323945405289","0.0638525896193863"
"FDP","1987","Employed","direct migration background","12","","",""
"FDP","1987","Employed","indirect migration background","","","",""
"Grüne","1987","Not Employed","no migration background","116","0.0496065918656063","0.0395590858547272","0.0596540978764855"
"Grüne","1987","Not Employed","direct migration background","30","0.0944849884925756","0.0589989865651312","0.12997099042002"
"Grüne","1987","Not Employed","indirect migration background","4","","",""
"Grüne","1987","Employed","no migration background","246","0.0783363466587307","0.0687752394021862","0.0878974539152753"
"Grüne","1987","Employed","direct migration background","72","0.0840164795871974","0.0630264572338746","0.10500650194052"
"Grüne","1987","Employed","indirect migration background","3","","",""
"PDS/Linke","1987","Not Employed","no migration background","","","",""
"PDS/Linke","1987","Not Employed","direct migration background","","","",""
"PDS/Linke","1987","Not Employed","indirect migration background","","","",""
"PDS/Linke","1987","Employed","no migration background","","","",""
"PDS/Linke","1987","Employed","direct migration background","","","",""
"PDS/Linke","1987","Employed","indirect migration background","","","",""
"NPD Combination","1987","Not Employed","no migration background","","","",""
"NPD Combination","1987","Not Employed","direct migration background","","","",""
"NPD Combination","1987","Not Employed","indirect migration background","","","",""
"NPD Combination","1987","Employed","no migration background","","","",""
"NPD Combination","1987","Employed","direct migration background","","","",""
"NPD Combination","1987","Employed","indirect migration background","","","",""
"AfD","1987","Not Employed","no migration background","","","",""
"AfD","1987","Not Employed","direct migration background","","","",""
"AfD","1987","Not Employed","indirect migration background","","","",""
"AfD","1987","Employed","no migration background","","","",""
"AfD","1987","Employed","direct migration background","","","",""
"AfD","1987","Employed","indirect migration background","","","",""
"Other","1987","Not Employed","no migration background","13","","",""
"Other","1987","Not Employed","direct migration background","1","","",""
"Other","1987","Not Employed","indirect migration background","","","",""
"Other","1987","Employed","no migration background","21","","",""
"Other","1987","Employed","direct migration background","2","","",""
"Other","1987","Employed","indirect migration background","","","",""
"CDU/CSU","1988","Not Employed","no migration background","708","0.445238093518446","0.420893535272977","0.469582651763915"
"CDU/CSU","1988","Not Employed","direct migration background","78","0.496867595803279","0.432390779843483","0.561344411763075"
"CDU/CSU","1988","Not Employed","indirect migration background","6","","",""
"CDU/CSU","1988","Employed","no migration background","1100","0.408986194502996","0.39042087479851","0.427551514207482"
"CDU/CSU","1988","Employed","direct migration background","112","0.297617857797219","0.261335174551806","0.333900541042633"
"CDU/CSU","1988","Employed","indirect migration background","10","","",""
"SPD","1988","Not Employed","no migration background","723","0.446833740829781","0.422480697249634","0.471186784409927"
"SPD","1988","Not Employed","direct migration background","132","0.437628659460086","0.373654208287019","0.501603110633153"
"SPD","1988","Not Employed","indirect migration background","23","","",""
"SPD","1988","Employed","no migration background","1268","0.470700021668383","0.451851714856852","0.489548328479913"
"SPD","1988","Employed","direct migration background","424","0.589933679495844","0.55090248705225","0.628964871939439"
"SPD","1988","Employed","indirect migration background","30","0.555956206216357","0.410786824310625","0.70112558812209"
"FDP","1988","Not Employed","no migration background","72","0.0498869236729803","0.039222597136691","0.0605512502092696"
"FDP","1988","Not Employed","direct migration background","4","","",""
"FDP","1988","Not Employed","indirect migration background","","","",""
"FDP","1988","Employed","no migration background","126","0.0462271470889076","0.0382981123661667","0.0541561818116486"
"FDP","1988","Employed","direct migration background","12","","",""
"FDP","1988","Employed","indirect migration background","","","",""
"Grüne","1988","Not Employed","no migration background","82","0.0459519927116257","0.0356957163629096","0.0562082690603419"
"Grüne","1988","Not Employed","direct migration background","16","","",""
"Grüne","1988","Not Employed","indirect migration background","4","","",""
"Grüne","1988","Employed","no migration background","176","0.0649590947132831","0.055652633269154","0.0742655561574123"
"Grüne","1988","Employed","direct migration background","57","0.0746447460878549","0.0537884567274508","0.0955010354482591"
"Grüne","1988","Employed","indirect migration background","4","","",""
"PDS/Linke","1988","Not Employed","no migration background","","","",""
"PDS/Linke","1988","Not Employed","direct migration background","","","",""
"PDS/Linke","1988","Not Employed","indirect migration background","","","",""
"PDS/Linke","1988","Employed","no migration background","","","",""
"PDS/Linke","1988","Employed","direct migration background","","","",""
