"party","year","education","sex","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1985","no degree/no degree yet","Male","38","0.331305954533614","0.262160053764994","0.400451855302234"
"CDU/CSU","1985","no degree/no degree yet","Female","","","",""
"SPD","1985","lower secondary degree","Male","794","0.510920049773546","0.48584770362296","0.535992395924131"
"SPD","1985","lower secondary degree","Female","771","0.48705991949433","0.46231203348719","0.51180780550147"
"SPD","1985","secondary school degree","Male","172","0.335654798482781","0.293366163627218","0.377943433338344"
"SPD","1985","secondary school degree","Female","263","0.392416263771458","0.354042935580183","0.430789591962734"
"SPD","1985","college entrance qualification","Male","175","0.321693754571034","0.281962246185152","0.361425262956915"
"SPD","1985","college entrance qualification","Female","99","0.316447023455266","0.263818151611338","0.369075895299194"
"SPD","1985","Other degree","Male","225","0.725982050360487","0.674998875869177","0.776965224851797"
"SPD","1985","Other degree","Female","94","0.628487613689364","0.54309298672742","0.713882240651307"
"SPD","1985","no degree/no degree yet","Male","113","0.466176474966956","0.392891976330512","0.539460973603401"
"SPD","1985","no degree/no degree yet","Female","77","0.528245502705258","0.433658354689217","0.622832650721298"
"FDP","1985","lower secondary degree","Male","37","0.024420978634367","0.0166791896321896","0.0321627676365443"
"FDP","1985","lower secondary degree","Female","40","0.0292509775521416","0.0209076889594783","0.037594266144805"
"FDP","1985","secondary school degree","Male","","","",""
"FDP","1985","secondary school degree","Female","","","",""
"FDP","1985","college entrance qualification","Male","44","0.0830091883748256","0.0595427917775134","0.106475584972138"
"FDP","1985","college entrance qualification","Female","","","",""
"FDP","1985","Other degree","Male","","","",""
"FDP","1985","Other degree","Female","","","",""
"FDP","1985","no degree/no degree yet","Male","","","",""
"FDP","1985","no degree/no degree yet","Female","","","",""
"Grüne","1985","lower secondary degree","Male","61","0.0322616047749906","0.0233992212224792","0.041123988327502"
"Grüne","1985","lower secondary degree","Female","35","0.017241696713337","0.010796636866471","0.0236867565602031"
"Grüne","1985","secondary school degree","Male","","","",""
"Grüne","1985","secondary school degree","Female","61","0.0882032429897807","0.0659166235674252","0.110489862412136"
"Grüne","1985","college entrance qualification","Male","80","0.145998492759046","0.11596510417429","0.176031881343801"
"Grüne","1985","college entrance qualification","Female","77","0.240005872616418","0.191677350338938","0.288334394893899"
"Grüne","1985","Other degree","Male","","","",""
"Grüne","1985","Other degree","Female","","","",""
"Grüne","1985","no degree/no degree yet","Male","","","",""
"Grüne","1985","no degree/no degree yet","Female","","","",""
"PDS/Linke","1985","lower secondary degree","Male","","","",""
"PDS/Linke","1985","lower secondary degree","Female","","","",""
"PDS/Linke","1985","secondary school degree","Male","","","",""
"PDS/Linke","1985","secondary school degree","Female","","","",""
"PDS/Linke","1985","college entrance qualification","Male","","","",""
"PDS/Linke","1985","college entrance qualification","Female","","","",""
"PDS/Linke","1985","Other degree","Male","","","",""
"PDS/Linke","1985","Other degree","Female","","","",""
"PDS/Linke","1985","no degree/no degree yet","Male","","","",""
"PDS/Linke","1985","no degree/no degree yet","Female","","","",""
"NPD Combination","1985","lower secondary degree","Male","","","",""
"NPD Combination","1985","lower secondary degree","Female","","","",""
"NPD Combination","1985","secondary school degree","Male","","","",""
"NPD Combination","1985","secondary school degree","Female","","","",""
"NPD Combination","1985","college entrance qualification","Male","","","",""
"NPD Combination","1985","college entrance qualification","Female","","","",""
"NPD Combination","1985","Other degree","Male","","","",""
"NPD Combination","1985","Other degree","Female","","","",""
"NPD Combination","1985","no degree/no degree yet","Male","","","",""
"NPD Combination","1985","no degree/no degree yet","Female","","","",""
"AfD","1985","lower secondary degree","Male","","","",""
"AfD","1985","lower secondary degree","Female","","","",""
"AfD","1985","secondary school degree","Male","","","",""
"AfD","1985","secondary school degree","Female","","","",""
"AfD","1985","college entrance qualification","Male","","","",""
"AfD","1985","college entrance qualification","Female","","","",""
"AfD","1985","Other degree","Male","","","",""
"AfD","1985","Other degree","Female","","","",""
"AfD","1985","no degree/no degree yet","Male","","","",""
"AfD","1985","no degree/no degree yet","Female","","","",""
"Other","1985","lower secondary degree","Male","","","",""
"Other","1985","lower secondary degree","Female","","","",""
"Other","1985","secondary school degree","Male","","","",""
"Other","1985","secondary school degree","Female","","","",""
"Other","1985","college entrance qualification","Male","","","",""
"Other","1985","college entrance qualification","Female","","","",""
"Other","1985","Other degree","Male","","","",""
"Other","1985","Other degree","Female","","","",""
"Other","1985","no degree/no degree yet","Male","","","",""
"Other","1985","no degree/no degree yet","Female","","","",""
"CDU/CSU","1986","lower secondary degree","Male","577","0.409663560668342","0.38426375999799","0.435063361338694"
"CDU/CSU","1986","lower secondary degree","Female","680","0.470710994220811","0.445072588780206","0.496349399661416"
"CDU/CSU","1986","secondary school degree","Male","242","0.543907466650083","0.498637455005421","0.589177478294746"
"CDU/CSU","1986","secondary school degree","Female","253","0.486316626599569","0.445392624955471","0.527240628243668"
"CDU/CSU","1986","college entrance qualification","Male","214","0.429187192771363","0.386397737001284","0.471976648541442"
"CDU/CSU","1986","college entrance qualification","Female","112","0.384744611485969","0.331015853649006","0.438473369322933"
"CDU/CSU","1986","Other degree","Male","41","0.172014368809034","0.126746898699958","0.217281838918111"
"CDU/CSU","1986","Other degree","Female","","","",""
"CDU/CSU","1986","no degree/no degree yet","Male","","","",""
"CDU/CSU","1986","no degree/no degree yet","Female","","","",""
"SPD","1986","lower secondary degree","Male","780","0.537212897193646","0.511459727835243","0.562966066552048"
"SPD","1986","lower secondary degree","Female","706","0.480558042894657","0.454894959115824","0.50622112667349"
"SPD","1986","secondary school degree","Male","164","0.345441550821751","0.302221714430335","0.388661387213166"
"SPD","1986","secondary school degree","Female","243","0.387917138262881","0.348019666742485","0.427814609783277"
"SPD","1986","college entrance qualification","Male","173","0.327331514749268","0.286765627213264","0.367897402285272"
"SPD","1986","college entrance qualification","Female","108","0.330127790908121","0.278196414035741","0.382059167780501"
"SPD","1986","Other degree","Male","207","0.729770770276137","0.676504553251776","0.783036987300498"
"SPD","1986","Other degree","Female","90","0.690522817781303","0.608493044787897","0.772552590774708"
"SPD","1986","no degree/no degree yet","Male","117","0.56976143121213","0.494216155138182","0.645306707286077"
"SPD","1986","no degree/no degree yet","Female","74","0.495022605843991","0.39893222695645","0.591112984731532"
"FDP","1986","lower secondary degree","Male","30","0.0219317864875604","0.0143671437495244","0.0294964292255963"
"FDP","1986","lower secondary degree","Female","31","0.0242976475473207","0.0163888912439523","0.032206403850689"
"FDP","1986","secondary school degree","Male","","","",""
"FDP","1986","secondary school degree","Female","","","",""
"FDP","1986","college entrance qualification","Male","34","0.0694162026655188","0.0474439441019058","0.0913884612291317"
"FDP","1986","college entrance qualification","Female","","","",""
"FDP","1986","Other degree","Male","","","",""
"FDP","1986","Other degree","Female","","","",""
"FDP","1986","no degree/no degree yet","Male","","","",""
"FDP","1986","no degree/no degree yet","Female","","","",""
"Grüne","1986","lower secondary degree","Male","39","0.0225492766307687","0.0148813033942258","0.0302172498673116"
"Grüne","1986","lower secondary degree","Female","33","0.0200593970344719","0.0128578431087315","0.0272609509602122"
"Grüne","1986","secondary school degree","Male","","","",""
"Grüne","1986","secondary school degree","Female","54","0.0856560109439757","0.0627418209525119","0.108570200935439"
"Grüne","1986","college entrance qualification","Male","91","0.168693007038193","0.136319049829835","0.201066964246551"
"Grüne","1986","college entrance qualification","Female","79","0.226719061107052","0.18048037511074","0.272957747103363"
"Grüne","1986","Other degree","Male","","","",""
"Grüne","1986","Other degree","Female","","","",""
"Grüne","1986","no degree/no degree yet","Male","","","",""
"Grüne","1986","no degree/no degree yet","Female","","","",""
"PDS/Linke","1986","lower secondary degree","Male","","","",""
"PDS/Linke","1986","lower secondary degree","Female","","","",""
"PDS/Linke","1986","secondary school degree","Male","","","",""
"PDS/Linke","1986","secondary school degree","Female","","","",""
"PDS/Linke","1986","college entrance qualification","Male","","","",""
"PDS/Linke","1986","college entrance qualification","Female","","","",""
"PDS/Linke","1986","Other degree","Male","","","",""
"PDS/Linke","1986","Other degree","Female","","","",""
"PDS/Linke","1986","no degree/no degree yet","Male","","","",""
"PDS/Linke","1986","no degree/no degree yet","Female","","","",""
"NPD Combination","1986","lower secondary degree","Male","","","",""
"NPD Combination","1986","lower secondary degree","Female","","","",""
"NPD Combination","1986","secondary school degree","Male","","","",""
"NPD Combination","1986","secondary school degree","Female","","","",""
"NPD Combination","1986","college entrance qualification","Male","","","",""
"NPD Combination","1986","college entrance qualification","Female","","","",""
"NPD Combination","1986","Other degree","Male","","","",""
"NPD Combination","1986","Other degree","Female","","","",""
"NPD Combination","1986","no degree/no degree yet","Male","","","",""
"NPD Combination","1986","no degree/no degree yet","Female","","","",""
"AfD","1986","lower secondary degree","Male","","","",""
"AfD","1986","lower secondary degree","Female","","","",""
"AfD","1986","secondary school degree","Male","","","",""
"AfD","1986","secondary school degree","Female","","","",""
"AfD","1986","college entrance qualification","Male","","","",""
"AfD","1986","college entrance qualification","Female","","","",""
"AfD","1986","Other degree","Male","","","",""
"AfD","1986","Other degree","Female","","","",""
"AfD","1986","no degree/no degree yet","Male","","","",""
"AfD","1986","no degree/no degree yet","Female","","","",""
"Other","1986","lower secondary degree","Male","","","",""
"Other","1986","lower secondary degree","Female","","","",""
"Other","1986","secondary school degree","Male","","","",""
"Other","1986","secondary school degree","Female","","","",""
"Other","1986","college entrance qualification","Male","","","",""
"Other","1986","college entrance qualification","Female","","","",""
"Other","1986","Other degree","Male","","","",""
"Other","1986","Other degree","Female","","","",""
"Other","1986","no degree/no degree yet","Male","","","",""
"Other","1986","no degree/no degree yet","Female","","","",""
"CDU/CSU","1987","lower secondary degree","Male","658","0.434736214533943","0.409977606656219","0.459494822411667"
"CDU/CSU","1987","lower secondary degree","Female","741","0.470694943290439","0.446137541522595","0.495252345058282"
"CDU/CSU","1987","secondary school degree","Male","265","0.540476489515919","0.497393205187554","0.583559773844283"
"CDU/CSU","1987","secondary school degree","Female","295","0.506477229138145","0.46749890956589","0.545455548710401"
"CDU/CSU","1987","college entrance qualification","Male","217","0.428568410090333","0.386277462174869","0.470859358005798"
"CDU/CSU","1987","college entrance qualification","Female","107","0.392910587892004","0.338188762861238","0.447632412922771"
"CDU/CSU","1987","Other degree","Male","40","0.208695487026967","0.15801649545722","0.259374478596713"
"CDU/CSU","1987","Other degree","Female","","","",""
"CDU/CSU","1987","no degree/no degree yet","Male","35","0.282050606175736","0.213595715329297","0.350505497022176"
"CDU/CSU","1987","no degree/no degree yet","Female","","","",""
"SPD","1987","lower secondary degree","Male","763","0.4910448050329","0.466076557178722","0.516013052887077"
"SPD","1987","lower secondary degree","Female","720","0.451982081595526","0.427496094516313","0.476468068674738"
"SPD","1987","secondary school degree","Male","175","0.323521056637836","0.283077908967274","0.363964204308397"
"SPD","1987","secondary school degree","Female","237","0.347152465449212","0.310036944296331","0.384267986602092"
"SPD","1987","college entrance qualification","Male","160","0.285781803344921","0.247172856034634","0.324390750655208"
"SPD","1987","college entrance qualification","Female","86","0.251270632287488","0.202672376999116","0.29986888757586"
"SPD","1987","Other degree","Male","178","0.673374471072821","0.614888325470025","0.731860616675617"
"SPD","1987","Other degree","Female","75","0.495540231425974","0.406084082934984","0.584996379916964"
"SPD","1987","no degree/no degree yet","Male","104","0.5276506946668","0.451705736955243","0.603595652378358"
"SPD","1987","no degree/no degree yet","Female","83","0.609038899848495","0.520620133668354","0.697457666028636"
"FDP","1987","lower secondary degree","Male","49","0.0334104946700168","0.0244351688901142","0.0423858204499195"
"FDP","1987","lower secondary degree","Female","54","0.0396304905921752","0.0300322079712765","0.049228773213074"
"FDP","1987","secondary school degree","Male","41","0.0831182321265292","0.0592526875536066","0.106983776699452"
"FDP","1987","secondary school degree","Female","41","0.0693247135827408","0.0495216361940398","0.0891277909714418"
"FDP","1987","college entrance qualification","Male","55","0.110115148950586","0.083363801563551","0.13686649633762"
"FDP","1987","college entrance qualification","Female","","","",""
"FDP","1987","Other degree","Male","","","",""
"FDP","1987","Other degree","Female","","","",""
"FDP","1987","no degree/no degree yet","Male","","","",""
"FDP","1987","no degree/no degree yet","Female","","","",""
"Grüne","1987","lower secondary degree","Male","59","0.0336347585939772","0.0246304050546477","0.0426391121333068"
"Grüne","1987","lower secondary degree","Female","64","0.0319232645108086","0.0232742192944489","0.0405723097271683"
"Grüne","1987","secondary school degree","Male","","","",""
"Grüne","1987","secondary school degree","Female","54","0.0702674956289178","0.0503403177816365","0.0901946734761992"
"Grüne","1987","college entrance qualification","Male","90","0.164294911909835","0.132628868773421","0.195960955046249"
"Grüne","1987","college entrance qualification","Female","87","0.258549206781755","0.209492301261549","0.30760611230196"
"Grüne","1987","Other degree","Male","","","",""
"Grüne","1987","Other degree","Female","","","",""
"Grüne","1987","no degree/no degree yet","Male","","","",""
"Grüne","1987","no degree/no degree yet","Female","","","",""
"PDS/Linke","1987","lower secondary degree","Male","","","",""
"PDS/Linke","1987","lower secondary degree","Female","","","",""
"PDS/Linke","1987","secondary school degree","Male","","","",""
"PDS/Linke","1987","secondary school degree","Female","","","",""
"PDS/Linke","1987","college entrance qualification","Male","","","",""
"PDS/Linke","1987","college entrance qualification","Female","","","",""
"PDS/Linke","1987","Other degree","Male","","","",""
"PDS/Linke","1987","Other degree","Female","","","",""
"PDS/Linke","1987","no degree/no degree yet","Male","","","",""
"PDS/Linke","1987","no degree/no degree yet","Female","","","",""
"NPD Combination","1987","lower secondary degree","Male","","","",""
"NPD Combination","1987","lower secondary degree","Female","","","",""
"NPD Combination","1987","secondary school degree","Male","","","",""
"NPD Combination","1987","secondary school degree","Female","","","",""
"NPD Combination","1987","college entrance qualification","Male","","","",""
"NPD Combination","1987","college entrance qualification","Female","","","",""
"NPD Combination","1987","Other degree","Male","","","",""
"NPD Combination","1987","Other degree","Female","","","",""
"NPD Combination","1987","no degree/no degree yet","Male","","","",""
"NPD Combination","1987","no degree/no degree yet","Female","","","",""
"AfD","1987","lower secondary degree","Male","","","",""
"AfD","1987","lower secondary degree","Female","","","",""
"AfD","1987","secondary school degree","Male","","","",""
"AfD","1987","secondary school degree","Female","","","",""
"AfD","1987","college entrance qualification","Male","","","",""
"AfD","1987","college entrance qualification","Female","","","",""
"AfD","1987","Other degree","Male","","","",""
"AfD","1987","Other degree","Female","","","",""
"AfD","1987","no degree/no degree yet","Male","","","",""
"AfD","1987","no degree/no degree yet","Female","","","",""
"Other","1987","lower secondary degree","Male","","","",""
"Other","1987","lower secondary degree","Female","","","",""
"Other","1987","secondary school degree","Male","","","",""
"Other","1987","secondary school degree","Female","","","",""
"Other","1987","college entrance qualification","Male","","","",""
"Other","1987","college entrance qualification","Female","","","",""
"Other","1987","Other degree","Male","","","",""
"Other","1987","Other degree","Female","","","",""
"Other","1987","no degree/no degree yet","Male","","","",""
"Other","1987","no degree/no degree yet","Female","","","",""
"CDU/CSU","1988","lower secondary degree","Male","523","0.381899818323131","0.356522196273392","0.407277440372869"
"CDU/CSU","1988","lower secondary degree","Female","620","0.442421312159537","0.41646000633707","0.468382617982004"
"CDU/CSU","1988","secondary school degree","Male","216","0.508896405163639","0.462131820775175","0.555660989552103"
"CDU/CSU","1988","secondary school degree","Female","241","0.475417364715261","0.434202582011263","0.51663214741926"
"CDU/CSU","1988","college entrance qualification","Male","204","0.412714653618718","0.369986657077227","0.455442650160209"
"CDU/CSU","1988","college entrance qualification","Female","96","0.36712519793086","0.310463225012879","0.423787170848841"
"CDU/CSU","1988","Other degree","Male","39","0.198341089300962","0.148713473688062","0.247968704913862"
"CDU/CSU","1988","Other degree","Female","","","",""
"CDU/CSU","1988","no degree/no degree yet","Male","","","",""
"CDU/CSU","1988","no degree/no degree yet","Female","","","",""
"SPD","1988","lower secondary degree","Male","781","0.547536773814088","0.521538467647526","0.573535079980651"
"SPD","1988","lower secondary degree","Female","704","0.500194318487984","0.474059144104448","0.52632949287152"
"SPD","1988","secondary school degree","Male","170","0.365862907590732","0.320805458555522","0.410920356625943"
"SPD","1988","secondary school degree","Female","245","0.394344805030168","0.354011916661453","0.434677693398882"
"SPD","1988","college entrance qualification","Male","195","0.358735953990278","0.317109549385502","0.400362358595054"
"SPD","1988","college entrance qualification","Female","89","0.298219460951859","0.244442736736406","0.351996185167313"
"SPD","1988","Other degree","Male","186","0.708598963667067","0.652044348307154","0.76515357902698"
"SPD","1988","Other degree","Female","57","0.45311769547417","0.348515473078288","0.557719917870052"
"SPD","1988","no degree/no degree yet","Male","77","0.585051628401954","0.494605539044326","0.675497717759581"
"SPD","1988","no degree/no degree yet","Female","67","0.607908818697031","0.508684214367615","0.707133423026446"
"FDP","1988","lower secondary degree","Male","45","0.0311329365916847","0.02206123192048","0.0402046412628895"
"FDP","1988","lower secondary degree","Female","36","0.0285500409885123","0.0198450361696901","0.0372550458073345"
"FDP","1988","secondary school degree","Male","","","",""
"FDP","1988","secondary school degree","Female","34","0.0626570505314411","0.0426564621854139","0.0826576388774684"
"FDP","1988","college entrance qualification","Male","42","0.0880788155534763","0.0634820847403248","0.112675546366628"
"FDP","1988","college entrance qualification","Female","","","",""
"FDP","1988","Other degree","Male","","","",""
"FDP","1988","Other degree","Female","","","",""
"FDP","1988","no degree/no degree yet","Male","","","",""
"FDP","1988","no degree/no degree yet","Female","","","",""
"Grüne","1988","lower secondary degree","Male","44","0.0286492755297705","0.0199357959064068","0.0373627551531343"
"Grüne","1988","lower secondary degree","Female","36","0.0210030602651586","0.0135077884509328","0.0284983320793844"
"Grüne","1988","secondary school degree","Male","","","",""
"Grüne","1988","secondary school degree","Female","40","0.0602659960644797","0.0406257384744778","0.0799062536544815"
"Grüne","1988","college entrance qualification","Male","64","0.127868767290362","0.0988862461028651","0.156851288477859"
"Grüne","1988","college entrance qualification","Female","68","0.23402294460495","0.18425350013051","0.28379238907939"
"Grüne","1988","Other degree","Male","","","",""
"Grüne","1988","Other degree","Female","","","",""
"Grüne","1988","no degree/no degree yet","Male","","","",""
"Grüne","1988","no degree/no degree yet","Female","","","",""
"PDS/Linke","1988","lower secondary degree","Male","","","",""
"PDS/Linke","1988","lower secondary degree","Female","","","",""
"PDS/Linke","1988","secondary school degree","Male","","","",""
"PDS/Linke","1988","secondary school degree","Female","","","",""
"PDS/Linke","1988","college entrance qualification","Male","","","",""
"PDS/Linke","1988","college entrance qualification","Female","","","",""
"PDS/Linke","1988","Other degree","Male","","","",""
"PDS/Linke","1988","Other degree","Female","","","",""
"PDS/Linke","1988","no degree/no degree yet","Male","","","",""
"PDS/Linke","1988","no degree/no degree yet","Female","","","",""
"NPD Combination","1988","lower secondary degree","Male","","","",""
"NPD Combination","1988","lower secondary degree","Female","","","",""
"NPD Combination","1988","secondary school degree","Male","","","",""
"NPD Combination","1988","secondary school degree","Female","","","",""
"NPD Combination","1988","college entrance qualification","Male","","","",""
"NPD Combination","1988","college entrance qualification","Female","","","",""
"NPD Combination","1988","Other degree","Male","","","",""
"NPD Combination","1988","Other degree","Female","","","",""
"NPD Combination","1988","no degree/no degree yet","Male","","","",""
"NPD Combination","1988","no degree/no degree yet","Female","","","",""
"AfD","1988","lower secondary degree","Male","","","",""
"AfD","1988","lower secondary degree","Female","","","",""
"AfD","1988","secondary school degree","Male","","","",""
"AfD","1988","secondary school degree","Female","","","",""
"AfD","1988","college entrance qualification","Male","","","",""
"AfD","1988","college entrance qualification","Female","","","",""
"AfD","1988","Other degree","Male","","","",""
"AfD","1988","Other degree","Female","","","",""
"AfD","1988","no degree/no degree yet","Male","","","",""
"AfD","1988","no degree/no degree yet","Female","","","",""
"Other","1988","lower secondary degree","Male","","","",""
"Other","1988","lower secondary degree","Female","","","",""
"Other","1988","secondary school degree","Male","","","",""
"Other","1988","secondary school degree","Female","","","",""
"Other","1988","college entrance qualification","Male","","","",""
"Other","1988","college entrance qualification","Female","","","",""
"Other","1988","Other degree","Male","","","",""
"Other","1988","Other degree","Female","","","",""
"Other","1988","no degree/no degree yet","Male","","","",""
"Other","1988","no degree/no degree yet","Female","","","",""
"CDU/CSU","1989","lower secondary degree","Male","455","0.359884033875783","0.333972029660951","0.385796038090615"
"CDU/CSU","1989","lower secondary degree","Female","521","0.417799759642546","0.390674961580799","0.444924557704292"
"CDU/CSU","1989","secondary school degree","Male","178","0.44224844526181","0.394579711508272","0.489917179015348"
"CDU/CSU","1989","secondary school degree","Female","203","0.452788359494811","0.40941749060372","0.496159228385902"
"CDU/CSU","1989","college entrance qualification","Male","189","0.388592830604474","0.345953646314086","0.431232014894861"
"CDU/CSU","1989","college entrance qualification","Female","82","0.340789851611984","0.284358725802592","0.397220977421376"
"CDU/CSU","1989","Other degree","Male","35","0.178269678078282","0.131924896267245","0.224614459889318"
"CDU/CSU","1989","Other degree","Female","","","",""
"CDU/CSU","1989","no degree/no degree yet","Male","","","",""
"CDU/CSU","1989","no degree/no degree yet","Female","","","",""
"SPD","1989","lower secondary degree","Male","727","0.546363657294909","0.519486383969273","0.573240930620545"
"SPD","1989","lower secondary degree","Female","641","0.500396663974735","0.472897714807274","0.527895613142196"
"SPD","1989","secondary school degree","Male","176","0.404724333265144","0.357613716852827","0.451834949677462"
"SPD","1989","secondary school degree","Female","228","0.412652110051147","0.369756527113743","0.45554769298855"
"SPD","1989","college entrance qualification","Male","198","0.366492015308123","0.32434133994132","0.408642690674925"
"SPD","1989","college entrance qualification","Female","99","0.326157028727966","0.270341355429413","0.381972702026519"
"SPD","1989","Other degree","Male","199","0.678437229643038","0.62188038625052","0.734994073035556"
"SPD","1989","Other degree","Female","73","0.622028982771325","0.530155376845321","0.713902588697328"
"SPD","1989","no degree/no degree yet","Male","102","0.662609657256526","0.581950007889635","0.743269306623417"
"SPD","1989","no degree/no degree yet","Female","102","0.624004019792399","0.541683602135727","0.70632443744907"
"FDP","1989","lower secondary degree","Male","","","",""
"FDP","1989","lower secondary degree","Female","","","",""
"FDP","1989","secondary school degree","Male","","","",""
