"party","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1985","lower secondary degree","West Germany","1339","0.444830299767246","0.427319822037671","0.462340777496822"
"CDU/CSU","1985","lower secondary degree","East Germany","","","",""
"CDU/CSU","1985","secondary school degree","West Germany","518","0.500161089363932","0.470626943644333","0.52969523508353"
"CDU/CSU","1985","secondary school degree","East Germany","","","",""
"CDU/CSU","1985","college entrance qualification","West Germany","330","0.413157340511049","0.379678827962721","0.446635853059377"
"CDU/CSU","1985","college entrance qualification","East Germany","","","",""
"CDU/CSU","1985","Other degree","West Germany","68","0.235843968287316","0.195098109746828","0.276589826827804"
"CDU/CSU","1985","Other degree","East Germany","","","",""
"CDU/CSU","1985","no degree/no degree yet","West Germany","55","0.320271518345002","0.266102301808946","0.374440734881059"
"CDU/CSU","1985","no degree/no degree yet","East Germany","","","",""
"SPD","1985","lower secondary degree","West Germany","1565","0.498418803178592","0.480800837117606","0.516036769239578"
"SPD","1985","lower secondary degree","East Germany","","","",""
"SPD","1985","secondary school degree","West Germany","435","0.368459955191977","0.339966177881525","0.396953732502428"
"SPD","1985","secondary school degree","East Germany","","","",""
"SPD","1985","college entrance qualification","West Germany","274","0.319789003262192","0.288078643722754","0.351499362801631"
"SPD","1985","college entrance qualification","East Germany","","","",""
"SPD","1985","Other degree","West Germany","319","0.69767104587991","0.653590670503753","0.741751421256067"
"SPD","1985","Other degree","East Germany","","","",""
"SPD","1985","no degree/no degree yet","West Germany","190","0.487149065649285","0.429119118702878","0.545179012595693"
"SPD","1985","no degree/no degree yet","East Germany","","","",""
"FDP","1985","lower secondary degree","West Germany","77","0.0269516021815928","0.0212453961157486","0.032657808247437"
"FDP","1985","lower secondary degree","East Germany","","","",""
"FDP","1985","secondary school degree","West Germany","52","0.0536521104388241","0.0403422578528636","0.0669619630247846"
"FDP","1985","secondary school degree","East Germany","","","",""
"FDP","1985","college entrance qualification","West Germany","62","0.0754589715491717","0.0575006346638481","0.0934173084344952"
"FDP","1985","college entrance qualification","East Germany","","","",""
"FDP","1985","Other degree","West Germany","","","",""
"FDP","1985","Other degree","East Germany","","","",""
"FDP","1985","no degree/no degree yet","West Germany","","","",""
"FDP","1985","no degree/no degree yet","East Germany","","","",""
"Grüne","1985","lower secondary degree","West Germany","96","0.0243920930701101","0.0189564600740481","0.0298277260661721"
"Grüne","1985","lower secondary degree","East Germany","","","",""
"Grüne","1985","secondary school degree","West Germany","90","0.0727765514007958","0.0574324178211586","0.0881206849804331"
"Grüne","1985","secondary school degree","East Germany","","","",""
"Grüne","1985","college entrance qualification","West Germany","157","0.180126538559974","0.153998317290064","0.206254759829883"
"Grüne","1985","college entrance qualification","East Germany","","","",""
"Grüne","1985","Other degree","West Germany","","","",""
"Grüne","1985","Other degree","East Germany","","","",""
"Grüne","1985","no degree/no degree yet","West Germany","32","0.137950912976354","0.0979146117032986","0.17798721424941"
"Grüne","1985","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1985","lower secondary degree","West Germany","","","",""
"PDS/Linke","1985","lower secondary degree","East Germany","","","",""
"PDS/Linke","1985","secondary school degree","West Germany","","","",""
"PDS/Linke","1985","secondary school degree","East Germany","","","",""
"PDS/Linke","1985","college entrance qualification","West Germany","","","",""
"PDS/Linke","1985","college entrance qualification","East Germany","","","",""
"PDS/Linke","1985","Other degree","West Germany","","","",""
"PDS/Linke","1985","Other degree","East Germany","","","",""
"PDS/Linke","1985","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1985","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1985","lower secondary degree","West Germany","","","",""
"NPD Combination","1985","lower secondary degree","East Germany","","","",""
"NPD Combination","1985","secondary school degree","West Germany","","","",""
"NPD Combination","1985","secondary school degree","East Germany","","","",""
"NPD Combination","1985","college entrance qualification","West Germany","","","",""
"NPD Combination","1985","college entrance qualification","East Germany","","","",""
"NPD Combination","1985","Other degree","West Germany","","","",""
"NPD Combination","1985","Other degree","East Germany","","","",""
"NPD Combination","1985","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1985","no degree/no degree yet","East Germany","","","",""
"AfD","1985","lower secondary degree","West Germany","","","",""
"AfD","1985","lower secondary degree","East Germany","","","",""
"AfD","1985","secondary school degree","West Germany","","","",""
"AfD","1985","secondary school degree","East Germany","","","",""
"AfD","1985","college entrance qualification","West Germany","","","",""
"AfD","1985","college entrance qualification","East Germany","","","",""
"AfD","1985","Other degree","West Germany","","","",""
"AfD","1985","Other degree","East Germany","","","",""
"AfD","1985","no degree/no degree yet","West Germany","","","",""
"AfD","1985","no degree/no degree yet","East Germany","","","",""
"Other","1985","lower secondary degree","West Germany","","","",""
"Other","1985","lower secondary degree","East Germany","","","",""
"Other","1985","secondary school degree","West Germany","","","",""
"Other","1985","secondary school degree","East Germany","","","",""
"Other","1985","college entrance qualification","West Germany","","","",""
"Other","1985","college entrance qualification","East Germany","","","",""
"Other","1985","Other degree","West Germany","","","",""
"Other","1985","Other degree","East Germany","","","",""
"Other","1985","no degree/no degree yet","West Germany","","","",""
"Other","1985","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1986","lower secondary degree","West Germany","1257","0.441453737933917","0.423368634940808","0.459538840927026"
"CDU/CSU","1986","lower secondary degree","East Germany","","","",""
"CDU/CSU","1986","secondary school degree","West Germany","495","0.511378062159294","0.480968725848815","0.541787398469774"
"CDU/CSU","1986","secondary school degree","East Germany","","","",""
"CDU/CSU","1986","college entrance qualification","West Germany","326","0.412193980866808","0.378686740352411","0.445701221381205"
"CDU/CSU","1986","college entrance qualification","East Germany","","","",""
"CDU/CSU","1986","Other degree","West Germany","62","0.176854810569934","0.138939034358022","0.214770586781846"
"CDU/CSU","1986","Other degree","East Germany","","","",""
"CDU/CSU","1986","no degree/no degree yet","West Germany","45","0.248605237568366","0.196956326474272","0.300254148662461"
"CDU/CSU","1986","no degree/no degree yet","East Germany","","","",""
"SPD","1986","lower secondary degree","West Germany","1486","0.507710135876543","0.489501929122868","0.525918342630218"
"SPD","1986","lower secondary degree","East Germany","","","",""
"SPD","1986","secondary school degree","West Germany","407","0.369433309991168","0.340071491311697","0.39879512867064"
"SPD","1986","secondary school degree","East Germany","","","",""
"SPD","1986","college entrance qualification","West Germany","281","0.328400708120506","0.296431786784913","0.360369629456099"
"SPD","1986","college entrance qualification","East Germany","","","",""
"SPD","1986","Other degree","West Germany","297","0.717696031976406","0.672965706922351","0.762426357030461"
"SPD","1986","Other degree","East Germany","","","",""
"SPD","1986","no degree/no degree yet","West Germany","191","0.544575214620259","0.48506257438665","0.604087854853869"
"SPD","1986","no degree/no degree yet","East Germany","","","",""
"FDP","1986","lower secondary degree","West Germany","61","0.0231637980251274","0.017685261389327","0.0286423346609279"
"FDP","1986","lower secondary degree","East Germany","","","",""
"FDP","1986","secondary school degree","West Germany","49","0.0479429836354672","0.0349459745581757","0.0609399927127586"
"FDP","1986","secondary school degree","East Germany","","","",""
"FDP","1986","college entrance qualification","West Germany","50","0.0652072751384819","0.048400804780783","0.0820137454961809"
"FDP","1986","college entrance qualification","East Germany","","","",""
"FDP","1986","Other degree","West Germany","","","",""
"FDP","1986","Other degree","East Germany","","","",""
"FDP","1986","no degree/no degree yet","West Germany","","","",""
"FDP","1986","no degree/no degree yet","East Germany","","","",""
"Grüne","1986","lower secondary degree","West Germany","72","0.0212526829964403","0.0159998815289348","0.0265054844639459"
"Grüne","1986","lower secondary degree","East Germany","","","",""
"Grüne","1986","secondary school degree","West Germany","83","0.0676005947666133","0.0523275485246196","0.0828736410086071"
"Grüne","1986","secondary school degree","East Germany","","","",""
"Grüne","1986","college entrance qualification","West Germany","170","0.190880040380052","0.164127961139709","0.217632119620394"
"Grüne","1986","college entrance qualification","East Germany","","","",""
"Grüne","1986","Other degree","West Germany","","","",""
"Grüne","1986","Other degree","East Germany","","","",""
"Grüne","1986","no degree/no degree yet","West Germany","","","",""
"Grüne","1986","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1986","lower secondary degree","West Germany","","","",""
"PDS/Linke","1986","lower secondary degree","East Germany","","","",""
"PDS/Linke","1986","secondary school degree","West Germany","","","",""
"PDS/Linke","1986","secondary school degree","East Germany","","","",""
"PDS/Linke","1986","college entrance qualification","West Germany","","","",""
"PDS/Linke","1986","college entrance qualification","East Germany","","","",""
"PDS/Linke","1986","Other degree","West Germany","","","",""
"PDS/Linke","1986","Other degree","East Germany","","","",""
"PDS/Linke","1986","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1986","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1986","lower secondary degree","West Germany","","","",""
"NPD Combination","1986","lower secondary degree","East Germany","","","",""
"NPD Combination","1986","secondary school degree","West Germany","","","",""
"NPD Combination","1986","secondary school degree","East Germany","","","",""
"NPD Combination","1986","college entrance qualification","West Germany","","","",""
"NPD Combination","1986","college entrance qualification","East Germany","","","",""
"NPD Combination","1986","Other degree","West Germany","","","",""
"NPD Combination","1986","Other degree","East Germany","","","",""
"NPD Combination","1986","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1986","no degree/no degree yet","East Germany","","","",""
"AfD","1986","lower secondary degree","West Germany","","","",""
"AfD","1986","lower secondary degree","East Germany","","","",""
"AfD","1986","secondary school degree","West Germany","","","",""
"AfD","1986","secondary school degree","East Germany","","","",""
"AfD","1986","college entrance qualification","West Germany","","","",""
"AfD","1986","college entrance qualification","East Germany","","","",""
"AfD","1986","Other degree","West Germany","","","",""
"AfD","1986","Other degree","East Germany","","","",""
"AfD","1986","no degree/no degree yet","West Germany","","","",""
"AfD","1986","no degree/no degree yet","East Germany","","","",""
"Other","1986","lower secondary degree","West Germany","","","",""
"Other","1986","lower secondary degree","East Germany","","","",""
"Other","1986","secondary school degree","West Germany","","","",""
"Other","1986","secondary school degree","East Germany","","","",""
"Other","1986","college entrance qualification","West Germany","","","",""
"Other","1986","college entrance qualification","East Germany","","","",""
"Other","1986","Other degree","West Germany","","","",""
"Other","1986","Other degree","East Germany","","","",""
"Other","1986","no degree/no degree yet","West Germany","","","",""
"Other","1986","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1987","lower secondary degree","West Germany","1399","0.453595236017981","0.436146031564989","0.471044440470973"
"CDU/CSU","1987","lower secondary degree","East Germany","","","",""
"CDU/CSU","1987","secondary school degree","West Germany","560","0.521151882766306","0.492229316164002","0.550074449368609"
"CDU/CSU","1987","secondary school degree","East Germany","","","",""
"CDU/CSU","1987","college entrance qualification","West Germany","324","0.415282388672087","0.381798855976095","0.448765921368079"
"CDU/CSU","1987","college entrance qualification","East Germany","","","",""
"CDU/CSU","1987","Other degree","West Germany","61","0.233053573956524","0.189799655558908","0.27630749235414"
"CDU/CSU","1987","Other degree","East Germany","","","",""
"CDU/CSU","1987","no degree/no degree yet","West Germany","55","0.253575440683251","0.202887875749723","0.304263005616778"
"CDU/CSU","1987","no degree/no degree yet","East Germany","","","",""
"SPD","1987","lower secondary degree","West Germany","1483","0.470557853296671","0.453063418391872","0.48805228820147"
"SPD","1987","lower secondary degree","East Germany","","","",""
"SPD","1987","secondary school degree","West Germany","412","0.33695275124369","0.309586675525623","0.364318826961757"
"SPD","1987","secondary school degree","East Germany","","","",""
"SPD","1987","college entrance qualification","West Germany","246","0.272923021468464","0.242654116485802","0.303191926451125"
"SPD","1987","college entrance qualification","East Germany","","","",""
"SPD","1987","Other degree","West Germany","253","0.612477304622403","0.562633793208058","0.662320816036749"
"SPD","1987","Other degree","East Germany","","","",""
"SPD","1987","no degree/no degree yet","West Germany","187","0.562018772808955","0.504214754160329","0.619822791457581"
"SPD","1987","no degree/no degree yet","East Germany","","","",""
"FDP","1987","lower secondary degree","West Germany","103","0.0366726521706605","0.0300848241234438","0.0432604802178773"
"FDP","1987","lower secondary degree","East Germany","","","",""
"FDP","1987","secondary school degree","West Germany","82","0.0752782285914387","0.060002708033814","0.0905537491490634"
"FDP","1987","secondary school degree","East Germany","","","",""
"FDP","1987","college entrance qualification","West Germany","79","0.10278514904065","0.0821503691992491","0.12341992888205"
"FDP","1987","college entrance qualification","East Germany","","","",""
"FDP","1987","Other degree","West Germany","","","",""
"FDP","1987","Other degree","East Germany","","","",""
"FDP","1987","no degree/no degree yet","West Germany","","","",""
"FDP","1987","no degree/no degree yet","East Germany","","","",""
"Grüne","1987","lower secondary degree","West Germany","123","0.0327371433333585","0.0265001282284644","0.0389741584382525"
"Grüne","1987","lower secondary degree","East Germany","","","",""
"Grüne","1987","secondary school degree","West Germany","83","0.0582732799358092","0.0447103674236878","0.0718361924479306"
"Grüne","1987","secondary school degree","East Germany","","","",""
"Grüne","1987","college entrance qualification","West Germany","177","0.199413842434109","0.172263949758107","0.22656373511011"
"Grüne","1987","college entrance qualification","East Germany","","","",""
"Grüne","1987","Other degree","West Germany","45","0.127062111981624","0.0929887673791061","0.161135456584141"
"Grüne","1987","Other degree","East Germany","","","",""
"Grüne","1987","no degree/no degree yet","West Germany","33","0.145916196060874","0.104786370638337","0.187046021483411"
"Grüne","1987","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1987","lower secondary degree","West Germany","","","",""
"PDS/Linke","1987","lower secondary degree","East Germany","","","",""
"PDS/Linke","1987","secondary school degree","West Germany","","","",""
"PDS/Linke","1987","secondary school degree","East Germany","","","",""
"PDS/Linke","1987","college entrance qualification","West Germany","","","",""
"PDS/Linke","1987","college entrance qualification","East Germany","","","",""
"PDS/Linke","1987","Other degree","West Germany","","","",""
"PDS/Linke","1987","Other degree","East Germany","","","",""
"PDS/Linke","1987","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1987","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1987","lower secondary degree","West Germany","","","",""
"NPD Combination","1987","lower secondary degree","East Germany","","","",""
"NPD Combination","1987","secondary school degree","West Germany","","","",""
"NPD Combination","1987","secondary school degree","East Germany","","","",""
"NPD Combination","1987","college entrance qualification","West Germany","","","",""
"NPD Combination","1987","college entrance qualification","East Germany","","","",""
"NPD Combination","1987","Other degree","West Germany","","","",""
"NPD Combination","1987","Other degree","East Germany","","","",""
"NPD Combination","1987","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1987","no degree/no degree yet","East Germany","","","",""
"AfD","1987","lower secondary degree","West Germany","","","",""
"AfD","1987","lower secondary degree","East Germany","","","",""
"AfD","1987","secondary school degree","West Germany","","","",""
"AfD","1987","secondary school degree","East Germany","","","",""
"AfD","1987","college entrance qualification","West Germany","","","",""
"AfD","1987","college entrance qualification","East Germany","","","",""
"AfD","1987","Other degree","West Germany","","","",""
"AfD","1987","Other degree","East Germany","","","",""
"AfD","1987","no degree/no degree yet","West Germany","","","",""
"AfD","1987","no degree/no degree yet","East Germany","","","",""
"Other","1987","lower secondary degree","West Germany","","","",""
"Other","1987","lower secondary degree","East Germany","","","",""
"Other","1987","secondary school degree","West Germany","","","",""
"Other","1987","secondary school degree","East Germany","","","",""
"Other","1987","college entrance qualification","West Germany","","","",""
"Other","1987","college entrance qualification","East Germany","","","",""
"Other","1987","Other degree","West Germany","","","",""
"Other","1987","Other degree","East Germany","","","",""
"Other","1987","no degree/no degree yet","West Germany","","","",""
"Other","1987","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1988","lower secondary degree","West Germany","1143","0.413295875710966","0.395101961156211","0.431489790265721"
"CDU/CSU","1988","lower secondary degree","East Germany","","","",""
"CDU/CSU","1988","secondary school degree","West Germany","457","0.489535424728752","0.458598831205921","0.520472018251582"
"CDU/CSU","1988","secondary school degree","East Germany","","","",""
"CDU/CSU","1988","college entrance qualification","West Germany","300","0.396281099043452","0.362130050056717","0.430432148030188"
"CDU/CSU","1988","college entrance qualification","East Germany","","","",""
"CDU/CSU","1988","Other degree","West Germany","54","0.233490554660657","0.188188374659947","0.278792734661367"
"CDU/CSU","1988","Other degree","East Germany","","","",""
"CDU/CSU","1988","no degree/no degree yet","West Germany","34","0.218414441928093","0.162129547358364","0.274699336497821"
"CDU/CSU","1988","no degree/no degree yet","East Germany","","","",""
"SPD","1988","lower secondary degree","West Germany","1485","0.522977458600932","0.504523183920223","0.541431733281641"
"SPD","1988","lower secondary degree","East Germany","","","",""
"SPD","1988","secondary school degree","West Germany","415","0.38233403255991","0.352259704023921","0.412408361095898"
"SPD","1988","secondary school degree","East Germany","","","",""
"SPD","1988","college entrance qualification","West Germany","284","0.336921675314531","0.303920312572008","0.369923038057055"
"SPD","1988","college entrance qualification","East Germany","","","",""
"SPD","1988","Other degree","West Germany","243","0.63561236484411","0.584077199728059","0.68714752996016"
"SPD","1988","Other degree","East Germany","","","",""
"SPD","1988","no degree/no degree yet","West Germany","144","0.595175842878363","0.528307774748475","0.662043911008252"
"SPD","1988","no degree/no degree yet","East Germany","","","",""
"FDP","1988","lower secondary degree","West Germany","81","0.0297930367735608","0.0235113594416149","0.0360747141055067"
"FDP","1988","lower secondary degree","East Germany","","","",""
"FDP","1988","secondary school degree","West Germany","62","0.0656869940097362","0.0503555339582422","0.0810184540612302"
"FDP","1988","secondary school degree","East Germany","","","",""
"FDP","1988","college entrance qualification","West Germany","63","0.0874735209774309","0.0677472032475605","0.107199838707301"
"FDP","1988","college entrance qualification","East Germany","","","",""
"FDP","1988","Other degree","West Germany","","","",""
"FDP","1988","Other degree","East Germany","","","",""
"FDP","1988","no degree/no degree yet","West Germany","","","",""
"FDP","1988","no degree/no degree yet","East Germany","","","",""
"Grüne","1988","lower secondary degree","West Germany","80","0.0246827340908497","0.0189500813748925","0.0304153868068069"
"Grüne","1988","lower secondary degree","East Germany","","","",""
"Grüne","1988","secondary school degree","West Germany","60","0.0510732630674716","0.0374490706340675","0.0646974555008757"
"Grüne","1988","secondary school degree","East Germany","","","",""
"Grüne","1988","college entrance qualification","West Germany","132","0.166133985419657","0.140146613553316","0.192121357285998"
"Grüne","1988","college entrance qualification","East Germany","","","",""
"Grüne","1988","Other degree","West Germany","34","0.113977515529609","0.0799478522316262","0.148007178827593"
"Grüne","1988","Other degree","East Germany","","","",""
"Grüne","1988","no degree/no degree yet","West Germany","","","",""
"Grüne","1988","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","1988","lower secondary degree","West Germany","","","",""
"PDS/Linke","1988","lower secondary degree","East Germany","","","",""
"PDS/Linke","1988","secondary school degree","West Germany","","","",""
"PDS/Linke","1988","secondary school degree","East Germany","","","",""
"PDS/Linke","1988","college entrance qualification","West Germany","","","",""
"PDS/Linke","1988","college entrance qualification","East Germany","","","",""
"PDS/Linke","1988","Other degree","West Germany","","","",""
"PDS/Linke","1988","Other degree","East Germany","","","",""
"PDS/Linke","1988","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","1988","no degree/no degree yet","East Germany","","","",""
"NPD Combination","1988","lower secondary degree","West Germany","","","",""
"NPD Combination","1988","lower secondary degree","East Germany","","","",""
"NPD Combination","1988","secondary school degree","West Germany","","","",""
"NPD Combination","1988","secondary school degree","East Germany","","","",""
"NPD Combination","1988","college entrance qualification","West Germany","","","",""
"NPD Combination","1988","college entrance qualification","East Germany","","","",""
"NPD Combination","1988","Other degree","West Germany","","","",""
"NPD Combination","1988","Other degree","East Germany","","","",""
"NPD Combination","1988","no degree/no degree yet","West Germany","","","",""
"NPD Combination","1988","no degree/no degree yet","East Germany","","","",""
"AfD","1988","lower secondary degree","West Germany","","","",""
"AfD","1988","lower secondary degree","East Germany","","","",""
"AfD","1988","secondary school degree","West Germany","","","",""
"AfD","1988","secondary school degree","East Germany","","","",""
"AfD","1988","college entrance qualification","West Germany","","","",""
"AfD","1988","college entrance qualification","East Germany","","","",""
"AfD","1988","Other degree","West Germany","","","",""
"AfD","1988","Other degree","East Germany","","","",""
"AfD","1988","no degree/no degree yet","West Germany","","","",""
"AfD","1988","no degree/no degree yet","East Germany","","","",""
"Other","1988","lower secondary degree","West Germany","","","",""
"Other","1988","lower secondary degree","East Germany","","","",""
"Other","1988","secondary school degree","West Germany","","","",""
"Other","1988","secondary school degree","East Germany","","","",""
"Other","1988","college entrance qualification","West Germany","","","",""
"Other","1988","college entrance qualification","East Germany","","","",""
"Other","1988","Other degree","West Germany","","","",""
"Other","1988","Other degree","East Germany","","","",""
"Other","1988","no degree/no degree yet","West Germany","","","",""
"Other","1988","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","1989","lower secondary degree","West Germany","976","0.389637010121581","0.37084859479206","0.408425425451101"
"CDU/CSU","1989","lower secondary degree","East Germany","","","",""
"CDU/CSU","1989","secondary school degree","West Germany","381","0.448209259517322","0.416126267969993","0.480292251064651"
"CDU/CSU","1989","secondary school degree","East Germany","","","",""
"CDU/CSU","1989","college entrance qualification","West Germany","271","0.371271164666851","0.3372118704906","0.405330458843103"
"CDU/CSU","1989","college entrance qualification","East Germany","","","",""
"CDU/CSU","1989","Other degree","West Germany","52","0.196598130050309","0.156048115123712","0.237148144976906"
"CDU/CSU","1989","Other degree","East Germany","","","",""
"CDU/CSU","1989","no degree/no degree yet","West Germany","","","",""
"CDU/CSU","1989","no degree/no degree yet","East Germany","","","",""
"SPD","1989","lower secondary degree","West Germany","1368","0.522749089019383","0.503505504113409","0.541992673925356"
"SPD","1989","lower secondary degree","East Germany","","","",""
"SPD","1989","secondary school degree","West Germany","404","0.409207861673047","0.377487613342909","0.440928110003184"
"SPD","1989","secondary school degree","East Germany","","","",""
"SPD","1989","college entrance qualification","West Germany","297","0.351876416492624","0.31821112830223","0.385541704683017"
"SPD","1989","college entrance qualification","East Germany","","","",""
"SPD","1989","Other degree","West Germany","272","0.660708157669643","0.612399335227723","0.709016980111564"
"SPD","1989","Other degree","East Germany","","","",""
"SPD","1989","no degree/no degree yet","West Germany","204","0.643825195483396","0.586169696443136","0.701480694523655"
"SPD","1989","no degree/no degree yet","East Germany","","","",""
"FDP","1989","lower secondary degree","West Germany","43","0.0186357038083327","0.0134255087648363","0.0238458988518291"
"FDP","1989","lower secondary degree","East Germany","","","",""
"FDP","1989","secondary school degree","West Germany","38","0.0416780008709028","0.0287849288351887","0.0545710729066169"
"FDP","1989","secondary school degree","East Germany","","","",""
"FDP","1989","college entrance qualification","West Germany","49","0.0699850684672398","0.0520002523996996","0.0879698845347801"
"FDP","1989","college entrance qualification","East Germany","","","",""
"FDP","1989","Other degree","West Germany","","","",""
"FDP","1989","Other degree","East Germany","","","",""
"FDP","1989","no degree/no degree yet","West Germany","","","",""
"FDP","1989","no degree/no degree yet","East Germany","","","",""
"Grüne","1989","lower secondary degree","West Germany","87","0.0237106214744208","0.0178488793863083","0.0295723635625333"
"Grüne","1989","lower secondary degree","East Germany","","","",""
