"party","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"FDP","1984","Baden-Württemberg","secondary school degree","","","",""
"FDP","1984","Baden-Württemberg","college entrance qualification","","","",""
"FDP","1984","Baden-Württemberg","Other degree","","","",""
"FDP","1984","Baden-Württemberg","no degree/no degree yet","","","",""
"FDP","1984","Bavaria","lower secondary degree","","","",""
"FDP","1984","Bavaria","secondary school degree","","","",""
"FDP","1984","Bavaria","college entrance qualification","","","",""
"FDP","1984","Bavaria","Other degree","","","",""
"FDP","1984","Bavaria","no degree/no degree yet","","","",""
"FDP","1984","Berlin","lower secondary degree","","","",""
"FDP","1984","Berlin","secondary school degree","","","",""
"FDP","1984","Berlin","college entrance qualification","","","",""
"FDP","1984","Berlin","Other degree","","","",""
"FDP","1984","Berlin","no degree/no degree yet","","","",""
"FDP","1984","Brandenburg","lower secondary degree","","","",""
"FDP","1984","Brandenburg","secondary school degree","","","",""
"FDP","1984","Brandenburg","college entrance qualification","","","",""
"FDP","1984","Brandenburg","Other degree","","","",""
"FDP","1984","Brandenburg","no degree/no degree yet","","","",""
"FDP","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"FDP","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"FDP","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"FDP","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"FDP","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"FDP","1984","Saxony","lower secondary degree","","","",""
"FDP","1984","Saxony","secondary school degree","","","",""
"FDP","1984","Saxony","college entrance qualification","","","",""
"FDP","1984","Saxony","Other degree","","","",""
"FDP","1984","Saxony","no degree/no degree yet","","","",""
"FDP","1984","Saxony-Anhalt","lower secondary degree","","","",""
"FDP","1984","Saxony-Anhalt","secondary school degree","","","",""
"FDP","1984","Saxony-Anhalt","college entrance qualification","","","",""
"FDP","1984","Saxony-Anhalt","Other degree","","","",""
"FDP","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"FDP","1984","Thuringia","lower secondary degree","","","",""
"FDP","1984","Thuringia","secondary school degree","","","",""
"FDP","1984","Thuringia","college entrance qualification","","","",""
"FDP","1984","Thuringia","Other degree","","","",""
"FDP","1984","Thuringia","no degree/no degree yet","","","",""
"Grüne","1984","Schleswig-Holstein","lower secondary degree","","","",""
"Grüne","1984","Schleswig-Holstein","secondary school degree","","","",""
"Grüne","1984","Schleswig-Holstein","college entrance qualification","","","",""
"Grüne","1984","Schleswig-Holstein","Other degree","","","",""
"Grüne","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"Grüne","1984","Hamburg","lower secondary degree","","","",""
"Grüne","1984","Hamburg","secondary school degree","","","",""
"Grüne","1984","Hamburg","college entrance qualification","","","",""
"Grüne","1984","Hamburg","Other degree","","","",""
"Grüne","1984","Hamburg","no degree/no degree yet","","","",""
"Grüne","1984","Lower Saxony","lower secondary degree","","","",""
"Grüne","1984","Lower Saxony","secondary school degree","","","",""
"Grüne","1984","Lower Saxony","college entrance qualification","","","",""
"Grüne","1984","Lower Saxony","Other degree","","","",""
"Grüne","1984","Lower Saxony","no degree/no degree yet","","","",""
"Grüne","1984","Bremen","lower secondary degree","","","",""
"Grüne","1984","Bremen","secondary school degree","","","",""
"Grüne","1984","Bremen","college entrance qualification","","","",""
"Grüne","1984","Bremen","Other degree","","","",""
"Grüne","1984","Bremen","no degree/no degree yet","","","",""
"Grüne","1984","North Rhine-Westphalia","lower secondary degree","","","",""
"Grüne","1984","North Rhine-Westphalia","secondary school degree","30","0.0845094860080492","0.0538899846146312","0.115128987401467"
"Grüne","1984","North Rhine-Westphalia","college entrance qualification","37","0.131428137674563","0.0888597243179979","0.173996551031127"
"Grüne","1984","North Rhine-Westphalia","Other degree","","","",""
"Grüne","1984","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Grüne","1984","Hesse","lower secondary degree","","","",""
"Grüne","1984","Hesse","secondary school degree","","","",""
"Grüne","1984","Hesse","college entrance qualification","37","0.342979750915897","0.25040106293386","0.435558438897934"
"Grüne","1984","Hesse","Other degree","","","",""
"Grüne","1984","Hesse","no degree/no degree yet","","","",""
"Grüne","1984","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Grüne","1984","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Grüne","1984","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Grüne","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Grüne","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Grüne","1984","Baden-Württemberg","lower secondary degree","","","",""
"Grüne","1984","Baden-Württemberg","secondary school degree","","","",""
"Grüne","1984","Baden-Württemberg","college entrance qualification","","","",""
"Grüne","1984","Baden-Württemberg","Other degree","","","",""
"Grüne","1984","Baden-Württemberg","no degree/no degree yet","","","",""
"Grüne","1984","Bavaria","lower secondary degree","","","",""
"Grüne","1984","Bavaria","secondary school degree","","","",""
"Grüne","1984","Bavaria","college entrance qualification","","","",""
"Grüne","1984","Bavaria","Other degree","","","",""
"Grüne","1984","Bavaria","no degree/no degree yet","","","",""
"Grüne","1984","Berlin","lower secondary degree","","","",""
"Grüne","1984","Berlin","secondary school degree","","","",""
"Grüne","1984","Berlin","college entrance qualification","","","",""
"Grüne","1984","Berlin","Other degree","","","",""
"Grüne","1984","Berlin","no degree/no degree yet","","","",""
"Grüne","1984","Brandenburg","lower secondary degree","","","",""
"Grüne","1984","Brandenburg","secondary school degree","","","",""
"Grüne","1984","Brandenburg","college entrance qualification","","","",""
"Grüne","1984","Brandenburg","Other degree","","","",""
"Grüne","1984","Brandenburg","no degree/no degree yet","","","",""
"Grüne","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Grüne","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Grüne","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Grüne","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"Grüne","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Grüne","1984","Saxony","lower secondary degree","","","",""
"Grüne","1984","Saxony","secondary school degree","","","",""
"Grüne","1984","Saxony","college entrance qualification","","","",""
"Grüne","1984","Saxony","Other degree","","","",""
"Grüne","1984","Saxony","no degree/no degree yet","","","",""
"Grüne","1984","Saxony-Anhalt","lower secondary degree","","","",""
"Grüne","1984","Saxony-Anhalt","secondary school degree","","","",""
"Grüne","1984","Saxony-Anhalt","college entrance qualification","","","",""
"Grüne","1984","Saxony-Anhalt","Other degree","","","",""
"Grüne","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"Grüne","1984","Thuringia","lower secondary degree","","","",""
"Grüne","1984","Thuringia","secondary school degree","","","",""
"Grüne","1984","Thuringia","college entrance qualification","","","",""
"Grüne","1984","Thuringia","Other degree","","","",""
"Grüne","1984","Thuringia","no degree/no degree yet","","","",""
"PDS/Linke","1984","Schleswig-Holstein","lower secondary degree","","","",""
"PDS/Linke","1984","Schleswig-Holstein","secondary school degree","","","",""
"PDS/Linke","1984","Schleswig-Holstein","college entrance qualification","","","",""
"PDS/Linke","1984","Schleswig-Holstein","Other degree","","","",""
"PDS/Linke","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"PDS/Linke","1984","Hamburg","lower secondary degree","","","",""
"PDS/Linke","1984","Hamburg","secondary school degree","","","",""
"PDS/Linke","1984","Hamburg","college entrance qualification","","","",""
"PDS/Linke","1984","Hamburg","Other degree","","","",""
"PDS/Linke","1984","Hamburg","no degree/no degree yet","","","",""
"PDS/Linke","1984","Lower Saxony","lower secondary degree","","","",""
"PDS/Linke","1984","Lower Saxony","secondary school degree","","","",""
"PDS/Linke","1984","Lower Saxony","college entrance qualification","","","",""
"PDS/Linke","1984","Lower Saxony","Other degree","","","",""
"PDS/Linke","1984","Lower Saxony","no degree/no degree yet","","","",""
"PDS/Linke","1984","Bremen","lower secondary degree","","","",""
"PDS/Linke","1984","Bremen","secondary school degree","","","",""
"PDS/Linke","1984","Bremen","college entrance qualification","","","",""
"PDS/Linke","1984","Bremen","Other degree","","","",""
"PDS/Linke","1984","Bremen","no degree/no degree yet","","","",""
"PDS/Linke","1984","North Rhine-Westphalia","lower secondary degree","","","",""
"PDS/Linke","1984","North Rhine-Westphalia","secondary school degree","","","",""
"PDS/Linke","1984","North Rhine-Westphalia","college entrance qualification","","","",""
"PDS/Linke","1984","North Rhine-Westphalia","Other degree","","","",""
"PDS/Linke","1984","North Rhine-Westphalia","no degree/no degree yet","","","",""
"PDS/Linke","1984","Hesse","lower secondary degree","","","",""
"PDS/Linke","1984","Hesse","secondary school degree","","","",""
"PDS/Linke","1984","Hesse","college entrance qualification","","","",""
"PDS/Linke","1984","Hesse","Other degree","","","",""
"PDS/Linke","1984","Hesse","no degree/no degree yet","","","",""
"PDS/Linke","1984","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"PDS/Linke","1984","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"PDS/Linke","1984","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"PDS/Linke","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"PDS/Linke","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"PDS/Linke","1984","Baden-Württemberg","lower secondary degree","","","",""
"PDS/Linke","1984","Baden-Württemberg","secondary school degree","","","",""
"PDS/Linke","1984","Baden-Württemberg","college entrance qualification","","","",""
"PDS/Linke","1984","Baden-Württemberg","Other degree","","","",""
"PDS/Linke","1984","Baden-Württemberg","no degree/no degree yet","","","",""
"PDS/Linke","1984","Bavaria","lower secondary degree","","","",""
"PDS/Linke","1984","Bavaria","secondary school degree","","","",""
"PDS/Linke","1984","Bavaria","college entrance qualification","","","",""
"PDS/Linke","1984","Bavaria","Other degree","","","",""
"PDS/Linke","1984","Bavaria","no degree/no degree yet","","","",""
"PDS/Linke","1984","Berlin","lower secondary degree","","","",""
"PDS/Linke","1984","Berlin","secondary school degree","","","",""
"PDS/Linke","1984","Berlin","college entrance qualification","","","",""
"PDS/Linke","1984","Berlin","Other degree","","","",""
"PDS/Linke","1984","Berlin","no degree/no degree yet","","","",""
"PDS/Linke","1984","Brandenburg","lower secondary degree","","","",""
"PDS/Linke","1984","Brandenburg","secondary school degree","","","",""
"PDS/Linke","1984","Brandenburg","college entrance qualification","","","",""
"PDS/Linke","1984","Brandenburg","Other degree","","","",""
"PDS/Linke","1984","Brandenburg","no degree/no degree yet","","","",""
"PDS/Linke","1984","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"PDS/Linke","1984","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"PDS/Linke","1984","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"PDS/Linke","1984","Mecklenburg-Western Pomerania","Other degree","","","",""
"PDS/Linke","1984","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"PDS/Linke","1984","Saxony","lower secondary degree","","","",""
"PDS/Linke","1984","Saxony","secondary school degree","","","",""
"PDS/Linke","1984","Saxony","college entrance qualification","","","",""
"PDS/Linke","1984","Saxony","Other degree","","","",""
"PDS/Linke","1984","Saxony","no degree/no degree yet","","","",""
"PDS/Linke","1984","Saxony-Anhalt","lower secondary degree","","","",""
"PDS/Linke","1984","Saxony-Anhalt","secondary school degree","","","",""
"PDS/Linke","1984","Saxony-Anhalt","college entrance qualification","","","",""
"PDS/Linke","1984","Saxony-Anhalt","Other degree","","","",""
"PDS/Linke","1984","Saxony-Anhalt","no degree/no degree yet","","","",""
"PDS/Linke","1984","Thuringia","lower secondary degree","","","",""
"PDS/Linke","1984","Thuringia","secondary school degree","","","",""
"PDS/Linke","1984","Thuringia","college entrance qualification","","","",""
"PDS/Linke","1984","Thuringia","Other degree","","","",""
"PDS/Linke","1984","Thuringia","no degree/no degree yet","","","",""
"NPD Combination","1984","Schleswig-Holstein","lower secondary degree","","","",""
"NPD Combination","1984","Schleswig-Holstein","secondary school degree","","","",""
"NPD Combination","1984","Schleswig-Holstein","college entrance qualification","","","",""
"NPD Combination","1984","Schleswig-Holstein","Other degree","","","",""
"NPD Combination","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"NPD Combination","1984","Hamburg","lower secondary degree","","","",""
"NPD Combination","1984","Hamburg","secondary school degree","","","",""
"NPD Combination","1984","Hamburg","college entrance qualification","","","",""
"NPD Combination","1984","Hamburg","Other degree","","","",""
"NPD Combination","1984","Hamburg","no degree/no degree yet","","","",""
"NPD Combination","1984","Lower Saxony","lower secondary degree","","","",""
"NPD Combination","1984","Lower Saxony","secondary school degree","","","",""
"NPD Combination","1984","Lower Saxony","college entrance qualification","","","",""
"NPD Combination","1984","Lower Saxony","Other degree","","","",""
"NPD Combination","1984","Lower Saxony","no degree/no degree yet","","","",""
"NPD Combination","1984","Bremen","lower secondary degree","","","",""
"NPD Combination","1984","Bremen","secondary school degree","","","",""
"NPD Combination","1984","Bremen","college entrance qualification","","","",""
"NPD Combination","1984","Bremen","Other degree","","","",""
"NPD Combination","1984","Bremen","no degree/no degree yet","","","",""
"NPD Combination","1984","North Rhine-Westphalia","lower secondary degree","","","",""
"NPD Combination","1984","North Rhine-Westphalia","secondary school degree","","","",""
"NPD Combination","1984","North Rhine-Westphalia","college entrance qualification","","","",""
"NPD Combination","1984","North Rhine-Westphalia","Other degree","","","",""
"NPD Combination","1984","North Rhine-Westphalia","no degree/no degree yet","","","",""
"NPD Combination","1984","Hesse","lower secondary degree","","","",""
"NPD Combination","1984","Hesse","secondary school degree","","","",""
"NPD Combination","1984","Hesse","college entrance qualification","","","",""
"NPD Combination","1984","Hesse","Other degree","","","",""
"NPD Combination","1984","Hesse","no degree/no degree yet","","","",""
"NPD Combination","1984","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"NPD Combination","1984","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"NPD Combination","1984","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"NPD Combination","1984","Rhineland-Palatinate,Saarland","Other degree","","","",""
"NPD Combination","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"NPD Combination","1984","Baden-Württemberg","lower secondary degree","","","",""
"NPD Combination","1984","Baden-Württemberg","secondary school degree","","","",""
"NPD Combination","1984","Baden-Württemberg","college entrance qualification","","","",""
