"party","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"FDP","1985","16-34 y.","46","0.0256010919863505","0.01841753107734","0.032784652895361","3"
"FDP","1985","35-65 y.","116","0.0392422592128459","0.032552233580301","0.0459322848453908","3"
"FDP","1985","66 and older","36","0.0581276584652704","0.0405668971510239","0.075688419779517","3"
"Grüne","1985","16-34 y.","301","0.164600858033466","0.147735125879786","0.181466590187147","4"
"Grüne","1985","35-65 y.","104","0.0273587458214975","0.0217383323007571","0.0329791593422379","4"
"Grüne","1985","66 and older","3","","","","4"
"NPD","1985","16-34 y.","","","","","6"
"NPD","1985","66 and older","","","","","6"
"NPD","1985","35-65 y.","","","","","6"
"Other","1985","16-34 y.","13","","","","8"
"Other","1985","35-65 y.","19","","","","8"
"Other","1985","66 and older","4","","","","8"
"PDS/Linke","1985","16-34 y.","","","","","5"
"PDS/Linke","1985","35-65 y.","","","","","5"
"PDS/Linke","1985","66 and older","","","","","5"
"SPD","1985","16-34 y.","925","0.452824216139086","0.430184530327178","0.475463901950994","1"
"SPD","1985","35-65 y.","1611","0.460693226129042","0.443519375334792","0.477867076923291","1"
"SPD","1985","66 and older","272","0.404311246238269","0.367479397783053","0.441143094693486","1"
"AfD","1986","16-34 y.","","","","","7"
"AfD","1986","35-65 y.","","","","","7"
"AfD","1986","66 and older","","","","","7"
"CDU/CSU","1986","16-34 y.","544","0.340871275305255","0.318764109760195","0.362978440850314","2"
"CDU/CSU","1986","35-65 y.","1347","0.469242898147821","0.451672400420891","0.486813395874752","2"
"CDU/CSU","1986","66 and older","313","0.512796324197264","0.473260423676925","0.552332224717603","2"
"FDP","1986","16-34 y.","38","0.0241194724382127","0.0169640550878669","0.0312748897885585","3"
"FDP","1986","35-65 y.","95","0.0331432336122507","0.0268406906853883","0.0394457765391131","3"
"FDP","1986","66 and older","37","0.0559771359510234","0.0377943469519326","0.0741599249501141","3"
"Grüne","1986","16-34 y.","286","0.163425804259999","0.146180721252444","0.180670887267554","4"
"Grüne","1986","35-65 y.","95","0.0288427423505495","0.0229502319441765","0.0347352527569225","4"
"Grüne","1986","66 and older","4","","","","4"
"NPD","1986","35-65 y.","","","","","6"
"NPD","1986","16-34 y.","","","","","6"
"NPD","1986","66 and older","","","","","6"
"Other","1986","16-34 y.","8","","","","8"
"Other","1986","35-65 y.","18","","","","8"
"Other","1986","66 and older","3","","","","8"
"PDS/Linke","1986","16-34 y.","","","","","5"
"PDS/Linke","1986","35-65 y.","","","","","5"
"PDS/Linke","1986","66 and older","","","","","5"
"SPD","1986","16-34 y.","890","0.467394915165209","0.444124861370968","0.490664968959449","1"
"SPD","1986","35-65 y.","1544","0.462488738155186","0.444934512862867","0.480042963447506","1"
"SPD","1986","66 and older","257","0.416744921344975","0.377748179096006","0.455741663593945","1"
"AfD","1987","16-34 y.","","","","","7"
"AfD","1987","35-65 y.","","","","","7"
"AfD","1987","66 and older","","","","","7"
"CDU/CSU","1987","16-34 y.","671","0.388918804563799","0.367152426684442","0.410685182443157","2"
"CDU/CSU","1987","35-65 y.","1385","0.466384295879231","0.449107791204546","0.483660800553916","2"
"CDU/CSU","1987","66 and older","363","0.511783702248309","0.474567604299374","0.548999800197245","2"
"FDP","1987","35-65 y.","170","0.0567640874169745","0.0487506912195747","0.0647774836143743","3"
"FDP","1987","16-34 y.","63","0.0388037061364121","0.0301808750054943","0.0474265372673298","3"
"FDP","1987","66 and older","45","0.0681621284571223","0.0493982235253055","0.086926033388939","3"
"Grüne","1987","16-34 y.","330","0.169387846475979","0.152640442448212","0.186135250503746","4"
"Grüne","1987","35-65 y.","137","0.0365904401621237","0.0300882612636163","0.0430926190606312","4"
"Grüne","1987","66 and older","4","","","","4"
"NPD","1987","16-34 y.","","","","","6"
"NPD","1987","66 and older","","","","","6"
"NPD","1987","35-65 y.","","","","","6"
"Other","1987","16-34 y.","13","","","","8"
"Other","1987","35-65 y.","18","","","","8"
"Other","1987","66 and older","6","","","","8"
"PDS/Linke","1987","35-65 y.","","","","","5"
"PDS/Linke","1987","16-34 y.","","","","","5"
"PDS/Linke","1987","66 and older","","","","","5"
"SPD","1987","16-34 y.","850","0.395469268874055","0.373638310795531","0.417300226952579","1"
"SPD","1987","35-65 y.","1493","0.434115939888391","0.416951239846705","0.451280639930077","1"
"SPD","1987","66 and older","275","0.40247793674143","0.365966452688578","0.438989420794282","1"
"AfD","1988","16-34 y.","","","","","7"
"AfD","1988","35-65 y.","","","","","7"
"AfD","1988","66 and older","","","","","7"
"CDU/CSU","1988","16-34 y.","517","0.335268009133829","0.312639845934702","0.357896172332956","2"
"CDU/CSU","1988","35-65 y.","1164","0.434894154325196","0.416804433387613","0.452983875262779","2"
"CDU/CSU","1988","66 and older","333","0.49598722964247","0.457784784409071","0.534189674875868","2"
"FDP","1988","16-34 y.","52","0.0360357227933706","0.0271021116840452","0.0449693339026959","3"
"FDP","1988","35-65 y.","125","0.0457972262089295","0.0381691485271643","0.0534253038906946","3"
"FDP","1988","66 and older","37","0.0582021038344231","0.0403132158805801","0.0760909917882662","3"
"Grüne","1988","16-34 y.","235","0.150222846237012","0.133097061808361","0.167348630665662","4"
"Grüne","1988","66 and older","2","","","","4"
"Grüne","1988","35-65 y.","102","0.0312340627443706","0.0248866191310345","0.0375815063577067","4"
"NPD","1988","16-34 y.","","","","","6"
"NPD","1988","35-65 y.","","","","","6"
"NPD","1988","66 and older","","","","","6"
"Other","1988","16-34 y.","17","","","","8"
"Other","1988","35-65 y.","23","","","","8"
"Other","1988","66 and older","8","","","","8"
"PDS/Linke","1988","16-34 y.","","","","","5"
"PDS/Linke","1988","35-65 y.","","","","","5"
"PDS/Linke","1988","66 and older","","","","","5"
"SPD","1988","16-34 y.","851","0.466948866581399","0.443035041248683","0.490862691914115","1"
"SPD","1988","35-65 y.","1471","0.479334341104307","0.461104876168848","0.497563806039766","1"
"SPD","1988","66 and older","278","0.42942360903761","0.391602435362783","0.467244782712436","1"
"AfD","1989","16-34 y.","","","","","7"
"AfD","1989","35-65 y.","","","","","7"
"AfD","1989","66 and older","","","","","7"
"CDU/CSU","1989","16-34 y.","422","0.30445758347293","0.281866911969803","0.327048254976057","2"
"CDU/CSU","1989","35-65 y.","993","0.398563601487613","0.380314386210914","0.416812816764313","2"
"CDU/CSU","1989","66 and older","315","0.475652369185165","0.436870131650319","0.51443460672001","2"
"FDP","1989","35-65 y.","82","0.0309722257838835","0.0245148680913415","0.0374295834764255","3"
"FDP","1989","16-34 y.","34","0.0264899221553938","0.0186065051583129","0.0343733391524748","3"
"FDP","1989","66 and older","23","","","","3"
"Grüne","1989","16-34 y.","239","0.158679874837602","0.140743052934595","0.176616696740608","4"
"Grüne","1989","35-65 y.","116","0.0380153725962938","0.0308874296485002","0.0451433155440873","4"
"Grüne","1989","66 and older","3","","","","4"
"NPD","1989","16-34 y.","","","","","6"
"NPD","1989","66 and older","","","","","6"
"NPD","1989","35-65 y.","","","","","6"
"Other","1989","16-34 y.","70","0.0499886079806766","0.0392905767675382","0.060686639193815","8"
"Other","1989","35-65 y.","91","0.0363194247874696","0.0293461535754183","0.0432926959995209","8"
"Other","1989","66 and older","25","","","","8"
"PDS/Linke","1989","35-65 y.","","","","","5"
"PDS/Linke","1989","16-34 y.","","","","","5"
"PDS/Linke","1989","66 and older","","","","","5"
"SPD","1989","16-34 y.","829","0.460384011553398","0.435915561869092","0.484852461237704","1"
"SPD","1989","35-65 y.","1483","0.49612937534474","0.477493168838824","0.514765581850656","1"
"SPD","1989","66 and older","271","0.438959113643729","0.400421247318318","0.477496979969139","1"
"AfD","1990","16-34 y.","","","","","7"
"AfD","1990","35-65 y.","","","","","7"
"AfD","1990","66 and older","","","","","7"
"CDU/CSU","1990","16-34 y.","459","0.326563460102151","0.303677821246862","0.349449098957439","2"
"CDU/CSU","1990","35-65 y.","1012","0.394966514974838","0.376827410848959","0.413105619100717","2"
"CDU/CSU","1990","66 and older","355","0.512748924701417","0.475317911108179","0.550179938294656","2"
"FDP","1990","16-34 y.","51","0.037032265444579","0.0278165954293956","0.0462479354597624","3"
"FDP","1990","35-65 y.","115","0.0434004501346984","0.0358398165272715","0.0509610837421253","3"
"FDP","1990","66 and older","31","0.0481980868068115","0.0321585806806974","0.0642375929329256","3"
"Grüne","1990","16-34 y.","192","0.123591092916168","0.107529896802405","0.139652289029931","4"
"Grüne","1990","35-65 y.","105","0.0350197334082355","0.0281985202152627","0.0418409466012083","4"
"Grüne","1990","66 and older","2","","","","4"
"NPD","1990","16-34 y.","37","0.0210689948731847","0.0140604338673494","0.0280775558790199","6"
"NPD","1990","35-65 y.","31","0.0120740552302152","0.00802144567642256","0.0161266647840079","6"
"NPD","1990","66 and older","5","","","","6"
"Other","1990","16-34 y.","11","","","","8"
"Other","1990","35-65 y.","14","","","","8"
"Other","1990","66 and older","4","","","","8"
"PDS/Linke","1990","16-34 y.","","","","","5"
"PDS/Linke","1990","35-65 y.","","","","","5"
"PDS/Linke","1990","66 and older","","","","","5"
"SPD","1990","16-34 y.","863","0.484287169526617","0.459898598375293","0.508675740677941","1"
"SPD","1990","35-65 y.","1513","0.509171515874182","0.49062155838917","0.527721473359194","1"
"SPD","1990","66 and older","288","0.4218625577442","0.384879412392847","0.458845703095554","1"
"AfD","1991","16-34 y.","","","","","7"
"AfD","1991","35-65 y.","","","","","7"
"AfD","1991","66 and older","","","","","7"
"CDU/CSU","1991","16-34 y.","433","0.353654986174671","0.326693941373551","0.380616030975792","2"
"CDU/CSU","1991","35-65 y.","987","0.435700964569619","0.415401260862596","0.456000668276642","2"
"CDU/CSU","1991","66 and older","356","0.51593364690175","0.477836124311865","0.554031169491634","2"
"FDP","1991","35-65 y.","127","0.0579251689567573","0.0483616628496196","0.0674886750638951","3"
"FDP","1991","16-34 y.","46","0.0469006994388938","0.0349780339555948","0.0588233649221928","3"
"FDP","1991","66 and older","32","0.0532484118257814","0.0361317641246128","0.0703650595269499","3"
"Grüne","1991","16-34 y.","131","0.116652777636804","0.0985507222274676","0.134754833046141","4"
"Grüne","1991","35-65 y.","84","0.0376985737815381","0.0299010122734141","0.0454961352896622","4"
"Grüne","1991","66 and older","6","","","","4"
"NPD","1991","16-34 y.","28","","","","6"
"NPD","1991","35-65 y.","13","","","","6"
"NPD","1991","66 and older","4","","","","6"
"Other","1991","16-34 y.","9","","","","8"
"Other","1991","35-65 y.","9","","","","8"
"Other","1991","66 and older","1","","","","8"
"PDS/Linke","1991","35-65 y.","","","","","5"
"PDS/Linke","1991","16-34 y.","2","","","","5"
"PDS/Linke","1991","66 and older","2","","","","5"
"SPD","1991","16-34 y.","559","0.453482301992589","0.425408779390449","0.481555824594729","1"
"SPD","1991","35-65 y.","1072","0.457596114421028","0.437200192327962","0.477992036514093","1"
"SPD","1991","66 and older","260","0.409549037771072","0.372061041023622","0.447037034518522","1"
"AfD","1992","16-34 y.","","","","","7"
"AfD","1992","35-65 y.","","","","","7"
"AfD","1992","66 and older","","","","","7"
"CDU/CSU","1992","16-34 y.","483","0.324548440486544","0.301853655099601","0.347243225873488","2"
"CDU/CSU","1992","35-65 y.","1233","0.4163671255228","0.399160559903732","0.433573691141868","2"
"CDU/CSU","1992","66 and older","388","0.511187101442059","0.475741472740675","0.546632730143444","2"
"FDP","1992","16-34 y.","59","0.0454076270768814","0.0353159674049719","0.0554992867487908","3"
"FDP","1992","35-65 y.","155","0.0493902113217964","0.0418269746829467","0.0569534479606461","3"
"FDP","1992","66 and older","34","0.0458022292402643","0.0309782800220997","0.0606261784584289","3"
"Grüne","1992","16-34 y.","232","0.134304684762285","0.11777679806129","0.15083257146328","4"
"Grüne","1992","35-65 y.","164","0.0493926006526137","0.0418291905793417","0.0569560107258857","4"
"Grüne","1992","66 and older","7","","","","4"
"NPD","1992","16-34 y.","","","","","6"
"NPD","1992","35-65 y.","","","","","6"
"NPD","1992","66 and older","","","","","6"
"Other","1992","16-34 y.","64","0.0359362192938752","0.0269141057502226","0.0449583328375279","8"
"Other","1992","35-65 y.","47","0.0177828616779812","0.0131697848806955","0.022395938475267","8"
"Other","1992","66 and older","8","","","","8"
"PDS/Linke","1992","16-34 y.","25","","","","5"
"PDS/Linke","1992","35-65 y.","77","0.0152493474988023","0.0109719966479316","0.019526698349673","5"
"PDS/Linke","1992","66 and older","24","","","","5"
"SPD","1992","16-34 y.","772","0.447824217877471","0.423720630838644","0.471927804916298","1"
"SPD","1992","35-65 y.","1477","0.451817853326006","0.434446636419034","0.469189070232978","1"
"SPD","1992","66 and older","303","0.402432896519078","0.367659950240197","0.437205842797959","1"
"AfD","1993","16-34 y.","","","","","7"
"AfD","1993","35-65 y.","","","","","7"
"AfD","1993","66 and older","","","","","7"
"CDU/CSU","1993","16-34 y.","357","0.302503349086612","0.277982285594786","0.327024412578438","2"
"CDU/CSU","1993","35-65 y.","1018","0.385589984611454","0.367729665225028","0.40345030399788","2"
"CDU/CSU","1993","66 and older","340","0.473991827103017","0.437159648049387","0.510824006156646","2"
"FDP","1993","16-34 y.","49","0.0453331920719256","0.0342277153357184","0.0564386688081327","3"
"FDP","1993","35-65 y.","123","0.0452109009775641","0.0375870831166986","0.0528347188384296","3"
"FDP","1993","66 and older","31","0.0623690849916915","0.0445310756958605","0.0802070942875225","3"
"Grüne","1993","16-34 y.","239","0.186673445134307","0.165872795812493","0.20747409445612","4"
"Grüne","1993","35-65 y.","192","0.0671263605639791","0.0579439825721419","0.0763087385558164","4"
"Grüne","1993","66 and older","7","","","","4"
"NPD","1993","16-34 y.","65","0.0470399182715706","0.0357374374529398","0.0583423990902013","6"
"NPD","1993","35-65 y.","61","0.0275807721205593","0.0215714264811067","0.0335901177600119","6"
"NPD","1993","66 and older","13","","","","6"
"Other","1993","16-34 y.","18","","","","8"
"Other","1993","35-65 y.","21","","","","8"
"Other","1993","66 and older","6","","","","8"
"PDS/Linke","1993","35-65 y.","83","0.0191328616771086","0.0141060540722324","0.0241596692819848","5"
"PDS/Linke","1993","16-34 y.","31","0.0178719038631307","0.010799409298627","0.0249443984276344","5"
"PDS/Linke","1993","66 and older","29","","","","5"
"SPD","1993","16-34 y.","589","0.387277982452361","0.361273615143587","0.413282349761134","1"
"SPD","1993","35-65 y.","1355","0.448534895314505","0.430285253644257","0.466784536984753","1"
"SPD","1993","66 and older","280","0.399381750354741","0.363254150464469","0.435509350245012","1"
"AfD","1994","35-65 y.","","","","","7"
"AfD","1994","16-34 y.","","","","","7"
"AfD","1994","66 and older","","","","","7"
"CDU/CSU","1994","16-34 y.","337","0.266199784128458","0.243163302313271","0.289236265943646","2"
"CDU/CSU","1994","35-65 y.","1042","0.383130468831717","0.365497450024388","0.400763487639046","2"
"CDU/CSU","1994","66 and older","383","0.481916875937811","0.446873304183466","0.516960447692156","2"
"FDP","1994","16-34 y.","33","0.0277573709108995","0.0191948847945841","0.036319857027215","3"
"FDP","1994","35-65 y.","94","0.0354586416031123","0.0287508719631871","0.0421664112430375","3"
"FDP","1994","66 and older","24","","","","3"
"Grüne","1994","16-34 y.","237","0.181709790221334","0.16161117076608","0.201808409676587","4"
"Grüne","1994","35-65 y.","173","0.0629322559216134","0.0541242254233471","0.0717402864198796","4"
"Grüne","1994","66 and older","9","","","","4"
"NPD","1994","16-34 y.","49","0.0303745923306708","0.0214295868969873","0.0393195977643543","6"
"NPD","1994","35-65 y.","37","0.0119858754947043","0.00803882099577091","0.0159329299936377","6"
"NPD","1994","66 and older","7","","","","6"
"Other","1994","16-34 y.","25","","","","8"
"Other","1994","35-65 y.","35","0.0097839186857439","0.00621383768240468","0.0133539996890831","8"
"Other","1994","66 and older","5","","","","8"
"PDS/Linke","1994","16-34 y.","51","0.0310662588719928","0.0220232094466724","0.0401093082973132","5"
"PDS/Linke","1994","35-65 y.","123","0.0246640526705107","0.0190384895704006","0.0302896157706207","5"
"PDS/Linke","1994","66 and older","36","0.0342258950569737","0.0214750854913602","0.0469767046225872","5"
"SPD","1994","16-34 y.","682","0.444547256080768","0.418646889463481","0.470447622698056","1"
"SPD","1994","35-65 y.","1416","0.472044786792598","0.45393777395715","0.490151799628046","1"
"SPD","1994","66 and older","317","0.414867752942279","0.380313267503556","0.449422238381002","1"
"AfD","1995","16-34 y.","","","","","7"
"AfD","1995","35-65 y.","","","","","7"
"AfD","1995","66 and older","","","","","7"
"CDU/CSU","1995","16-34 y.","520","0.313281754052176","0.290975835145595","0.335587672958757","2"
"CDU/CSU","1995","66 and older","419","0.496119428133564","0.462761457872831","0.529477398394296","2"
"CDU/CSU","1995","35-65 y.","1316","0.403649831917186","0.386980833966425","0.420318829867947","2"
"FDP","1995","16-34 y.","24","","","","3"
"FDP","1995","35-65 y.","91","0.028129596124933","0.0225121054647058","0.0337470867851602","3"
"FDP","1995","66 and older","31","0.0451156803322418","0.0312678469500862","0.0589635137143975","3"
"Grüne","1995","16-34 y.","307","0.202861948107744","0.18352311163156","0.222200784583929","4"
"Grüne","1995","35-65 y.","252","0.0828321409010731","0.0734677337284547","0.0921965480736916","4"
"Grüne","1995","66 and older","13","","","","4"
"NPD","1995","16-34 y.","27","","","","6"
"NPD","1995","35-65 y.","28","","","","6"
"NPD","1995","66 and older","1","","","","6"
"Other","1995","16-34 y.","19","","","","8"
"Other","1995","35-65 y.","30","0.00793181736910943","0.00491802349469847","0.0109456112435204","8"
"Other","1995","66 and older","2","","","","8"
"PDS/Linke","1995","16-34 y.","89","0.0409059820133199","0.0313804930658968","0.0504314709607429","5"
"PDS/Linke","1995","35-65 y.","135","0.0255649237768478","0.0202025740151375","0.0309272735385581","5"
"PDS/Linke","1995","66 and older","44","0.0413821332443804","0.0280937577969725","0.0546705086917882","5"
"SPD","1995","16-34 y.","675","0.3996735248689","0.376117081842688","0.423229967895113","1"
"SPD","1995","35-65 y.","1476","0.442514641167892","0.425639905155711","0.459389377180074","1"
"SPD","1995","66 and older","353","0.399153777459823","0.366480365951321","0.431827188968324","1"
"AfD","1996","16-34 y.","","","","","7"
"AfD","1996","35-65 y.","","","","","7"
"AfD","1996","66 and older","","","","","7"
"CDU/CSU","1996","16-34 y.","514","0.356095880383605","0.331927836725421","0.380263924041789","2"
"CDU/CSU","1996","35-65 y.","1280","0.423776914615179","0.406437486557906","0.441116342672452","2"
"CDU/CSU","1996","66 and older","422","0.51579788736376","0.481758162420831","0.549837612306688","2"
"FDP","1996","16-34 y.","15","","","","3"
"FDP","1996","35-65 y.","75","0.0259497615284773","0.0203711238199998","0.0315283992369547","3"
"FDP","1996","66 and older","27","","","","3"
"Grüne","1996","16-34 y.","294","0.209428169617296","0.188891234239726","0.229965104994867","4"
"Grüne","1996","66 and older","8","","","","4"
"Grüne","1996","35-65 y.","274","0.0968569077439145","0.0864788907837023","0.107234924704127","4"
"NPD","1996","16-34 y.","43","0.0321110700418546","0.0232131690179458","0.0410089710657634","6"
"NPD","1996","35-65 y.","31","0.0132561043801535","0.00924299519546359","0.0172692135648434","6"
"NPD","1996","66 and older","2","","","","6"
"Other","1996","16-34 y.","20","","","","8"
"Other","1996","35-65 y.","27","","","","8"
"Other","1996","66 and older","2","","","","8"
"PDS/Linke","1996","35-65 y.","151","0.0276884118767909","0.021931062985239","0.0334457607683428","5"
"PDS/Linke","1996","16-34 y.","78","0.0460890736295419","0.035506280140177","0.0566718671189067","5"
"PDS/Linke","1996","66 and older","51","0.0413285065009066","0.0277705984218516","0.0548864145799616","5"
"SPD","1996","16-34 y.","544","0.328642396426744","0.304934873970115","0.352349918883372","1"
"SPD","1996","35-65 y.","1282","0.405598144958914","0.388369193314365","0.422827096603463","1"
"SPD","1996","66 and older","316","0.383634806904587","0.350513232136108","0.416756381673065","1"
"AfD","1997","16-34 y.","","","","","7"
"AfD","1997","35-65 y.","","","","","7"
"AfD","1997","66 and older","","","","","7"
"CDU/CSU","1997","16-34 y.","419","0.323542139305516","0.298227778034338","0.348856500576693","2"
"CDU/CSU","1997","66 and older","405","0.493519395756615","0.459948586094325","0.527090205418905","2"
"CDU/CSU","1997","35-65 y.","1125","0.396466266804018","0.378705684011226","0.414226849596809","2"
"FDP","1997","16-34 y.","22","","","","3"
"FDP","1997","35-65 y.","66","0.023227532457259","0.0177586125909014","0.0286964523236166","3"
"FDP","1997","66 and older","20","","","","3"
"Grüne","1997","16-34 y.","229","0.202410644078828","0.180669243308489","0.224152044849168","4"
"Grüne","1997","35-65 y.","246","0.0847180227032479","0.0746076147848708","0.0948284306216249","4"
"Grüne","1997","66 and older","15","","","","4"
"NPD","1997","16-34 y.","51","0.040104806220242","0.0294880634964242","0.0507215489440598","6"
"NPD","1997","35-65 y.","40","0.0130840992543546","0.00895823148215163","0.0172099670265575","6"
"NPD","1997","66 and older","8","","","","6"
"Other","1997","16-34 y.","22","","","","8"
"Other","1997","35-65 y.","20","","","","8"
"Other","1997","66 and older","6","","","","8"
"PDS/Linke","1997","16-34 y.","58","0.0343768816030645","0.0245182136361762","0.0442355495699528","5"
"PDS/Linke","1997","35-65 y.","130","0.0242204911020177","0.0186387378176034","0.029802244386432","5"
"PDS/Linke","1997","66 and older","53","0.0393959830724552","0.0263334782462716","0.0524584878986388","5"
"SPD","1997","16-34 y.","511","0.360767984868999","0.334782882757898","0.386753086980101","1"
"SPD","1997","35-65 y.","1287","0.451894067693967","0.433824245104674","0.469963890283259","1"
"SPD","1997","66 and older","345","0.397330966908011","0.364472754021682","0.43018917979434","1"
"AfD","1998","16-34 y.","","","","","7"
"AfD","1998","35-65 y.","","","","","7"
"AfD","1998","66 and older","","","","","7"
"CDU/CSU","1998","16-34 y.","372","0.264958040627143","0.241640459770006","0.28827562148428","2"
"CDU/CSU","1998","66 and older","470","0.476602327298532","0.445951515737078","0.507253138859985","2"
"CDU/CSU","1998","35-65 y.","1193","0.364242034451258","0.348026247538847","0.380457821363669","2"
"FDP","1998","16-34 y.","26","","","","3"
"FDP","1998","35-65 y.","85","0.02773590685065","0.0222022732378969","0.0332695404634031","3"
"FDP","1998","66 and older","18","","","","3"
"Grüne","1998","16-34 y.","232","0.182330214360912","0.1619289459181","0.202731482803723","4"
"Grüne","1998","35-65 y.","282","0.0904352035551496","0.0807706304851187","0.100099776625181","4"
"Grüne","1998","66 and older","20","","","","4"
"NPD","1998","16-34 y.","45","0.0337989074903759","0.0242506534038497","0.043347161576902","6"
"NPD","1998","35-65 y.","39","0.0124408432404962","0.00870573182395732","0.016175954657035","6"
"NPD","1998","66 and older","8","","","","6"
"Other","1998","16-34 y.","35","0.0309532906361117","0.0218023730851455","0.0401042081870779","8"
"Other","1998","35-65 y.","35","0.0131939816395162","0.00934894108665353","0.0170390221923788","8"
"Other","1998","66 and older","10","","","","8"
"PDS/Linke","1998","16-34 y.","61","0.0341529360545002","0.0245565639740259","0.0437493081349745","5"
"PDS/Linke","1998","35-65 y.","133","0.0231628767195396","0.0180940853282516","0.0282316681108277","5"
"PDS/Linke","1998","66 and older","57","0.0359095642291637","0.024490987887373","0.0473281405709544","5"
"SPD","1998","16-34 y.","605","0.430035151421299","0.403876527837812","0.456193775004786","1"
"SPD","1998","35-65 y.","1616","0.468789153543391","0.451973283726317","0.485605023360465","1"
"SPD","1998","66 and older","437","0.423591471304383","0.393267448967756","0.453915493641011","1"
"AfD","1999","16-34 y.","","","","","7"
"AfD","1999","35-65 y.","","","","","7"
"AfD","1999","66 and older","","","","","7"
"CDU/CSU","1999","16-34 y.","530","0.348579213740526","0.325082826196509","0.372075601284543","2"
"CDU/CSU","1999","66 and older","523","0.518345566323865","0.488265926363612","0.548425206284118","2"
"CDU/CSU","1999","35-65 y.","1359","0.398562101126535","0.382431475748912","0.414692726504158","2"
"FDP","1999","16-34 y.","36","0.0216218656835847","0.0144502088673685","0.0287935224998009","3"
"FDP","1999","35-65 y.","81","0.0262119023028994","0.0209482243382321","0.0314755802675668","3"
"FDP","1999","66 and older","18","","","","3"
"Grüne","1999","16-34 y.","188","0.125254980998508","0.108933566684827","0.141576395312189","4"
"Grüne","1999","66 and older","13","","","","4"
"Grüne","1999","35-65 y.","219","0.063430944498769","0.055400708644643","0.071461180352895","4"
"NPD","1999","16-34 y.","46","0.0295102681751986","0.0211657436004799","0.0378547927499172","6"
"NPD","1999","35-65 y.","30","0.0059772715689292","0.00343771751598245","0.00851682562187595","6"
"NPD","1999","66 and older","3","","","","6"
"Other","1999","16-34 y.","41","0.0207785883788579","0.0137451446366757","0.0278120321210402","8"
"Other","1999","35-65 y.","25","","","","8"
"Other","1999","66 and older","6","","","","8"
"PDS/Linke","1999","16-34 y.","74","0.0388442493859486","0.0293167309298979","0.0483717678419993","5"
"PDS/Linke","1999","35-65 y.","159","0.0296381937217272","0.0240509126033487","0.0352254748401057","5"
"PDS/Linke","1999","66 and older","71","0.0454905650529094","0.0329462793465484","0.0580348507592705","5"
"SPD","1999","16-34 y.","665","0.415410833637376","0.391112088932325","0.439709578342427","1"
"SPD","1999","35-65 y.","1666","0.4667333047706","0.450296612050294","0.483169997490907","1"
"SPD","1999","66 and older","426","0.392763359306756","0.363363880870138","0.422162837743374","1"
"AfD","2000","35-65 y.","","","","","7"
"AfD","2000","16-34 y.","","","","","7"
"AfD","2000","66 and older","","","","","7"
"CDU/CSU","2000","16-34 y.","768","0.33346688047935","0.314046975518333","0.352886785440367","2"
"CDU/CSU","2000","66 and older","996","0.504368259013257","0.482510607784374","0.52622591024214","2"
"CDU/CSU","2000","35-65 y.","2418","0.382018058020967","0.370021995231851","0.394014120810083","2"
"FDP","2000","35-65 y.","164","0.0282198550770496","0.0241312958637177","0.0323084142903815","3"
"FDP","2000","16-34 y.","63","0.0328040278945993","0.0254668220110579","0.0401412337781406","3"
"FDP","2000","66 and older","53","0.0327709142354121","0.0249876994585459","0.0405541290122784","3"
