"party","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"FDP","1985","16-34 y.","Male","28","","","","3"
"FDP","1985","16-34 y.","Female","18","","","","3"
"FDP","1985","35-65 y.","Male","68","0.0441492848667432","0.0344325620338249","0.0538660076996616","3"
"FDP","1985","35-65 y.","Female","48","0.0341882999427047","0.0250502360992376","0.0433263637861719","3"
"FDP","1985","66 and older","Male","16","","","","3"
"FDP","1985","66 and older","Female","20","","","","3"
"Grüne","1985","16-34 y.","Female","145","0.180199763425975","0.154391462050517","0.206008064801432","4"
"Grüne","1985","16-34 y.","Male","156","0.151342850106448","0.129185789196408","0.173499911016488","4"
"Grüne","1985","35-65 y.","Male","54","0.0278341547568675","0.0200533925675507","0.0356149169461843","4"
"Grüne","1985","35-65 y.","Female","50","0.0268691014696052","0.0187374003650876","0.0350008025741229","4"
"Grüne","1985","66 and older","Male","2","","","","4"
"Grüne","1985","66 and older","Female","1","","","","4"
"NPD","1985","16-34 y.","Female","","","","","6"
"NPD","1985","66 and older","Male","","","","","6"
"NPD","1985","16-34 y.","Male","","","","","6"
"NPD","1985","35-65 y.","Female","","","","","6"
"NPD","1985","66 and older","Female","","","","","6"
"NPD","1985","35-65 y.","Male","","","","","6"
"Other","1985","16-34 y.","Male","9","","","","8"
"Other","1985","16-34 y.","Female","4","","","","8"
"Other","1985","35-65 y.","Male","15","","","","8"
"Other","1985","35-65 y.","Female","4","","","","8"
"Other","1985","66 and older","Male","3","","","","8"
"Other","1985","66 and older","Female","1","","","","8"
"PDS/Linke","1985","16-34 y.","Male","","","","","5"
"PDS/Linke","1985","16-34 y.","Female","","","","","5"
"PDS/Linke","1985","35-65 y.","Female","","","","","5"
"PDS/Linke","1985","35-65 y.","Male","","","","","5"
"PDS/Linke","1985","66 and older","Male","","","","","5"
"PDS/Linke","1985","66 and older","Female","","","","","5"
"SPD","1985","16-34 y.","Male","488","0.436810428186934","0.406145718215986","0.467475138157882","1"
"SPD","1985","16-34 y.","Female","437","0.471665475294788","0.438145797659212","0.505185152930363","1"
"SPD","1985","35-65 y.","Male","880","0.46617066325043","0.442574758654684","0.489766567846176","1"
"SPD","1985","35-65 y.","Female","731","0.455051775264755","0.430009301258769","0.480094249270741","1"
"SPD","1985","66 and older","Male","124","0.406033153629634","0.351365668625426","0.460700638633842","1"
"SPD","1985","66 and older","Female","148","0.403131227381552","0.353284199308606","0.452978255454497","1"
"AfD","1986","16-34 y.","Male","","","","","7"
"AfD","1986","16-34 y.","Female","","","","","7"
"AfD","1986","35-65 y.","Male","","","","","7"
"AfD","1986","35-65 y.","Female","","","","","7"
"AfD","1986","66 and older","Male","","","","","7"
"AfD","1986","66 and older","Female","","","","","7"
"CDU/CSU","1986","16-34 y.","Female","234","0.309967761364367","0.277758671399809","0.342176851328926","2"
"CDU/CSU","1986","35-65 y.","Female","680","0.492738260940531","0.4671549216576","0.518321600223462","2"
"CDU/CSU","1986","16-34 y.","Male","310","0.366250781922255","0.335994426645508","0.396507137199002","2"
"CDU/CSU","1986","35-65 y.","Male","667","0.446741205324057","0.422621045413079","0.470861365235036","2"
"CDU/CSU","1986","66 and older","Male","131","0.467825604288256","0.408637320292186","0.527013888284326","2"
"CDU/CSU","1986","66 and older","Female","182","0.542046702455905","0.489165679207035","0.594927725704775","2"
"FDP","1986","16-34 y.","Male","23","","","","3"
"FDP","1986","16-34 y.","Female","15","","","","3"
"FDP","1986","35-65 y.","Male","58","0.038531266319165","0.029193086387343","0.0478694462509869","3"
"FDP","1986","35-65 y.","Female","37","0.0275172665270436","0.0191462802718652","0.035888252782222","3"
"FDP","1986","66 and older","Female","18","","","","3"
"FDP","1986","66 and older","Male","19","","","","3"
"Grüne","1986","16-34 y.","Female","142","0.193305804930737","0.165803922945333","0.220807686916142","4"
"Grüne","1986","16-34 y.","Male","144","0.138886857776776","0.117168384264799","0.160605331288754","4"
"Grüne","1986","35-65 y.","Male","47","0.0295319087281639","0.0213184817041302","0.0377453357521975","4"
"Grüne","1986","66 and older","Male","2","","","","4"
"Grüne","1986","35-65 y.","Female","48","0.0281231425322867","0.0196631383364118","0.0365831467281616","4"
"Grüne","1986","66 and older","Female","2","","","","4"
"NPD","1986","16-34 y.","Male","","","","","6"
"NPD","1986","16-34 y.","Female","","","","","6"
"NPD","1986","66 and older","Male","","","","","6"
"NPD","1986","35-65 y.","Female","","","","","6"
"NPD","1986","35-65 y.","Male","","","","","6"
"NPD","1986","66 and older","Female","","","","","6"
"Other","1986","16-34 y.","Male","7","","","","8"
"Other","1986","16-34 y.","Female","1","","","","8"
"Other","1986","35-65 y.","Male","14","","","","8"
"Other","1986","35-65 y.","Female","4","","","","8"
"Other","1986","66 and older","Male","1","","","","8"
"Other","1986","66 and older","Female","2","","","","8"
"PDS/Linke","1986","16-34 y.","Male","","","","","5"
"PDS/Linke","1986","16-34 y.","Female","","","","","5"
"PDS/Linke","1986","35-65 y.","Male","","","","","5"
"PDS/Linke","1986","35-65 y.","Female","","","","","5"
"PDS/Linke","1986","66 and older","Male","","","","","5"
"PDS/Linke","1986","66 and older","Female","","","","","5"
"SPD","1986","16-34 y.","Male","490","0.461335235088989","0.430028613082262","0.492641857095717","1"
"SPD","1986","16-34 y.","Female","400","0.474773522264975","0.439995726606391","0.509551317923559","1"
"SPD","1986","35-65 y.","Male","846","0.47539451366816","0.451165735672494","0.499623291663827","1"
"SPD","1986","35-65 y.","Female","698","0.449013046340642","0.423560386592642","0.474465706088642","1"
"SPD","1986","66 and older","Male","120","0.452392823802002","0.393351078563732","0.511434569040272","1"
"SPD","1986","66 and older","Female","137","0.39355839835613","0.341705864133985","0.445410932578275","1"
"AfD","1987","16-34 y.","Male","","","","","7"
"AfD","1987","16-34 y.","Female","","","","","7"
"AfD","1987","35-65 y.","Female","","","","","7"
"AfD","1987","35-65 y.","Male","","","","","7"
"AfD","1987","66 and older","Male","","","","","7"
"AfD","1987","66 and older","Female","","","","","7"
"CDU/CSU","1987","66 and older","Female","206","0.508359863553392","0.459489636478815","0.557230090627969","2"
"CDU/CSU","1987","16-34 y.","Female","289","0.37064822743684","0.338424899823296","0.402871555050384","2"
"CDU/CSU","1987","35-65 y.","Male","687","0.445957998091651","0.422153501102399","0.469762495080904","2"
"CDU/CSU","1987","66 and older","Male","157","0.517424284929923","0.460011616561299","0.574836953298546","2"
"CDU/CSU","1987","16-34 y.","Male","382","0.403917451386316","0.37443410401018","0.433400798762452","2"
"CDU/CSU","1987","35-65 y.","Female","698","0.487497197564002","0.462434916398547","0.512559478729458","2"
"FDP","1987","66 and older","Male","22","","","","3"
"FDP","1987","16-34 y.","Female","23","","","","3"
"FDP","1987","16-34 y.","Male","40","0.0450149412808905","0.0325567811305538","0.0574731014312273","3"
"FDP","1987","35-65 y.","Female","77","0.0553229394184603","0.0438604031668147","0.066785475670106","3"
"FDP","1987","66 and older","Female","23","","","","3"
"FDP","1987","35-65 y.","Male","93","0.0581583684406416","0.046950171994546","0.0693665648867373","3"
"Grüne","1987","16-34 y.","Female","167","0.195217439584621","0.168772579249186","0.221662299920057","4"
"Grüne","1987","16-34 y.","Male","163","0.148183866880052","0.126836187603022","0.169531546157082","4"
"Grüne","1987","35-65 y.","Female","75","0.0406278376884749","0.0307288262848216","0.0505268490921282","4"
"Grüne","1987","35-65 y.","Male","62","0.032684341162024","0.0241691449056017","0.0411995374184463","4"
"Grüne","1987","66 and older","Male","2","","","","4"
"Grüne","1987","66 and older","Female","2","","","","4"
"NPD","1987","16-34 y.","Male","","","","","6"
"NPD","1987","16-34 y.","Female","","","","","6"
"NPD","1987","35-65 y.","Female","","","","","6"
"NPD","1987","35-65 y.","Male","","","","","6"
"NPD","1987","66 and older","Male","","","","","6"
"NPD","1987","66 and older","Female","","","","","6"
"Other","1987","16-34 y.","Male","7","","","","8"
"Other","1987","16-34 y.","Female","6","","","","8"
"Other","1987","35-65 y.","Male","13","","","","8"
"Other","1987","35-65 y.","Female","5","","","","8"
"Other","1987","66 and older","Male","2","","","","8"
"Other","1987","66 and older","Female","4","","","","8"
"PDS/Linke","1987","35-65 y.","Male","","","","","5"
"PDS/Linke","1987","66 and older","Female","","","","","5"
"PDS/Linke","1987","16-34 y.","Male","","","","","5"
"PDS/Linke","1987","16-34 y.","Female","","","","","5"
"PDS/Linke","1987","35-65 y.","Female","","","","","5"
"PDS/Linke","1987","66 and older","Male","","","","","5"
"SPD","1987","35-65 y.","Female","673","0.413547109010746","0.388854585597322","0.438239632424171","1"
"SPD","1987","66 and older","Male","108","0.386234690003349","0.330293924552753","0.442175455453944","1"
"SPD","1987","66 and older","Female","167","0.412337601930672","0.364217616586083","0.460457587275261","1"
"SPD","1987","16-34 y.","Male","472","0.396081442928683","0.366694208859801","0.425468676997565","1"
"SPD","1987","16-34 y.","Female","378","0.39472355004938","0.362112401059706","0.427334699039053","1"
"SPD","1987","35-65 y.","Male","820","0.454015860369345","0.430172568717612","0.477859152021078","1"
"AfD","1988","16-34 y.","Male","","","","","7"
"AfD","1988","16-34 y.","Female","","","","","7"
"AfD","1988","35-65 y.","Male","","","","","7"
"AfD","1988","35-65 y.","Female","","","","","7"
"AfD","1988","66 and older","Male","","","","","7"
"AfD","1988","66 and older","Female","","","","","7"
"CDU/CSU","1988","66 and older","Female","186","0.496506058970244","0.445833633733413","0.547178484207074","2"
"CDU/CSU","1988","35-65 y.","Male","576","0.412181262997089","0.387419700797482","0.436942825196697","2"
"CDU/CSU","1988","16-34 y.","Female","224","0.330246235804208","0.295725515763691","0.364766955844726","2"
"CDU/CSU","1988","16-34 y.","Male","293","0.339132270237075","0.309169592801414","0.369094947672735","2"
"CDU/CSU","1988","35-65 y.","Female","588","0.458736636920897","0.43232168267637","0.485151591165424","2"
"CDU/CSU","1988","66 and older","Male","147","0.495162180115024","0.437013669490613","0.553310690739436","2"
"FDP","1988","16-34 y.","Male","30","0.0371495025508076","0.0251794868969748","0.0491195182046403","3"
"FDP","1988","35-65 y.","Female","50","0.0394368545676456","0.0291192725938741","0.0497544365414171","3"
"FDP","1988","16-34 y.","Female","22","","","","3"
"FDP","1988","66 and older","Male","16","","","","3"
"FDP","1988","35-65 y.","Male","75","0.0518562609304607","0.0407017663831812","0.0630107554777401","3"
"FDP","1988","66 and older","Female","21","","","","3"
"Grüne","1988","16-34 y.","Female","117","0.179023829324338","0.150883833856789","0.207163824791886","4"
"Grüne","1988","16-34 y.","Male","118","0.128060452322668","0.106911469174814","0.149209435470522","4"
"Grüne","1988","35-65 y.","Female","52","0.0327246138323533","0.0232932137697072","0.0421560138949995","4"
"Grüne","1988","66 and older","Female","1","","","","4"
"Grüne","1988","35-65 y.","Male","50","0.0298141298684859","0.0212585244411009","0.0383697352958709","4"
"Grüne","1988","66 and older","Male","1","","","","4"
"NPD","1988","16-34 y.","Male","","","","","6"
"NPD","1988","16-34 y.","Female","","","","","6"
"NPD","1988","35-65 y.","Female","","","","","6"
"NPD","1988","35-65 y.","Male","","","","","6"
"NPD","1988","66 and older","Male","","","","","6"
"NPD","1988","66 and older","Female","","","","","6"
"Other","1988","16-34 y.","Male","12","","","","8"
"Other","1988","16-34 y.","Female","5","","","","8"
"Other","1988","35-65 y.","Male","13","","","","8"
"Other","1988","35-65 y.","Female","10","","","","8"
"Other","1988","66 and older","Male","3","","","","8"
"Other","1988","66 and older","Female","5","","","","8"
"PDS/Linke","1988","16-34 y.","Male","","","","","5"
"PDS/Linke","1988","16-34 y.","Female","","","","","5"
"PDS/Linke","1988","35-65 y.","Male","","","","","5"
"PDS/Linke","1988","35-65 y.","Female","","","","","5"
"PDS/Linke","1988","66 and older","Male","","","","","5"
"PDS/Linke","1988","66 and older","Female","","","","","5"
"SPD","1988","35-65 y.","Female","667","0.461265341656665","0.434839629283144","0.487691054030185","1"
"SPD","1988","66 and older","Male","117","0.424990182470932","0.367497046264192","0.482483318677671","1"
"SPD","1988","66 and older","Female","161","0.432211552850446","0.382005769074182","0.48241733662671","1"
"SPD","1988","16-34 y.","Male","506","0.479210891371588","0.447592987551326","0.510828795191851","1"
"SPD","1988","16-34 y.","Female","345","0.451013838535081","0.414489786026516","0.487537891043646","1"
"SPD","1988","35-65 y.","Male","804","0.49654728104102","0.471395319827094","0.521699242254947","1"
"AfD","1989","16-34 y.","Male","","","","","7"
"AfD","1989","16-34 y.","Female","","","","","7"
"AfD","1989","35-65 y.","Female","","","","","7"
"AfD","1989","35-65 y.","Male","","","","","7"
"AfD","1989","66 and older","Male","","","","","7"
"AfD","1989","66 and older","Female","","","","","7"
"CDU/CSU","1989","16-34 y.","Male","257","0.320319798368451","0.290331569428143","0.35030802730876","2"
"CDU/CSU","1989","35-65 y.","Male","489","0.368203168177986","0.343614027229297","0.392792309126675","2"
"CDU/CSU","1989","35-65 y.","Female","504","0.431832845775614","0.404771168194085","0.458894523357142","2"
"CDU/CSU","1989","66 and older","Female","182","0.477245582077571","0.426420165078394","0.528070999076747","2"
"CDU/CSU","1989","16-34 y.","Female","165","0.282854514604146","0.248597521271737","0.317111507936555","2"
"CDU/CSU","1989","66 and older","Male","133","0.473015805914896","0.413016822230108","0.533014789599684","2"
"FDP","1989","16-34 y.","Male","18","","","","3"
"FDP","1989","35-65 y.","Female","30","0.0238889547181792","0.0155462474584059","0.0322316619779524","3"
"FDP","1989","16-34 y.","Female","16","","","","3"
"FDP","1989","66 and older","Male","8","","","","3"
"FDP","1989","35-65 y.","Male","52","0.0374361892253944","0.0277585048139258","0.047113873636863","3"
"FDP","1989","66 and older","Female","15","","","","3"
"Grüne","1989","16-34 y.","Female","120","0.194844486605302","0.164718033920462","0.224970939290141","4"
"Grüne","1989","16-34 y.","Male","119","0.132125738156527","0.110362238420234","0.15388923789282","4"
"Grüne","1989","35-65 y.","Female","72","0.0482530226144092","0.0365450463786278","0.0599609988501906","4"
"Grüne","1989","66 and older","Female","1","","","","4"
"Grüne","1989","35-65 y.","Male","44","0.0286728252293731","0.0201647976832452","0.0371808527755009","4"
"Grüne","1989","66 and older","Male","2","","","","4"
"NPD","1989","66 and older","Male","","","","","6"
"NPD","1989","16-34 y.","Male","","","","","6"
"NPD","1989","16-34 y.","Female","","","","","6"
"NPD","1989","35-65 y.","Male","","","","","6"
"NPD","1989","35-65 y.","Female","","","","","6"
"NPD","1989","66 and older","Female","","","","","6"
"Other","1989","35-65 y.","Female","25","","","","8"
"Other","1989","16-34 y.","Male","48","0.0610834863053156","0.0456919484928321","0.076475024117799","8"
"Other","1989","66 and older","Male","13","","","","8"
"Other","1989","66 and older","Female","12","","","","8"
"Other","1989","16-34 y.","Female","22","","","","8"
"Other","1989","35-65 y.","Male","66","0.0493379984173999","0.0382968383765106","0.0603791584582893","8"
"PDS/Linke","1989","16-34 y.","Male","","","","","5"
"PDS/Linke","1989","16-34 y.","Female","","","","","5"
"PDS/Linke","1989","35-65 y.","Male","","","","","5"
"PDS/Linke","1989","35-65 y.","Female","","","","","5"
"PDS/Linke","1989","66 and older","Male","","","","","5"
"PDS/Linke","1989","66 and older","Female","","","","","5"
"SPD","1989","35-65 y.","Female","656","0.473971625781372","0.446691926739792","0.501251324822953","1"
"SPD","1989","66 and older","Male","110","0.437856073468614","0.378235421176851","0.497476725760377","1"
"SPD","1989","66 and older","Female","161","0.439625654760967","0.389119794534679","0.490131514987255","1"
"SPD","1989","35-65 y.","Male","827","0.516349818949847","0.490872802595074","0.54182683530462","1"
"SPD","1989","16-34 y.","Male","488","0.462971297576619","0.430924665128032","0.495017930025205","1"
"SPD","1989","16-34 y.","Female","341","0.456860334783726","0.418971474793986","0.494749194773467","1"
"AfD","1990","35-65 y.","Female","","","","","7"
"AfD","1990","16-34 y.","Male","","","","","7"
"AfD","1990","16-34 y.","Female","","","","","7"
"AfD","1990","35-65 y.","Male","","","","","7"
"AfD","1990","66 and older","Male","","","","","7"
"AfD","1990","66 and older","Female","","","","","7"
"CDU/CSU","1990","16-34 y.","Male","287","0.365497796197654","0.334564072696516","0.396431519698791","2"
"CDU/CSU","1990","16-34 y.","Female","172","0.27514822509433","0.241631323456896","0.308665126731764","2"
"CDU/CSU","1990","35-65 y.","Male","517","0.383882541749093","0.359147320316029","0.408617763182157","2"
"CDU/CSU","1990","35-65 y.","Female","495","0.407034846397509","0.38038018212567","0.433689510669347","2"
"CDU/CSU","1990","66 and older","Female","203","0.514073445535236","0.464659478902625","0.563487412167846","2"
"CDU/CSU","1990","66 and older","Male","152","0.510533920538108","0.453197540960755","0.567870300115461","2"
"FDP","1990","16-34 y.","Male","26","","","","3"
"FDP","1990","16-34 y.","Female","25","","","","3"
"FDP","1990","35-65 y.","Female","50","0.0406750553819502","0.029957646983812","0.0513924637800885","3"
"FDP","1990","66 and older","Male","15","","","","3"
"FDP","1990","35-65 y.","Male","65","0.0459035469930012","0.0352595650933976","0.0565475288926047","3"
"FDP","1990","66 and older","Female","16","","","","3"
"Grüne","1990","16-34 y.","Male","100","0.105919693535866","0.0861522788650253","0.125687108206706","4"
"Grüne","1990","16-34 y.","Female","92","0.146927285161148","0.120356758886903","0.173497811435393","4"
"Grüne","1990","35-65 y.","Female","58","0.0407336172884974","0.0300088238335861","0.0514584107434087","4"
"Grüne","1990","35-65 y.","Male","47","0.0297719047129728","0.0211276989197018","0.0384161105062437","4"
"Grüne","1990","66 and older","Female","1","","","","4"
"Grüne","1990","66 and older","Male","1","","","","4"
"NPD","1990","66 and older","Male","5","","","","6"
"NPD","1990","16-34 y.","Male","26","","","","6"
"NPD","1990","16-34 y.","Female","11","","","","6"
"NPD","1990","35-65 y.","Male","18","","","","6"
"NPD","1990","35-65 y.","Female","13","","","","6"
"NPD","1990","66 and older","Female","","","","","6"
"Other","1990","16-34 y.","Male","7","","","","8"
"Other","1990","35-65 y.","Female","4","","","","8"
"Other","1990","16-34 y.","Female","4","","","","8"
"Other","1990","66 and older","Male","1","","","","8"
"Other","1990","66 and older","Female","3","","","","8"
"Other","1990","35-65 y.","Male","10","","","","8"
"PDS/Linke","1990","16-34 y.","Male","","","","","5"
"PDS/Linke","1990","16-34 y.","Female","","","","","5"
"PDS/Linke","1990","35-65 y.","Male","","","","","5"
"PDS/Linke","1990","35-65 y.","Female","","","","","5"
"PDS/Linke","1990","66 and older","Male","","","","","5"
"PDS/Linke","1990","66 and older","Female","","","","","5"
"SPD","1990","16-34 y.","Male","485","0.459824822334409","0.427811056193784","0.491838588475033","1"
"SPD","1990","16-34 y.","Female","378","0.516591234674797","0.479086449635333","0.554096019714261","1"
"SPD","1990","35-65 y.","Female","685","0.498403237070712","0.471275683804707","0.525530790336717","1"
"SPD","1990","66 and older","Male","118","0.405375050106479","0.349062300039231","0.461687800173727","1"
"SPD","1990","66 and older","Female","170","0.431721702808415","0.382751230609327","0.480692175007503","1"
"SPD","1990","35-65 y.","Male","828","0.519061475783702","0.493649464120996","0.544473487446407","1"
"AfD","1991","16-34 y.","Female","","","","","7"
"AfD","1991","35-65 y.","Female","","","","","7"
"AfD","1991","16-34 y.","Male","","","","","7"
"AfD","1991","35-65 y.","Male","","","","","7"
"AfD","1991","66 and older","Female","","","","","7"
"AfD","1991","66 and older","Male","","","","","7"
"CDU/CSU","1991","16-34 y.","Male","264","0.403920978892408","0.366314788492553","0.441527169292263","2"
"CDU/CSU","1991","16-34 y.","Female","169","0.292387798353384","0.254511241946337","0.330264354760432","2"
"CDU/CSU","1991","35-65 y.","Male","491","0.419908165555053","0.391555288348652","0.448261042761453","2"
"CDU/CSU","1991","35-65 y.","Female","496","0.452055660937319","0.423011574571415","0.481099747303223","2"
"CDU/CSU","1991","66 and older","Male","158","0.540614783417564","0.482450550728546","0.598779016106583","2"
"CDU/CSU","1991","66 and older","Female","198","0.500299662554798","0.449961377890399","0.550637947219196","2"
"FDP","1991","66 and older","Male","11","","","","3"
"FDP","1991","16-34 y.","Male","27","","","","3"
"FDP","1991","16-34 y.","Female","19","","","","3"
"FDP","1991","35-65 y.","Female","57","0.0528972770139305","0.0398353052063518","0.0659592488215092","3"
"FDP","1991","66 and older","Female","21","","","","3"
"FDP","1991","35-65 y.","Male","70","0.0627803179081525","0.0488454114944009","0.0767152243219041","3"
"Grüne","1991","16-34 y.","Male","62","0.0982529761154933","0.0754403946464548","0.121065557584532","4"
"Grüne","1991","16-34 y.","Female","69","0.139079552375161","0.110265365917004","0.167893738833318","4"
"Grüne","1991","35-65 y.","Female","48","0.0466177361582283","0.0343149729519466","0.05892049936451","4"
"Grüne","1991","35-65 y.","Male","36","0.0290858465485491","0.0194319448750095","0.0387397482220887","4"
"Grüne","1991","66 and older","Female","3","","","","4"
"Grüne","1991","66 and older","Male","3","","","","4"
"NPD","1991","16-34 y.","Male","23","","","","6"
"NPD","1991","35-65 y.","Male","9","","","","6"
"NPD","1991","35-65 y.","Female","4","","","","6"
"NPD","1991","66 and older","Male","3","","","","6"
"NPD","1991","66 and older","Female","1","","","","6"
"NPD","1991","16-34 y.","Female","5","","","","6"
"Other","1991","16-34 y.","Male","5","","","","8"
"Other","1991","35-65 y.","Female","3","","","","8"
"Other","1991","16-34 y.","Female","4","","","","8"
"Other","1991","66 and older","Male","","","","","8"
"Other","1991","66 and older","Female","1","","","","8"
"Other","1991","35-65 y.","Male","6","","","","8"
"PDS/Linke","1991","16-34 y.","Male","1","","","","5"
"PDS/Linke","1991","35-65 y.","Male","","","","","5"
"PDS/Linke","1991","66 and older","Female","1","","","","5"
"PDS/Linke","1991","66 and older","Male","1","","","","5"
"PDS/Linke","1991","16-34 y.","Female","1","","","","5"
"PDS/Linke","1991","35-65 y.","Female","","","","","5"
"SPD","1991","16-34 y.","Male","272","0.40868651629612","0.371010648638634","0.446362383953605","1"
"SPD","1991","16-34 y.","Female","287","0.508082075467257","0.466452069858733","0.549712081075781","1"
"SPD","1991","35-65 y.","Female","520","0.440807495406064","0.411834146441631","0.469780844370498","1"
"SPD","1991","35-65 y.","Male","552","0.473807927827671","0.44512358445417","0.502492271201172","1"
"SPD","1991","66 and older","Male","106","0.392129847754065","0.335147033169281","0.44911266233885","1"
"SPD","1991","66 and older","Female","154","0.420583024957519","0.370883760257092","0.470282289657946","1"
"AfD","1992","35-65 y.","Female","","","","","7"
"AfD","1992","16-34 y.","Male","","","","","7"
"AfD","1992","16-34 y.","Female","","","","","7"
"AfD","1992","35-65 y.","Male","","","","","7"
"AfD","1992","66 and older","Male","","","","","7"
"AfD","1992","66 and older","Female","","","","","7"
"CDU/CSU","1992","35-65 y.","Female","580","0.431204248970412","0.405598387327896","0.456810110612929","2"
"CDU/CSU","1992","16-34 y.","Male","302","0.376355842473391","0.345067249321538","0.407644435625243","2"
"CDU/CSU","1992","66 and older","Female","227","0.542141008108683","0.494492923287875","0.589789092929492","2"
"CDU/CSU","1992","16-34 y.","Female","181","0.257422397607042","0.225352832275779","0.289491962938305","2"
"CDU/CSU","1992","35-65 y.","Male","653","0.403693296672387","0.380479292188205","0.426907301156568","2"
"CDU/CSU","1992","66 and older","Male","161","0.466929938248303","0.414208545298111","0.519651331198496","2"
"FDP","1992","35-65 y.","Female","63","0.0420786488438826","0.0316982144810975","0.0524590832066677","3"
"FDP","1992","66 and older","Male","16","","","","3"
"FDP","1992","16-34 y.","Female","27","","","","3"
"FDP","1992","35-65 y.","Male","92","0.0556357272940383","0.0447905636796504","0.0664808909084263","3"
"FDP","1992","66 and older","Female","18","","","","3"
"FDP","1992","16-34 y.","Male","32","0.0445062625806471","0.0311881475600442","0.05782437760125","3"
"Grüne","1992","16-34 y.","Male","115","0.123261304490576","0.102030485718393","0.14449212326276","4"
