"party","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"NPD Combination","1985","(2a) intermediate vocational","","","",""
"NPD Combination","1985","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1985","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1985","(3a) lower tertiary education","","","",""
"NPD Combination","1985","(3b) higher tertiary education","","","",""
"AfD","1985","(0) in school","","","",""
"AfD","1985","(1a) inadequately completed","","","",""
"AfD","1985","(1b) general elementary school","","","",""
"AfD","1985","(1c) basic vocational qualification","","","",""
"AfD","1985","(2b) intermediate general qualification","","","",""
"AfD","1985","(2a) intermediate vocational","","","",""
"AfD","1985","(2c_gen) general maturity certificate","","","",""
"AfD","1985","(2c_voc) vocational maturity certificate","","","",""
"AfD","1985","(3a) lower tertiary education","","","",""
"AfD","1985","(3b) higher tertiary education","","","",""
"Other","1985","(0) in school","","","",""
"Other","1985","(1a) inadequately completed","","","",""
"Other","1985","(1b) general elementary school","","","",""
"Other","1985","(1c) basic vocational qualification","","","",""
"Other","1985","(2b) intermediate general qualification","","","",""
"Other","1985","(2a) intermediate vocational","","","",""
"Other","1985","(2c_gen) general maturity certificate","","","",""
"Other","1985","(2c_voc) vocational maturity certificate","","","",""
"Other","1985","(3a) lower tertiary education","","","",""
"Other","1985","(3b) higher tertiary education","","","",""
"CDU/CSU","1986","(0) in school","","","",""
"CDU/CSU","1986","(1a) inadequately completed","","","",""
"CDU/CSU","1986","(1b) general elementary school","442","0.446510288811178","0.417198827980211","0.475821749642146"
"CDU/CSU","1986","(1c) basic vocational qualification","863","0.432269402265137","0.41092341509811","0.453615389432165"
"CDU/CSU","1986","(2b) intermediate general qualification","84","0.474352796017566","0.406655260355532","0.5420503316796"
"CDU/CSU","1986","(2a) intermediate vocational","388","0.517684103407536","0.482795532138216","0.552572674676856"
"CDU/CSU","1986","(2c_gen) general maturity certificate","57","0.299139635750894","0.238496902981612","0.359782368520176"
"CDU/CSU","1986","(2c_voc) vocational maturity certificate","93","0.419556655681973","0.359105677368585","0.480007633995362"
"CDU/CSU","1986","(3a) lower tertiary education","80","0.512515126519883","0.435781061662431","0.589249191377334"
"CDU/CSU","1986","(3b) higher tertiary education","134","0.411991833687147","0.360279462543598","0.463704204830697"
"SPD","1986","(0) in school","","","",""
"SPD","1986","(1a) inadequately completed","169","0.750997914196934","0.692088625858226","0.809907202535642"
"SPD","1986","(1b) general elementary school","612","0.514662964955154","0.48519500118982","0.544130928720487"
"SPD","1986","(1c) basic vocational qualification","1090","0.510365741665676","0.488825801067195","0.531905682264157"
"SPD","1986","(2b) intermediate general qualification","87","0.367191454717328","0.301839678125109","0.432543231309548"
"SPD","1986","(2a) intermediate vocational","312","0.378854614897812","0.344984403703723","0.412724826091901"
"SPD","1986","(2c_gen) general maturity certificate","88","0.368459370543638","0.304571048158243","0.432347692929033"
"SPD","1986","(2c_voc) vocational maturity certificate","106","0.342605738150862","0.284470644141238","0.400740832160487"
"SPD","1986","(3a) lower tertiary education","49","0.286674303749012","0.217253025426478","0.356095582071547"
"SPD","1986","(3b) higher tertiary education","129","0.337760341933202","0.28807018260688","0.387450501259523"
"FDP","1986","(0) in school","","","",""
"FDP","1986","(1a) inadequately completed","","","",""
"FDP","1986","(1b) general elementary school","","","",""
"FDP","1986","(1c) basic vocational qualification","50","0.0269334898196025","0.0199578279125579","0.0339091517266471"
"FDP","1986","(2b) intermediate general qualification","","","",""
"FDP","1986","(2a) intermediate vocational","40","0.0519025207435697","0.0364141511476774","0.067390890339462"
"FDP","1986","(2c_gen) general maturity certificate","","","",""
"FDP","1986","(2c_voc) vocational maturity certificate","","","",""
"FDP","1986","(3a) lower tertiary education","","","",""
"FDP","1986","(3b) higher tertiary education","","","",""
"Grüne","1986","(0) in school","","","",""
"Grüne","1986","(1a) inadequately completed","","","",""
"Grüne","1986","(1b) general elementary school","33","0.0220726768130941","0.0134100871184211","0.0307352665077672"
"Grüne","1986","(1c) basic vocational qualification","51","0.0225352157888556","0.0161400874254781","0.0289303441522332"
"Grüne","1986","(2b) intermediate general qualification","33","0.132256880428928","0.0863286540272027","0.178185106830653"
"Grüne","1986","(2a) intermediate vocational","45","0.0480823132745982","0.0331448325733283","0.063019793975868"
"Grüne","1986","(2c_gen) general maturity certificate","69","0.306665395734408","0.245595123193221","0.367735668275596"
"Grüne","1986","(2c_voc) vocational maturity certificate","41","0.160040602250061","0.115127573445371","0.204953631054752"
"Grüne","1986","(3a) lower tertiary education","","","",""
"Grüne","1986","(3b) higher tertiary education","60","0.171398653482128","0.131804141974345","0.210993164989912"
"PDS/Linke","1986","(0) in school","","","",""
"PDS/Linke","1986","(1a) inadequately completed","","","",""
"PDS/Linke","1986","(1b) general elementary school","","","",""
"PDS/Linke","1986","(1c) basic vocational qualification","","","",""
"PDS/Linke","1986","(2b) intermediate general qualification","","","",""
"PDS/Linke","1986","(2a) intermediate vocational","","","",""
"PDS/Linke","1986","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1986","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1986","(3a) lower tertiary education","","","",""
"PDS/Linke","1986","(3b) higher tertiary education","","","",""
"NPD Combination","1986","(0) in school","","","",""
"NPD Combination","1986","(1a) inadequately completed","","","",""
"NPD Combination","1986","(1b) general elementary school","","","",""
"NPD Combination","1986","(1c) basic vocational qualification","","","",""
"NPD Combination","1986","(2b) intermediate general qualification","","","",""
"NPD Combination","1986","(2a) intermediate vocational","","","",""
"NPD Combination","1986","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1986","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1986","(3a) lower tertiary education","","","",""
"NPD Combination","1986","(3b) higher tertiary education","","","",""
"AfD","1986","(0) in school","","","",""
"AfD","1986","(1a) inadequately completed","","","",""
"AfD","1986","(1b) general elementary school","","","",""
"AfD","1986","(1c) basic vocational qualification","","","",""
"AfD","1986","(2b) intermediate general qualification","","","",""
"AfD","1986","(2a) intermediate vocational","","","",""
"AfD","1986","(2c_gen) general maturity certificate","","","",""
"AfD","1986","(2c_voc) vocational maturity certificate","","","",""
"AfD","1986","(3a) lower tertiary education","","","",""
"AfD","1986","(3b) higher tertiary education","","","",""
"Other","1986","(0) in school","","","",""
"Other","1986","(1a) inadequately completed","","","",""
"Other","1986","(1b) general elementary school","","","",""
"Other","1986","(1c) basic vocational qualification","","","",""
"Other","1986","(2b) intermediate general qualification","","","",""
"Other","1986","(2a) intermediate vocational","","","",""
"Other","1986","(2c_gen) general maturity certificate","","","",""
"Other","1986","(2c_voc) vocational maturity certificate","","","",""
"Other","1986","(3a) lower tertiary education","","","",""
"Other","1986","(3b) higher tertiary education","","","",""
"CDU/CSU","1987","(0) in school","","","",""
"CDU/CSU","1987","(1a) inadequately completed","32","0.186464093674897","0.132886149888488","0.240042037461307"
"CDU/CSU","1987","(1b) general elementary school","470","0.442561490501288","0.41406456825517","0.471058412747406"
"CDU/CSU","1987","(1c) basic vocational qualification","974","0.45348072824739","0.432767318417915","0.474194138076866"
"CDU/CSU","1987","(2b) intermediate general qualification","96","0.498388733013379","0.433056939424382","0.563720526602377"
"CDU/CSU","1987","(2a) intermediate vocational","438","0.523953578422526","0.490805305460982","0.557101851384069"
"CDU/CSU","1987","(2c_gen) general maturity certificate","57","0.307502099157873","0.245962524744245","0.3690416735715"
"CDU/CSU","1987","(2c_voc) vocational maturity certificate","101","0.478835231988938","0.416282595095677","0.541387868882198"
"CDU/CSU","1987","(3a) lower tertiary education","79","0.458135654466077","0.386338941658295","0.529932367273859"
"CDU/CSU","1987","(3b) higher tertiary education","129","0.40371101418746","0.351938144691462","0.455483883683457"
"SPD","1987","(0) in school","38","0.405803493740868","0.300162620455506","0.51144436702623"
"SPD","1987","(1a) inadequately completed","151","0.704467309273086","0.6417000366096","0.767234581936573"
"SPD","1987","(1b) general elementary school","617","0.501294262148162","0.472607521150366","0.529981003145959"
"SPD","1987","(1c) basic vocational qualification","1050","0.45906489140143","0.438331083779626","0.479798699023233"
"SPD","1987","(2b) intermediate general qualification","92","0.36794635743955","0.304933952513166","0.430958762365935"
"SPD","1987","(2a) intermediate vocational","311","0.338306413404256","0.306903247999952","0.36970957880856"
"SPD","1987","(2c_gen) general maturity certificate","80","0.295529482359163","0.234680540107741","0.356378424610585"
"SPD","1987","(2c_voc) vocational maturity certificate","82","0.263117512887577","0.207981031940839","0.318253993834316"
"SPD","1987","(3a) lower tertiary education","56","0.292238054349643","0.226702916876589","0.357773191822697"
"SPD","1987","(3b) higher tertiary education","107","0.281997116741373","0.234515666906785","0.329478566575962"
"FDP","1987","(0) in school","","","",""
"FDP","1987","(1a) inadequately completed","","","",""
"FDP","1987","(1b) general elementary school","","","",""
"FDP","1987","(1c) basic vocational qualification","83","0.0432787816575647","0.0348123646393689","0.0517451986757605"
"FDP","1987","(2b) intermediate general qualification","","","",""
"FDP","1987","(2a) intermediate vocational","65","0.0797964093679638","0.0618108692230506","0.097781949512877"
"FDP","1987","(2c_gen) general maturity certificate","","","",""
"FDP","1987","(2c_voc) vocational maturity certificate","","","",""
"FDP","1987","(3a) lower tertiary education","","","",""
"FDP","1987","(3b) higher tertiary education","43","0.134387342418126","0.0983975347739597","0.170377150062291"
"Grüne","1987","(0) in school","","","",""
"Grüne","1987","(1a) inadequately completed","","","",""
"Grüne","1987","(1b) general elementary school","51","0.0273748471139079","0.0180130060793053","0.0367366881485105"
"Grüne","1987","(1c) basic vocational qualification","100","0.0384381423346887","0.0304390769062401","0.0464372077631373"
"Grüne","1987","(2b) intermediate general qualification","","","",""
"Grüne","1987","(2a) intermediate vocational","49","0.0472786741388369","0.0331920983463535","0.0613652499313202"
"Grüne","1987","(2c_gen) general maturity certificate","63","0.297800672982658","0.23681690459765","0.358784441367665"
"Grüne","1987","(2c_voc) vocational maturity certificate","48","0.190804612029305","0.141602223933609","0.240007000125"
"Grüne","1987","(3a) lower tertiary education","","","",""
"Grüne","1987","(3b) higher tertiary education","64","0.172952045968332","0.133043423148182","0.212860668788482"
"PDS/Linke","1987","(0) in school","","","",""
"PDS/Linke","1987","(1a) inadequately completed","","","",""
"PDS/Linke","1987","(1b) general elementary school","","","",""
"PDS/Linke","1987","(1c) basic vocational qualification","","","",""
"PDS/Linke","1987","(2b) intermediate general qualification","","","",""
"PDS/Linke","1987","(2a) intermediate vocational","","","",""
"PDS/Linke","1987","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1987","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1987","(3a) lower tertiary education","","","",""
"PDS/Linke","1987","(3b) higher tertiary education","","","",""
"NPD Combination","1987","(0) in school","","","",""
"NPD Combination","1987","(1a) inadequately completed","","","",""
"NPD Combination","1987","(1b) general elementary school","","","",""
"NPD Combination","1987","(1c) basic vocational qualification","","","",""
"NPD Combination","1987","(2b) intermediate general qualification","","","",""
"NPD Combination","1987","(2a) intermediate vocational","","","",""
"NPD Combination","1987","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1987","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1987","(3a) lower tertiary education","","","",""
"NPD Combination","1987","(3b) higher tertiary education","","","",""
"AfD","1987","(0) in school","","","",""
"AfD","1987","(1a) inadequately completed","","","",""
"AfD","1987","(1b) general elementary school","","","",""
"AfD","1987","(1c) basic vocational qualification","","","",""
"AfD","1987","(2b) intermediate general qualification","","","",""
"AfD","1987","(2a) intermediate vocational","","","",""
"AfD","1987","(2c_gen) general maturity certificate","","","",""
"AfD","1987","(2c_voc) vocational maturity certificate","","","",""
"AfD","1987","(3a) lower tertiary education","","","",""
"AfD","1987","(3b) higher tertiary education","","","",""
"Other","1987","(0) in school","","","",""
"Other","1987","(1a) inadequately completed","","","",""
"Other","1987","(1b) general elementary school","","","",""
"Other","1987","(1c) basic vocational qualification","","","",""
"Other","1987","(2b) intermediate general qualification","","","",""
"Other","1987","(2a) intermediate vocational","","","",""
"Other","1987","(2c_gen) general maturity certificate","","","",""
"Other","1987","(2c_voc) vocational maturity certificate","","","",""
"Other","1987","(3a) lower tertiary education","","","",""
"Other","1987","(3b) higher tertiary education","","","",""
"CDU/CSU","1988","(0) in school","","","",""
"CDU/CSU","1988","(1a) inadequately completed","","","",""
"CDU/CSU","1988","(1b) general elementary school","393","0.405185472091359","0.37582495725447","0.434545986928248"
"CDU/CSU","1988","(1c) basic vocational qualification","793","0.413309235785279","0.391663015099787","0.434955456470772"
"CDU/CSU","1988","(2b) intermediate general qualification","87","0.554262707804981","0.481037810270119","0.627487605339843"
"CDU/CSU","1988","(2a) intermediate vocational","349","0.472519463070832","0.437683914006112","0.507355012135552"
"CDU/CSU","1988","(2c_gen) general maturity certificate","47","0.294035673700012","0.228204655924166","0.359866691475858"
"CDU/CSU","1988","(2c_voc) vocational maturity certificate","94","0.427595937025656","0.365520281178512","0.4896715928728"
"CDU/CSU","1988","(3a) lower tertiary education","69","0.457226799274602","0.38121497496063","0.533238623588575"
"CDU/CSU","1988","(3b) higher tertiary education","122","0.393924679786516","0.340472493912051","0.447376865660981"
"SPD","1988","(0) in school","","","",""
"SPD","1988","(1a) inadequately completed","124","0.743026945157802","0.675107269363234","0.81094662095237"
"SPD","1988","(1b) general elementary school","623","0.553257039984212","0.523524070612904","0.582990009355521"
"SPD","1988","(1c) basic vocational qualification","1048","0.510540456187314","0.488566240521282","0.532514671853346"
"SPD","1988","(2b) intermediate general qualification","76","0.37615414077478","0.304789508925315","0.447518772624245"
"SPD","1988","(2a) intermediate vocational","331","0.391977932376927","0.357913585288224","0.426042279465631"
"SPD","1988","(2c_gen) general maturity certificate","82","0.38521257039161","0.314896936802214","0.455528203981006"
"SPD","1988","(2c_voc) vocational maturity certificate","91","0.304350844146574","0.246616323491142","0.362085364802006"
"SPD","1988","(3a) lower tertiary education","62","0.339009969924156","0.266781268208783","0.411238671639529"
"SPD","1988","(3b) higher tertiary education","115","0.343590208596525","0.291638062846485","0.395542354346565"
"FDP","1988","(0) in school","","","",""
"FDP","1988","(1a) inadequately completed","","","",""
"FDP","1988","(1b) general elementary school","","","",""
"FDP","1988","(1c) basic vocational qualification","63","0.0349626595639205","0.0268881864890758","0.0430371326387653"
"FDP","1988","(2b) intermediate general qualification","","","",""
"FDP","1988","(2a) intermediate vocational","53","0.0724323250901146","0.0543460719406595","0.0905185782395696"
"FDP","1988","(2c_gen) general maturity certificate","","","",""
"FDP","1988","(2c_voc) vocational maturity certificate","","","",""
"FDP","1988","(3a) lower tertiary education","","","",""
"FDP","1988","(3b) higher tertiary education","","","",""
"Grüne","1988","(0) in school","","","",""
"Grüne","1988","(1a) inadequately completed","","","",""
"Grüne","1988","(1b) general elementary school","32","0.016410251348465","0.00881205409854512","0.0240084485983849"
"Grüne","1988","(1c) basic vocational qualification","69","0.0317588254512623","0.0240504316990503","0.0394672192034743"
"Grüne","1988","(2b) intermediate general qualification","","","",""
"Grüne","1988","(2a) intermediate vocational","48","0.0504843721908401","0.0352073352816365","0.0657614091000437"
"Grüne","1988","(2c_gen) general maturity certificate","43","0.24892590450704","0.186449558972059","0.31140225004202"
"Grüne","1988","(2c_voc) vocational maturity certificate","39","0.16761827256018","0.120750412219099","0.21448613290126"
"Grüne","1988","(3a) lower tertiary education","","","",""
"Grüne","1988","(3b) higher tertiary education","49","0.144579278274392","0.106107834568137","0.183050721980646"
"PDS/Linke","1988","(0) in school","","","",""
"PDS/Linke","1988","(1a) inadequately completed","","","",""
"PDS/Linke","1988","(1b) general elementary school","","","",""
"PDS/Linke","1988","(1c) basic vocational qualification","","","",""
"PDS/Linke","1988","(2b) intermediate general qualification","","","",""
"PDS/Linke","1988","(2a) intermediate vocational","","","",""
"PDS/Linke","1988","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1988","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1988","(3a) lower tertiary education","","","",""
"PDS/Linke","1988","(3b) higher tertiary education","","","",""
"NPD Combination","1988","(0) in school","","","",""
"NPD Combination","1988","(1a) inadequately completed","","","",""
"NPD Combination","1988","(1b) general elementary school","","","",""
"NPD Combination","1988","(1c) basic vocational qualification","","","",""
"NPD Combination","1988","(2b) intermediate general qualification","","","",""
"NPD Combination","1988","(2a) intermediate vocational","","","",""
"NPD Combination","1988","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1988","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1988","(3a) lower tertiary education","","","",""
"NPD Combination","1988","(3b) higher tertiary education","","","",""
"AfD","1988","(0) in school","","","",""
"AfD","1988","(1a) inadequately completed","","","",""
"AfD","1988","(1b) general elementary school","","","",""
"AfD","1988","(1c) basic vocational qualification","","","",""
"AfD","1988","(2b) intermediate general qualification","","","",""
"AfD","1988","(2a) intermediate vocational","","","",""
"AfD","1988","(2c_gen) general maturity certificate","","","",""
"AfD","1988","(2c_voc) vocational maturity certificate","","","",""
"AfD","1988","(3a) lower tertiary education","","","",""
"AfD","1988","(3b) higher tertiary education","","","",""
"Other","1988","(0) in school","","","",""
"Other","1988","(1a) inadequately completed","","","",""
"Other","1988","(1b) general elementary school","","","",""
"Other","1988","(1c) basic vocational qualification","","","",""
"Other","1988","(2b) intermediate general qualification","","","",""
"Other","1988","(2a) intermediate vocational","","","",""
"Other","1988","(2c_gen) general maturity certificate","","","",""
"Other","1988","(2c_voc) vocational maturity certificate","","","",""
"Other","1988","(3a) lower tertiary education","","","",""
"Other","1988","(3b) higher tertiary education","","","",""
"CDU/CSU","1989","(0) in school","","","",""
"CDU/CSU","1989","(1a) inadequately completed","","","",""
"CDU/CSU","1989","(1b) general elementary school","329","0.388355965279951","0.358027068195263","0.41868486236464"
"CDU/CSU","1989","(1c) basic vocational qualification","689","0.38389243242267","0.361873495624818","0.405911369220522"
"CDU/CSU","1989","(2b) intermediate general qualification","57","0.459980083802167","0.383701860358741","0.536258307245593"
"CDU/CSU","1989","(2a) intermediate vocational","308","0.446054365716731","0.409821189050785","0.482287542382676"
