"party","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"NPD","1984","higher education","West Germany","","","","","6"
"NPD","1984","higher vocational","East Germany","","","","","6"
"NPD","1984","higher education","East Germany","","","","","6"
"Other","1984","in school","West Germany","1","","","","8"
"Other","1984","in school","East Germany","","","","","8"
"Other","1984","vocational + Abi","East Germany","","","","","8"
"Other","1984","higher vocational","West Germany","1","","","","8"
"Other","1984","higher vocational","East Germany","","","","","8"
"Other","1984","higher education","West Germany","1","","","","8"
"Other","1984","inadequately","West Germany","4","","","","8"
"Other","1984","inadequately","East Germany","","","","","8"
"Other","1984","general elemantary","West Germany","14","","","","8"
"Other","1984","general elemantary","East Germany","","","","","8"
"Other","1984","middle vocational","West Germany","16","","","","8"
"Other","1984","middle vocational","East Germany","","","","","8"
"Other","1984","vocational + Abi","West Germany","3","","","","8"
"Other","1984","higher education","East Germany","","","","","8"
"PDS/Linke","1984","higher education","West Germany","","","","","5"
"PDS/Linke","1984","higher education","East Germany","","","","","5"
"PDS/Linke","1984","general elemantary","West Germany","","","","","5"
"PDS/Linke","1984","general elemantary","East Germany","","","","","5"
"PDS/Linke","1984","higher vocational","East Germany","","","","","5"
"PDS/Linke","1984","inadequately","West Germany","","","","","5"
"PDS/Linke","1984","inadequately","East Germany","","","","","5"
"PDS/Linke","1984","in school","West Germany","","","","","5"
"PDS/Linke","1984","in school","East Germany","","","","","5"
"PDS/Linke","1984","middle vocational","West Germany","","","","","5"
"PDS/Linke","1984","vocational + Abi","West Germany","","","","","5"
"PDS/Linke","1984","vocational + Abi","East Germany","","","","","5"
"PDS/Linke","1984","higher vocational","West Germany","","","","","5"
"PDS/Linke","1984","middle vocational","East Germany","","","","","5"
"SPD","1984","inadequately","East Germany","","","","","1"
"SPD","1984","general elemantary","West Germany","871","0.481055266288526","0.457212941985466","0.504897590591585","1"
"SPD","1984","in school","East Germany","","","","","1"
"SPD","1984","inadequately","West Germany","213","0.718195046609329","0.663616325960368","0.772773767258289","1"
"SPD","1984","higher vocational","West Germany","144","0.327505381677083","0.283096169178551","0.371914594175615","1"
"SPD","1984","vocational + Abi","East Germany","","","","","1"
"SPD","1984","in school","West Germany","31","0.361126055614612","0.251687782486475","0.470564328742749","1"
"SPD","1984","general elemantary","East Germany","","","","","1"
"SPD","1984","middle vocational","West Germany","1631","0.472420671680704","0.455314620180134","0.489526723181275","1"
"SPD","1984","middle vocational","East Germany","","","","","1"
"SPD","1984","vocational + Abi","West Germany","88","0.407559287044816","0.336751654872832","0.4783669192168","1"
"SPD","1984","higher vocational","East Germany","","","","","1"
"SPD","1984","higher education","West Germany","180","0.31745654164044","0.276898205776006","0.358014877504875","1"
"SPD","1984","higher education","East Germany","","","","","1"
"AfD","1985","higher education","West Germany","","","","","7"
"AfD","1985","higher education","East Germany","","","","","7"
"AfD","1985","general elemantary","West Germany","","","","","7"
"AfD","1985","higher vocational","East Germany","","","","","7"
"AfD","1985","inadequately","West Germany","","","","","7"
"AfD","1985","inadequately","East Germany","","","","","7"
"AfD","1985","general elemantary","East Germany","","","","","7"
"AfD","1985","middle vocational","West Germany","","","","","7"
"AfD","1985","in school","West Germany","","","","","7"
"AfD","1985","in school","East Germany","","","","","7"
"AfD","1985","middle vocational","East Germany","","","","","7"
"AfD","1985","vocational + Abi","West Germany","","","","","7"
"AfD","1985","vocational + Abi","East Germany","","","","","7"
"AfD","1985","higher vocational","West Germany","","","","","7"
"CDU/CSU","1985","higher education","East Germany","","","","","2"
"CDU/CSU","1985","general elemantary","East Germany","","","","","2"
"CDU/CSU","1985","higher vocational","East Germany","","","","","2"
"CDU/CSU","1985","higher education","West Germany","211","0.425056157868053","0.382849724587435","0.46726259114867","2"
"CDU/CSU","1985","general elemantary","West Germany","566","0.458032281781501","0.431924258747458","0.484140304815545","2"
"CDU/CSU","1985","inadequately","West Germany","25","","","","2"
"CDU/CSU","1985","middle vocational","West Germany","1205","0.434515476279124","0.416688287932638","0.45234266462561","2"
"CDU/CSU","1985","middle vocational","East Germany","","","","","2"
"CDU/CSU","1985","vocational + Abi","West Germany","51","0.324628620783287","0.255648144724673","0.393609096841901","2"
"CDU/CSU","1985","vocational + Abi","East Germany","","","","","2"
"CDU/CSU","1985","in school","West Germany","30","0.461921691562163","0.34755657373243","0.576286809391895","2"
"CDU/CSU","1985","inadequately","East Germany","","","","","2"
"CDU/CSU","1985","higher vocational","West Germany","225","0.57091769310732","0.523067440516955","0.618767945697684","2"
"CDU/CSU","1985","in school","East Germany","","","","","2"
"FDP","1985","vocational + Abi","West Germany","10","","","","3"
"FDP","1985","inadequately","East Germany","","","","","3"
"FDP","1985","higher vocational","West Germany","18","","","","3"
"FDP","1985","higher vocational","East Germany","","","","","3"
"FDP","1985","higher education","West Germany","51","0.103087165348188","0.0771262380097164","0.129048092686659","3"
"FDP","1985","in school","East Germany","","","","","3"
"FDP","1985","inadequately","West Germany","","","","","3"
"FDP","1985","general elemantary","West Germany","22","","","","3"
"FDP","1985","general elemantary","East Germany","","","","","3"
"FDP","1985","in school","West Germany","2","","","","3"
"FDP","1985","vocational + Abi","East Germany","","","","","3"
"FDP","1985","middle vocational","West Germany","93","0.0366815940620803","0.0299210928382231","0.0434420952859374","3"
"FDP","1985","middle vocational","East Germany","","","","","3"
"FDP","1985","higher education","East Germany","","","","","3"
"NPD","1985","in school","West Germany","","","","","6"
"NPD","1985","inadequately","West Germany","","","","","6"
"NPD","1985","in school","East Germany","","","","","6"
"NPD","1985","vocational + Abi","West Germany","","","","","6"
"NPD","1985","middle vocational","East Germany","","","","","6"
"NPD","1985","vocational + Abi","East Germany","","","","","6"
"NPD","1985","higher vocational","West Germany","","","","","6"
"NPD","1985","inadequately","East Germany","","","","","6"
"NPD","1985","general elemantary","West Germany","","","","","6"
"NPD","1985","general elemantary","East Germany","","","","","6"
"NPD","1985","middle vocational","West Germany","","","","","6"
"NPD","1985","higher education","West Germany","","","","","6"
"NPD","1985","higher vocational","East Germany","","","","","6"
"NPD","1985","higher education","East Germany","","","","","6"
"Other","1985","in school","West Germany","4","","","","8"
"Other","1985","in school","East Germany","","","","","8"
"Other","1985","inadequately","West Germany","1","","","","8"
"Other","1985","inadequately","East Germany","","","","","8"
"Other","1985","general elemantary","East Germany","","","","","8"
"Other","1985","middle vocational","East Germany","","","","","8"
"Other","1985","vocational + Abi","West Germany","2","","","","8"
"Other","1985","vocational + Abi","East Germany","","","","","8"
"Other","1985","higher vocational","West Germany","","","","","8"
"Other","1985","higher vocational","East Germany","","","","","8"
"Other","1985","higher education","West Germany","4","","","","8"
"Other","1985","general elemantary","West Germany","8","","","","8"
"Other","1985","middle vocational","West Germany","17","","","","8"
"Other","1985","higher education","East Germany","","","","","8"
"PDS/Linke","1985","general elemantary","West Germany","","","","","5"
"PDS/Linke","1985","higher education","West Germany","","","","","5"
"PDS/Linke","1985","higher education","East Germany","","","","","5"
"PDS/Linke","1985","higher vocational","East Germany","","","","","5"
"PDS/Linke","1985","inadequately","West Germany","","","","","5"
"PDS/Linke","1985","inadequately","East Germany","","","","","5"
"PDS/Linke","1985","in school","West Germany","","","","","5"
"PDS/Linke","1985","in school","East Germany","","","","","5"
"PDS/Linke","1985","general elemantary","East Germany","","","","","5"
"PDS/Linke","1985","middle vocational","West Germany","","","","","5"
"PDS/Linke","1985","middle vocational","East Germany","","","","","5"
"PDS/Linke","1985","vocational + Abi","West Germany","","","","","5"
"PDS/Linke","1985","vocational + Abi","East Germany","","","","","5"
"PDS/Linke","1985","higher vocational","West Germany","","","","","5"
"SPD","1985","in school","East Germany","","","","","1"
"SPD","1985","higher vocational","West Germany","137","0.326076880567021","0.280756623813346","0.371397137320696","1"
"SPD","1985","in school","West Germany","20","","","","1"
"SPD","1985","inadequately","West Germany","145","0.730856527648497","0.666598034552686","0.795115020744308","1"
"SPD","1985","inadequately","East Germany","","","","","1"
"SPD","1985","general elemantary","West Germany","731","0.477464562986932","0.451290708712281","0.503638417261583","1"
"SPD","1985","general elemantary","East Germany","","","","","1"
"SPD","1985","middle vocational","West Germany","1482","0.472615217633152","0.454660130622877","0.490570304643427","1"
"SPD","1985","vocational + Abi","East Germany","","","","","1"
"SPD","1985","middle vocational","East Germany","","","","","1"
"SPD","1985","vocational + Abi","West Germany","79","0.356693550483137","0.286123888221382","0.427263212744891","1"
"SPD","1985","higher vocational","East Germany","","","","","1"
"SPD","1985","higher education","West Germany","197","0.34844651741188","0.307766054821599","0.389126980002162","1"
"SPD","1985","higher education","East Germany","","","","","1"
"AfD","1986","inadequately","East Germany","","","","","7"
"AfD","1986","general elemantary","West Germany","","","","","7"
"AfD","1986","higher education","East Germany","","","","","7"
"AfD","1986","higher vocational","East Germany","","","","","7"
"AfD","1986","higher education","West Germany","","","","","7"
"AfD","1986","inadequately","West Germany","","","","","7"
"AfD","1986","general elemantary","East Germany","","","","","7"
"AfD","1986","middle vocational","West Germany","","","","","7"
"AfD","1986","middle vocational","East Germany","","","","","7"
"AfD","1986","in school","West Germany","","","","","7"
"AfD","1986","in school","East Germany","","","","","7"
"AfD","1986","vocational + Abi","West Germany","","","","","7"
"AfD","1986","vocational + Abi","East Germany","","","","","7"
"AfD","1986","higher vocational","West Germany","","","","","7"
"CDU/CSU","1986","general elemantary","West Germany","526","0.453539586867325","0.426549937012721","0.480529236721928","2"
"CDU/CSU","1986","general elemantary","East Germany","","","","","2"
"CDU/CSU","1986","higher vocational","East Germany","","","","","2"
"CDU/CSU","1986","higher education","West Germany","214","0.447287011698813","0.404176753918501","0.490397269479125","2"
"CDU/CSU","1986","higher education","East Germany","","","","","2"
"CDU/CSU","1986","in school","West Germany","19","","","","2"
"CDU/CSU","1986","in school","East Germany","","","","","2"
"CDU/CSU","1986","inadequately","West Germany","24","","","","2"
"CDU/CSU","1986","inadequately","East Germany","","","","","2"
"CDU/CSU","1986","middle vocational","West Germany","1156","0.429874164578259","0.411724315753768","0.44802401340275","2"
"CDU/CSU","1986","middle vocational","East Germany","","","","","2"
"CDU/CSU","1986","vocational + Abi","West Germany","48","0.368523784332066","0.294008319844049","0.443039248820083","2"
"CDU/CSU","1986","vocational + Abi","East Germany","","","","","2"
"CDU/CSU","1986","higher vocational","West Germany","202","0.58115888588224","0.530123316888702","0.632194454875779","2"
"FDP","1986","inadequately","West Germany","","","","","3"
"FDP","1986","inadequately","East Germany","","","","","3"
"FDP","1986","higher vocational","East Germany","","","","","3"
"FDP","1986","higher education","West Germany","39","0.0834771945710726","0.0594947636904315","0.107459625451714","3"
"FDP","1986","in school","East Germany","","","","","3"
"FDP","1986","vocational + Abi","West Germany","8","","","","3"
"FDP","1986","higher vocational","West Germany","14","","","","3"
"FDP","1986","in school","West Germany","2","","","","3"
"FDP","1986","general elemantary","West Germany","17","","","","3"
"FDP","1986","general elemantary","East Germany","","","","","3"
"FDP","1986","vocational + Abi","East Germany","","","","","3"
"FDP","1986","middle vocational","West Germany","88","0.0343665427860749","0.0276878563520734","0.0410452292200763","3"
"FDP","1986","middle vocational","East Germany","","","","","3"
"FDP","1986","higher education","East Germany","","","","","3"
"NPD","1986","middle vocational","East Germany","","","","","6"
"NPD","1986","vocational + Abi","West Germany","","","","","6"
"NPD","1986","in school","West Germany","","","","","6"
"NPD","1986","in school","East Germany","","","","","6"
"NPD","1986","inadequately","West Germany","","","","","6"
"NPD","1986","inadequately","East Germany","","","","","6"
"NPD","1986","vocational + Abi","East Germany","","","","","6"
"NPD","1986","higher vocational","West Germany","","","","","6"
"NPD","1986","general elemantary","East Germany","","","","","6"
"NPD","1986","middle vocational","West Germany","","","","","6"
"NPD","1986","general elemantary","West Germany","","","","","6"
"NPD","1986","higher education","West Germany","","","","","6"
"NPD","1986","higher education","East Germany","","","","","6"
"NPD","1986","higher vocational","East Germany","","","","","6"
"Other","1986","in school","West Germany","2","","","","8"
"Other","1986","in school","East Germany","","","","","8"
"Other","1986","middle vocational","East Germany","","","","","8"
"Other","1986","vocational + Abi","West Germany","1","","","","8"
"Other","1986","vocational + Abi","East Germany","","","","","8"
"Other","1986","higher vocational","West Germany","1","","","","8"
"Other","1986","inadequately","West Germany","","","","","8"
"Other","1986","inadequately","East Germany","","","","","8"
"Other","1986","general elemantary","West Germany","6","","","","8"
"Other","1986","higher vocational","East Germany","","","","","8"
"Other","1986","higher education","West Germany","1","","","","8"
"Other","1986","general elemantary","East Germany","","","","","8"
"Other","1986","middle vocational","West Germany","18","","","","8"
"Other","1986","higher education","East Germany","","","","","8"
"PDS/Linke","1986","higher education","East Germany","","","","","5"
"PDS/Linke","1986","higher education","West Germany","","","","","5"
"PDS/Linke","1986","inadequately","East Germany","","","","","5"
"PDS/Linke","1986","general elemantary","West Germany","","","","","5"
"PDS/Linke","1986","higher vocational","East Germany","","","","","5"
"PDS/Linke","1986","inadequately","West Germany","","","","","5"
"PDS/Linke","1986","general elemantary","East Germany","","","","","5"
"PDS/Linke","1986","middle vocational","West Germany","","","","","5"
"PDS/Linke","1986","in school","West Germany","","","","","5"
"PDS/Linke","1986","in school","East Germany","","","","","5"
"PDS/Linke","1986","middle vocational","East Germany","","","","","5"
"PDS/Linke","1986","vocational + Abi","West Germany","","","","","5"
"PDS/Linke","1986","vocational + Abi","East Germany","","","","","5"
"PDS/Linke","1986","higher vocational","West Germany","","","","","5"
"SPD","1986","in school","East Germany","","","","","1"
"SPD","1986","in school","West Germany","21","","","","1"
"SPD","1986","inadequately","West Germany","140","0.737764061134583","0.672965358480412","0.802562763788754","1"
"SPD","1986","inadequately","East Germany","","","","","1"
"SPD","1986","vocational + Abi","East Germany","","","","","1"
"SPD","1986","higher vocational","West Germany","115","0.318439829902145","0.270248749859042","0.366630909945248","1"
"SPD","1986","general elemantary","West Germany","694","0.488444739599272","0.461345051460554","0.515544427737991","1"
"SPD","1986","vocational + Abi","West Germany","75","0.362329066857239","0.288081016999689","0.436577116714789","1"
"SPD","1986","general elemantary","East Germany","","","","","1"
"SPD","1986","middle vocational","West Germany","1446","0.482940834716071","0.464620472187026","0.501261197245116","1"
"SPD","1986","middle vocational","East Germany","","","","","1"
"SPD","1986","higher education","West Germany","178","0.319823297087069","0.279384003052465","0.360262591121673","1"
"SPD","1986","higher education","East Germany","","","","","1"
"SPD","1986","higher vocational","East Germany","","","","","1"
"AfD","1987","higher education","West Germany","","","","","7"
"AfD","1987","higher education","East Germany","","","","","7"
"AfD","1987","inadequately","East Germany","","","","","7"
"AfD","1987","general elemantary","West Germany","","","","","7"
"AfD","1987","higher vocational","East Germany","","","","","7"
"AfD","1987","inadequately","West Germany","","","","","7"
"AfD","1987","general elemantary","East Germany","","","","","7"
"AfD","1987","middle vocational","West Germany","","","","","7"
"AfD","1987","in school","West Germany","","","","","7"
"AfD","1987","middle vocational","East Germany","","","","","7"
"AfD","1987","vocational + Abi","West Germany","","","","","7"
"AfD","1987","in school","East Germany","","","","","7"
"AfD","1987","vocational + Abi","East Germany","","","","","7"
"AfD","1987","higher vocational","West Germany","","","","","7"
"CDU/CSU","1987","higher education","West Germany","208","0.424339076158791","0.382261564921455","0.466416587396126","2"
"CDU/CSU","1987","higher vocational","East Germany","","","","","2"
"CDU/CSU","1987","in school","East Germany","","","","","2"
"CDU/CSU","1987","inadequately","West Germany","31","0.196047310654801","0.138210478954864","0.253884142354737","2"
"CDU/CSU","1987","general elemantary","West Germany","563","0.453094882989417","0.426821467727021","0.479368298251814","2"
"CDU/CSU","1987","general elemantary","East Germany","","","","","2"
"CDU/CSU","1987","higher education","East Germany","","","","","2"
"CDU/CSU","1987","in school","West Germany","24","","","","2"
"CDU/CSU","1987","inadequately","East Germany","","","","","2"
"CDU/CSU","1987","middle vocational","West Germany","1317","0.452371920603585","0.434762692432715","0.469981148774455","2"
"CDU/CSU","1987","middle vocational","East Germany","","","","","2"
"CDU/CSU","1987","vocational + Abi","West Germany","58","0.407564703096207","0.331425759808357","0.483703646384057","2"
"CDU/CSU","1987","vocational + Abi","East Germany","","","","","2"
"CDU/CSU","1987","higher vocational","West Germany","203","0.585845281625223","0.535722644665151","0.635967918585295","2"
"FDP","1987","in school","East Germany","","","","","3"
"FDP","1987","inadequately","West Germany","4","","","","3"
"FDP","1987","inadequately","East Germany","","","","","3"
"FDP","1987","vocational + Abi","West Germany","7","","","","3"
"FDP","1987","higher vocational","West Germany","25","","","","3"
"FDP","1987","higher vocational","East Germany","","","","","3"
"FDP","1987","higher education","West Germany","67","0.133399762852088","0.104453194384416","0.162346331319761","3"
"FDP","1987","in school","West Germany","2","","","","3"
"FDP","1987","general elemantary","West Germany","30","0.0236935784874666","0.0156661885475103","0.031720968427423","3"
"FDP","1987","general elemantary","East Germany","","","","","3"
"FDP","1987","vocational + Abi","East Germany","","","","","3"
"FDP","1987","higher education","East Germany","","","","","3"
"FDP","1987","middle vocational","West Germany","142","0.0533212817740177","0.0453724877335288","0.0612700758145067","3"
"FDP","1987","middle vocational","East Germany","","","","","3"
"NPD","1987","inadequately","West Germany","","","","","6"
"NPD","1987","inadequately","East Germany","","","","","6"
"NPD","1987","middle vocational","East Germany","","","","","6"
"NPD","1987","vocational + Abi","West Germany","","","","","6"
"NPD","1987","vocational + Abi","East Germany","","","","","6"
"NPD","1987","higher vocational","West Germany","","","","","6"
"NPD","1987","higher vocational","East Germany","","","","","6"
"NPD","1987","in school","West Germany","","","","","6"
"NPD","1987","in school","East Germany","","","","","6"
"NPD","1987","general elemantary","West Germany","","","","","6"
"NPD","1987","general elemantary","East Germany","","","","","6"
"NPD","1987","middle vocational","West Germany","","","","","6"
"NPD","1987","higher education","West Germany","","","","","6"
"NPD","1987","higher education","East Germany","","","","","6"
"Other","1987","in school","West Germany","2","","","","8"
"Other","1987","in school","East Germany","","","","","8"
"Other","1987","inadequately","West Germany","","","","","8"
"Other","1987","inadequately","East Germany","","","","","8"
"Other","1987","general elemantary","West Germany","7","","","","8"
"Other","1987","middle vocational","East Germany","","","","","8"
"Other","1987","vocational + Abi","West Germany","1","","","","8"
"Other","1987","vocational + Abi","East Germany","","","","","8"
"Other","1987","higher vocational","West Germany","1","","","","8"
"Other","1987","higher vocational","East Germany","","","","","8"
"Other","1987","higher education","West Germany","2","","","","8"
"Other","1987","higher education","East Germany","","","","","8"
"Other","1987","general elemantary","East Germany","","","","","8"
"Other","1987","middle vocational","West Germany","24","","","","8"
"PDS/Linke","1987","higher education","West Germany","","","","","5"
"PDS/Linke","1987","higher education","East Germany","","","","","5"
"PDS/Linke","1987","general elemantary","West Germany","","","","","5"
"PDS/Linke","1987","higher vocational","East Germany","","","","","5"
"PDS/Linke","1987","inadequately","East Germany","","","","","5"
"PDS/Linke","1987","general elemantary","East Germany","","","","","5"
"PDS/Linke","1987","middle vocational","West Germany","","","","","5"
"PDS/Linke","1987","inadequately","West Germany","","","","","5"
"PDS/Linke","1987","in school","West Germany","","","","","5"
"PDS/Linke","1987","in school","East Germany","","","","","5"
"PDS/Linke","1987","middle vocational","East Germany","","","","","5"
"PDS/Linke","1987","vocational + Abi","West Germany","","","","","5"
"PDS/Linke","1987","vocational + Abi","East Germany","","","","","5"
"PDS/Linke","1987","higher vocational","West Germany","","","","","5"
"SPD","1987","in school","West Germany","37","0.398933577654408","0.292946554476297","0.504920600832519","1"
"SPD","1987","in school","East Germany","","","","","1"
"SPD","1987","inadequately","West Germany","131","0.658979093905898","0.589917734304187","0.728040453507609","1"
"SPD","1987","vocational + Abi","East Germany","","","","","1"
"SPD","1987","higher vocational","West Germany","115","0.290957850239011","0.244739738059212","0.33717596241881","1"
"SPD","1987","vocational + Abi","West Germany","59","0.289237699409584","0.218982618034488","0.35949278078468","1"
"SPD","1987","inadequately","East Germany","","","","","1"
"SPD","1987","general elemantary","West Germany","702","0.479751614227298","0.453383470883658","0.506119757570939","1"
"SPD","1987","general elemantary","East Germany","","","","","1"
"SPD","1987","middle vocational","West Germany","1384","0.429335572571047","0.411823462259605","0.446847682882489","1"
"SPD","1987","middle vocational","East Germany","","","","","1"
"SPD","1987","higher education","East Germany","","","","","1"
"SPD","1987","higher vocational","East Germany","","","","","1"
"SPD","1987","higher education","West Germany","163","0.285878643464315","0.247411758103038","0.324345528825591","1"
"AfD","1988","higher education","West Germany","","","","","7"
"AfD","1988","higher education","East Germany","","","","","7"
"AfD","1988","inadequately","East Germany","","","","","7"
"AfD","1988","inadequately","West Germany","","","","","7"
"AfD","1988","general elemantary","West Germany","","","","","7"
"AfD","1988","general elemantary","East Germany","","","","","7"
"AfD","1988","higher vocational","East Germany","","","","","7"
"AfD","1988","in school","West Germany","","","","","7"
"AfD","1988","in school","East Germany","","","","","7"
"AfD","1988","middle vocational","West Germany","","","","","7"
"AfD","1988","middle vocational","East Germany","","","","","7"
"AfD","1988","vocational + Abi","West Germany","","","","","7"
"AfD","1988","higher vocational","West Germany","","","","","7"
"AfD","1988","vocational + Abi","East Germany","","","","","7"
"CDU/CSU","1988","higher education","West Germany","191","0.416865670898512","0.37303154738385","0.460699794413174","2"
"CDU/CSU","1988","higher vocational","East Germany","","","","","2"
"CDU/CSU","1988","higher vocational","West Germany","178","0.542458751744027","0.490040583539756","0.594876919948297","2"
"CDU/CSU","1988","in school","East Germany","","","","","2"
"CDU/CSU","1988","inadequately","West Germany","23","","","","2"
"CDU/CSU","1988","general elemantary","West Germany","476","0.426408042124166","0.398881512052233","0.453934572196099","2"
"CDU/CSU","1988","general elemantary","East Germany","","","","","2"
"CDU/CSU","1988","vocational + Abi","West Germany","54","0.377064538206657","0.302662700739769","0.451466375673546","2"
"CDU/CSU","1988","higher education","East Germany","","","","","2"
"CDU/CSU","1988","middle vocational","East Germany","","","","","2"
"CDU/CSU","1988","vocational + Abi","East Germany","","","","","2"
"CDU/CSU","1988","in school","West Germany","13","","","","2"
"CDU/CSU","1988","inadequately","East Germany","","","","","2"
"CDU/CSU","1988","middle vocational","West Germany","1059","0.410333226046769","0.391894941757061","0.428771510336476","2"
"FDP","1988","inadequately","East Germany","","","","","3"
"FDP","1988","higher education","West Germany","44","0.0938555065387932","0.0679281307009294","0.119782882376657","3"
"FDP","1988","in school","East Germany","","","","","3"
"FDP","1988","inadequately","West Germany","1","","","","3"
"FDP","1988","vocational + Abi","West Germany","11","","","","3"
"FDP","1988","higher vocational","West Germany","23","","","","3"
"FDP","1988","higher vocational","East Germany","","","","","3"
"FDP","1988","in school","West Germany","2","","","","3"
"FDP","1988","general elemantary","West Germany","20","","","","3"
"FDP","1988","general elemantary","East Germany","","","","","3"
"FDP","1988","vocational + Abi","East Germany","","","","","3"
"FDP","1988","middle vocational","East Germany","","","","","3"
"FDP","1988","higher education","East Germany","","","","","3"
"FDP","1988","middle vocational","West Germany","113","0.0466167159560314","0.0387144172850048","0.0545190146270581","3"
"NPD","1988","inadequately","East Germany","","","","","6"
"NPD","1988","in school","West Germany","","","","","6"
"NPD","1988","inadequately","West Germany","","","","","6"
"NPD","1988","in school","East Germany","","","","","6"
"NPD","1988","general elemantary","West Germany","","","","","6"
"NPD","1988","general elemantary","East Germany","","","","","6"
"NPD","1988","middle vocational","West Germany","","","","","6"
"NPD","1988","middle vocational","East Germany","","","","","6"
"NPD","1988","vocational + Abi","West Germany","","","","","6"
"NPD","1988","vocational + Abi","East Germany","","","","","6"
"NPD","1988","higher vocational","West Germany","","","","","6"
"NPD","1988","higher vocational","East Germany","","","","","6"
"NPD","1988","higher education","West Germany","","","","","6"
"NPD","1988","higher education","East Germany","","","","","6"
"Other","1988","in school","West Germany","3","","","","8"
"Other","1988","in school","East Germany","","","","","8"
"Other","1988","inadequately","West Germany","2","","","","8"
"Other","1988","inadequately","East Germany","","","","","8"
"Other","1988","general elemantary","West Germany","11","","","","8"
"Other","1988","general elemantary","East Germany","","","","","8"
"Other","1988","middle vocational","West Germany","24","","","","8"
"Other","1988","middle vocational","East Germany","","","","","8"
"Other","1988","vocational + Abi","West Germany","1","","","","8"
"Other","1988","vocational + Abi","East Germany","","","","","8"
"Other","1988","higher vocational","West Germany","","","","","8"
"Other","1988","higher vocational","East Germany","","","","","8"
"Other","1988","higher education","West Germany","7","","","","8"
"Other","1988","higher education","East Germany","","","","","8"
"PDS/Linke","1988","higher education","West Germany","","","","","5"
"PDS/Linke","1988","higher education","East Germany","","","","","5"
"PDS/Linke","1988","inadequately","East Germany","","","","","5"
"PDS/Linke","1988","general elemantary","West Germany","","","","","5"
"PDS/Linke","1988","general elemantary","East Germany","","","","","5"
"PDS/Linke","1988","higher vocational","East Germany","","","","","5"
