"party","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"PDS/Linke","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","in school","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","inadequately","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","general elemantary","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","middle vocational","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","vocational + Abi","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","higher vocational","","","",""
"PDS/Linke","1984","(3a) lower tertiary education","higher education","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","in school","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","inadequately","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","general elemantary","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","middle vocational","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","vocational + Abi","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","higher vocational","","","",""
"PDS/Linke","1984","(3b) higher tertiary education","higher education","","","",""
"NPD Combination","1984","(0) in school","in school","","","",""
"NPD Combination","1984","(0) in school","inadequately","","","",""
"NPD Combination","1984","(0) in school","general elemantary","","","",""
"NPD Combination","1984","(0) in school","middle vocational","","","",""
"NPD Combination","1984","(0) in school","vocational + Abi","","","",""
"NPD Combination","1984","(0) in school","higher vocational","","","",""
"NPD Combination","1984","(0) in school","higher education","","","",""
"NPD Combination","1984","(1a) inadequately completed","in school","","","",""
"NPD Combination","1984","(1a) inadequately completed","inadequately","","","",""
"NPD Combination","1984","(1a) inadequately completed","general elemantary","","","",""
"NPD Combination","1984","(1a) inadequately completed","middle vocational","","","",""
"NPD Combination","1984","(1a) inadequately completed","vocational + Abi","","","",""
"NPD Combination","1984","(1a) inadequately completed","higher vocational","","","",""
"NPD Combination","1984","(1a) inadequately completed","higher education","","","",""
"NPD Combination","1984","(1b) general elementary school","in school","","","",""
"NPD Combination","1984","(1b) general elementary school","inadequately","","","",""
"NPD Combination","1984","(1b) general elementary school","general elemantary","","","",""
"NPD Combination","1984","(1b) general elementary school","middle vocational","","","",""
"NPD Combination","1984","(1b) general elementary school","vocational + Abi","","","",""
"NPD Combination","1984","(1b) general elementary school","higher vocational","","","",""
"NPD Combination","1984","(1b) general elementary school","higher education","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","in school","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","inadequately","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","general elemantary","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","middle vocational","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","higher vocational","","","",""
"NPD Combination","1984","(1c) basic vocational qualification","higher education","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","in school","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","inadequately","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","general elemantary","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","middle vocational","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","higher vocational","","","",""
"NPD Combination","1984","(2b) intermediate general qualification","higher education","","","",""
"NPD Combination","1984","(2a) intermediate vocational","in school","","","",""
"NPD Combination","1984","(2a) intermediate vocational","inadequately","","","",""
"NPD Combination","1984","(2a) intermediate vocational","general elemantary","","","",""
"NPD Combination","1984","(2a) intermediate vocational","middle vocational","","","",""
"NPD Combination","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"NPD Combination","1984","(2a) intermediate vocational","higher vocational","","","",""
"NPD Combination","1984","(2a) intermediate vocational","higher education","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","in school","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","middle vocational","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"NPD Combination","1984","(2c_gen) general maturity certificate","higher education","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"NPD Combination","1984","(2c_voc) vocational maturity certificate","higher vocational","","","",""
