"party","year","e11102","n","percent","lower_confidence","upper_confidence"
"Grüne","1989","Not Employed","117","0.0518985257775215","0.0415558064820934","0.0622412450729496"
"Grüne","1989","Employed","241","0.0707653239214248","0.0619205441870295","0.0796101036558201"
"PDS/Linke","1989","Not Employed","","","",""
"PDS/Linke","1989","Employed","","","",""
"NPD Combination","1989","Not Employed","","","",""
"NPD Combination","1989","Employed","","","",""
"AfD","1989","Not Employed","","","",""
"AfD","1989","Employed","","","",""
"Other","1989","Not Employed","67","0.0403702112946437","0.0311929692122522","0.0495474533770353"
"Other","1989","Employed","119","0.0414460606911621","0.0345711988329882","0.048320922549336"
"CDU/CSU","1990","Not Employed","737","0.439633902559336","0.416755252688887","0.462512552429785"
"CDU/CSU","1990","Employed","1089","0.372997065955717","0.356447040598496","0.389547091312938"
"SPD","1990","Not Employed","889","0.460394258899297","0.43741943937838","0.483369078420215"
"SPD","1990","Employed","1775","0.502850238079311","0.485739288282158","0.519961187876463"
"FDP","1990","Not Employed","74","0.0471517871530166","0.0373814439633965","0.0569221303426367"
"FDP","1990","Employed","123","0.039596334333381","0.0329226514695525","0.0462700171972096"
"Grüne","1990","Not Employed","78","0.0345076350498741","0.0260940537045274","0.0429212163952209"
"Grüne","1990","Employed","221","0.0635616742203527","0.0552124058056339","0.0719109426350714"
"PDS/Linke","1990","Not Employed","","","",""
"PDS/Linke","1990","Employed","","","",""
"NPD Combination","1990","Not Employed","19","","",""
"NPD Combination","1990","Employed","54","0.0162290632075516","0.0119048720026578","0.0205532544124453"
"AfD","1990","Not Employed","","","",""
"AfD","1990","Employed","","","",""
"Other","1990","Not Employed","11","","",""
"Other","1990","Employed","18","","",""
"CDU/CSU","1991","Not Employed","730","0.475842928246086","0.450867380729907","0.500818475762265"
"CDU/CSU","1991","Employed","1046","0.401674881973902","0.382921077140201","0.420428686807604"
"SPD","1991","Not Employed","650","0.417597860821485","0.392935020190672","0.442260701452298"
"SPD","1991","Employed","1241","0.466584134382563","0.447499608063731","0.485668660701394"
"FDP","1991","Not Employed","72","0.0567392992176614","0.0451699125186167","0.0683086859167061"
"FDP","1991","Employed","133","0.0524171183133339","0.0438914464961247","0.0609427901305431"
"Grüne","1991","Not Employed","66","0.0376959908302961","0.0281711832175879","0.0472207984430043"
"Grüne","1991","Employed","155","0.0615435354487331","0.0523500176137968","0.0707370532836693"
"PDS/Linke","1991","Not Employed","3","","",""
"PDS/Linke","1991","Employed","1","","",""
"NPD Combination","1991","Not Employed","10","","",""
"NPD Combination","1991","Employed","35","0.0120486016203219","0.00787491776160702","0.0162222854790367"
"AfD","1991","Not Employed","","","",""
"AfD","1991","Employed","","","",""
"Other","1991","Not Employed","5","","",""
"Other","1991","Employed","14","","",""
"CDU/CSU","1992","Not Employed","788","0.454768473397806","0.432102264817458","0.477434681978154"
"CDU/CSU","1992","Employed","1316","0.386479226539275","0.370784912032929","0.402173541045621"
"SPD","1992","Not Employed","808","0.42425291809369","0.401756078178823","0.446749758008556"
"SPD","1992","Employed","1744","0.451669402744326","0.435629703764747","0.467709101723906"
"FDP","1992","Not Employed","69","0.0401266002642467","0.0311932083505001","0.0490599921779932"
"FDP","1992","Employed","179","0.0527377419317309","0.0455339606255756","0.0599415232378862"
"Grüne","1992","Not Employed","105","0.0434801965623619","0.0341972476909281","0.0527631454337958"
"Grüne","1992","Employed","298","0.0722417871932998","0.0638977490231935","0.0805858253634062"
"PDS/Linke","1992","Not Employed","54","0.0203908169483116","0.0139574701554733","0.0268241637411499"
"PDS/Linke","1992","Employed","72","0.01307580986173","0.00941446334758543","0.0167371563758745"
"NPD Combination","1992","Not Employed","","","",""
"NPD Combination","1992","Employed","","","",""
"AfD","1992","Not Employed","","","",""
"AfD","1992","Employed","","","",""
"Other","1992","Not Employed","30","0.0169809947335837","0.0110999328818157","0.0228620565853518"
"Other","1992","Employed","89","0.0237960317296382","0.0188837056031978","0.0287083578560785"
"CDU/CSU","1993","Not Employed","687","0.432187435998258","0.408673546817749","0.455701325178767"
"CDU/CSU","1993","Employed","1028","0.353596909852572","0.337037556643957","0.370156263061186"
"SPD","1993","Not Employed","735","0.407606339025283","0.384281880770708","0.430930797279858"
"SPD","1993","Employed","1489","0.435939976639072","0.418764316576098","0.453115636702046"
"FDP","1993","Not Employed","63","0.0474433419698563","0.0373526965705659","0.0575339873691468"
"FDP","1993","Employed","140","0.0497486234492297","0.0422177176530524","0.0572795292454069"
"Grüne","1993","Not Employed","99","0.0480522423097149","0.0379002966098333","0.0582041880095964"
"Grüne","1993","Employed","339","0.104162389780713","0.0935818569120698","0.114742922649356"
"PDS/Linke","1993","Not Employed","67","0.0295173846681148","0.0214836271949107","0.0375511421413189"
"PDS/Linke","1993","Employed","76","0.0145583518191267","0.0104096808819057","0.0187070227563477"
"NPD Combination","1993","Not Employed","40","0.0259679108177294","0.0184188827996786","0.0335169388357802"
"NPD Combination","1993","Employed","99","0.0331632901956475","0.0269611325807818","0.0393654478105131"
"AfD","1993","Not Employed","","","",""
"AfD","1993","Employed","","","",""
"Other","1993","Not Employed","14","","",""
"Other","1993","Employed","31","0.00883045826363925","0.00559002544292659","0.0120708910843519"
"CDU/CSU","1994","Not Employed","740","0.419315599714325","0.396914686349609","0.441716513079042"
"CDU/CSU","1994","Employed","1022","0.350315704491489","0.33391658258841","0.366714826394568"
"SPD","1994","Not Employed","824","0.438376390702747","0.415851048708954","0.46090173269654"
"SPD","1994","Employed","1591","0.464766794200332","0.447622142102359","0.481911446298305"
"FDP","1994","Not Employed","45","0.0315223042135419","0.023590373231196","0.0394542351958878"
"FDP","1994","Employed","106","0.0380980661559623","0.0315176028613263","0.0446785294505984"
"Grüne","1994","Not Employed","122","0.0529347648583941","0.0427702751951941","0.0630992545215941"
"Grüne","1994","Employed","297","0.0941667327826346","0.0841272233841855","0.104206242181084"
"PDS/Linke","1994","Not Employed","91","0.035067495228826","0.0267167356869997","0.0434182547706523"
"PDS/Linke","1994","Employed","119","0.0230928757385266","0.0179298385407672","0.028255912936286"
"NPD Combination","1994","Not Employed","21","","",""
"NPD Combination","1994","Employed","72","0.0177464757286251","0.013208026683208","0.0222849247740423"
"AfD","1994","Not Employed","","","",""
"AfD","1994","Employed","","","",""
"Other","1994","Not Employed","21","","",""
"Other","1994","Employed","44","0.0118133509024304","0.00809931883226821","0.0155273829725926"
"CDU/CSU","1995","Not Employed","877","0.430659226205599","0.409796431510598","0.4515220209006"
"CDU/CSU","1995","Employed","1378","0.383405378933618","0.367713259624876","0.399097498242361"
"SPD","1995","Not Employed","918","0.420739820766391","0.399939831600159","0.441539809932624"
"SPD","1995","Employed","1586","0.425823892821841","0.409865461239163","0.44178232440452"
"FDP","1995","Not Employed","50","0.0311051216661404","0.0237908052300694","0.0384194381022114"
"FDP","1995","Employed","96","0.0268806806875425","0.0216608572491177","0.0321005041259673"
"Grüne","1995","Not Employed","174","0.0674307474918568","0.0568652732400492","0.0779962217436644"
"Grüne","1995","Employed","398","0.114484438413991","0.104208441558094","0.124760435269888"
"PDS/Linke","1995","Not Employed","116","0.0406036026419471","0.0322878648106242","0.04891934047327"
"PDS/Linke","1995","Employed","152","0.0261447666740129","0.0209949446383091","0.0312945887097167"
"NPD Combination","1995","Not Employed","10","","",""
"NPD Combination","1995","Employed","46","0.0143656605687143","0.0105252880954425","0.0182060330419861"
"AfD","1995","Not Employed","","","",""
"AfD","1995","Employed","","","",""
"Other","1995","Not Employed","19","","",""
"Other","1995","Employed","32","0.00889518190027909","0.00586485245871581","0.0119255113418424"
"CDU/CSU","1996","Not Employed","853","0.463533583663252","0.441383417551096","0.485683749775407"
"CDU/CSU","1996","Employed","1363","0.404025843677006","0.387790006265078","0.420261681088933"
"SPD","1996","Not Employed","744","0.382750801077209","0.361160761576677","0.404340840577741"
"SPD","1996","Employed","1398","0.385130761244745","0.369029796683984","0.401231725805507"
"FDP","1996","Not Employed","46","0.0277250617136063","0.0204322345402068","0.0350178888870058"
"FDP","1996","Employed","71","0.0257947167141307","0.0205496981641171","0.0310397352641443"
"Grüne","1996","Not Employed","161","0.0697588446624602","0.058443636977456","0.0810740523474643"
"Grüne","1996","Employed","415","0.124120336128428","0.113210955364831","0.135029716892025"
"PDS/Linke","1996","Not Employed","113","0.0396075220325019","0.03094432231705","0.0482707217479538"
"PDS/Linke","1996","Employed","167","0.030984973908946","0.0252517720889625","0.0367181757289295"
"NPD Combination","1996","Not Employed","14","","",""
"NPD Combination","1996","Employed","62","0.0210058231872732","0.0162610406354322","0.0257506057391142"
"AfD","1996","Not Employed","","","",""
"AfD","1996","Employed","","","",""
"Other","1996","Not Employed","16","","",""
"Other","1996","Employed","33","0.00893754513947081","0.00582356353342242","0.0120515267455192"
"CDU/CSU","1997","Not Employed","811","0.442831585490569","0.420653718580589","0.465009452400549"
"CDU/CSU","1997","Employed","1138","0.373549191700408","0.356658739499695","0.390439643901121"
"SPD","1997","Not Employed","787","0.419117269494985","0.397087028688614","0.441147510301355"
"SPD","1997","Employed","1356","0.421741567625424","0.404498756116963","0.438984379133885"
"FDP","1997","Not Employed","35","0.0228542117753387","0.0161819966616561","0.0295264268890214"
"FDP","1997","Employed","73","0.0273885628541901","0.0216898313230851","0.0330872943852951"
"Grüne","1997","Not Employed","127","0.05435110839989","0.0442288738784737","0.0644733429213063"
"Grüne","1997","Employed","363","0.123835689479205","0.112334584116948","0.135336794841461"
"PDS/Linke","1997","Not Employed","117","0.0387627075509871","0.0301442491101907","0.0473811659917835"
"PDS/Linke","1997","Employed","124","0.022719541674385","0.0175167878179598","0.0279222955308102"
"NPD Combination","1997","Not Employed","30","0.0133664310858387","0.00823908173113734","0.0184937804405401"
"NPD Combination","1997","Employed","69","0.0216597520001201","0.0165770389776943","0.0267424650225459"
"AfD","1997","Not Employed","","","",""
"AfD","1997","Employed","","","",""
"Other","1997","Not Employed","20","","",""
"Other","1997","Employed","28","","",""
"CDU/CSU","1998","Not Employed","897","0.416067746158337","0.395879731694421","0.436255760622253"
"CDU/CSU","1998","Employed","1138","0.328384972371364","0.312956037817527","0.343813906925202"
"SPD","1998","Not Employed","1026","0.445804484570867","0.425446533328246","0.466162435813488"
"SPD","1998","Employed","1632","0.445617017831208","0.42928762916294","0.461946406499476"
"FDP","1998","Not Employed","44","0.0243940402218692","0.0180756064169226","0.0307124740268158"
"FDP","1998","Employed","96","0.0334439656361259","0.027537108058538","0.0393508232137139"
"Grüne","1998","Not Employed","142","0.0502597580430732","0.0413114079566443","0.0592081081295022"
"Grüne","1998","Employed","427","0.129596172463197","0.118561979344307","0.140630365582088"
"PDS/Linke","1998","Not Employed","127","0.0362333923119333","0.0285797037644041","0.0438870808594625"
"PDS/Linke","1998","Employed","143","0.0264119218178001","0.0211436069633627","0.0316802366722376"
"NPD Combination","1998","Not Employed","30","0.0164836838591851","0.0112687563877661","0.021698611330604"
"NPD Combination","1998","Employed","67","0.0177605936733653","0.0134212753214795","0.0220999120252511"
"AfD","1998","Not Employed","","","",""
"AfD","1998","Employed","","","",""
"Other","1998","Not Employed","24","","",""
"Other","1998","Employed","56","0.018785356206939","0.0143249354844367","0.0232457769294413"
"CDU/CSU","1999","Not Employed","964","0.449432685197959","0.429186870569521","0.469678499826397"
"CDU/CSU","1999","Employed","1448","0.382034685470885","0.36688989721422","0.39717947372755"
"SPD","1999","Not Employed","1015","0.428845774745754","0.408702736310364","0.448988813181144"
"SPD","1999","Employed","1747","0.436595246781955","0.421136313834026","0.452054179729883"
"FDP","1999","Not Employed","39","0.0190226652249945","0.0134628176453338","0.0245825128046553"
"FDP","1999","Employed","108","0.03319912420049","0.027614916159664","0.038783332241316"
"Grüne","1999","Not Employed","128","0.0479140895181363","0.039221135031763","0.0566070440045095"
"Grüne","1999","Employed","348","0.0900898073436287","0.0811656575252235","0.099013957162034"
"PDS/Linke","1999","Not Employed","135","0.0405490120419452","0.032521161978699","0.0485768621051914"
"PDS/Linke","1999","Employed","188","0.0330541530734419","0.0274817329521891","0.0386265731946946"
"NPD Combination","1999","Not Employed","15","","",""
"NPD Combination","1999","Employed","66","0.0136574552156972","0.0100397886660401","0.0172751217653543"
"AfD","1999","Not Employed","","","",""
"AfD","1999","Employed","","","",""
"Other","1999","Not Employed","23","","",""
"Other","1999","Employed","49","0.0113695279139027","0.00806493497264536","0.01467412085516"
"CDU/CSU","2000","Not Employed","1764","0.442418716051329","0.427232455049137","0.457604977053521"
"CDU/CSU","2000","Employed","2418","0.365768279028811","0.354128059546318","0.377408498511303"
"SPD","2000","Not Employed","1767","0.424261761918658","0.409150194842686","0.439373328994631"
"SPD","2000","Employed","2841","0.439429140399007","0.427434317067231","0.451423963730782"
"FDP","2000","Not Employed","95","0.0291242683011994","0.0239827740476624","0.0342657625547364"
"FDP","2000","Employed","197","0.0324471332543111","0.0281650048269437","0.0367292616816785"
"Grüne","2000","Not Employed","196","0.0439630121149453","0.0376945488079973","0.0502314754218933"
"Grüne","2000","Employed","616","0.0986056554687397","0.0914005142591735","0.105810796678306"
"PDS/Linke","2000","Not Employed","219","0.0437279359982607","0.0374754857581233","0.0499803862383982"
"PDS/Linke","2000","Employed","339","0.0404356829396034","0.035675171575897","0.0451961943033098"
"NPD Combination","2000","Not Employed","31","0.00792066301225184","0.00521025925465499","0.0106310667698487"
"NPD Combination","2000","Employed","93","0.0118359178895871","0.00922225438368608","0.0144495813954882"
"AfD","2000","Not Employed","","","",""
"AfD","2000","Employed","","","",""
"Other","2000","Not Employed","37","0.008583642603355","0.00576302719686472","0.0114042580098453"
"Other","2000","Employed","73","0.0114781910199411","0.00890386218213434","0.0140525198577479"
"CDU/CSU","2001","Not Employed","1489","0.440073298766653","0.423767157874036","0.456379439659271"
"CDU/CSU","2001","Employed","2044","0.352376496540296","0.340036508357059","0.364716484723533"
"SPD","2001","Not Employed","1559","0.428732084263826","0.412475249133219","0.444988919394433"
"SPD","2001","Employed","2519","0.443477623281798","0.430644654210798","0.456310592352798"
"FDP","2001","Not Employed","98","0.0324124844975529","0.0265951453837168","0.0382298236113891"
"FDP","2001","Employed","228","0.0428218096944346","0.0375920843384892","0.04805153505038"
"Grüne","2001","Not Employed","176","0.0428950054703207","0.0362391137661063","0.0495508971745351"
"Grüne","2001","Employed","567","0.10169998346448","0.0938923193578576","0.109507647571102"
"PDS/Linke","2001","Not Employed","194","0.0437869985405973","0.0370653933030617","0.0505086037781328"
"PDS/Linke","2001","Employed","253","0.0358929111232433","0.0310876504043356","0.0406981718421511"
"NPD Combination","2001","Not Employed","19","","",""
"NPD Combination","2001","Employed","81","0.011457249653691","0.00870816640010025","0.0142063329072818"
"AfD","2001","Not Employed","","","",""
"AfD","2001","Employed","","","",""
"Other","2001","Not Employed","25","","",""
"Other","2001","Employed","65","0.0122739262420573","0.00942972717242433","0.0151181253116903"
"CDU/CSU","2002","Not Employed","1639","0.435376854334581","0.419625216919606","0.451128491749555"
"CDU/CSU","2002","Employed","2516","0.369095040841125","0.357529897113443","0.380660184568807"
"SPD","2002","Not Employed","1571","0.423098008012421","0.407402144677002","0.438793871347839"
"SPD","2002","Employed","2696","0.419064276769104","0.407239190417018","0.43088936312119"
"FDP","2002","Not Employed","129","0.0329011361683792","0.0272341182818329","0.0385681540549256"
"FDP","2002","Employed","386","0.0506383930450096","0.0453835983993112","0.055893187690708"
"Grüne","2002","Not Employed","174","0.0388722704543109","0.0327314810100402","0.0450130598985816"
"Grüne","2002","Employed","630","0.093134802902382","0.0861697033797805","0.100099902424984"
"PDS/Linke","2002","Not Employed","252","0.0561747338777902","0.0488594697681462","0.0634899979874343"
"PDS/Linke","2002","Employed","320","0.0432931835472129","0.0384156624757098","0.048170704618716"
"NPD Combination","2002","Not Employed","13","","",""
"NPD Combination","2002","Employed","65","0.0111884071852617","0.00866759281886652","0.0137092215516568"
"AfD","2002","Not Employed","","","",""
"AfD","2002","Employed","","","",""
"Other","2002","Not Employed","28","","",""
"Other","2002","Employed","75","0.0135858957099041","0.0108114659533968","0.0163603254664115"
"CDU/CSU","2003","Not Employed","1815","0.45799490672955","0.442473102409518","0.473516711049581"
"CDU/CSU","2003","Employed","2841","0.410106467035371","0.398349327789718","0.421863606281025"
"SPD","2003","Not Employed","1531","0.403033139016954","0.387752001424246","0.418314276609662"
"SPD","2003","Employed","2386","0.365148298954189","0.35363930610839","0.376657291799989"
"FDP","2003","Not Employed","127","0.0299960302453397","0.0246819410049655","0.035310119485714"
"FDP","2003","Employed","326","0.0457033282399236","0.0407112411434334","0.0506954153364138"
"Grüne","2003","Not Employed","248","0.0558708207937292","0.0487156759136727","0.0630259656737856"
"Grüne","2003","Employed","840","0.132723537056126","0.124613566284485","0.140833507827767"
"PDS/Linke","2003","Not Employed","189","0.0383640003319016","0.0323801944586075","0.0443478062051956"
"PDS/Linke","2003","Employed","219","0.0291451002045002","0.0251241705505806","0.0331660298584198"
"NPD Combination","2003","Not Employed","16","","",""
"NPD Combination","2003","Employed","52","0.00882172138901625","0.00658650747506899","0.0110569353029635"
"AfD","2003","Not Employed","","","",""
"AfD","2003","Employed","","","",""
"Other","2003","Not Employed","32","0.00997300537410131","0.00687739181065771","0.0130686189375449"
"Other","2003","Employed","59","0.00835154712087348","0.00617619847081421","0.0105268957709327"
"CDU/CSU","2004","Not Employed","1613","0.479462167926829","0.462704265611788","0.49622007024187"
"CDU/CSU","2004","Employed","2418","0.420397174223951","0.407520276121316","0.433274072326587"
"SPD","2004","Not Employed","1211","0.376352234305106","0.36010111542201","0.392603353188203"
"SPD","2004","Employed","1890","0.342886855778495","0.33050426234332","0.355269449213671"
"FDP","2004","Not Employed","104","0.0297715735028735","0.024070531713868","0.035472615291879"
"FDP","2004","Employed","291","0.0478900086285352","0.0423196630800359","0.0534603541770345"
"Grüne","2004","Not Employed","228","0.0497409185335196","0.0424481194748957","0.0570337175921435"
"Grüne","2004","Employed","711","0.131720999693369","0.122898873296673","0.140543126090066"
"PDS/Linke","2004","Not Employed","206","0.0478250020332644","0.0406668285757555","0.0549831754907733"
"PDS/Linke","2004","Employed","226","0.0356775125289308","0.0308388587424581","0.0405161663154036"
"NPD Combination","2004","Not Employed","13","","",""
"NPD Combination","2004","Employed","56","0.0113675067818235","0.00860205450046212","0.014132959063185"
"AfD","2004","Not Employed","","","",""
"AfD","2004","Employed","","","",""
"Other","2004","Not Employed","39","0.0115059416363635","0.00792856680153483","0.0150833164711921"
"Other","2004","Employed","53","0.010059942364895","0.0074566777616497","0.0126632069681402"
"CDU/CSU","2005","Not Employed","1549","0.446271876041278","0.429866227196246","0.46267752488631"
"CDU/CSU","2005","Employed","2216","0.383653461877224","0.370888847582989","0.396418076171458"
"SPD","2005","Not Employed","1375","0.408187541975445","0.391966928122953","0.424408155827938"
"SPD","2005","Employed","1922","0.35035307870547","0.337829821030991","0.36287633637995"
"FDP","2005","Not Employed","112","0.0260869140189865","0.0208265376853699","0.0313472903526032"
"FDP","2005","Employed","287","0.0459270612806607","0.0404322754123313","0.0514218471489901"
"Grüne","2005","Not Employed","220","0.0506106189939487","0.0433764546526012","0.0578447833352961"
"Grüne","2005","Employed","748","0.148226023986527","0.138898850208812","0.157553197764242"
"PDS/Linke","2005","Not Employed","207","0.0470662334988937","0.0400769695516712","0.0540554974461163"
"PDS/Linke","2005","Employed","248","0.0365426842000225","0.0316172772716938","0.0414680911283512"
"NPD Combination","2005","Not Employed","32","0.0096938191098224","0.00646028414287551","0.0129273540767693"
"NPD Combination","2005","Employed","101","0.0248713270978498","0.0207833721763263","0.0289592820193733"
"AfD","2005","Not Employed","","","",""
"AfD","2005","Employed","","","",""
"Other","2005","Not Employed","32","0.0120829963616252","0.00847726876549833","0.0156887239577521"
"Other","2005","Employed","53","0.0104263628522456","0.00776001914933338","0.0130927065551577"
"CDU/CSU","2006","Not Employed","1824","0.434663366436804","0.419532231387443","0.449794501486166"
"CDU/CSU","2006","Employed","2500","0.376268109944039","0.364375155865663","0.388161064022416"
"SPD","2006","Not Employed","1586","0.408203717536042","0.39320113524044","0.423206299831644"
"SPD","2006","Employed","2226","0.355645529450937","0.343893492145542","0.367397566756331"
"FDP","2006","Not Employed","139","0.0349942183214106","0.0293849717677878","0.0406034648750333"
"FDP","2006","Employed","367","0.0548910068835745","0.0492994389205549","0.060482574846594"
"Grüne","2006","Not Employed","223","0.0430522243986689","0.0368566248439423","0.0492478239533954"
"Grüne","2006","Employed","769","0.127676039094372","0.119483176657024","0.13586890153172"
"PDS/Linke","2006","Not Employed","293","0.064530784756731","0.0570311580495475","0.0720304114639146"
"PDS/Linke","2006","Employed","342","0.0493802489089648","0.0440613453542412","0.0546991524636884"
"NPD Combination","2006","Not Employed","24","","",""
"NPD Combination","2006","Employed","112","0.0263355602335263","0.0224044248859547","0.0302666955810979"
"AfD","2006","Not Employed","","","",""
"AfD","2006","Employed","","","",""
"Other","2006","Not Employed","34","0.00934641683375869","0.00640927510192156","0.0122835585655958"
"Other","2006","Employed","58","0.00980350548458682","0.00738474173144271","0.0122222692377309"
"CDU/CSU","2007","Not Employed","1560","0.429606985192191","0.413362000642857","0.445851969741526"
"CDU/CSU","2007","Employed","2001","0.362572751098705","0.34960561637192","0.375539885825489"
"SPD","2007","Not Employed","1336","0.399132067631188","0.383061013618154","0.415203121644223"
"SPD","2007","Employed","1811","0.349929177138574","0.337064421406019","0.36279393287113"
"FDP","2007","Not Employed","140","0.0380950552361905","0.031813069892909","0.0443770405794721"
"FDP","2007","Employed","328","0.0510447338331352","0.04510824750899","0.0569812201572804"
"Grüne","2007","Not Employed","223","0.0559908201192227","0.0484461012886591","0.0635355389497863"
"Grüne","2007","Employed","691","0.147572113566236","0.138005414719607","0.157138812412866"
"PDS/Linke","2007","Not Employed","264","0.0645946242516285","0.0565279474813872","0.0726613010218698"
"PDS/Linke","2007","Employed","299","0.0556060013413595","0.0494248614594822","0.0617871412232369"
"NPD Combination","2007","Not Employed","22","","",""
"NPD Combination","2007","Employed","94","0.0233529143619114","0.0192793882707598","0.027426440453063"
"AfD","2007","Not Employed","","","",""
"AfD","2007","Employed","","","",""
"Other","2007","Not Employed","22","","",""
"Other","2007","Employed","56","0.00992230866007818","0.00724885824453486","0.0125957590756215"
