"party","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"SPD","1984","35-65 y.","lower secondary degree","1084","0.504564339627856","0.483415625007524","0.525713054248188"
"SPD","1984","35-65 y.","secondary school degree","181","0.342788048866524","0.301634887499535","0.383941210233514"
"SPD","1984","35-65 y.","college entrance qualification","116","0.304559712206136","0.25675295984647","0.352366464565803"
"SPD","1984","35-65 y.","Other degree","237","0.725938108711736","0.677219567213051","0.774656650210422"
"SPD","1984","35-65 y.","no degree/no degree yet","167","0.798182630340927","0.741993739088237","0.854371521593617"
"SPD","1984","66 and older","lower secondary degree","280","0.489449870172422","0.449045091487072","0.529854648857773"
"SPD","1984","66 and older","secondary school degree","25","","",""
"SPD","1984","66 and older","college entrance qualification","11","","",""
"SPD","1984","66 and older","Other degree","","","",""
"SPD","1984","66 and older","no degree/no degree yet","3","","",""
"FDP","1984","16-34 y.","lower secondary degree","15","","",""
"FDP","1984","16-34 y.","secondary school degree","6","","",""
"FDP","1984","16-34 y.","college entrance qualification","16","","",""
"FDP","1984","16-34 y.","Other degree","1","","",""
"FDP","1984","16-34 y.","no degree/no degree yet","","","",""
"FDP","1984","35-65 y.","lower secondary degree","46","0.0216748355662121","0.0155152486642617","0.0278344224681626"
"FDP","1984","35-65 y.","secondary school degree","27","","",""
"FDP","1984","35-65 y.","college entrance qualification","31","0.0864698442393921","0.0572742799018058","0.115665408576978"
"FDP","1984","35-65 y.","Other degree","6","","",""
"FDP","1984","35-65 y.","no degree/no degree yet","1","","",""
"FDP","1984","66 and older","lower secondary degree","14","","",""
"FDP","1984","66 and older","secondary school degree","10","","",""
"FDP","1984","66 and older","college entrance qualification","7","","",""
"FDP","1984","66 and older","Other degree","","","",""
"FDP","1984","66 and older","no degree/no degree yet","","","",""
"Grüne","1984","16-34 y.","lower secondary degree","63","0.0637205515144688","0.0473002496593644","0.0801408533695732"
"Grüne","1984","16-34 y.","secondary school degree","90","0.174265176902029","0.141342995103005","0.207187358701053"
"Grüne","1984","16-34 y.","college entrance qualification","135","0.312204072894745","0.267184645333561","0.357223500455928"
"Grüne","1984","16-34 y.","Other degree","15","","",""
"Grüne","1984","16-34 y.","no degree/no degree yet","28","","",""
"Grüne","1984","35-65 y.","lower secondary degree","24","","",""
"Grüne","1984","35-65 y.","secondary school degree","15","","",""
"Grüne","1984","35-65 y.","college entrance qualification","29","","",""
"Grüne","1984","35-65 y.","Other degree","18","","",""
"Grüne","1984","35-65 y.","no degree/no degree yet","5","","",""
"Grüne","1984","66 and older","lower secondary degree","5","","",""
"Grüne","1984","66 and older","secondary school degree","1","","",""
"Grüne","1984","66 and older","college entrance qualification","1","","",""
"Grüne","1984","66 and older","Other degree","","","",""
"Grüne","1984","66 and older","no degree/no degree yet","","","",""
"PDS/Linke","1984","16-34 y.","lower secondary degree","","","",""
"PDS/Linke","1984","16-34 y.","secondary school degree","","","",""
"PDS/Linke","1984","16-34 y.","college entrance qualification","","","",""
"PDS/Linke","1984","16-34 y.","Other degree","","","",""
"PDS/Linke","1984","16-34 y.","no degree/no degree yet","","","",""
"PDS/Linke","1984","35-65 y.","lower secondary degree","","","",""
"PDS/Linke","1984","35-65 y.","secondary school degree","","","",""
"PDS/Linke","1984","35-65 y.","college entrance qualification","","","",""
"PDS/Linke","1984","35-65 y.","Other degree","","","",""
"PDS/Linke","1984","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","1984","66 and older","lower secondary degree","","","",""
"PDS/Linke","1984","66 and older","secondary school degree","","","",""
"PDS/Linke","1984","66 and older","college entrance qualification","","","",""
"PDS/Linke","1984","66 and older","Other degree","","","",""
"PDS/Linke","1984","66 and older","no degree/no degree yet","","","",""
"NPD Combination","1984","16-34 y.","lower secondary degree","","","",""
"NPD Combination","1984","16-34 y.","secondary school degree","","","",""
"NPD Combination","1984","16-34 y.","college entrance qualification","","","",""
"NPD Combination","1984","16-34 y.","Other degree","","","",""
"NPD Combination","1984","16-34 y.","no degree/no degree yet","","","",""
"NPD Combination","1984","35-65 y.","lower secondary degree","","","",""
"NPD Combination","1984","35-65 y.","secondary school degree","","","",""
"NPD Combination","1984","35-65 y.","college entrance qualification","","","",""
"NPD Combination","1984","35-65 y.","Other degree","","","",""
"NPD Combination","1984","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","1984","66 and older","lower secondary degree","","","",""
"NPD Combination","1984","66 and older","secondary school degree","","","",""
"NPD Combination","1984","66 and older","college entrance qualification","","","",""
"NPD Combination","1984","66 and older","Other degree","","","",""
"NPD Combination","1984","66 and older","no degree/no degree yet","","","",""
"AfD","1984","16-34 y.","lower secondary degree","","","",""
"AfD","1984","16-34 y.","secondary school degree","","","",""
"AfD","1984","16-34 y.","college entrance qualification","","","",""
"AfD","1984","16-34 y.","Other degree","","","",""
"AfD","1984","16-34 y.","no degree/no degree yet","","","",""
"AfD","1984","35-65 y.","lower secondary degree","","","",""
"AfD","1984","35-65 y.","secondary school degree","","","",""
"AfD","1984","35-65 y.","college entrance qualification","","","",""
"AfD","1984","35-65 y.","Other degree","","","",""
"AfD","1984","35-65 y.","no degree/no degree yet","","","",""
"AfD","1984","66 and older","lower secondary degree","","","",""
"AfD","1984","66 and older","secondary school degree","","","",""
"AfD","1984","66 and older","college entrance qualification","","","",""
"AfD","1984","66 and older","Other degree","","","",""
"AfD","1984","66 and older","no degree/no degree yet","","","",""
"Other","1984","16-34 y.","lower secondary degree","5","","",""
"Other","1984","16-34 y.","secondary school degree","6","","",""
"Other","1984","16-34 y.","college entrance qualification","5","","",""
"Other","1984","16-34 y.","Other degree","","","",""
"Other","1984","16-34 y.","no degree/no degree yet","3","","",""
"Other","1984","35-65 y.","lower secondary degree","6","","",""
"Other","1984","35-65 y.","secondary school degree","2","","",""
"Other","1984","35-65 y.","college entrance qualification","2","","",""
"Other","1984","35-65 y.","Other degree","2","","",""
"Other","1984","35-65 y.","no degree/no degree yet","3","","",""
"Other","1984","66 and older","lower secondary degree","6","","",""
"Other","1984","66 and older","secondary school degree","","","",""
"Other","1984","66 and older","college entrance qualification","","","",""
"Other","1984","66 and older","Other degree","","","",""
"Other","1984","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","1985","16-34 y.","lower secondary degree","227","0.365585969387601","0.329573668338913","0.401598270436288"
"CDU/CSU","1985","16-34 y.","secondary school degree","169","0.374800216753035","0.331585278382939","0.418015155123131"
"CDU/CSU","1985","16-34 y.","college entrance qualification","124","0.302674178213082","0.258204731881441","0.347143624544722"
"CDU/CSU","1985","16-34 y.","Other degree","10","","",""
"CDU/CSU","1985","16-34 y.","no degree/no degree yet","35","0.362169299469015","0.280791823038705","0.443546775899324"
"CDU/CSU","1985","35-65 y.","lower secondary degree","866","0.452001791620511","0.429705287675558","0.474298295565464"
"CDU/CSU","1985","35-65 y.","secondary school degree","277","0.558182455153715","0.514955595988454","0.601409314318975"
"CDU/CSU","1985","35-65 y.","college entrance qualification","165","0.478975363364624","0.427082359663406","0.530868367065842"
"CDU/CSU","1985","35-65 y.","Other degree","55","0.244545290225754","0.19549732998313","0.293593250468379"
"CDU/CSU","1985","35-65 y.","no degree/no degree yet","17","","",""
"CDU/CSU","1985","66 and older","lower secondary degree","246","0.48737141943854","0.443249330263824","0.531493508613256"
"CDU/CSU","1985","66 and older","secondary school degree","72","0.648634130668368","0.560220593691575","0.737047667645161"
"CDU/CSU","1985","66 and older","college entrance qualification","41","0.616301182224174","0.498083308548437","0.734519055899912"
"CDU/CSU","1985","66 and older","Other degree","3","","",""
"CDU/CSU","1985","66 and older","no degree/no degree yet","3","","",""
"SPD","1985","16-34 y.","lower secondary degree","387","0.536719601643874","0.499431917301458","0.57400728598629"
"SPD","1985","16-34 y.","secondary school degree","221","0.433981733912113","0.389735580528027","0.478227887296199"
"SPD","1985","16-34 y.","college entrance qualification","139","0.342810014833642","0.296866059459927","0.388753970207357"
"SPD","1985","16-34 y.","Other degree","95","0.734727556312691","0.655407348441383","0.814047764184"
"SPD","1985","16-34 y.","no degree/no degree yet","69","0.386725404596268","0.304268974109794","0.469181835082742"
"SPD","1985","35-65 y.","lower secondary degree","951","0.498699596726869","0.476299718374557","0.521099475079181"
"SPD","1985","35-65 y.","secondary school degree","185","0.353168128037913","0.311564560947894","0.394771695127933"
"SPD","1985","35-65 y.","college entrance qualification","123","0.329848215363828","0.281009216756511","0.378687213971145"
"SPD","1985","35-65 y.","Other degree","224","0.712935999480331","0.661311991184811","0.764560007775851"
"SPD","1985","35-65 y.","no degree/no degree yet","117","0.75838545990219","0.688469974530399","0.828300945273982"
"SPD","1985","66 and older","lower secondary degree","227","0.467815942016631","0.423771301423637","0.511860582609626"
"SPD","1985","66 and older","secondary school degree","29","","",""
"SPD","1985","66 and older","college entrance qualification","12","","",""
"SPD","1985","66 and older","Other degree","","","",""
"SPD","1985","66 and older","no degree/no degree yet","4","","",""
"FDP","1985","16-34 y.","lower secondary degree","9","","",""
"FDP","1985","16-34 y.","secondary school degree","11","","",""
"FDP","1985","16-34 y.","college entrance qualification","23","","",""
"FDP","1985","16-34 y.","Other degree","1","","",""
"FDP","1985","16-34 y.","no degree/no degree yet","2","","",""
"FDP","1985","35-65 y.","lower secondary degree","52","0.0267297795123098","0.0195038864485132","0.0339556725761063"
"FDP","1985","35-65 y.","secondary school degree","30","0.0631254729665729","0.0419571160555127","0.084293829877633"
"FDP","1985","35-65 y.","college entrance qualification","30","0.0832462650383192","0.0545495744766703","0.111942955599968"
"FDP","1985","35-65 y.","Other degree","1","","",""
"FDP","1985","35-65 y.","no degree/no degree yet","1","","",""
"FDP","1985","66 and older","lower secondary degree","16","","",""
"FDP","1985","66 and older","secondary school degree","11","","",""
"FDP","1985","66 and older","college entrance qualification","9","","",""
"FDP","1985","66 and older","Other degree","","","",""
"FDP","1985","66 and older","no degree/no degree yet","","","",""
"Grüne","1985","16-34 y.","lower secondary degree","64","0.0832982847868609","0.0626348852112127","0.103961684362509"
"Grüne","1985","16-34 y.","secondary school degree","76","0.158202052745728","0.125623292000532","0.190780813490924"
"Grüne","1985","16-34 y.","college entrance qualification","121","0.296506437089372","0.252298190529806","0.340714683648938"
"Grüne","1985","16-34 y.","Other degree","13","","",""
"Grüne","1985","16-34 y.","no degree/no degree yet","23","","",""
"Grüne","1985","35-65 y.","lower secondary degree","30","0.0150430720436009","0.00958983957749576","0.020496304509706"
"Grüne","1985","35-65 y.","secondary school degree","14","","",""
"Grüne","1985","35-65 y.","college entrance qualification","35","0.0976390287896872","0.0668053766138076","0.128472680965567"
"Grüne","1985","35-65 y.","Other degree","15","","",""
"Grüne","1985","35-65 y.","no degree/no degree yet","9","","",""
"Grüne","1985","66 and older","lower secondary degree","2","","",""
"Grüne","1985","66 and older","secondary school degree","","","",""
"Grüne","1985","66 and older","college entrance qualification","1","","",""
"Grüne","1985","66 and older","Other degree","","","",""
"Grüne","1985","66 and older","no degree/no degree yet","","","",""
"PDS/Linke","1985","16-34 y.","lower secondary degree","","","",""
"PDS/Linke","1985","16-34 y.","secondary school degree","","","",""
"PDS/Linke","1985","16-34 y.","college entrance qualification","","","",""
"PDS/Linke","1985","16-34 y.","Other degree","","","",""
"PDS/Linke","1985","16-34 y.","no degree/no degree yet","","","",""
"PDS/Linke","1985","35-65 y.","lower secondary degree","","","",""
"PDS/Linke","1985","35-65 y.","secondary school degree","","","",""
"PDS/Linke","1985","35-65 y.","college entrance qualification","","","",""
"PDS/Linke","1985","35-65 y.","Other degree","","","",""
"PDS/Linke","1985","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","1985","66 and older","lower secondary degree","","","",""
"PDS/Linke","1985","66 and older","secondary school degree","","","",""
"PDS/Linke","1985","66 and older","college entrance qualification","","","",""
"PDS/Linke","1985","66 and older","Other degree","","","",""
"PDS/Linke","1985","66 and older","no degree/no degree yet","","","",""
"NPD Combination","1985","16-34 y.","lower secondary degree","","","",""
"NPD Combination","1985","16-34 y.","secondary school degree","","","",""
"NPD Combination","1985","16-34 y.","college entrance qualification","","","",""
"NPD Combination","1985","16-34 y.","Other degree","","","",""
"NPD Combination","1985","16-34 y.","no degree/no degree yet","","","",""
"NPD Combination","1985","35-65 y.","lower secondary degree","","","",""
"NPD Combination","1985","35-65 y.","secondary school degree","","","",""
"NPD Combination","1985","35-65 y.","college entrance qualification","","","",""
"NPD Combination","1985","35-65 y.","Other degree","","","",""
"NPD Combination","1985","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","1985","66 and older","lower secondary degree","","","",""
"NPD Combination","1985","66 and older","secondary school degree","","","",""
"NPD Combination","1985","66 and older","college entrance qualification","","","",""
"NPD Combination","1985","66 and older","Other degree","","","",""
"NPD Combination","1985","66 and older","no degree/no degree yet","","","",""
"AfD","1985","16-34 y.","lower secondary degree","","","",""
"AfD","1985","16-34 y.","secondary school degree","","","",""
"AfD","1985","16-34 y.","college entrance qualification","","","",""
"AfD","1985","16-34 y.","Other degree","","","",""
"AfD","1985","16-34 y.","no degree/no degree yet","","","",""
"AfD","1985","35-65 y.","lower secondary degree","","","",""
"AfD","1985","35-65 y.","secondary school degree","","","",""
"AfD","1985","35-65 y.","college entrance qualification","","","",""
"AfD","1985","35-65 y.","Other degree","","","",""
"AfD","1985","35-65 y.","no degree/no degree yet","","","",""
"AfD","1985","66 and older","lower secondary degree","","","",""
"AfD","1985","66 and older","secondary school degree","","","",""
"AfD","1985","66 and older","college entrance qualification","","","",""
"AfD","1985","66 and older","Other degree","","","",""
"AfD","1985","66 and older","no degree/no degree yet","","","",""
"Other","1985","16-34 y.","lower secondary degree","","","",""
"Other","1985","16-34 y.","secondary school degree","5","","",""
"Other","1985","16-34 y.","college entrance qualification","3","","",""
"Other","1985","16-34 y.","Other degree","","","",""
"Other","1985","16-34 y.","no degree/no degree yet","5","","",""
"Other","1985","35-65 y.","lower secondary degree","15","","",""
"Other","1985","35-65 y.","secondary school degree","1","","",""
"Other","1985","35-65 y.","college entrance qualification","3","","",""
"Other","1985","35-65 y.","Other degree","","","",""
"Other","1985","35-65 y.","no degree/no degree yet","","","",""
"Other","1985","66 and older","lower secondary degree","2","","",""
"Other","1985","66 and older","secondary school degree","","","",""
"Other","1985","66 and older","college entrance qualification","2","","",""
"Other","1985","66 and older","Other degree","","","",""
"Other","1985","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","1986","16-34 y.","lower secondary degree","215","0.371555950689934","0.334030683381815","0.409081217998053"
"CDU/CSU","1986","16-34 y.","secondary school degree","160","0.364515176297727","0.320436783472471","0.408593569122983"
"CDU/CSU","1986","16-34 y.","college entrance qualification","124","0.303183088421074","0.258746674085161","0.347619502756986"
"CDU/CSU","1986","16-34 y.","Other degree","7","","",""
"CDU/CSU","1986","16-34 y.","no degree/no degree yet","29","","",""
"CDU/CSU","1986","35-65 y.","lower secondary degree","844","0.458327888338678","0.435449244115239","0.481206532562117"
"CDU/CSU","1986","35-65 y.","secondary school degree","262","0.563225507012719","0.518527587196033","0.607923426829405"
"CDU/CSU","1986","35-65 y.","college entrance qualification","162","0.476107688733487","0.424008093625633","0.528207283841341"
"CDU/CSU","1986","35-65 y.","Other degree","54","0.218109463249708","0.16965249682315","0.266566429676266"
"CDU/CSU","1986","35-65 y.","no degree/no degree yet","15","","",""
"CDU/CSU","1986","66 and older","lower secondary degree","198","0.44848258518357","0.401853190296158","0.495111980070981"
"CDU/CSU","1986","66 and older","secondary school degree","73","0.716208114188716","0.630784919827327","0.801631308550105"
"CDU/CSU","1986","66 and older","college entrance qualification","40","0.602045594800458","0.483052225308049","0.721038964292867"
"CDU/CSU","1986","66 and older","Other degree","1","","",""
"CDU/CSU","1986","66 and older","no degree/no degree yet","1","","",""
"SPD","1986","16-34 y.","lower secondary degree","367","0.549418545765461","0.510780363345926","0.588056728184996"
"SPD","1986","16-34 y.","secondary school degree","217","0.465591448417124","0.419908455488294","0.511274441345953"
"SPD","1986","16-34 y.","college entrance qualification","140","0.343916403881057","0.297993090473723","0.389839717288392"
"SPD","1986","16-34 y.","Other degree","88","0.814766330800026","0.741498604388128","0.888034057211925"
"SPD","1986","16-34 y.","no degree/no degree yet","63","0.407182544480731","0.319277755555059","0.495087333406403"
"SPD","1986","35-65 y.","lower secondary degree","903","0.499965468904142","0.477006947859002","0.522923989949281"
"SPD","1986","35-65 y.","secondary school degree","166","0.34651050811849","0.303626533569912","0.389394482667069"
"SPD","1986","35-65 y.","college entrance qualification","127","0.341532338781013","0.292062114451664","0.391002563110363"
"SPD","1986","35-65 y.","Other degree","208","0.68272291633388","0.628110979128403","0.737334853539358"
"SPD","1986","35-65 y.","no degree/no degree yet","126","0.8451368773655","0.78645429792073","0.90381945681027"
"SPD","1986","66 and older","lower secondary degree","216","0.497132179987643","0.450254054944309","0.544010305030977"
"SPD","1986","66 and older","secondary school degree","24","","",""
"SPD","1986","66 and older","college entrance qualification","14","","",""
"SPD","1986","66 and older","Other degree","1","","",""
"SPD","1986","66 and older","no degree/no degree yet","2","","",""
"FDP","1986","16-34 y.","lower secondary degree","6","","",""
"FDP","1986","16-34 y.","secondary school degree","12","","",""
"FDP","1986","16-34 y.","college entrance qualification","16","","",""
"FDP","1986","16-34 y.","Other degree","1","","",""
"FDP","1986","16-34 y.","no degree/no degree yet","2","","",""
"FDP","1986","35-65 y.","lower secondary degree","38","0.0216250296659421","0.0149461298741453","0.028303929457739"
"FDP","1986","35-65 y.","secondary school degree","27","","",""
"FDP","1986","35-65 y.","college entrance qualification","24","","",""
"FDP","1986","35-65 y.","Other degree","5","","",""
"FDP","1986","35-65 y.","no degree/no degree yet","","","",""
"FDP","1986","66 and older","lower secondary degree","17","","",""
"FDP","1986","66 and older","secondary school degree","10","","",""
"FDP","1986","66 and older","college entrance qualification","10","","",""
"FDP","1986","66 and older","Other degree","","","",""
"FDP","1986","66 and older","no degree/no degree yet","","","",""
"Grüne","1986","16-34 y.","lower secondary degree","46","0.0657449833344373","0.0464988981383233","0.0849910685305513"
"Grüne","1986","16-34 y.","secondary school degree","66","0.137994328266918","0.106407862719893","0.169580793813943"
"Grüne","1986","16-34 y.","college entrance qualification","131","0.310873846608042","0.266126360719439","0.355621332496645"
"Grüne","1986","16-34 y.","Other degree","12","","",""
"Grüne","1986","16-34 y.","no degree/no degree yet","24","","",""
"Grüne","1986","35-65 y.","lower secondary degree","23","","",""
"Grüne","1986","35-65 y.","secondary school degree","17","","",""
"Grüne","1986","35-65 y.","college entrance qualification","38","0.110221032781875","0.0775521679375433","0.142889897626208"
"Grüne","1986","35-65 y.","Other degree","12","","",""
"Grüne","1986","35-65 y.","no degree/no degree yet","4","","",""
"Grüne","1986","66 and older","lower secondary degree","3","","",""
"Grüne","1986","66 and older","secondary school degree","","","",""
"Grüne","1986","66 and older","college entrance qualification","1","","",""
"Grüne","1986","66 and older","Other degree","","","",""
"Grüne","1986","66 and older","no degree/no degree yet","","","",""
"PDS/Linke","1986","16-34 y.","lower secondary degree","","","",""
"PDS/Linke","1986","16-34 y.","secondary school degree","","","",""
"PDS/Linke","1986","16-34 y.","college entrance qualification","","","",""
"PDS/Linke","1986","16-34 y.","Other degree","","","",""
"PDS/Linke","1986","16-34 y.","no degree/no degree yet","","","",""
"PDS/Linke","1986","35-65 y.","lower secondary degree","","","",""
"PDS/Linke","1986","35-65 y.","secondary school degree","","","",""
"PDS/Linke","1986","35-65 y.","college entrance qualification","","","",""
"PDS/Linke","1986","35-65 y.","Other degree","","","",""
"PDS/Linke","1986","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","1986","66 and older","lower secondary degree","","","",""
"PDS/Linke","1986","66 and older","secondary school degree","","","",""
"PDS/Linke","1986","66 and older","college entrance qualification","","","",""
"PDS/Linke","1986","66 and older","Other degree","","","",""
"PDS/Linke","1986","66 and older","no degree/no degree yet","","","",""
"NPD Combination","1986","16-34 y.","lower secondary degree","","","",""
"NPD Combination","1986","16-34 y.","secondary school degree","","","",""
"NPD Combination","1986","16-34 y.","college entrance qualification","","","",""
"NPD Combination","1986","16-34 y.","Other degree","","","",""
"NPD Combination","1986","16-34 y.","no degree/no degree yet","","","",""
"NPD Combination","1986","35-65 y.","lower secondary degree","","","",""
"NPD Combination","1986","35-65 y.","secondary school degree","","","",""
"NPD Combination","1986","35-65 y.","college entrance qualification","","","",""
"NPD Combination","1986","35-65 y.","Other degree","","","",""
"NPD Combination","1986","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","1986","66 and older","lower secondary degree","","","",""
"NPD Combination","1986","66 and older","secondary school degree","","","",""
"NPD Combination","1986","66 and older","college entrance qualification","","","",""
"NPD Combination","1986","66 and older","Other degree","","","",""
"NPD Combination","1986","66 and older","no degree/no degree yet","","","",""
"AfD","1986","16-34 y.","lower secondary degree","","","",""
"AfD","1986","16-34 y.","secondary school degree","","","",""
"AfD","1986","16-34 y.","college entrance qualification","","","",""
"AfD","1986","16-34 y.","Other degree","","","",""
"AfD","1986","16-34 y.","no degree/no degree yet","","","",""
"AfD","1986","35-65 y.","lower secondary degree","","","",""
"AfD","1986","35-65 y.","secondary school degree","","","",""
"AfD","1986","35-65 y.","college entrance qualification","","","",""
"AfD","1986","35-65 y.","Other degree","","","",""
"AfD","1986","35-65 y.","no degree/no degree yet","","","",""
"AfD","1986","66 and older","lower secondary degree","","","",""
"AfD","1986","66 and older","secondary school degree","","","",""
"AfD","1986","66 and older","college entrance qualification","","","",""
"AfD","1986","66 and older","Other degree","","","",""
"AfD","1986","66 and older","no degree/no degree yet","","","",""
"Other","1986","16-34 y.","lower secondary degree","3","","",""
"Other","1986","16-34 y.","secondary school degree","3","","",""
"Other","1986","16-34 y.","college entrance qualification","","","",""
"Other","1986","16-34 y.","Other degree","","","",""
"Other","1986","16-34 y.","no degree/no degree yet","2","","",""
"Other","1986","35-65 y.","lower secondary degree","14","","",""
"Other","1986","35-65 y.","secondary school degree","1","","",""
"Other","1986","35-65 y.","college entrance qualification","2","","",""
"Other","1986","35-65 y.","Other degree","","","",""
"Other","1986","35-65 y.","no degree/no degree yet","1","","",""
"Other","1986","66 and older","lower secondary degree","3","","",""
"Other","1986","66 and older","secondary school degree","","","",""
"Other","1986","66 and older","college entrance qualification","","","",""
"Other","1986","66 and older","Other degree","","","",""
"Other","1986","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","1987","16-34 y.","lower secondary degree","282","0.429832185887972","0.393721951505058","0.465942420270887"
"CDU/CSU","1987","16-34 y.","secondary school degree","214","0.428820674603304","0.386405491708354","0.471235857498254"
"CDU/CSU","1987","16-34 y.","college entrance qualification","124","0.318636924332662","0.273313530532177","0.363960318133148"
"CDU/CSU","1987","16-34 y.","Other degree","10","","",""
"CDU/CSU","1987","16-34 y.","no degree/no degree yet","30","0.285665111584555","0.208603043856364","0.362727179312747"
"CDU/CSU","1987","35-65 y.","lower secondary degree","887","0.463670685329711","0.441271346137764","0.486070024521659"
"CDU/CSU","1987","35-65 y.","secondary school degree","259","0.52510583878644","0.481509033948383","0.568702643624497"
"CDU/CSU","1987","35-65 y.","college entrance qualification","160","0.470098929659917","0.418825847034638","0.521372012285196"
"CDU/CSU","1987","35-65 y.","Other degree","48","0.222179772258202","0.172033575224886","0.272325969291518"
"CDU/CSU","1987","35-65 y.","no degree/no degree yet","22","","",""
"CDU/CSU","1987","66 and older","lower secondary degree","230","0.445859949019689","0.402335004193191","0.489384893846187"
"CDU/CSU","1987","66 and older","secondary school degree","87","0.72065574093172","0.640042123337512","0.801269358525929"
"CDU/CSU","1987","66 and older","college entrance qualification","40","0.604014852882839","0.482279840695474","0.725749865070203"
"CDU/CSU","1987","66 and older","Other degree","3","","",""
"CDU/CSU","1987","66 and older","no degree/no degree yet","3","","",""
"SPD","1987","16-34 y.","lower secondary degree","357","0.464204272723641","0.42782670298116","0.500581842466122"
"SPD","1987","16-34 y.","secondary school degree","212","0.388974100253488","0.347192275935574","0.430755924571402"
"SPD","1987","16-34 y.","college entrance qualification","121","0.271275333003218","0.228026742104917","0.314523923901519"
"SPD","1987","16-34 y.","Other degree","63","0.58149861514099","0.483829366828822","0.679167863453158"
"SPD","1987","16-34 y.","no degree/no degree yet","71","0.466883098453786","0.381773914334249","0.551992282573324"
"SPD","1987","35-65 y.","lower secondary degree","886","0.466822855659528","0.444413651327618","0.489232059991439"
"SPD","1987","35-65 y.","secondary school degree","179","0.350171584783527","0.308525649241493","0.39181752032556"
"SPD","1987","35-65 y.","college entrance qualification","116","0.299370961081328","0.252322404754783","0.346419517407873"
"SPD","1987","35-65 y.","Other degree","188","0.658529709842906","0.601327833350991","0.715731586334821"
"SPD","1987","35-65 y.","no degree/no degree yet","113","0.75955157789577","0.689992520087032","0.829110635704508"
"SPD","1987","66 and older","lower secondary degree","240","0.484980001900919","0.441217394461771","0.528742609340067"
"SPD","1987","66 and older","secondary school degree","21","","",""
"SPD","1987","66 and older","college entrance qualification","9","","",""
"SPD","1987","66 and older","Other degree","2","","",""
"SPD","1987","66 and older","no degree/no degree yet","3","","",""
"FDP","1987","16-34 y.","lower secondary degree","8","","",""
"FDP","1987","16-34 y.","secondary school degree","23","","",""
"FDP","1987","16-34 y.","college entrance qualification","29","","",""
"FDP","1987","16-34 y.","Other degree","1","","",""
"FDP","1987","16-34 y.","no degree/no degree yet","2","","",""
"FDP","1987","35-65 y.","lower secondary degree","72","0.0381247053101279","0.0295231447411309","0.0467262658791248"
"FDP","1987","35-65 y.","secondary school degree","49","0.0993366619090517","0.073222935709936","0.125450388108167"
"FDP","1987","35-65 y.","college entrance qualification","38","0.104804470083206","0.0733381283536306","0.136270811812782"
"FDP","1987","35-65 y.","Other degree","7","","",""
"FDP","1987","35-65 y.","no degree/no degree yet","3","","",""
"FDP","1987","66 and older","lower secondary degree","23","","",""
"FDP","1987","66 and older","secondary school degree","10","","",""
