"party","year","education","n","percent","lower_confidence","upper_confidence"
"Other","1987","no degree/no degree yet","3","","",""
"CDU/CSU","1988","lower secondary degree","1143","0.413295875710966","0.395101961156211","0.431489790265721"
"CDU/CSU","1988","secondary school degree","457","0.489535424728752","0.458598831205921","0.520472018251582"
"CDU/CSU","1988","college entrance qualification","300","0.396281099043452","0.362130050056717","0.430432148030188"
"CDU/CSU","1988","Other degree","54","0.233490554660657","0.188188374659947","0.278792734661367"
"CDU/CSU","1988","no degree/no degree yet","34","0.218414441928093","0.162129547358364","0.274699336497821"
"SPD","1988","lower secondary degree","1485","0.522977458600932","0.504523183920223","0.541431733281641"
"SPD","1988","secondary school degree","415","0.38233403255991","0.352259704023921","0.412408361095898"
"SPD","1988","college entrance qualification","284","0.336921675314531","0.303920312572008","0.369923038057055"
"SPD","1988","Other degree","243","0.63561236484411","0.584077199728059","0.68714752996016"
"SPD","1988","no degree/no degree yet","144","0.595175842878363","0.528307774748475","0.662043911008252"
"FDP","1988","lower secondary degree","81","0.0297930367735608","0.0235113594416149","0.0360747141055067"
"FDP","1988","secondary school degree","62","0.0656869940097362","0.0503555339582422","0.0810184540612302"
"FDP","1988","college entrance qualification","63","0.0874735209774309","0.0677472032475605","0.107199838707301"
"FDP","1988","Other degree","4","","",""
"FDP","1988","no degree/no degree yet","4","","",""
"Grüne","1988","lower secondary degree","80","0.0246827340908497","0.0189500813748925","0.0304153868068069"
"Grüne","1988","secondary school degree","60","0.0510732630674716","0.0374490706340675","0.0646974555008757"
"Grüne","1988","college entrance qualification","132","0.166133985419657","0.140146613553316","0.192121357285998"
"Grüne","1988","Other degree","34","0.113977515529609","0.0799478522316262","0.148007178827593"
"Grüne","1988","no degree/no degree yet","20","","",""
"PDS/Linke","1988","lower secondary degree","","","",""
"PDS/Linke","1988","secondary school degree","","","",""
"PDS/Linke","1988","college entrance qualification","","","",""
"PDS/Linke","1988","Other degree","","","",""
"PDS/Linke","1988","no degree/no degree yet","","","",""
"NPD Combination","1988","lower secondary degree","","","",""
"NPD Combination","1988","secondary school degree","","","",""
"NPD Combination","1988","college entrance qualification","","","",""
"NPD Combination","1988","Other degree","","","",""
"NPD Combination","1988","no degree/no degree yet","","","",""
"AfD","1988","lower secondary degree","","","",""
"AfD","1988","secondary school degree","","","",""
"AfD","1988","college entrance qualification","","","",""
"AfD","1988","Other degree","","","",""
"AfD","1988","no degree/no degree yet","","","",""
"Other","1988","lower secondary degree","25","","",""
"Other","1988","secondary school degree","9","","",""
"Other","1988","college entrance qualification","9","","",""
"Other","1988","Other degree","","","",""
"Other","1988","no degree/no degree yet","5","","",""
"CDU/CSU","1989","lower secondary degree","976","0.389637010121581","0.37084859479206","0.408425425451101"
"CDU/CSU","1989","secondary school degree","381","0.448209259517322","0.416126267969993","0.480292251064651"
"CDU/CSU","1989","college entrance qualification","271","0.371271164666851","0.3372118704906","0.405330458843103"
"CDU/CSU","1989","Other degree","52","0.196598130050309","0.156048115123712","0.237148144976906"
"CDU/CSU","1989","no degree/no degree yet","28","","",""
"SPD","1989","lower secondary degree","1368","0.522749089019383","0.503505504113409","0.541992673925356"
"SPD","1989","secondary school degree","404","0.409207861673047","0.377487613342909","0.440928110003184"
"SPD","1989","college entrance qualification","297","0.351876416492624","0.31821112830223","0.385541704683017"
"SPD","1989","Other degree","272","0.660708157669643","0.612399335227723","0.709016980111564"
"SPD","1989","no degree/no degree yet","204","0.643825195483396","0.586169696443136","0.701480694523655"
"FDP","1989","lower secondary degree","43","0.0186357038083327","0.0134255087648363","0.0238458988518291"
"FDP","1989","secondary school degree","38","0.0416780008709028","0.0287849288351887","0.0545710729066169"
"FDP","1989","college entrance qualification","49","0.0699850684672398","0.0520002523996996","0.0879698845347801"
"FDP","1989","Other degree","5","","",""
"FDP","1989","no degree/no degree yet","3","","",""
"Grüne","1989","lower secondary degree","87","0.0237106214744208","0.0178488793863083","0.0295723635625333"
"Grüne","1989","secondary school degree","67","0.0614450536279015","0.045952587484337","0.076937519771466"
"Grüne","1989","college entrance qualification","139","0.181496899579038","0.154326056531149","0.208667742626927"
"Grüne","1989","Other degree","33","0.107135119654985","0.0755782651209858","0.138691974188985"
"Grüne","1989","no degree/no degree yet","20","","",""
"PDS/Linke","1989","lower secondary degree","","","",""
"PDS/Linke","1989","secondary school degree","","","",""
"PDS/Linke","1989","college entrance qualification","","","",""
"PDS/Linke","1989","Other degree","","","",""
"PDS/Linke","1989","no degree/no degree yet","","","",""
"NPD Combination","1989","lower secondary degree","","","",""
"NPD Combination","1989","secondary school degree","","","",""
"NPD Combination","1989","college entrance qualification","","","",""
"NPD Combination","1989","Other degree","","","",""
"NPD Combination","1989","no degree/no degree yet","","","",""
"AfD","1989","lower secondary degree","","","",""
"AfD","1989","secondary school degree","","","",""
"AfD","1989","college entrance qualification","","","",""
"AfD","1989","Other degree","","","",""
"AfD","1989","no degree/no degree yet","","","",""
"Other","1989","lower secondary degree","114","0.0452675755762833","0.0372581677315769","0.0532769834209896"
"Other","1989","secondary school degree","33","0.0394598243108271","0.0269000284307194","0.0520196201909348"
"Other","1989","college entrance qualification","17","","",""
"Other","1989","Other degree","7","","",""
"Other","1989","no degree/no degree yet","10","","",""
"CDU/CSU","1990","lower secondary degree","1026","0.40796183089676","0.389136271524447","0.426787390269074"
"CDU/CSU","1990","secondary school degree","408","0.455506107195613","0.424165613574728","0.486846600816497"
"CDU/CSU","1990","college entrance qualification","279","0.363305509366187","0.330122722199409","0.396488296532964"
"CDU/CSU","1990","Other degree","46","0.166654619032018","0.127888251544626","0.20542098651941"
"CDU/CSU","1990","no degree/no degree yet","46","0.249556326790244","0.196647897102786","0.302464756477701"
"SPD","1990","lower secondary degree","1390","0.52368146389024","0.504550114102778","0.542812813677701"
"SPD","1990","secondary school degree","429","0.410619032568326","0.379660539329076","0.441577525807577"
"SPD","1990","college entrance qualification","336","0.396947736105398","0.363191387406743","0.430704084804053"
"SPD","1990","Other degree","277","0.720296243238425","0.673604655842923","0.766987830633928"
"SPD","1990","no degree/no degree yet","183","0.621581990198207","0.562287185991634","0.680876794404779"
"FDP","1990","lower secondary degree","63","0.0235303101374012","0.017723916444063","0.0293367038307394"
"FDP","1990","secondary school degree","54","0.0611954961773298","0.0461117388640012","0.0762792534906584"
"FDP","1990","college entrance qualification","66","0.0867230439974351","0.0673061468518335","0.106139941143037"
"FDP","1990","Other degree","6","","",""
"FDP","1990","no degree/no degree yet","7","","",""
"Grüne","1990","lower secondary degree","74","0.0226014366852038","0.0169080964084112","0.0282947769619963"
"Grüne","1990","secondary school degree","58","0.0517891955064721","0.0378436901743105","0.0657347008386337"
"Grüne","1990","college entrance qualification","119","0.142021233898922","0.117937366117638","0.166105101680206"
"Grüne","1990","Other degree","24","","",""
"Grüne","1990","no degree/no degree yet","17","","",""
"PDS/Linke","1990","lower secondary degree","","","",""
"PDS/Linke","1990","secondary school degree","","","",""
"PDS/Linke","1990","college entrance qualification","","","",""
"PDS/Linke","1990","Other degree","","","",""
"PDS/Linke","1990","no degree/no degree yet","","","",""
"NPD Combination","1990","lower secondary degree","46","0.0146286933741011","0.010029666003279","0.0192277207449233"
"NPD Combination","1990","secondary school degree","16","","",""
"NPD Combination","1990","college entrance qualification","4","","",""
"NPD Combination","1990","Other degree","2","","",""
"NPD Combination","1990","no degree/no degree yet","2","","",""
"AfD","1990","lower secondary degree","","","",""
"AfD","1990","secondary school degree","","","",""
"AfD","1990","college entrance qualification","","","",""
"AfD","1990","Other degree","","","",""
"AfD","1990","no degree/no degree yet","","","",""
"Other","1990","lower secondary degree","19","","",""
"Other","1990","secondary school degree","5","","",""
"Other","1990","college entrance qualification","3","","",""
"Other","1990","Other degree","","","",""
"Other","1990","no degree/no degree yet","2","","",""
"CDU/CSU","1991","lower secondary degree","1010","0.433604146633564","0.413390583719331","0.453817709547797"
"CDU/CSU","1991","secondary school degree","428","0.478443595745155","0.44640742003426","0.510479771456051"
"CDU/CSU","1991","college entrance qualification","283","0.374107484656322","0.339995544456531","0.408219424856113"
"CDU/CSU","1991","Other degree","10","","",""
"CDU/CSU","1991","no degree/no degree yet","22","","",""
"SPD","1991","lower secondary degree","1155","0.504217675797048","0.483824226982361","0.524611124611734"
"SPD","1991","secondary school degree","388","0.392423305533828","0.361108292115488","0.423738318952169"
"SPD","1991","college entrance qualification","284","0.338577210480299","0.305217153587352","0.371937267373247"
"SPD","1991","Other degree","11","","",""
"SPD","1991","no degree/no degree yet","31","0.485599988000184","0.36409860219328","0.607101373807088"
"FDP","1991","lower secondary degree","60","0.0268779127302778","0.0202813520874228","0.0334744733731328"
"FDP","1991","secondary school degree","52","0.0629185358794341","0.047346240583208","0.0784908311756603"
"FDP","1991","college entrance qualification","87","0.131714122839751","0.107874142953249","0.155554102726252"
"FDP","1991","Other degree","1","","",""
"FDP","1991","no degree/no degree yet","2","","",""
"Grüne","1991","lower secondary degree","41","0.0179721696325928","0.0125534300865492","0.0233909091786363"
"Grüne","1991","secondary school degree","55","0.0583615797569016","0.0433273820385092","0.0733957774752941"
"Grüne","1991","college entrance qualification","110","0.13971010237504","0.115270470443301","0.164149734306779"
"Grüne","1991","Other degree","2","","",""
"Grüne","1991","no degree/no degree yet","7","","",""
"PDS/Linke","1991","lower secondary degree","2","","",""
"PDS/Linke","1991","secondary school degree","","","",""
"PDS/Linke","1991","college entrance qualification","2","","",""
"PDS/Linke","1991","Other degree","","","",""
"PDS/Linke","1991","no degree/no degree yet","","","",""
"NPD Combination","1991","lower secondary degree","32","0.0125497018476339","0.00800913105458798","0.0170902726406798"
"NPD Combination","1991","secondary school degree","6","","",""
"NPD Combination","1991","college entrance qualification","3","","",""
"NPD Combination","1991","Other degree","1","","",""
"NPD Combination","1991","no degree/no degree yet","2","","",""
"AfD","1991","lower secondary degree","","","",""
"AfD","1991","secondary school degree","","","",""
"AfD","1991","college entrance qualification","","","",""
"AfD","1991","Other degree","","","",""
"AfD","1991","no degree/no degree yet","","","",""
"Other","1991","lower secondary degree","9","","",""
"Other","1991","secondary school degree","5","","",""
"Other","1991","college entrance qualification","4","","",""
"Other","1991","Other degree","","","",""
"Other","1991","no degree/no degree yet","1","","",""
"CDU/CSU","1992","lower secondary degree","1096","0.433162401445636","0.414170565701012","0.452154237190261"
"CDU/CSU","1992","secondary school degree","590","0.4543719445644","0.428437881370736","0.480306007758064"
"CDU/CSU","1992","college entrance qualification","304","0.351120064263881","0.32135686478582","0.380883263741943"
"CDU/CSU","1992","Other degree","54","0.231166097215353","0.18133963212665","0.280992562304056"
"CDU/CSU","1992","no degree/no degree yet","30","0.229893192732524","0.16719376507089","0.292592620394159"
"SPD","1992","lower secondary degree","1270","0.487293805983432","0.468136167567877","0.506451444398986"
"SPD","1992","secondary school degree","564","0.390913680597217","0.365498317328535","0.4163290438659"
"SPD","1992","college entrance qualification","370","0.336386251926077","0.306925323768215","0.365847180083939"
"SPD","1992","Other degree","187","0.61651788043214","0.559049740312962","0.673986020551319"
"SPD","1992","no degree/no degree yet","119","0.607666356426358","0.534907575921182","0.680425136931535"
"FDP","1992","lower secondary degree","78","0.025503169876721","0.0194609080328262","0.0315454317206158"
"FDP","1992","secondary school degree","67","0.0466369541001771","0.0356542138955248","0.0576196943048294"
"FDP","1992","college entrance qualification","90","0.114973750384762","0.0950831888609214","0.134864311908603"
"FDP","1992","Other degree","5","","",""
"FDP","1992","no degree/no degree yet","4","","",""
"Grüne","1992","lower secondary degree","67","0.0193387016857959","0.0140605068235967","0.0246168965479952"
"Grüne","1992","secondary school degree","125","0.0710151590792747","0.0576370014086364","0.084393316749913"
"Grüne","1992","college entrance qualification","168","0.149608765247084","0.127367600574701","0.171849929919467"
"Grüne","1992","Other degree","20","","",""
"Grüne","1992","no degree/no degree yet","16","","",""
"PDS/Linke","1992","lower secondary degree","49","0.0140389760423854","0.00952966872293079","0.01854828336184"
"PDS/Linke","1992","secondary school degree","33","0.0134084866669394","0.00741782166863118","0.0193991516652476"
"PDS/Linke","1992","college entrance qualification","38","0.026016070824249","0.016090251461004","0.035941890187494"
"PDS/Linke","1992","Other degree","5","","",""
"PDS/Linke","1992","no degree/no degree yet","1","","",""
"NPD Combination","1992","lower secondary degree","","","",""
"NPD Combination","1992","secondary school degree","","","",""
"NPD Combination","1992","college entrance qualification","","","",""
"NPD Combination","1992","Other degree","","","",""
"NPD Combination","1992","no degree/no degree yet","","","",""
"AfD","1992","lower secondary degree","","","",""
"AfD","1992","secondary school degree","","","",""
"AfD","1992","college entrance qualification","","","",""
"AfD","1992","Other degree","","","",""
"AfD","1992","no degree/no degree yet","","","",""
"Other","1992","lower secondary degree","55","0.0206629449660293","0.015210711458196","0.0261151784738626"
"Other","1992","secondary school degree","37","0.0236537749919913","0.0157384523766811","0.0315690976073016"
"Other","1992","college entrance qualification","18","","",""
"Other","1992","Other degree","4","","",""
"Other","1992","no degree/no degree yet","3","","",""
"CDU/CSU","1993","lower secondary degree","922","0.417977386670607","0.397745263618254","0.438209509722961"
"CDU/CSU","1993","secondary school degree","449","0.406467213723972","0.378769128887547","0.434165298560397"
"CDU/CSU","1993","college entrance qualification","268","0.332101705190864","0.302042121278505","0.362161289103224"
"CDU/CSU","1993","Other degree","44","0.184473871863661","0.136585045682283","0.232362698045038"
"CDU/CSU","1993","no degree/no degree yet","15","","",""
"SPD","1993","lower secondary degree","1095","0.475823167709707","0.455337183284021","0.496309152135392"
"SPD","1993","secondary school degree","469","0.367087119329962","0.339905760494539","0.394268478165386"
"SPD","1993","college entrance qualification","334","0.318713984475062","0.288972849239042","0.348455119711082"
"SPD","1993","Other degree","176","0.618712910702201","0.558745063281128","0.678680758123273"
"SPD","1993","no degree/no degree yet","109","0.604615213878044","0.52557666897504","0.683653758781048"
"FDP","1993","lower secondary degree","53","0.024395962285949","0.0180676062254098","0.0307243183464881"
"FDP","1993","secondary school degree","67","0.0683527156723679","0.0541222775240695","0.0825831538206664"
"FDP","1993","college entrance qualification","72","0.091544620530462","0.0731385763760741","0.10995066468485"
"FDP","1993","Other degree","6","","",""
"FDP","1993","no degree/no degree yet","2","","",""
"Grüne","1993","lower secondary degree","66","0.0228741817834632","0.0167416026116059","0.0290067609553206"
"Grüne","1993","secondary school degree","124","0.0908421543408875","0.0746360742139454","0.10704823446783"
"Grüne","1993","college entrance qualification","202","0.197931843784632","0.172501295897385","0.223362391671878"
"Grüne","1993","Other degree","21","","",""
"Grüne","1993","no degree/no degree yet","16","","",""
"PDS/Linke","1993","lower secondary degree","52","0.0162127873791069","0.0110322529356122","0.0213933218226017"
"PDS/Linke","1993","secondary school degree","44","0.0241509275850077","0.0154938191254065","0.032808036044609"
"PDS/Linke","1993","college entrance qualification","43","0.0298368975992985","0.0189778570906971","0.0406959381078999"
"PDS/Linke","1993","Other degree","2","","",""
"PDS/Linke","1993","no degree/no degree yet","2","","",""
"NPD Combination","1993","lower secondary degree","75","0.0337532960569192","0.0263453597037094","0.0411612324101291"
"NPD Combination","1993","secondary school degree","41","0.0316206739022534","0.0217528148150265","0.0414885329894802"
"NPD Combination","1993","college entrance qualification","17","","",""
"NPD Combination","1993","Other degree","1","","",""
"NPD Combination","1993","no degree/no degree yet","2","","",""
"AfD","1993","lower secondary degree","","","",""
"AfD","1993","secondary school degree","","","",""
"AfD","1993","college entrance qualification","","","",""
"AfD","1993","Other degree","","","",""
"AfD","1993","no degree/no degree yet","","","",""
"Other","1993","lower secondary degree","20","","",""
"Other","1993","secondary school degree","14","","",""
"Other","1993","college entrance qualification","7","","",""
"Other","1993","Other degree","2","","",""
"Other","1993","no degree/no degree yet","1","","",""
"CDU/CSU","1994","lower secondary degree","912","0.392535131671478","0.373006966550337","0.412063296792619"
"CDU/CSU","1994","secondary school degree","474","0.440308547973319","0.412554582414295","0.468062513532343"
"CDU/CSU","1994","college entrance qualification","287","0.326239365370941","0.297078899022588","0.355399831719293"
"CDU/CSU","1994","Other degree","41","0.185401593847423","0.136028752374675","0.234774435320172"
"CDU/CSU","1994","no degree/no degree yet","27","","",""
"SPD","1994","lower secondary degree","1218","0.507816567551123","0.487823542154794","0.527809592947452"
"SPD","1994","secondary school degree","495","0.388163182813006","0.360917535956127","0.415408829669886"
"SPD","1994","college entrance qualification","375","0.352533820652366","0.322818364281432","0.382249277023301"
"SPD","1994","Other degree","171","0.672111115809057","0.612470310566625","0.731751921051488"
"SPD","1994","no degree/no degree yet","111","0.571879351259269","0.496608064152784","0.647150638365753"
"FDP","1994","lower secondary degree","48","0.0234289585221675","0.0173798691338967","0.0294780479104383"
"FDP","1994","secondary school degree","31","0.0276887679250812","0.0185154463839478","0.0368620894662146"
"FDP","1994","college entrance qualification","63","0.0755226552232615","0.0590880139709626","0.0919572964755603"
"FDP","1994","Other degree","3","","",""
"FDP","1994","no degree/no degree yet","1","","",""
"Grüne","1994","lower secondary degree","72","0.0253255256941348","0.0190424741834664","0.0316085772048031"
"Grüne","1994","secondary school degree","116","0.0793540190800241","0.0642426802287256","0.0944653579313225"
"Grüne","1994","college entrance qualification","189","0.192201312087071","0.167693575008094","0.216709049166048"
"Grüne","1994","Other degree","15","","",""
"Grüne","1994","no degree/no degree yet","18","","",""
"PDS/Linke","1994","lower secondary degree","75","0.0228518663895108","0.016875975890078","0.0288277568889436"
"PDS/Linke","1994","secondary school degree","67","0.0319020660444539","0.0220768705339527","0.041727261554955"
"PDS/Linke","1994","college entrance qualification","60","0.0361705670121426","0.0245573854096616","0.0477837486146236"
"PDS/Linke","1994","Other degree","4","","",""
"PDS/Linke","1994","no degree/no degree yet","3","","",""
