"party","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"PDS/Linke","1984","Employed","lower secondary degree","","","",""
"PDS/Linke","1984","Employed","secondary school degree","","","",""
"PDS/Linke","1984","Employed","college entrance qualification","","","",""
"PDS/Linke","1984","Employed","Other degree","","","",""
"PDS/Linke","1984","Employed","no degree/no degree yet","","","",""
"NPD Combination","1984","Not Employed","lower secondary degree","","","",""
"NPD Combination","1984","Not Employed","secondary school degree","","","",""
"NPD Combination","1984","Not Employed","college entrance qualification","","","",""
"NPD Combination","1984","Not Employed","Other degree","","","",""
"NPD Combination","1984","Not Employed","no degree/no degree yet","","","",""
"NPD Combination","1984","Employed","lower secondary degree","","","",""
"NPD Combination","1984","Employed","secondary school degree","","","",""
"NPD Combination","1984","Employed","college entrance qualification","","","",""
"NPD Combination","1984","Employed","Other degree","","","",""
"NPD Combination","1984","Employed","no degree/no degree yet","","","",""
"AfD","1984","Not Employed","lower secondary degree","","","",""
"AfD","1984","Not Employed","secondary school degree","","","",""
"AfD","1984","Not Employed","college entrance qualification","","","",""
"AfD","1984","Not Employed","Other degree","","","",""
"AfD","1984","Not Employed","no degree/no degree yet","","","",""
"AfD","1984","Employed","lower secondary degree","","","",""
"AfD","1984","Employed","secondary school degree","","","",""
"AfD","1984","Employed","college entrance qualification","","","",""
"AfD","1984","Employed","Other degree","","","",""
"AfD","1984","Employed","no degree/no degree yet","","","",""
"Other","1984","Not Employed","lower secondary degree","10","","",""
"Other","1984","Not Employed","secondary school degree","3","","",""
"Other","1984","Not Employed","college entrance qualification","1","","",""
"Other","1984","Not Employed","Other degree","","","",""
"Other","1984","Not Employed","no degree/no degree yet","2","","",""
"Other","1984","Employed","lower secondary degree","7","","",""
"Other","1984","Employed","secondary school degree","5","","",""
"Other","1984","Employed","college entrance qualification","6","","",""
"Other","1984","Employed","Other degree","2","","",""
"Other","1984","Employed","no degree/no degree yet","4","","",""
"CDU/CSU","1985","Not Employed","lower secondary degree","608","0.476871451978222","0.449477321822707","0.504265582133736"
"CDU/CSU","1985","Not Employed","secondary school degree","193","0.564040470110658","0.513376128603598","0.614704811617718"
"CDU/CSU","1985","Not Employed","college entrance qualification","100","0.41355494926308","0.354261675723173","0.472848222802987"
"CDU/CSU","1985","Not Employed","Other degree","15","","",""
"CDU/CSU","1985","Not Employed","no degree/no degree yet","36","0.352056565325933","0.273222612092886","0.430890518558979"
"CDU/CSU","1985","Employed","lower secondary degree","731","0.416727894217888","0.394058886162585","0.439396902273192"
"CDU/CSU","1985","Employed","secondary school degree","325","0.462528554743207","0.426433884665739","0.498623224820676"
"CDU/CSU","1985","Employed","college entrance qualification","230","0.412962339242244","0.372399524783006","0.453525153701483"
"CDU/CSU","1985","Employed","Other degree","53","0.173592165253591","0.132911481175982","0.214272849331199"
"CDU/CSU","1985","Employed","no degree/no degree yet","19","","",""
"SPD","1985","Not Employed","lower secondary degree","601","0.47402133771497","0.446634893309153","0.501407782120786"
"SPD","1985","Not Employed","secondary school degree","121","0.296301394847818","0.249647879361435","0.342954910334201"
"SPD","1985","Not Employed","college entrance qualification","75","0.260446396890192","0.207605624219924","0.31328716956046"
"SPD","1985","Not Employed","Other degree","60","0.509918315401422","0.403014553082876","0.616822077719967"
"SPD","1985","Not Employed","no degree/no degree yet","76","0.422206436849216","0.340682093493086","0.503730780205346"
"SPD","1985","Employed","lower secondary degree","964","0.519817143173379","0.496845119669021","0.542789166677737"
"SPD","1985","Employed","secondary school degree","314","0.410969908929629","0.37535188210984","0.446587935749418"
"SPD","1985","Employed","college entrance qualification","199","0.348892697478168","0.309627110118167","0.388158284838169"
"SPD","1985","Employed","Other degree","259","0.758946585893333","0.713006878621892","0.804886293164775"
"SPD","1985","Employed","no degree/no degree yet","114","0.645582207388608","0.567455345682292","0.723709069094923"
"FDP","1985","Not Employed","lower secondary degree","38","0.0311093031332444","0.0215871496646576","0.0406314566018312"
"FDP","1985","Not Employed","secondary school degree","24","","",""
"FDP","1985","Not Employed","college entrance qualification","19","","",""
"FDP","1985","Not Employed","Other degree","1","","",""
"FDP","1985","Not Employed","no degree/no degree yet","3","","",""
"FDP","1985","Employed","lower secondary degree","39","0.0233049980418003","0.0163679509066632","0.0302420451769374"
"FDP","1985","Employed","secondary school degree","28","","",""
"FDP","1985","Employed","college entrance qualification","43","0.0737035321762187","0.0521777455915927","0.0952293187608448"
"FDP","1985","Employed","Other degree","1","","",""
"FDP","1985","Employed","no degree/no degree yet","","","",""
"Grüne","1985","Not Employed","lower secondary degree","24","","",""
"Grüne","1985","Not Employed","secondary school degree","27","","",""
"Grüne","1985","Not Employed","college entrance qualification","67","0.227265893021454","0.176810530987242","0.277721255055667"
"Grüne","1985","Not Employed","Other degree","8","","",""
"Grüne","1985","Not Employed","no degree/no degree yet","22","","",""
"Grüne","1985","Employed","lower secondary degree","72","0.0341731556450634","0.0258197647283558","0.0425265465617711"
"Grüne","1985","Employed","secondary school degree","63","0.0828772904042104","0.0629188041465517","0.102835776661869"
"Grüne","1985","Employed","college entrance qualification","90","0.157007746823978","0.127035989479312","0.186979504168644"
"Grüne","1985","Employed","Other degree","20","","",""
"Grüne","1985","Employed","no degree/no degree yet","10","","",""
"PDS/Linke","1985","Not Employed","lower secondary degree","","","",""
"PDS/Linke","1985","Not Employed","secondary school degree","","","",""
"PDS/Linke","1985","Not Employed","college entrance qualification","","","",""
"PDS/Linke","1985","Not Employed","Other degree","","","",""
"PDS/Linke","1985","Not Employed","no degree/no degree yet","","","",""
"PDS/Linke","1985","Employed","lower secondary degree","","","",""
"PDS/Linke","1985","Employed","secondary school degree","","","",""
"PDS/Linke","1985","Employed","college entrance qualification","","","",""
"PDS/Linke","1985","Employed","Other degree","","","",""
"PDS/Linke","1985","Employed","no degree/no degree yet","","","",""
"NPD Combination","1985","Not Employed","lower secondary degree","","","",""
"NPD Combination","1985","Not Employed","secondary school degree","","","",""
"NPD Combination","1985","Not Employed","college entrance qualification","","","",""
"NPD Combination","1985","Not Employed","Other degree","","","",""
"NPD Combination","1985","Not Employed","no degree/no degree yet","","","",""
"NPD Combination","1985","Employed","lower secondary degree","","","",""
"NPD Combination","1985","Employed","secondary school degree","","","",""
"NPD Combination","1985","Employed","college entrance qualification","","","",""
"NPD Combination","1985","Employed","Other degree","","","",""
"NPD Combination","1985","Employed","no degree/no degree yet","","","",""
"AfD","1985","Not Employed","lower secondary degree","","","",""
"AfD","1985","Not Employed","secondary school degree","","","",""
"AfD","1985","Not Employed","college entrance qualification","","","",""
"AfD","1985","Not Employed","Other degree","","","",""
"AfD","1985","Not Employed","no degree/no degree yet","","","",""
"AfD","1985","Employed","lower secondary degree","","","",""
"AfD","1985","Employed","secondary school degree","","","",""
"AfD","1985","Employed","college entrance qualification","","","",""
"AfD","1985","Employed","Other degree","","","",""
"AfD","1985","Employed","no degree/no degree yet","","","",""
"Other","1985","Not Employed","lower secondary degree","6","","",""
"Other","1985","Not Employed","secondary school degree","3","","",""
"Other","1985","Not Employed","college entrance qualification","4","","",""
"Other","1985","Not Employed","Other degree","","","",""
"Other","1985","Not Employed","no degree/no degree yet","4","","",""
"Other","1985","Employed","lower secondary degree","11","","",""
"Other","1985","Employed","secondary school degree","3","","",""
"Other","1985","Employed","college entrance qualification","4","","",""
"Other","1985","Employed","Other degree","","","",""
"Other","1985","Employed","no degree/no degree yet","1","","",""
"CDU/CSU","1986","Not Employed","lower secondary degree","550","0.455982899145378","0.427814825928401","0.484150972362355"
"CDU/CSU","1986","Not Employed","secondary school degree","184","0.588795202057766","0.537319088453406","0.640271315662126"
"CDU/CSU","1986","Not Employed","college entrance qualification","101","0.43643238113543","0.375078402756814","0.497786359514046"
"CDU/CSU","1986","Not Employed","Other degree","11","","",""
"CDU/CSU","1986","Not Employed","no degree/no degree yet","27","","",""
"CDU/CSU","1986","Employed","lower secondary degree","707","0.428344765907992","0.404787381753296","0.451902150062688"
"CDU/CSU","1986","Employed","secondary school degree","311","0.463534265787718","0.426245188394409","0.500823343181026"
"CDU/CSU","1986","Employed","college entrance qualification","225","0.400286443379494","0.360343363769091","0.440229522989896"
"CDU/CSU","1986","Employed","Other degree","51","0.145252660963403","0.106766810993988","0.183738510932819"
"CDU/CSU","1986","Employed","no degree/no degree yet","18","","",""
"SPD","1986","Not Employed","lower secondary degree","591","0.495369217065524","0.467092566518562","0.523645867612485"
"SPD","1986","Not Employed","secondary school degree","121","0.303266361269218","0.255177992817568","0.351354729720867"
"SPD","1986","Not Employed","college entrance qualification","83","0.318603789388729","0.260962119257218","0.37624545952024"
"SPD","1986","Not Employed","Other degree","53","0.664331458237573","0.551258587148619","0.777404329326527"
"SPD","1986","Not Employed","no degree/no degree yet","81","0.461579843962943","0.376535546433575","0.546624141492311"
"SPD","1986","Employed","lower secondary degree","895","0.518844760726067","0.495058588060444","0.54263093339169"
"SPD","1986","Employed","secondary school degree","286","0.41032448764683","0.373542094080811","0.447106881212849"
"SPD","1986","Employed","college entrance qualification","198","0.333213615563487","0.294786401219551","0.371640829907423"
"SPD","1986","Employed","Other degree","244","0.732604452835243","0.684261628724485","0.780947276946002"
"SPD","1986","Employed","no degree/no degree yet","110","0.696170361511225","0.619157964536445","0.773182758486005"
"FDP","1986","Not Employed","lower secondary degree","29","","",""
"FDP","1986","Not Employed","secondary school degree","17","","",""
"FDP","1986","Not Employed","college entrance qualification","15","","",""
"FDP","1986","Not Employed","Other degree","","","",""
"FDP","1986","Not Employed","no degree/no degree yet","2","","",""
"FDP","1986","Employed","lower secondary degree","32","0.0211261124420153","0.0142801201639495","0.0279721047200811"
"FDP","1986","Employed","secondary school degree","32","0.0455853721977791","0.0299880149864884","0.0611827294090698"
"FDP","1986","Employed","college entrance qualification","35","0.0608940977340663","0.041398836600386","0.0803893588677465"
"FDP","1986","Employed","Other degree","6","","",""
"FDP","1986","Employed","no degree/no degree yet","","","",""
"Grüne","1986","Not Employed","lower secondary degree","24","","",""
"Grüne","1986","Not Employed","secondary school degree","29","","",""
"Grüne","1986","Not Employed","college entrance qualification","52","0.170976861603309","0.124400750203038","0.217552973003581"
"Grüne","1986","Not Employed","Other degree","3","","",""
"Grüne","1986","Not Employed","no degree/no degree yet","19","","",""
"Grüne","1986","Employed","lower secondary degree","48","0.0247283608976143","0.0173353098911573","0.0321214119040713"
"Grüne","1986","Employed","secondary school degree","54","0.0746581841773897","0.0550037960521319","0.0943125723026475"
"Grüne","1986","Employed","college entrance qualification","118","0.200657824589168","0.168008170409695","0.233307478768642"
"Grüne","1986","Employed","Other degree","21","","",""
"Grüne","1986","Employed","no degree/no degree yet","9","","",""
"PDS/Linke","1986","Not Employed","lower secondary degree","","","",""
"PDS/Linke","1986","Not Employed","secondary school degree","","","",""
"PDS/Linke","1986","Not Employed","college entrance qualification","","","",""
"PDS/Linke","1986","Not Employed","Other degree","","","",""
"PDS/Linke","1986","Not Employed","no degree/no degree yet","","","",""
"PDS/Linke","1986","Employed","lower secondary degree","","","",""
"PDS/Linke","1986","Employed","secondary school degree","","","",""
"PDS/Linke","1986","Employed","college entrance qualification","","","",""
"PDS/Linke","1986","Employed","Other degree","","","",""
"PDS/Linke","1986","Employed","no degree/no degree yet","","","",""
"NPD Combination","1986","Not Employed","lower secondary degree","","","",""
"NPD Combination","1986","Not Employed","secondary school degree","","","",""
"NPD Combination","1986","Not Employed","college entrance qualification","","","",""
"NPD Combination","1986","Not Employed","Other degree","","","",""
"NPD Combination","1986","Not Employed","no degree/no degree yet","","","",""
"NPD Combination","1986","Employed","lower secondary degree","","","",""
"NPD Combination","1986","Employed","secondary school degree","","","",""
"NPD Combination","1986","Employed","college entrance qualification","","","",""
"NPD Combination","1986","Employed","Other degree","","","",""
"NPD Combination","1986","Employed","no degree/no degree yet","","","",""
"AfD","1986","Not Employed","lower secondary degree","","","",""
"AfD","1986","Not Employed","secondary school degree","","","",""
"AfD","1986","Not Employed","college entrance qualification","","","",""
"AfD","1986","Not Employed","Other degree","","","",""
"AfD","1986","Not Employed","no degree/no degree yet","","","",""
"AfD","1986","Employed","lower secondary degree","","","",""
"AfD","1986","Employed","secondary school degree","","","",""
"AfD","1986","Employed","college entrance qualification","","","",""
"AfD","1986","Employed","Other degree","","","",""
"AfD","1986","Employed","no degree/no degree yet","","","",""
"Other","1986","Not Employed","lower secondary degree","7","","",""
"Other","1986","Not Employed","secondary school degree","","","",""
"Other","1986","Not Employed","college entrance qualification","","","",""
"Other","1986","Not Employed","Other degree","","","",""
"Other","1986","Not Employed","no degree/no degree yet","3","","",""
"Other","1986","Employed","lower secondary degree","13","","",""
"Other","1986","Employed","secondary school degree","4","","",""
"Other","1986","Employed","college entrance qualification","2","","",""
"Other","1986","Employed","Other degree","","","",""
"Other","1986","Employed","no degree/no degree yet","","","",""
"CDU/CSU","1987","Not Employed","lower secondary degree","591","0.465127090894936","0.437705892288199","0.492548289501674"
"CDU/CSU","1987","Not Employed","secondary school degree","188","0.575784101625175","0.52480199288995","0.6267662103604"
"CDU/CSU","1987","Not Employed","college entrance qualification","85","0.414929807932399","0.350550228441242","0.479309387423557"
"CDU/CSU","1987","Not Employed","Other degree","15","","",""
"CDU/CSU","1987","Not Employed","no degree/no degree yet","30","0.245542870222679","0.174246893869186","0.316838846576173"
"CDU/CSU","1987","Employed","lower secondary degree","808","0.443634061488313","0.421031804233481","0.466236318743145"
"CDU/CSU","1987","Employed","secondary school degree","372","0.490064683019211","0.455094531729491","0.52503483430893"
"CDU/CSU","1987","Employed","college entrance qualification","239","0.415428139000155","0.376225017037751","0.454631260962558"
"CDU/CSU","1987","Employed","Other degree","46","0.196089887503989","0.151310725277829","0.240869049730149"
"CDU/CSU","1987","Employed","no degree/no degree yet","25","","",""
"SPD","1987","Not Employed","lower secondary degree","595","0.468658856568336","0.441224773263994","0.496092939872679"
"SPD","1987","Not Employed","secondary school degree","116","0.289189709006182","0.242420205387789","0.335959212624576"
"SPD","1987","Not Employed","college entrance qualification","58","0.234835066785536","0.179447047407459","0.290223086163613"
"SPD","1987","Not Employed","Other degree","39","0.43345246354225","0.312982070232063","0.553922856852438"
"SPD","1987","Not Employed","no degree/no degree yet","83","0.53523279348811","0.452615080441086","0.617850506535135"
"SPD","1987","Employed","lower secondary degree","888","0.472198199801552","0.449486130631002","0.494910268972101"
"SPD","1987","Employed","secondary school degree","296","0.364131205012922","0.330470286061186","0.397792123964658"
"SPD","1987","Employed","college entrance qualification","188","0.288667874393145","0.252619209548496","0.324716539237793"
"SPD","1987","Employed","Other degree","214","0.664341847788263","0.611083336292353","0.717600359284172"
"SPD","1987","Employed","no degree/no degree yet","104","0.605328017816329","0.525216749291113","0.685439286341545"
"FDP","1987","Not Employed","lower secondary degree","38","0.0335477030977835","0.0236485754963149","0.0434468306992521"
"FDP","1987","Not Employed","secondary school degree","32","0.0930273587140301","0.0630635560190842","0.122991161408976"
"FDP","1987","Not Employed","college entrance qualification","26","","",""
"FDP","1987","Not Employed","Other degree","1","","",""
"FDP","1987","Not Employed","no degree/no degree yet","4","","",""
"FDP","1987","Employed","lower secondary degree","65","0.0393719718762406","0.0305242733721847","0.0482196703802964"
"FDP","1987","Employed","secondary school degree","50","0.0651784968766503","0.04791098434668","0.0824460094066207"
"FDP","1987","Employed","college entrance qualification","53","0.0892589887262223","0.0665772066573137","0.111940770795131"
"FDP","1987","Employed","Other degree","7","","",""
"FDP","1987","Employed","no degree/no degree yet","1","","",""
"Grüne","1987","Not Employed","lower secondary degree","38","0.024820780352885","0.0162676468558115","0.0333739138499585"
"Grüne","1987","Not Employed","secondary school degree","22","","",""
"Grüne","1987","Not Employed","college entrance qualification","56","0.214729201804561","0.161073965651438","0.268384437957685"
"Grüne","1987","Not Employed","Other degree","10","","",""
"Grüne","1987","Not Employed","no degree/no degree yet","21","","",""
"Grüne","1987","Employed","lower secondary degree","85","0.0395752690408096","0.0307056960838361","0.0484448419977831"
"Grüne","1987","Employed","secondary school degree","61","0.0740742578863353","0.0557538559985381","0.0923946597741325"
"Grüne","1987","Employed","college entrance qualification","121","0.193082757376278","0.161682009669276","0.224483505083281"
"Grüne","1987","Employed","Other degree","35","0.119038159036635","0.0825151736893176","0.155561144383953"
"Grüne","1987","Employed","no degree/no degree yet","12","","",""
"PDS/Linke","1987","Not Employed","lower secondary degree","","","",""
"PDS/Linke","1987","Not Employed","secondary school degree","","","",""
"PDS/Linke","1987","Not Employed","college entrance qualification","","","",""
"PDS/Linke","1987","Not Employed","Other degree","","","",""
"PDS/Linke","1987","Not Employed","no degree/no degree yet","","","",""
"PDS/Linke","1987","Employed","lower secondary degree","","","",""
"PDS/Linke","1987","Employed","secondary school degree","","","",""
"PDS/Linke","1987","Employed","college entrance qualification","","","",""
"PDS/Linke","1987","Employed","Other degree","","","",""
"PDS/Linke","1987","Employed","no degree/no degree yet","","","",""
"NPD Combination","1987","Not Employed","lower secondary degree","","","",""
"NPD Combination","1987","Not Employed","secondary school degree","","","",""
"NPD Combination","1987","Not Employed","college entrance qualification","","","",""
"NPD Combination","1987","Not Employed","Other degree","","","",""
"NPD Combination","1987","Not Employed","no degree/no degree yet","","","",""
"NPD Combination","1987","Employed","lower secondary degree","","","",""
"NPD Combination","1987","Employed","secondary school degree","","","",""
"NPD Combination","1987","Employed","college entrance qualification","","","",""
"NPD Combination","1987","Employed","Other degree","","","",""
"NPD Combination","1987","Employed","no degree/no degree yet","","","",""
"AfD","1987","Not Employed","lower secondary degree","","","",""
"AfD","1987","Not Employed","secondary school degree","","","",""
"AfD","1987","Not Employed","college entrance qualification","","","",""
"AfD","1987","Not Employed","Other degree","","","",""
"AfD","1987","Not Employed","no degree/no degree yet","","","",""
"AfD","1987","Employed","lower secondary degree","","","",""
"AfD","1987","Employed","secondary school degree","","","",""
"AfD","1987","Employed","college entrance qualification","","","",""
"AfD","1987","Employed","Other degree","","","",""
"AfD","1987","Employed","no degree/no degree yet","","","",""
"Other","1987","Not Employed","lower secondary degree","9","","",""
"Other","1987","Not Employed","secondary school degree","3","","",""
"Other","1987","Not Employed","college entrance qualification","","","",""
"Other","1987","Not Employed","Other degree","","","",""
"Other","1987","Not Employed","no degree/no degree yet","2","","",""
"Other","1987","Employed","lower secondary degree","10","","",""
"Other","1987","Employed","secondary school degree","6","","",""
"Other","1987","Employed","college entrance qualification","6","","",""
"Other","1987","Employed","Other degree","","","",""
"Other","1987","Employed","no degree/no degree yet","1","","",""
"CDU/CSU","1988","Not Employed","lower secondary degree","502","0.431622574430732","0.402958569639504","0.460286579221959"
"CDU/CSU","1988","Not Employed","secondary school degree","166","0.591877450349203","0.536899303621743","0.646855597076664"
"CDU/CSU","1988","Not Employed","college entrance qualification","85","0.397651556479536","0.333985140572223","0.46131797238685"
"CDU/CSU","1988","Not Employed","Other degree","14","","",""
"CDU/CSU","1988","Not Employed","no degree/no degree yet","22","","",""
"CDU/CSU","1988","Employed","lower secondary degree","641","0.397008231311196","0.373520788341871","0.420495674280521"
"CDU/CSU","1988","Employed","secondary school degree","291","0.433198930734555","0.396385822335628","0.470012039133483"
"CDU/CSU","1988","Employed","college entrance qualification","215","0.395649993430164","0.3551862081533","0.436113778707027"
"CDU/CSU","1988","Employed","Other degree","40","0.197378152093442","0.15007733238243","0.244678971804454"
"CDU/CSU","1988","Employed","no degree/no degree yet","12","","",""
"SPD","1988","Not Employed","lower secondary degree","584","0.512847127696919","0.483920821465787","0.54177343392805"
"SPD","1988","Not Employed","secondary school degree","105","0.289268009277826","0.238547683001492","0.339988335554161"
"SPD","1988","Not Employed","college entrance qualification","77","0.293248557425375","0.234026095633878","0.352471019216872"
"SPD","1988","Not Employed","Other degree","43","0.5385312725782","0.415432302917189","0.661630242239212"
"SPD","1988","Not Employed","no degree/no degree yet","63","0.491872703133223","0.396248888333503","0.587496517932943"
"SPD","1988","Employed","lower secondary degree","901","0.53198067461597","0.50802766371287","0.55593368551907"
"SPD","1988","Employed","secondary school degree","310","0.433564340245427","0.396747582318167","0.470381098172686"
"SPD","1988","Employed","college entrance qualification","207","0.357033463629845","0.317386009336812","0.396680917922877"
"SPD","1988","Employed","Other degree","200","0.663983379020317","0.607849814231652","0.720116943808983"
"SPD","1988","Employed","no degree/no degree yet","81","0.781771270499687","0.701613833849237","0.861928707150137"
"FDP","1988","Not Employed","lower secondary degree","28","","",""
"FDP","1988","Not Employed","secondary school degree","25","","",""
"FDP","1988","Not Employed","college entrance qualification","21","","",""
"FDP","1988","Not Employed","Other degree","1","","",""
"FDP","1988","Not Employed","no degree/no degree yet","1","","",""
"FDP","1988","Employed","lower secondary degree","53","0.0322299799858198","0.0237519218336073","0.0407080381380323"
"FDP","1988","Employed","secondary school degree","37","0.0523262135651937","0.0357825168512258","0.0688699102791616"
"FDP","1988","Employed","college entrance qualification","42","0.0771768949036867","0.0550933117490254","0.099260478058348"
"FDP","1988","Employed","Other degree","3","","",""
"FDP","1988","Employed","no degree/no degree yet","3","","",""
"Grüne","1988","Not Employed","lower secondary degree","24","","",""
"Grüne","1988","Not Employed","secondary school degree","8","","",""
"Grüne","1988","Not Employed","college entrance qualification","41","0.184593538854707","0.134123866595436","0.235063211113979"
"Grüne","1988","Not Employed","Other degree","5","","",""
"Grüne","1988","Not Employed","no degree/no degree yet","16","","",""
"Grüne","1988","Employed","lower secondary degree","56","0.0299523687152456","0.0217697482545653","0.0381349891759259"
"Grüne","1988","Employed","secondary school degree","52","0.0711068187342491","0.0520134753508254","0.0902001621176728"
"Grüne","1988","Employed","college entrance qualification","91","0.157633226851807","0.127479488830396","0.187786964873219"
"Grüne","1988","Employed","Other degree","29","","",""
"Grüne","1988","Employed","no degree/no degree yet","4","","",""
"PDS/Linke","1988","Not Employed","lower secondary degree","","","",""
"PDS/Linke","1988","Not Employed","secondary school degree","","","",""
"PDS/Linke","1988","Not Employed","college entrance qualification","","","",""
"PDS/Linke","1988","Not Employed","Other degree","","","",""
"PDS/Linke","1988","Not Employed","no degree/no degree yet","","","",""
"PDS/Linke","1988","Employed","lower secondary degree","","","",""
"PDS/Linke","1988","Employed","secondary school degree","","","",""
"PDS/Linke","1988","Employed","college entrance qualification","","","",""
"PDS/Linke","1988","Employed","Other degree","","","",""
"PDS/Linke","1988","Employed","no degree/no degree yet","","","",""
"NPD Combination","1988","Not Employed","lower secondary degree","","","",""
"NPD Combination","1988","Not Employed","secondary school degree","","","",""
"NPD Combination","1988","Not Employed","college entrance qualification","","","",""
"NPD Combination","1988","Not Employed","Other degree","","","",""
"NPD Combination","1988","Not Employed","no degree/no degree yet","","","",""
"NPD Combination","1988","Employed","lower secondary degree","","","",""
"NPD Combination","1988","Employed","secondary school degree","","","",""
"NPD Combination","1988","Employed","college entrance qualification","","","",""
"NPD Combination","1988","Employed","Other degree","","","",""
"NPD Combination","1988","Employed","no degree/no degree yet","","","",""
"AfD","1988","Not Employed","lower secondary degree","","","",""
"AfD","1988","Not Employed","secondary school degree","","","",""
"AfD","1988","Not Employed","college entrance qualification","","","",""
"AfD","1988","Not Employed","Other degree","","","",""
"AfD","1988","Not Employed","no degree/no degree yet","","","",""
"AfD","1988","Employed","lower secondary degree","","","",""
"AfD","1988","Employed","secondary school degree","","","",""
"AfD","1988","Employed","college entrance qualification","","","",""
"AfD","1988","Employed","Other degree","","","",""
"AfD","1988","Employed","no degree/no degree yet","","","",""
"Other","1988","Not Employed","lower secondary degree","9","","",""
"Other","1988","Not Employed","secondary school degree","3","","",""
"Other","1988","Not Employed","college entrance qualification","3","","",""
"Other","1988","Not Employed","Other degree","","","",""
"Other","1988","Not Employed","no degree/no degree yet","3","","",""
"Other","1988","Employed","lower secondary degree","16","","",""
"Other","1988","Employed","secondary school degree","6","","",""
"Other","1988","Employed","college entrance qualification","6","","",""
"Other","1988","Employed","Other degree","","","",""
"Other","1988","Employed","no degree/no degree yet","2","","",""
"CDU/CSU","1989","Not Employed","lower secondary degree","427","0.402688254349727","0.37292427837058","0.432452230328873"
"CDU/CSU","1989","Not Employed","secondary school degree","135","0.538735696896868","0.480554006298243","0.596917387495493"
