"party","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"SPD","1986","Not Employed","Female","626","0.427152587963401","0.400852974754056","0.453452201172746"
"SPD","1986","Employed","Male","1144","0.469953466347058","0.449178053038386","0.49072887965573"
"SPD","1986","Employed","Female","609","0.46491474487185","0.437164913257167","0.492664576486533"
"FDP","1986","Not Employed","Male","24","","",""
"FDP","1986","Not Employed","Female","40","0.0344246522707815","0.0247314733705689","0.044117831170994"
"FDP","1986","Employed","Male","76","0.0384597757878125","0.0304549414793287","0.0464646100962962"
"FDP","1986","Employed","Female","30","0.0260698144100854","0.017204480798486","0.0349351480216848"
"Grüne","1986","Not Employed","Male","62","0.0720951646020544","0.0523925490111086","0.0917977801930001"
"Grüne","1986","Not Employed","Female","70","0.0409082798819265","0.0303771724592969","0.0514393873045562"
"Grüne","1986","Employed","Male","131","0.0553096927526387","0.0457946532170892","0.0648247322881882"
"Grüne","1986","Employed","Female","122","0.0977006236973157","0.0811815307452536","0.114219716649378"
"PDS/Linke","1986","Not Employed","Male","","","",""
"PDS/Linke","1986","Not Employed","Female","","","",""
"PDS/Linke","1986","Employed","Male","","","",""
"PDS/Linke","1986","Employed","Female","","","",""
"NPD Combination","1986","Not Employed","Male","","","",""
"NPD Combination","1986","Not Employed","Female","","","",""
"NPD Combination","1986","Employed","Male","","","",""
"NPD Combination","1986","Employed","Female","","","",""
"AfD","1986","Not Employed","Male","","","",""
"AfD","1986","Not Employed","Female","","","",""
"AfD","1986","Employed","Male","","","",""
"AfD","1986","Employed","Female","","","",""
"Other","1986","Not Employed","Male","5","","",""
"Other","1986","Not Employed","Female","5","","",""
"Other","1986","Employed","Male","17","","",""
"Other","1986","Employed","Female","2","","",""
"CDU/CSU","1987","Not Employed","Male","273","0.445151400958273","0.407062333839012","0.483240468077534"
"CDU/CSU","1987","Not Employed","Female","640","0.483817688668037","0.457880030736879","0.509755346599195"
"CDU/CSU","1987","Employed","Male","953","0.442810074071635","0.422837444511687","0.462782703631582"
"CDU/CSU","1987","Employed","Female","553","0.436834023678316","0.410541016093788","0.463127031262844"
"SPD","1987","Not Employed","Male","287","0.421832176291577","0.383983035252689","0.459681317330464"
"SPD","1987","Not Employed","Female","615","0.408930380936167","0.38341322101673","0.434447540855603"
"SPD","1987","Employed","Male","1113","0.427638035797117","0.407745121178765","0.447530950415469"
"SPD","1987","Employed","Female","603","0.408115609132679","0.382061640859876","0.434169577405481"
"FDP","1987","Not Employed","Male","31","0.0524498725838652","0.0353641821725852","0.0695355629951453"
"FDP","1987","Not Employed","Female","70","0.0558749045118294","0.0439539372291088","0.0677958717945501"
"FDP","1987","Employed","Male","124","0.0580998419665107","0.0486936295221309","0.0675060544108906"
"FDP","1987","Employed","Female","53","0.045440427590966","0.0343999831391217","0.0564808720428102"
"Grüne","1987","Not Employed","Male","56","0.0685480141735136","0.0491821495209012","0.087913878826126"
"Grüne","1987","Not Employed","Female","94","0.0453596773602677","0.0345591939576496","0.0561601607628858"
"Grüne","1987","Employed","Male","171","0.0640415771838708","0.0541972925823774","0.0738858617853641"
"Grüne","1987","Employed","Female","150","0.103830096482553","0.0876597010663488","0.120000491898756"
"PDS/Linke","1987","Not Employed","Male","","","",""
"PDS/Linke","1987","Not Employed","Female","","","",""
"PDS/Linke","1987","Employed","Male","","","",""
"PDS/Linke","1987","Employed","Female","","","",""
"NPD Combination","1987","Not Employed","Male","","","",""
"NPD Combination","1987","Not Employed","Female","","","",""
"NPD Combination","1987","Employed","Male","","","",""
"NPD Combination","1987","Employed","Female","","","",""
"AfD","1987","Not Employed","Male","","","",""
"AfD","1987","Not Employed","Female","","","",""
"AfD","1987","Employed","Male","","","",""
"AfD","1987","Employed","Female","","","",""
"Other","1987","Not Employed","Male","7","","",""
"Other","1987","Not Employed","Female","7","","",""
"Other","1987","Employed","Male","15","","",""
"Other","1987","Employed","Female","8","","",""
"CDU/CSU","1988","Not Employed","Male","246","0.418553025871023","0.379500587642158","0.457605464099889"
"CDU/CSU","1988","Not Employed","Female","546","0.463839891091585","0.436227510366546","0.491452271816625"
"CDU/CSU","1988","Employed","Male","770","0.396840090511654","0.376150354174727","0.417529826848581"
"CDU/CSU","1988","Employed","Female","452","0.404058321176928","0.376305924471634","0.431810717882223"
"SPD","1988","Not Employed","Male","294","0.459806513877253","0.420353509109498","0.499259518645008"
"SPD","1988","Not Employed","Female","584","0.43933486625749","0.411854522213729","0.466815210301252"
"SPD","1988","Employed","Male","1133","0.487894652762806","0.466756178525033","0.509033127000578"
"SPD","1988","Employed","Female","589","0.467706504180631","0.439487682719011","0.495925325642251"
"FDP","1988","Not Employed","Male","27","","",""
"FDP","1988","Not Employed","Female","49","0.0454118834733979","0.0338835820090749","0.0569401849377208"
"FDP","1988","Employed","Male","94","0.0473963478811056","0.0384104906775465","0.0563822050846648"
"FDP","1988","Employed","Female","44","0.0389546423905733","0.0280118504773865","0.0498974343037601"
"Grüne","1988","Not Employed","Male","39","0.0555302688188012","0.0374011471471569","0.0736593904904455"
"Grüne","1988","Not Employed","Female","63","0.0408539653958319","0.0298934233679985","0.0518145074236653"
"Grüne","1988","Employed","Male","130","0.0561740679784996","0.0464366268936339","0.0659115090633653"
"Grüne","1988","Employed","Female","107","0.0834580586898062","0.0678162525831209","0.0990998647964914"
"PDS/Linke","1988","Not Employed","Male","","","",""
"PDS/Linke","1988","Not Employed","Female","","","",""
"PDS/Linke","1988","Employed","Male","","","",""
"PDS/Linke","1988","Employed","Female","","","",""
"NPD Combination","1988","Not Employed","Male","","","",""
"NPD Combination","1988","Not Employed","Female","","","",""
"NPD Combination","1988","Employed","Male","","","",""
"NPD Combination","1988","Employed","Female","","","",""
"AfD","1988","Not Employed","Male","","","",""
"AfD","1988","Not Employed","Female","","","",""
"AfD","1988","Employed","Male","","","",""
"AfD","1988","Employed","Female","","","",""
"Other","1988","Not Employed","Male","7","","",""
"Other","1988","Not Employed","Female","11","","",""
"Other","1988","Employed","Male","21","","",""
"Other","1988","Employed","Female","9","","",""
"CDU/CSU","1989","Not Employed","Male","214","0.371131621572496","0.332825221137017","0.409438022007974"
"CDU/CSU","1989","Not Employed","Female","466","0.4422448570853","0.413614790286909","0.470874923883691"
"CDU/CSU","1989","Employed","Male","665","0.369198167297824","0.348373660786359","0.390022673809288"
"CDU/CSU","1989","Employed","Female","385","0.368575925208609","0.340885930912942","0.396265919504275"
"SPD","1989","Not Employed","Male","305","0.484350296535747","0.444723893074463","0.523976699997032"
"SPD","1989","Not Employed","Female","553","0.445252958599379","0.416603258625434","0.473902658573323"
"SPD","1989","Employed","Male","1120","0.490229113490762","0.468657355412123","0.5118008715694"
"SPD","1989","Employed","Female","605","0.481789908561054","0.453109812713173","0.510470004408936"
"FDP","1989","Not Employed","Male","16","","",""
"FDP","1989","Not Employed","Female","29","","",""
"FDP","1989","Employed","Male","62","0.0330289941301735","0.025317245286161","0.0407407429741861"
"FDP","1989","Employed","Female","32","0.0295371553666341","0.0198192513377334","0.0392550593955348"
"Grüne","1989","Not Employed","Male","41","0.0559002023207305","0.0376846171224757","0.0741157875189853"
"Grüne","1989","Not Employed","Female","76","0.0498437409991754","0.0372987022797594","0.0623887797185913"
"Grüne","1989","Employed","Male","124","0.05686807380891","0.0468745429122472","0.0668616047055728"
"Grüne","1989","Employed","Female","117","0.0942435831152732","0.0774736851452429","0.111013481085303"
"PDS/Linke","1989","Not Employed","Male","","","",""
"PDS/Linke","1989","Not Employed","Female","","","",""
"PDS/Linke","1989","Employed","Male","","","",""
"PDS/Linke","1989","Employed","Female","","","",""
"NPD Combination","1989","Not Employed","Male","","","",""
"NPD Combination","1989","Not Employed","Female","","","",""
"NPD Combination","1989","Employed","Male","","","",""
"NPD Combination","1989","Employed","Female","","","",""
"AfD","1989","Not Employed","Male","","","",""
"AfD","1989","Not Employed","Female","","","",""
"AfD","1989","Employed","Male","","","",""
"AfD","1989","Employed","Female","","","",""
"Other","1989","Not Employed","Male","35","0.060080993389895","0.0412383749344709","0.0789236118453191"
"Other","1989","Not Employed","Female","32","0.0302490996602333","0.0203759550954162","0.0401222442250504"
"Other","1989","Employed","Male","92","0.050675651272331","0.0412109817030459","0.0601403208416161"
"Other","1989","Employed","Female","27","","",""
"CDU/CSU","1990","Not Employed","Male","253","0.419609819945167","0.38137659310406","0.457843046786273"
"CDU/CSU","1990","Not Employed","Female","484","0.449804799856609","0.42127510602451","0.478334493688708"
"CDU/CSU","1990","Employed","Male","703","0.388354521577406","0.367348834495858","0.409360208658953"
"CDU/CSU","1990","Employed","Female","386","0.347885772404351","0.321070824799016","0.374700720009687"
"SPD","1990","Not Employed","Male","318","0.465073043808174","0.426430480259811","0.503715607356538"
"SPD","1990","Not Employed","Female","571","0.45801774848925","0.429444451464717","0.486591045513783"
"SPD","1990","Employed","Male","1113","0.492556916851123","0.471009525306834","0.514104308395411"
"SPD","1990","Employed","Female","662","0.51968106066782","0.49155362878065","0.54780849255499"
"FDP","1990","Not Employed","Male","29","","",""
"FDP","1990","Not Employed","Female","45","0.0439435382549794","0.0321887191135343","0.0556983573964245"
"FDP","1990","Employed","Male","77","0.0398763955189908","0.0314431577575765","0.0483096332804051"
"FDP","1990","Employed","Female","46","0.039138400492162","0.0282207613338624","0.0500560396504615"
"Grüne","1990","Not Employed","Male","25","","",""
"Grüne","1990","Not Employed","Female","53","0.0349278543806746","0.024398723746272","0.0454569850150772"
"Grüne","1990","Employed","Male","123","0.0537733371677029","0.0440513753891801","0.0634952989462257"
"Grüne","1990","Employed","Female","98","0.0795667867314171","0.064331212353233","0.0948023611096011"
"PDS/Linke","1990","Not Employed","Male","","","",""
"PDS/Linke","1990","Not Employed","Female","","","",""
"PDS/Linke","1990","Employed","Male","","","",""
"PDS/Linke","1990","Employed","Female","","","",""
"NPD Combination","1990","Not Employed","Male","10","","",""
"NPD Combination","1990","Not Employed","Female","9","","",""
"NPD Combination","1990","Employed","Male","39","0.0194999818165442","0.0135404282182463","0.025459535414842"
"NPD Combination","1990","Employed","Female","15","","",""
"AfD","1990","Not Employed","Male","","","",""
"AfD","1990","Not Employed","Female","","","",""
"AfD","1990","Employed","Male","","","",""
"AfD","1990","Employed","Female","","","",""
"Other","1990","Not Employed","Male","5","","",""
"Other","1990","Not Employed","Female","6","","",""
"Other","1990","Employed","Male","13","","",""
"Other","1990","Employed","Female","5","","",""
"CDU/CSU","1991","Not Employed","Male","262","0.485709073437891","0.443476310697287","0.527941836178495"
"CDU/CSU","1991","Not Employed","Female","468","0.470574029062611","0.439607008772148","0.501541049353074"
"CDU/CSU","1991","Employed","Male","651","0.414929538746059","0.390495298539813","0.439363778952304"
"CDU/CSU","1991","Employed","Female","395","0.382224459157909","0.353012811682618","0.411436106633201"
"SPD","1991","Not Employed","Male","220","0.412530394061265","0.370931897942256","0.454128890180275"
"SPD","1991","Not Employed","Female","430","0.420304082041236","0.389679882530214","0.450928281552259"
"SPD","1991","Employed","Male","710","0.454348714541465","0.429656512640167","0.479040916442763"
"SPD","1991","Employed","Female","531","0.48453888744267","0.454495857471291","0.51458191741405"
"FDP","1991","Not Employed","Male","18","","",""
"FDP","1991","Not Employed","Female","54","0.0657145961702968","0.0503417768069337","0.08108741553366"
"FDP","1991","Employed","Male","90","0.0623728188317382","0.0503800253124445","0.0743656123510318"
"FDP","1991","Employed","Female","43","0.037807718172612","0.0263419639869179","0.049273472358306"
"Grüne","1991","Not Employed","Male","27","","",""
"Grüne","1991","Not Employed","Female","39","0.0349604787357424","0.0235646987574374","0.0463562587140474"
"Grüne","1991","Employed","Male","74","0.0470449968379663","0.0365447261405549","0.0575452675353777"
"Grüne","1991","Employed","Female","81","0.0828192811010691","0.0662511071689881","0.0993874550331501"
"PDS/Linke","1991","Not Employed","Male","2","","",""
"PDS/Linke","1991","Not Employed","Female","1","","",""
"PDS/Linke","1991","Employed","Male","","","",""
"PDS/Linke","1991","Employed","Female","1","","",""
"NPD Combination","1991","Not Employed","Male","6","","",""
"NPD Combination","1991","Not Employed","Female","4","","",""
"NPD Combination","1991","Employed","Male","29","","",""
"NPD Combination","1991","Employed","Female","6","","",""
"AfD","1991","Not Employed","Male","","","",""
"AfD","1991","Not Employed","Female","","","",""
"AfD","1991","Employed","Male","","","",""
"AfD","1991","Employed","Female","","","",""
"Other","1991","Not Employed","Male","3","","",""
"Other","1991","Not Employed","Female","2","","",""
"Other","1991","Employed","Male","8","","",""
"Other","1991","Employed","Female","6","","",""
"CDU/CSU","1992","Not Employed","Male","276","0.425084435957139","0.388514923537436","0.461653948376841"
"CDU/CSU","1992","Not Employed","Female","512","0.472043728373443","0.443215898921716","0.50087155782517"
"CDU/CSU","1992","Employed","Male","840","0.399644239767546","0.37953400927687","0.419754470258221"
"CDU/CSU","1992","Employed","Female","476","0.365015323753678","0.339966111992757","0.3900645355146"
"SPD","1992","Not Employed","Male","313","0.433201665068971","0.396546187978748","0.469857142159193"
"SPD","1992","Not Employed","Female","495","0.41904500505223","0.390552972579056","0.447537037525404"
"SPD","1992","Employed","Male","1070","0.438142232043628","0.41777196692385","0.458512497163405"
"SPD","1992","Employed","Female","674","0.473723757863429","0.447744522851859","0.499702992874999"
"FDP","1992","Not Employed","Male","27","","",""
"FDP","1992","Not Employed","Female","42","0.0406175455036056","0.0292183402095632","0.0520167507976481"
"FDP","1992","Employed","Male","113","0.0558024130898234","0.0463784438175997","0.0652263823620471"
"FDP","1992","Employed","Female","66","0.0477411800091146","0.036647363719541","0.0588349962986881"
"Grüne","1992","Not Employed","Male","42","0.0476401337109117","0.0318833866478031","0.0633968807740204"
"Grüne","1992","Not Employed","Female","63","0.0410592329361213","0.0296008545867653","0.0525176112854772"
"Grüne","1992","Employed","Male","151","0.0618694719517344","0.0519783451945578","0.071760598708911"
"Grüne","1992","Employed","Female","147","0.0891525461987252","0.0743257747459094","0.103979317651541"
"PDS/Linke","1992","Not Employed","Male","29","","",""
"PDS/Linke","1992","Not Employed","Female","25","","",""
"PDS/Linke","1992","Employed","Male","39","0.0134024039048212","0.00868136797245608","0.0181234398371863"
"PDS/Linke","1992","Employed","Female","33","0.0125433392390487","0.00675275346382214","0.0183339250142752"
"NPD Combination","1992","Not Employed","Male","","","",""
"NPD Combination","1992","Not Employed","Female","","","",""
"NPD Combination","1992","Employed","Male","","","",""
"NPD Combination","1992","Employed","Female","","","",""
"AfD","1992","Not Employed","Male","","","",""
"AfD","1992","Not Employed","Female","","","",""
"AfD","1992","Employed","Male","","","",""
"AfD","1992","Employed","Female","","","",""
"Other","1992","Not Employed","Male","15","","",""
"Other","1992","Not Employed","Female","15","","",""
"Other","1992","Employed","Male","66","0.031139239242448","0.0240080721753219","0.0382704063095741"
"Other","1992","Employed","Female","23","","",""
"CDU/CSU","1993","Not Employed","Male","247","0.384910806381354","0.348526104316282","0.421295508446426"
"CDU/CSU","1993","Not Employed","Female","440","0.461832477744097","0.431207542435839","0.492457413052356"
"CDU/CSU","1993","Employed","Male","654","0.363885989541916","0.3428582686655","0.384913710418331"
"CDU/CSU","1993","Employed","Female","374","0.336620989270678","0.309783389656172","0.363458588885185"
"SPD","1993","Not Employed","Male","311","0.427680216491979","0.390684735137069","0.464675697846888"
"SPD","1993","Not Employed","Female","424","0.395018916014734","0.364989004927752","0.425048827101715"
"SPD","1993","Employed","Male","941","0.430349285935079","0.408709302593157","0.451989269277"
"SPD","1993","Employed","Female","548","0.445164039845349","0.416939001005954","0.473389078684744"
"FDP","1993","Not Employed","Male","22","","",""
"FDP","1993","Not Employed","Female","41","0.0543025162485253","0.0403818411980097","0.0682231912990409"
"FDP","1993","Employed","Male","101","0.0564815414562782","0.0463920209692015","0.0665710619433548"
"FDP","1993","Employed","Female","39","0.0386400029678054","0.027694044165484","0.0495859617701269"
"Grüne","1993","Not Employed","Male","41","0.0542221277841822","0.037288399962659","0.0711558556057053"
"Grüne","1993","Not Employed","Female","58","0.0441833854571902","0.0315595599007122","0.0568072110136682"
"Grüne","1993","Employed","Male","180","0.0865716594115247","0.0742812268568977","0.0988620919661517"
"Grüne","1993","Employed","Female","159","0.133185281112199","0.113888562464541","0.152481999759857"
"PDS/Linke","1993","Not Employed","Male","33","0.0366061306994255","0.0225634967684174","0.0506487646304337"
"PDS/Linke","1993","Not Employed","Female","34","0.025072351810935","0.0154682239777298","0.0346764796441402"
"PDS/Linke","1993","Employed","Male","38","0.0129827769686431","0.00803524943922956","0.0179303044980567"
"PDS/Linke","1993","Employed","Female","38","0.0171578878651288","0.00978282033769172","0.0245329553925658"
"NPD Combination","1993","Not Employed","Male","27","","",""
"NPD Combination","1993","Not Employed","Female","13","","",""
"NPD Combination","1993","Employed","Male","76","0.0412663202995239","0.0325729351653159","0.0499597054337318"
"NPD Combination","1993","Employed","Female","23","","",""
"AfD","1993","Not Employed","Male","","","",""
"AfD","1993","Not Employed","Female","","","",""
"AfD","1993","Employed","Male","","","",""
"AfD","1993","Employed","Female","","","",""
"Other","1993","Not Employed","Male","6","","",""
"Other","1993","Not Employed","Female","8","","",""
"Other","1993","Employed","Male","21","","",""
"Other","1993","Employed","Female","10","","",""
"CDU/CSU","1994","Not Employed","Male","268","0.370189296113913","0.335539903621073","0.404838688606752"
"CDU/CSU","1994","Not Employed","Female","472","0.449684659026888","0.420524691566041","0.478844626487735"
"CDU/CSU","1994","Employed","Male","666","0.369869181179436","0.348763980030452","0.390974382328421"
"CDU/CSU","1994","Employed","Female","356","0.318665728248566","0.292741251646026","0.344590204851106"
"SPD","1994","Not Employed","Male","347","0.472080612295974","0.436256901882154","0.507904322709794"
"SPD","1994","Not Employed","Female","477","0.417541004572864","0.388633577842004","0.446448431303724"
"SPD","1994","Employed","Male","977","0.452037007161503","0.430279322794797","0.473794691528209"
"SPD","1994","Employed","Female","614","0.48537169550695","0.457565199970141","0.513178191043759"
"FDP","1994","Not Employed","Male","15","","",""
"FDP","1994","Not Employed","Female","30","0.0385674156853171","0.027279938719285","0.0498548926513491"
"FDP","1994","Employed","Male","72","0.0460029991593629","0.0368446617389743","0.0551613365797514"
"FDP","1994","Employed","Female","34","0.0253028509749332","0.0165654598528693","0.0340402420969972"
"Grüne","1994","Not Employed","Male","47","0.0565784459043037","0.039999493626323","0.0731573981822845"
"Grüne","1994","Not Employed","Female","75","0.0506823021716154","0.037824665634284","0.0635399387089468"
"Grüne","1994","Employed","Male","154","0.0771534492897547","0.0654882414149181","0.0888186571645913"
"Grüne","1994","Employed","Female","143","0.121705058930826","0.103514891087269","0.139895226774384"
"PDS/Linke","1994","Not Employed","Male","43","0.0408861298370922","0.0266758783230147","0.0550963813511696"
"PDS/Linke","1994","Not Employed","Female","48","0.0314705126230539","0.0212367456985966","0.0417042795475112"
"PDS/Linke","1994","Employed","Male","53","0.0186224495409529","0.0127124625498622","0.0245324365320436"
"PDS/Linke","1994","Employed","Female","66","0.0303288719353645","0.0207876815633787","0.0398700623073504"
"NPD Combination","1994","Not Employed","Male","16","","",""
"NPD Combination","1994","Not Employed","Female","5","","",""
"NPD Combination","1994","Employed","Male","57","0.0230140611203094","0.0164587871084406","0.0295693351321782"
"NPD Combination","1994","Employed","Female","15","","",""
"AfD","1994","Not Employed","Male","","","",""
"AfD","1994","Not Employed","Female","","","",""
"AfD","1994","Employed","Male","","","",""
"AfD","1994","Employed","Female","","","",""
"Other","1994","Not Employed","Male","10","","",""
"Other","1994","Not Employed","Female","11","","",""
"Other","1994","Employed","Male","31","0.0133008525486809","0.00829264661691593","0.018309058480446"
"Other","1994","Employed","Female","13","","",""
"CDU/CSU","1995","Not Employed","Male","314","0.386899811616683","0.353983203503566","0.4198164197298"
"CDU/CSU","1995","Not Employed","Female","563","0.457011847673634","0.430169093431917","0.48385460191535"
"CDU/CSU","1995","Employed","Male","876","0.401031052274479","0.380860503190386","0.421201601358573"
"CDU/CSU","1995","Employed","Female","502","0.354170750778457","0.329295405369018","0.379046096187896"
"SPD","1995","Not Employed","Male","378","0.45757337651135","0.423902767970166","0.491243985052534"
"SPD","1995","Not Employed","Female","540","0.398558062601041","0.372175873912445","0.424940251289637"
"SPD","1995","Employed","Male","976","0.421060941423885","0.400741326669809","0.441380556177962"
"SPD","1995","Employed","Female","610","0.433723909482059","0.407947364026216","0.459500454937902"
"FDP","1995","Not Employed","Male","16","","",""
"FDP","1995","Not Employed","Female","34","0.0336818559005582","0.0239605134364007","0.0434031983647156"
"FDP","1995","Employed","Male","68","0.0316297341264122","0.0244270385520204","0.0388324297008039"
"FDP","1995","Employed","Female","28","","",""
"Grüne","1995","Not Employed","Male","66","0.070726860377276","0.0534002354149796","0.0880534853395724"
"Grüne","1995","Not Employed","Female","108","0.0654457754349553","0.0521194249729678","0.0787721258969429"
"Grüne","1995","Employed","Male","203","0.0919171382013665","0.0800269821986314","0.103807294204102"
"Grüne","1995","Employed","Female","195","0.151915441327935","0.133246295132243","0.170584587523626"
"PDS/Linke","1995","Not Employed","Male","52","0.0472899912852311","0.0329445116270394","0.0616354709434228"
"PDS/Linke","1995","Not Employed","Female","64","0.0365769521357665","0.0264616131426601","0.0466922911288729"
"PDS/Linke","1995","Employed","Male","84","0.0251660039851082","0.018719874433482","0.0316121335367344"
"PDS/Linke","1995","Employed","Female","68","0.0277681805833098","0.0192221873097258","0.0363141738568938"
"NPD Combination","1995","Not Employed","Male","3","","",""
"NPD Combination","1995","Not Employed","Female","7","","",""
"NPD Combination","1995","Employed","Male","40","0.0196602561349466","0.0139466610858512","0.0253738511840421"
"NPD Combination","1995","Employed","Female","6","","",""
"AfD","1995","Not Employed","Male","","","",""
"AfD","1995","Not Employed","Female","","","",""
"AfD","1995","Employed","Male","","","",""
"AfD","1995","Employed","Female","","","",""
"Other","1995","Not Employed","Male","12","","",""
"Other","1995","Not Employed","Female","7","","",""
"Other","1995","Employed","Male","21","","",""
"Other","1995","Employed","Female","11","","",""
"CDU/CSU","1996","Not Employed","Male","314","0.430525213772969","0.395731976547083","0.465318450998854"
"CDU/CSU","1996","Not Employed","Female","539","0.484442742457882","0.455794333022254","0.51309115189351"
"CDU/CSU","1996","Employed","Male","874","0.417232275353784","0.396389019727683","0.438075530979886"
"CDU/CSU","1996","Employed","Female","489","0.382163902110441","0.356329415624255","0.407998388596627"
"SPD","1996","Not Employed","Male","331","0.429795191897166","0.395009190791177","0.464581193003154"
"SPD","1996","Not Employed","Female","413","0.352950521895875","0.325555825274323","0.380345218517428"
"SPD","1996","Employed","Male","859","0.384863517584334","0.364296658335239","0.405430376833429"
"SPD","1996","Employed","Female","539","0.385573156695003","0.359695386686953","0.411450926703053"
"FDP","1996","Not Employed","Male","16","","",""
"FDP","1996","Not Employed","Female","30","0.0318050781569678","0.0217457154130566","0.041864440900879"
"FDP","1996","Employed","Male","47","0.0265429849362923","0.0197484125319754","0.0333375573406092"
"FDP","1996","Employed","Female","24","","",""
"Grüne","1996","Not Employed","Male","54","0.0594957324720706","0.0428737972453915","0.0761176676987497"
"Grüne","1996","Not Employed","Female","107","0.076260015220996","0.0610452886943387","0.0914747417476533"
