"party","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1985","middle vocational","Male","665","0.424011445496299","0.400401132211949","0.447621758780648"
"CDU/CSU","1985","middle vocational","Female","540","0.44744384980441","0.42027843770605","0.474609261902771"
"CDU/CSU","1985","vocational + Abi","Male","31","0.337933723155319","0.249939714724779","0.42592773158586"
"CDU/CSU","1985","vocational + Abi","Female","","","",""
"CDU/CSU","1985","higher vocational","Male","155","0.620475987715093","0.561147449464704","0.679804525965483"
"CDU/CSU","1985","higher vocational","Female","70","0.489767705526453","0.41081504401458","0.568720367038325"
"CDU/CSU","1985","higher education","Male","149","0.424576008808372","0.373588217726453","0.475563799890292"
"CDU/CSU","1985","higher education","Female","62","0.426062143515383","0.350837011825981","0.501287275204785"
"SPD","1985","in school","Male","","","",""
"SPD","1985","in school","Female","","","",""
"SPD","1985","inadequately","Male","83","0.753615392784622","0.671194918810015","0.836035866759229"
"SPD","1985","inadequately","Female","62","0.697500135656163","0.595562271461821","0.799437999850505"
"SPD","1985","general elemantary","Male","256","0.479520933903029","0.43305207317989","0.525989794626168"
"SPD","1985","general elemantary","Female","475","0.476767902862699","0.445090680079529","0.508445125645869"
"SPD","1985","middle vocational","Male","865","0.489860164431412","0.465977283474397","0.513743045388426"
"SPD","1985","middle vocational","Female","617","0.451390116694174","0.424202780721457","0.478577452666891"
"SPD","1985","vocational + Abi","Male","58","0.439069885452035","0.346747332473794","0.531392438430277"
"SPD","1985","vocational + Abi","Female","","","",""
"SPD","1985","higher vocational","Male","74","0.282202845160584","0.2271774601939","0.337228230127268"
"SPD","1985","higher vocational","Female","63","0.397919090968595","0.320613207660686","0.475224974276505"
"SPD","1985","higher education","Male","133","0.346832017096183","0.297733709199802","0.395930324992564"
"SPD","1985","higher education","Female","64","0.351829142270676","0.279184313869265","0.424473970672087"
"FDP","1985","in school","Male","","","",""
"FDP","1985","in school","Female","","","",""
"FDP","1985","inadequately","Male","","","",""
"FDP","1985","inadequately","Female","","","",""
"FDP","1985","general elemantary","Male","","","",""
"FDP","1985","general elemantary","Female","","","",""
"FDP","1985","middle vocational","Male","41","0.0276377698731534","0.0198057898381109","0.0354697499081959"
"FDP","1985","middle vocational","Female","52","0.047812743582571","0.0361556084090577","0.0594698787560843"
"FDP","1985","vocational + Abi","Male","","","",""
"FDP","1985","vocational + Abi","Female","","","",""
"FDP","1985","higher vocational","Male","","","",""
"FDP","1985","higher vocational","Female","","","",""
"FDP","1985","higher education","Male","39","0.113163756823537","0.0804846720306892","0.145842841616384"
"FDP","1985","higher education","Female","","","",""
"Grüne","1985","in school","Male","","","",""
"Grüne","1985","in school","Female","","","",""
"Grüne","1985","inadequately","Male","","","",""
"Grüne","1985","inadequately","Female","","","",""
"Grüne","1985","general elemantary","Male","31","0.0648495690152066","0.0419434827365679","0.0877556552938453"
"Grüne","1985","general elemantary","Female","41","0.0319016843786993","0.0207558407839417","0.0430475279734569"
"Grüne","1985","middle vocational","Male","97","0.0481314685499579","0.0379053911837711","0.0583575459161447"
"Grüne","1985","middle vocational","Female","76","0.0519618149735184","0.0398359175882138","0.0640877123588229"
"Grüne","1985","vocational + Abi","Male","","","",""
"Grüne","1985","vocational + Abi","Female","","","",""
"Grüne","1985","higher vocational","Male","","","",""
"Grüne","1985","higher vocational","Female","","","",""
"Grüne","1985","higher education","Male","36","0.103490422692204","0.0720692754999572","0.13491156988445"
"Grüne","1985","higher education","Female","","","",""
"PDS/Linke","1985","in school","Male","","","",""
"PDS/Linke","1985","in school","Female","","","",""
"PDS/Linke","1985","inadequately","Male","","","",""
"PDS/Linke","1985","inadequately","Female","","","",""
"PDS/Linke","1985","general elemantary","Male","","","",""
"PDS/Linke","1985","general elemantary","Female","","","",""
"PDS/Linke","1985","middle vocational","Male","","","",""
"PDS/Linke","1985","middle vocational","Female","","","",""
"PDS/Linke","1985","vocational + Abi","Male","","","",""
"PDS/Linke","1985","vocational + Abi","Female","","","",""
"PDS/Linke","1985","higher vocational","Male","","","",""
"PDS/Linke","1985","higher vocational","Female","","","",""
"PDS/Linke","1985","higher education","Male","","","",""
"PDS/Linke","1985","higher education","Female","","","",""
"NPD Combination","1985","in school","Male","","","",""
"NPD Combination","1985","in school","Female","","","",""
"NPD Combination","1985","inadequately","Male","","","",""
"NPD Combination","1985","inadequately","Female","","","",""
"NPD Combination","1985","general elemantary","Male","","","",""
"NPD Combination","1985","general elemantary","Female","","","",""
