"party","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"SPD","1990","Rural Area","Male","228","0.430316283438766","0.387923372302736","0.472709194574796","2"
"SPD","1990","Rural Area","Female","203","0.426607171205042","0.381702105413549","0.471512236996535","2"
"AfD","1991","Urban Area","Male","","","","","7"
"AfD","1991","Urban Area","Female","","","","","7"
"AfD","1991","Rural Area","Male","","","","","7"
"AfD","1991","Rural Area","Female","","","","","7"
"CDU/CSU","1991","Rural Area","Female","240","0.535635616524942","0.489607416176799","0.581663816873085","1"
"CDU/CSU","1991","Rural Area","Male","236","0.497196322856629","0.452467172476697","0.541925473236562","1"
"CDU/CSU","1991","Urban Area","Female","623","0.397903389588732","0.373994628982936","0.421812150194529","1"
"CDU/CSU","1991","Urban Area","Male","677","0.416604365638767","0.392597576410113","0.44061115486742","1"
"FDP","1991","Rural Area","Female","16","","","","3"
"FDP","1991","Rural Area","Male","20","","","","3"
"FDP","1991","Urban Area","Female","81","0.0553064091670523","0.0441411613042203","0.0664716570298843","3"
"FDP","1991","Urban Area","Male","88","0.0594411583871645","0.0479271325124519","0.0709551842618771","3"
"NPD Combination","1991","Urban Area","Male","26","","","","6"
"NPD Combination","1991","Urban Area","Female","9","","","","6"
"NPD Combination","1991","Rural Area","Male","9","","","","6"
"NPD Combination","1991","Rural Area","Female","1","","","","6"
"Other","1991","Urban Area","Male","8","","","","8"
"Other","1991","Urban Area","Female","5","","","","8"
"Other","1991","Rural Area","Male","3","","","","8"
"Other","1991","Rural Area","Female","3","","","","8"
"PDS/Linke","1991","Urban Area","Female","2","","","","5"
"PDS/Linke","1991","Urban Area","Male","1","","","","5"
"PDS/Linke","1991","Rural Area","Male","1","","","","5"
"PDS/Linke","1991","Rural Area","Female","","","","","5"
"SPD","1991","Urban Area","Female","784","0.469364374286196","0.444986916309688","0.493741832262704","2"
"SPD","1991","Urban Area","Male","737","0.457599837313175","0.433339690763795","0.481859983862555","2"
"SPD","1991","Rural Area","Male","193","0.391853064712273","0.348182042515846","0.435524086908701","2"
"SPD","1991","Rural Area","Female","177","0.38597686725373","0.34104723902086","0.430906495486601","2"
"AfD","1992","Urban Area","Male","","","","","7"
"AfD","1992","Urban Area","Female","","","","","7"
"AfD","1992","Rural Area","Male","","","","","7"
"AfD","1992","Rural Area","Female","","","","","7"
"CDU/CSU","1992","Urban Area","Male","727","0.39377253624654","0.37265335628631","0.41489171620677","1"
"CDU/CSU","1992","Urban Area","Female","645","0.404890760638092","0.382188860727427","0.427592660548758","1"
"CDU/CSU","1992","Rural Area","Female","336","0.468431433865069","0.43281379886803","0.504049068862107","1"
"CDU/CSU","1992","Rural Area","Male","382","0.444158289646553","0.411642349003312","0.476674230289794","1"
"FDP","1992","Rural Area","Female","39","0.0502191610599378","0.0346304988431853","0.0658078232766903","3"
"FDP","1992","Rural Area","Male","49","0.0510553965405631","0.0366510644145993","0.0654597286665269","3"
"FDP","1992","Urban Area","Female","67","0.0416137773037269","0.0323777804744663","0.0508497741329875","3"
"FDP","1992","Urban Area","Male","88","0.0510982704252989","0.0415801706039306","0.0606163702466673","3"
"NPD Combination","1992","Urban Area","Male","","","","","6"
"NPD Combination","1992","Urban Area","Female","","","","","6"
"NPD Combination","1992","Rural Area","Male","","","","","6"
"NPD Combination","1992","Rural Area","Female","","","","","6"
"Other","1992","Urban Area","Male","54","0.0244120228458885","0.0177413193155446","0.0310827263762324","8"
"Other","1992","Urban Area","Female","25","","","","8"
"Other","1992","Rural Area","Male","27","","","","8"
"Other","1992","Rural Area","Female","12","","","","8"
"PDS/Linke","1992","Urban Area","Male","26","","","","5"
"PDS/Linke","1992","Urban Area","Female","24","","","","5"
"PDS/Linke","1992","Rural Area","Female","33","0.0323576680643824","0.0197275196013515","0.0449878165274133","5"
"PDS/Linke","1992","Rural Area","Male","41","0.0379485621736718","0.0254445704136298","0.0504525539337137","5"
"SPD","1992","Urban Area","Female","880","0.465584627639318","0.442515365065484","0.488653890213153","2"
"SPD","1992","Urban Area","Male","1022","0.457599619159407","0.436064892881892","0.479134345436923","2"
"SPD","1992","Rural Area","Male","347","0.381333503588052","0.34954773991139","0.413119267264714","2"
"SPD","1992","Rural Area","Female","281","0.388591784773414","0.353800148011498","0.423383421535329","2"
"AfD","1993","Urban Area","Male","","","","","7"
"AfD","1993","Urban Area","Female","","","","","7"
"AfD","1993","Rural Area","Female","","","","","7"
"AfD","1993","Rural Area","Male","","","","","7"
"CDU/CSU","1993","Rural Area","Female","283","0.451807687617542","0.41420803456896","0.489407340666125","1"
"CDU/CSU","1993","Urban Area","Female","531","0.38360685079821","0.359289035134385","0.407924666462035","1"
"CDU/CSU","1993","Rural Area","Male","310","0.416838155508563","0.382501042054729","0.451175268962396","1"
"CDU/CSU","1993","Urban Area","Male","591","0.352228006763971","0.330783815653476","0.373672197874466","1"
"FDP","1993","Rural Area","Male","40","0.0591997687965385","0.0427638414341633","0.0756356961589136","3"
"FDP","1993","Rural Area","Female","25","","","","3"
"FDP","1993","Urban Area","Female","55","0.0463138599598525","0.0358036665566148","0.0568240533630901","3"
"FDP","1993","Urban Area","Male","83","0.0472843613349338","0.0377558061474711","0.0568129165223964","3"
"NPD Combination","1993","Urban Area","Male","70","0.0395997862145975","0.0308447249882165","0.0483548474409785","6"
"NPD Combination","1993","Urban Area","Female","29","","","","6"
"NPD Combination","1993","Rural Area","Male","33","0.053363589350622","0.0377105160358532","0.0690166626653907","6"
"NPD Combination","1993","Rural Area","Female","7","","","","6"
"Other","1993","Urban Area","Male","15","","","","8"
"Other","1993","Rural Area","Female","8","","","","8"
"Other","1993","Rural Area","Male","12","","","","8"
"Other","1993","Urban Area","Female","10","","","","8"
"PDS/Linke","1993","Urban Area","Male","25","","","","5"
"PDS/Linke","1993","Urban Area","Female","32","0.012926702644262","0.00727770928442628","0.0185756960040978","5"
"PDS/Linke","1993","Rural Area","Male","46","0.0458722048320159","0.0313020696396274","0.0604423400244043","5"
"PDS/Linke","1993","Rural Area","Female","40","0.043510050287106","0.0280974627206473","0.0589226378535646","5"
"SPD","1993","Urban Area","Female","712","0.43601889206367","0.411219706695196","0.460818077432144","2"
"SPD","1993","Urban Area","Male","947","0.45533759155324","0.432980407764616","0.477694775341864","2"
"SPD","1993","Rural Area","Female","260","0.373418657922123","0.336873714396729","0.409963601447518","2"
"SPD","1993","Rural Area","Male","305","0.362136096332818","0.328663806659451","0.395608386006184","2"
"AfD","1994","Urban Area","Male","","","","","7"
"AfD","1994","Urban Area","Female","","","","","7"
"AfD","1994","Rural Area","Female","","","","","7"
"AfD","1994","Rural Area","Male","","","","","7"
"CDU/CSU","1994","Rural Area","Female","276","0.429485629208282","0.392604631904283","0.466366626512281","1"
"CDU/CSU","1994","Urban Area","Female","552","0.374962431436649","0.35172290733228","0.398201955541018","1"
"CDU/CSU","1994","Rural Area","Male","318","0.411490248411704","0.377580041808903","0.445400455014506","1"
"CDU/CSU","1994","Urban Area","Male","616","0.355113111544202","0.333856685666767","0.376369537421636","1"
"FDP","1994","Rural Area","Male","26","","","","3"
"FDP","1994","Rural Area","Female","17","","","","3"
"FDP","1994","Urban Area","Female","47","0.0336173404159759","0.0249649415577747","0.0422697392741772","3"
"FDP","1994","Urban Area","Male","61","0.0390147087415727","0.0304139320868387","0.0476154853963066","3"
"NPD Combination","1994","Urban Area","Male","51","0.0255764578355299","0.0185641786608339","0.032588737010226","6"
"NPD Combination","1994","Urban Area","Female","18","","","","6"
"NPD Combination","1994","Rural Area","Male","22","","","","6"
"NPD Combination","1994","Rural Area","Female","2","","","","6"
"Other","1994","Urban Area","Male","22","","","","8"
"Other","1994","Urban Area","Female","13","","","","8"
"Other","1994","Rural Area","Male","19","","","","8"
"Other","1994","Rural Area","Female","11","","","","8"
"PDS/Linke","1994","Urban Area","Male","39","0.0157527316409275","0.0102218398525008","0.0212836234293543","5"
"PDS/Linke","1994","Urban Area","Female","52","0.020904725631223","0.0140369673020375","0.0277724839604085","5"
"PDS/Linke","1994","Rural Area","Male","57","0.0527916071910722","0.0373824444856209","0.0682007698965236","5"
"PDS/Linke","1994","Rural Area","Female","62","0.0588150021835286","0.041285216740332","0.0763447876267251","5"
"SPD","1994","Urban Area","Female","816","0.461215962767756","0.437286121592547","0.485145803942965","2"
"SPD","1994","Urban Area","Male","998","0.474242126530113","0.45206230371033","0.496421949349897","2"
"SPD","1994","Rural Area","Male","326","0.413511383255818","0.379576421932504","0.447446344579132","2"
"SPD","1994","Rural Area","Female","275","0.414147459635113","0.377447405624631","0.450847513645595","2"
"AfD","1995","Urban Area","Male","","","","","7"
"AfD","1995","Urban Area","Female","","","","","7"
"AfD","1995","Rural Area","Female","","","","","7"
"AfD","1995","Rural Area","Male","","","","","7"
"CDU/CSU","1995","Rural Area","Female","382","0.449670519334732","0.416403789888012","0.482937248781452","1"
"CDU/CSU","1995","Urban Area","Female","683","0.396339750015516","0.374252698355156","0.418426801675877","1"
"CDU/CSU","1995","Urban Area","Male","754","0.37547445216054","0.355000806438822","0.395948097882258","1"
"CDU/CSU","1995","Rural Area","Male","436","0.449505769157205","0.418038685445144","0.480972852869265","1"
"FDP","1995","Rural Area","Male","23","","","","3"
"FDP","1995","Rural Area","Female","22","","","","3"
"FDP","1995","Urban Area","Female","40","0.0260368517686608","0.0188461191612165","0.0332275843761051","3"
"FDP","1995","Urban Area","Male","61","0.0338658746154124","0.0262181940002065","0.0415135552306184","3"
"NPD Combination","1995","Urban Area","Male","27","","","","6"
"NPD Combination","1995","Rural Area","Male","16","","","","6"
"NPD Combination","1995","Urban Area","Female","10","","","","6"
"NPD Combination","1995","Rural Area","Female","3","","","","6"
"Other","1995","Urban Area","Male","23","","","","8"
"Other","1995","Urban Area","Female","16","","","","8"
"Other","1995","Rural Area","Male","10","","","","8"
"Other","1995","Rural Area","Female","2","","","","8"
"PDS/Linke","1995","Urban Area","Male","62","0.0195817394758889","0.0137235796912853","0.0254398992604925","5"
"PDS/Linke","1995","Urban Area","Female","54","0.020645466999852","0.0142246548198552","0.0270662791798488","5"
"PDS/Linke","1995","Rural Area","Male","74","0.0635356132763327","0.0481055850451663","0.0789656415074992","5"
"PDS/Linke","1995","Rural Area","Female","78","0.0628498799662025","0.0466202612148258","0.0790794987175792","5"
"SPD","1995","Urban Area","Female","838","0.426434323586176","0.404102443061169","0.448766204111183","2"
"SPD","1995","Urban Area","Male","1008","0.450968740995296","0.429930877205002","0.47200660478559","2"
"SPD","1995","Rural Area","Male","346","0.386341221791125","0.355540458829346","0.417141984752904","2"
"SPD","1995","Rural Area","Female","312","0.383200581353615","0.350689114339654","0.415712048367575","2"
"AfD","1996","Urban Area","Male","","","","","7"
"AfD","1996","Urban Area","Female","","","","","7"
"AfD","1996","Rural Area","Male","","","","","7"
"AfD","1996","Rural Area","Female","","","","","7"
"CDU/CSU","1996","Rural Area","Female","375","0.505770756585531","0.470840497909265","0.540701015261796","1"
"CDU/CSU","1996","Urban Area","Male","756","0.400719377634124","0.37918874244349","0.422250012824758","1"
"CDU/CSU","1996","Urban Area","Female","653","0.413159786997344","0.390030211564802","0.436289362429886","1"
"CDU/CSU","1996","Rural Area","Male","432","0.474513993903744","0.44255804178641","0.506469946021078","1"
"FDP","1996","Rural Area","Male","15","","","","3"
"FDP","1996","Rural Area","Female","13","","","","3"
"FDP","1996","Urban Area","Female","41","0.0311320168797851","0.0229739993086758","0.0392900344508944","3"
"FDP","1996","Urban Area","Male","48","0.0278481077525809","0.0206189706542642","0.0350772448508977","3"
"NPD Combination","1996","Urban Area","Female","13","","","","6"
"NPD Combination","1996","Urban Area","Male","38","0.0210502972335193","0.0147431806536627","0.0273574138133759","6"
"NPD Combination","1996","Rural Area","Male","21","","","","6"
"NPD Combination","1996","Rural Area","Female","4","","","","6"
"Other","1996","Urban Area","Male","13","","","","8"
"Other","1996","Urban Area","Female","14","","","","8"
"Other","1996","Rural Area","Male","14","","","","8"
"Other","1996","Rural Area","Female","8","","","","8"
"PDS/Linke","1996","Urban Area","Male","63","0.0234186006807539","0.0167741933677425","0.0300630079937653","5"
"PDS/Linke","1996","Urban Area","Female","58","0.0213769840322203","0.0145829200153591","0.0281710480490815","5"
"PDS/Linke","1996","Rural Area","Male","74","0.0640239733298077","0.0483582538356552","0.0796896928239602","5"
"PDS/Linke","1996","Rural Area","Female","85","0.0695278251138274","0.0517576485772413","0.0872980016504134","5"
"SPD","1996","Urban Area","Female","714","0.386554330897621","0.363680335493211","0.409428326302032","2"
"SPD","1996","Urban Area","Male","871","0.420405725011285","0.398717804786511","0.442093645236059","2"
"SPD","1996","Rural Area","Male","319","0.344973632349931","0.314552945611774","0.375394319088088","2"
"SPD","1996","Rural Area","Female","238","0.317215160358261","0.284700469655549","0.349729851060973","2"
"AfD","1997","Urban Area","Male","","","","","7"
"AfD","1997","Urban Area","Female","","","","","7"
"AfD","1997","Rural Area","Male","","","","","7"
"AfD","1997","Rural Area","Female","","","","","7"
"CDU/CSU","1997","Rural Area","Female","307","0.455290964746086","0.418737366729005","0.491844562763168","1"
"CDU/CSU","1997","Urban Area","Male","659","0.372796323001512","0.35080935501203","0.394783290990995","1"
"CDU/CSU","1997","Rural Area","Male","362","0.44454880104517","0.410944789603927","0.478152812486414","1"
"CDU/CSU","1997","Urban Area","Female","621","0.401672250165277","0.378138790461022","0.425205709869531","1"
"FDP","1997","Rural Area","Female","15","","","","3"
"FDP","1997","Rural Area","Male","18","","","","3"
"FDP","1997","Urban Area","Male","38","0.0212608301906713","0.0147016610477294","0.0278199993336132","3"
"FDP","1997","Urban Area","Female","37","0.0260016076604535","0.0183622030650819","0.0336410122558251","3"
"NPD Combination","1997","Urban Area","Male","49","0.024925452384835","0.0178367675007107","0.0320141372689593","6"
"NPD Combination","1997","Urban Area","Female","16","","","","6"
"NPD Combination","1997","Rural Area","Male","27","","","","6"
"NPD Combination","1997","Rural Area","Female","7","","","","6"
"Other","1997","Rural Area","Male","12","","","","8"
"Other","1997","Urban Area","Male","18","","","","8"
"Other","1997","Urban Area","Female","14","","","","8"
"Other","1997","Rural Area","Female","4","","","","8"
"PDS/Linke","1997","Rural Area","Male","69","0.0537421738284696","0.0384921400772135","0.0689922075797257","5"
"PDS/Linke","1997","Urban Area","Female","49","0.0199995054138495","0.0132789824963884","0.0267200283313106","5"
"PDS/Linke","1997","Urban Area","Male","53","0.0194668192054095","0.0131847331513058","0.0257489052595132","5"
"PDS/Linke","1997","Rural Area","Female","70","0.0587401730209224","0.041480772841526","0.0759995732003189","5"
"SPD","1997","Urban Area","Female","712","0.414398350596316","0.390750566816566","0.438046134376066","2"
"SPD","1997","Rural Area","Male","306","0.376616283598823","0.343849355994257","0.409383211203388","2"
"SPD","1997","Urban Area","Male","865","0.462156426540689","0.439486624575218","0.484826228506159","2"
"SPD","1997","Rural Area","Female","260","0.368652624618547","0.333240973169363","0.404064276067732","2"
"AfD","1998","Rural Area","Male","","","","","7"
"AfD","1998","Urban Area","Male","","","","","7"
"AfD","1998","Urban Area","Female","","","","","7"
"AfD","1998","Rural Area","Female","","","","","7"
"CDU/CSU","1998","Rural Area","Female","310","0.414753708899325","0.380719581119358","0.448787836679292","1"
"CDU/CSU","1998","Rural Area","Male","388","0.406870576217114","0.375987693295707","0.437753459138521","1"
"CDU/CSU","1998","Urban Area","Female","633","0.358637042032655","0.337150989510033","0.380123094555277","1"
"CDU/CSU","1998","Urban Area","Male","704","0.345968380156626","0.325898723280777","0.366038037032476","1"
"FDP","1998","Rural Area","Female","14","","","","3"
"FDP","1998","Rural Area","Male","18","","","","3"
"FDP","1998","Urban Area","Male","59","0.031219288148988","0.0238818135514491","0.0385567627465268","3"
"FDP","1998","Urban Area","Female","49","0.0349335307981784","0.0267077529019521","0.0431593086944047","3"
"NPD Combination","1998","Urban Area","Male","48","0.0234348460948008","0.0170521519247612","0.0298175402648405","6"
"NPD Combination","1998","Urban Area","Female","18","","","","6"
"NPD Combination","1998","Rural Area","Male","24","","","","6"
"NPD Combination","1998","Rural Area","Female","7","","","","6"
"Other","1998","Rural Area","Female","15","","","","8"
"Other","1998","Rural Area","Male","26","","","","8"
"Other","1998","Urban Area","Male","24","","","","8"
"Other","1998","Urban Area","Female","15","","","","8"
"PDS/Linke","1998","Rural Area","Male","80","0.0607820174693741","0.045761471677708","0.0758025632610402","5"
"PDS/Linke","1998","Urban Area","Female","53","0.0175667885432401","0.0116814042098456","0.0234521728766346","5"
