"party","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"SPD","1984","1-pers.-HH","(2a) intermediate vocational","45","0.31950317464349","0.238407653107214","0.400598696179766"
"SPD","1984","1-pers.-HH","(2c_gen) general maturity certificate","7","","",""
"SPD","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","18","","",""
"SPD","1984","1-pers.-HH","(3a) lower tertiary education","7","","",""
"SPD","1984","1-pers.-HH","(3b) higher tertiary education","17","","",""
"SPD","1984","(Married) couple without C. ","(0) in school","","","",""
"SPD","1984","(Married) couple without C. ","(1a) inadequately completed","36","0.639056699272648","0.498733000763547","0.77938039778175"
"SPD","1984","(Married) couple without C. ","(1b) general elementary school","227","0.57560569140494","0.525976989205744","0.625234393604136"
"SPD","1984","(Married) couple without C. ","(1c) basic vocational qualification","373","0.542450476842287","0.504922698233738","0.579978255450836"
"SPD","1984","(Married) couple without C. ","(2b) intermediate general qualification","10","","",""
"SPD","1984","(Married) couple without C. ","(2a) intermediate vocational","71","0.318800473482356","0.256217681121703","0.38138326584301"
"SPD","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
"SPD","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","31","0.316567448051367","0.221000360101813","0.41213453600092"
"SPD","1984","(Married) couple without C. ","(3a) lower tertiary education","12","","",""
"SPD","1984","(Married) couple without C. ","(3b) higher tertiary education","21","","",""
"SPD","1984","Single parent ","(0) in school","2","","",""
"SPD","1984","Single parent ","(1a) inadequately completed","11","","",""
"SPD","1984","Single parent ","(1b) general elementary school","48","0.621527364466355","0.511022956899261","0.732031772033449"
"SPD","1984","Single parent ","(1c) basic vocational qualification","57","0.478500142720553","0.385148947840507","0.571851337600599"
"SPD","1984","Single parent ","(2b) intermediate general qualification","7","","",""
"SPD","1984","Single parent ","(2a) intermediate vocational","11","","",""
"SPD","1984","Single parent ","(2c_gen) general maturity certificate","6","","",""
"SPD","1984","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"SPD","1984","Single parent ","(3a) lower tertiary education","1","","",""
"SPD","1984","Single parent ","(3b) higher tertiary education","4","","",""
"SPD","1984","Couple + C. LE 16 ","(0) in school","1","","",""
"SPD","1984","Couple + C. LE 16 ","(1a) inadequately completed","94","0.951636180827541","0.910002599345547","0.993269762309536"
"SPD","1984","Couple + C. LE 16 ","(1b) general elementary school","159","0.546144589033864","0.486201691735448","0.60608748633228"
"SPD","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","377","0.542381975752108","0.504630040682218","0.580133910821998"
"SPD","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","14","","",""
"SPD","1984","Couple + C. LE 16 ","(2a) intermediate vocational","116","0.449224131126123","0.388052477108425","0.51039578514382"
"SPD","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","18","","",""
"SPD","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","36","0.354252318762666","0.241399782440496","0.467104855084836"
"SPD","1984","Couple + C. LE 16 ","(3a) lower tertiary education","22","","",""
"SPD","1984","Couple + C. LE 16 ","(3b) higher tertiary education","48","0.371177329327853","0.285449270021582","0.456905388634124"
"SPD","1984","Couple + C. GT 16 ","(0) in school","16","","",""
"SPD","1984","Couple + C. GT 16 ","(1a) inadequately completed","39","0.573662144911033","0.437934583234397","0.709389706587669"
"SPD","1984","Couple + C. GT 16 ","(1b) general elementary school","112","0.48636121801402","0.421198041929663","0.551524394098377"
"SPD","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","205","0.507094835619859","0.457412778661073","0.556776892578646"
"SPD","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","24","","",""
"SPD","1984","Couple + C. GT 16 ","(2a) intermediate vocational","47","0.372339190273692","0.285481856936695","0.459196523610688"
"SPD","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","20","","",""
"SPD","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","15","","",""
"SPD","1984","Couple + C. GT 16 ","(3a) lower tertiary education","10","","",""
"SPD","1984","Couple + C. GT 16 ","(3b) higher tertiary education","14","","",""
"SPD","1984","Couple + C. LE and GT 16","(0) in school","11","","",""
"SPD","1984","Couple + C. LE and GT 16","(1a) inadequately completed","36","0.616727525498171","0.477732376502805","0.755722674493537"
"SPD","1984","Couple + C. LE and GT 16","(1b) general elementary school","95","0.405229637346307","0.333905314483222","0.476553960209393"
"SPD","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","129","0.40712426315599","0.349267579273688","0.464980947038293"
"SPD","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","12","","",""
"SPD","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","23","","",""
"SPD","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"SPD","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","6","","",""
"SPD","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","3","","",""
"SPD","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","12","","",""
"FDP","1984","1-pers.-HH","(0) in school","","","",""
"FDP","1984","1-pers.-HH","(1a) inadequately completed","","","",""
"FDP","1984","1-pers.-HH","(1b) general elementary school","5","","",""
"FDP","1984","1-pers.-HH","(1c) basic vocational qualification","7","","",""
"FDP","1984","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"FDP","1984","1-pers.-HH","(2a) intermediate vocational","8","","",""
"FDP","1984","1-pers.-HH","(2c_gen) general maturity certificate","1","","",""
"FDP","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"FDP","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"FDP","1984","1-pers.-HH","(3b) higher tertiary education","3","","",""
"FDP","1984","(Married) couple without C. ","(0) in school","","","",""
"FDP","1984","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"FDP","1984","(Married) couple without C. ","(1b) general elementary school","7","","",""
"FDP","1984","(Married) couple without C. ","(1c) basic vocational qualification","12","","",""
"FDP","1984","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"FDP","1984","(Married) couple without C. ","(2a) intermediate vocational","9","","",""
"FDP","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"FDP","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","7","","",""
"FDP","1984","(Married) couple without C. ","(3a) lower tertiary education","1","","",""
"FDP","1984","(Married) couple without C. ","(3b) higher tertiary education","8","","",""
"FDP","1984","Single parent ","(0) in school","","","",""
"FDP","1984","Single parent ","(1a) inadequately completed","","","",""
"FDP","1984","Single parent ","(1b) general elementary school","","","",""
"FDP","1984","Single parent ","(1c) basic vocational qualification","4","","",""
"FDP","1984","Single parent ","(2b) intermediate general qualification","","","",""
"FDP","1984","Single parent ","(2a) intermediate vocational","2","","",""
"FDP","1984","Single parent ","(2c_gen) general maturity certificate","1","","",""
"FDP","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"FDP","1984","Single parent ","(3a) lower tertiary education","1","","",""
"FDP","1984","Single parent ","(3b) higher tertiary education","","","",""
"FDP","1984","Couple + C. LE 16 ","(0) in school","","","",""
"FDP","1984","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"FDP","1984","Couple + C. LE 16 ","(1b) general elementary school","5","","",""
"FDP","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","14","","",""
"FDP","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"FDP","1984","Couple + C. LE 16 ","(2a) intermediate vocational","7","","",""
"FDP","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"FDP","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","2","","",""
"FDP","1984","Couple + C. LE 16 ","(3a) lower tertiary education","7","","",""
"FDP","1984","Couple + C. LE 16 ","(3b) higher tertiary education","15","","",""
"FDP","1984","Couple + C. GT 16 ","(0) in school","","","",""
"FDP","1984","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"FDP","1984","Couple + C. GT 16 ","(1b) general elementary school","5","","",""
"FDP","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","7","","",""
"FDP","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","1","","",""
"FDP","1984","Couple + C. GT 16 ","(2a) intermediate vocational","1","","",""
"FDP","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"FDP","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","4","","",""
"FDP","1984","Couple + C. GT 16 ","(3a) lower tertiary education","2","","",""
"FDP","1984","Couple + C. GT 16 ","(3b) higher tertiary education","1","","",""
"FDP","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"FDP","1984","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"FDP","1984","Couple + C. LE and GT 16","(1b) general elementary school","5","","",""
"FDP","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","4","","",""
"FDP","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"FDP","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","5","","",""
"FDP","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"FDP","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","1","","",""
"FDP","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","2","","",""
"FDP","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"Grüne","1984","1-pers.-HH","(0) in school","","","",""
"Grüne","1984","1-pers.-HH","(1a) inadequately completed","1","","",""
"Grüne","1984","1-pers.-HH","(1b) general elementary school","4","","",""
"Grüne","1984","1-pers.-HH","(1c) basic vocational qualification","4","","",""
"Grüne","1984","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"Grüne","1984","1-pers.-HH","(2a) intermediate vocational","10","","",""
"Grüne","1984","1-pers.-HH","(2c_gen) general maturity certificate","12","","",""
"Grüne","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","10","","",""
"Grüne","1984","1-pers.-HH","(3a) lower tertiary education","3","","",""
"Grüne","1984","1-pers.-HH","(3b) higher tertiary education","8","","",""
"Grüne","1984","(Married) couple without C. ","(0) in school","","","",""
"Grüne","1984","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Grüne","1984","(Married) couple without C. ","(1b) general elementary school","3","","",""
"Grüne","1984","(Married) couple without C. ","(1c) basic vocational qualification","15","","",""
"Grüne","1984","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Grüne","1984","(Married) couple without C. ","(2a) intermediate vocational","13","","",""
"Grüne","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","14","","",""
"Grüne","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","11","","",""
"Grüne","1984","(Married) couple without C. ","(3a) lower tertiary education","6","","",""
"Grüne","1984","(Married) couple without C. ","(3b) higher tertiary education","15","","",""
"Grüne","1984","Single parent ","(0) in school","2","","",""
"Grüne","1984","Single parent ","(1a) inadequately completed","","","",""
"Grüne","1984","Single parent ","(1b) general elementary school","1","","",""
"Grüne","1984","Single parent ","(1c) basic vocational qualification","7","","",""
"Grüne","1984","Single parent ","(2b) intermediate general qualification","6","","",""
"Grüne","1984","Single parent ","(2a) intermediate vocational","2","","",""
"Grüne","1984","Single parent ","(2c_gen) general maturity certificate","7","","",""
"Grüne","1984","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Grüne","1984","Single parent ","(3a) lower tertiary education","","","",""
"Grüne","1984","Single parent ","(3b) higher tertiary education","","","",""
"Grüne","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Grüne","1984","Couple + C. LE 16 ","(1a) inadequately completed","1","","",""
"Grüne","1984","Couple + C. LE 16 ","(1b) general elementary school","13","","",""
"Grüne","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","20","","",""
"Grüne","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Grüne","1984","Couple + C. LE 16 ","(2a) intermediate vocational","13","","",""
"Grüne","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","7","","",""
"Grüne","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","6","","",""
"Grüne","1984","Couple + C. LE 16 ","(3a) lower tertiary education","3","","",""
"Grüne","1984","Couple + C. LE 16 ","(3b) higher tertiary education","15","","",""
"Grüne","1984","Couple + C. GT 16 ","(0) in school","6","","",""
"Grüne","1984","Couple + C. GT 16 ","(1a) inadequately completed","5","","",""
"Grüne","1984","Couple + C. GT 16 ","(1b) general elementary school","7","","",""
"Grüne","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","5","","",""
"Grüne","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","19","","",""
"Grüne","1984","Couple + C. GT 16 ","(2a) intermediate vocational","11","","",""
"Grüne","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","13","","",""
"Grüne","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","5","","",""
"Grüne","1984","Couple + C. GT 16 ","(3a) lower tertiary education","3","","",""
"Grüne","1984","Couple + C. GT 16 ","(3b) higher tertiary education","3","","",""
"Grüne","1984","Couple + C. LE and GT 16","(0) in school","10","","",""
"Grüne","1984","Couple + C. LE and GT 16","(1a) inadequately completed","5","","",""
"Grüne","1984","Couple + C. LE and GT 16","(1b) general elementary school","16","","",""
"Grüne","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","9","","",""
"Grüne","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","15","","",""
"Grüne","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","5","","",""
"Grüne","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","9","","",""
"Grüne","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Grüne","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Grüne","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","2","","",""
"PDS/Linke","1984","1-pers.-HH","(0) in school","","","",""
"PDS/Linke","1984","1-pers.-HH","(1a) inadequately completed","","","",""
"PDS/Linke","1984","1-pers.-HH","(1b) general elementary school","","","",""
"PDS/Linke","1984","1-pers.-HH","(1c) basic vocational qualification","","","",""
"PDS/Linke","1984","1-pers.-HH","(2b) intermediate general qualification","","","",""
"PDS/Linke","1984","1-pers.-HH","(2a) intermediate vocational","","","",""
"PDS/Linke","1984","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"PDS/Linke","1984","1-pers.-HH","(3b) higher tertiary education","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(0) in school","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(1a) inadequately completed","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(1b) general elementary school","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"PDS/Linke","1984","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"PDS/Linke","1984","Single parent ","(0) in school","","","",""
"PDS/Linke","1984","Single parent ","(1a) inadequately completed","","","",""
"PDS/Linke","1984","Single parent ","(1b) general elementary school","","","",""
"PDS/Linke","1984","Single parent ","(1c) basic vocational qualification","","","",""
"PDS/Linke","1984","Single parent ","(2b) intermediate general qualification","","","",""
"PDS/Linke","1984","Single parent ","(2a) intermediate vocational","","","",""
"PDS/Linke","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1984","Single parent ","(3a) lower tertiary education","","","",""
"PDS/Linke","1984","Single parent ","(3b) higher tertiary education","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(0) in school","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"PDS/Linke","1984","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(0) in school","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"PDS/Linke","1984","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"PDS/Linke","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"NPD Combination","1984","1-pers.-HH","(0) in school","","","",""
"NPD Combination","1984","1-pers.-HH","(1a) inadequately completed","","","",""
"NPD Combination","1984","1-pers.-HH","(1b) general elementary school","","","",""
"NPD Combination","1984","1-pers.-HH","(1c) basic vocational qualification","","","",""
"NPD Combination","1984","1-pers.-HH","(2b) intermediate general qualification","","","",""
"NPD Combination","1984","1-pers.-HH","(2a) intermediate vocational","","","",""
"NPD Combination","1984","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"NPD Combination","1984","1-pers.-HH","(3b) higher tertiary education","","","",""
"NPD Combination","1984","(Married) couple without C. ","(0) in school","","","",""
"NPD Combination","1984","(Married) couple without C. ","(1a) inadequately completed","","","",""
"NPD Combination","1984","(Married) couple without C. ","(1b) general elementary school","","","",""
"NPD Combination","1984","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"NPD Combination","1984","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"NPD Combination","1984","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"NPD Combination","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1984","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"NPD Combination","1984","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"NPD Combination","1984","Single parent ","(0) in school","","","",""
"NPD Combination","1984","Single parent ","(1a) inadequately completed","","","",""
"NPD Combination","1984","Single parent ","(1b) general elementary school","","","",""
"NPD Combination","1984","Single parent ","(1c) basic vocational qualification","","","",""
"NPD Combination","1984","Single parent ","(2b) intermediate general qualification","","","",""
"NPD Combination","1984","Single parent ","(2a) intermediate vocational","","","",""
"NPD Combination","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"NPD Combination","1984","Single parent ","(3a) lower tertiary education","","","",""
"NPD Combination","1984","Single parent ","(3b) higher tertiary education","","","",""
"NPD Combination","1984","Couple + C. LE 16 ","(0) in school","","","",""
"NPD Combination","1984","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"NPD Combination","1984","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"NPD Combination","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"NPD Combination","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"NPD Combination","1984","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"NPD Combination","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"NPD Combination","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
