"party","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"AfD","1985","Baden-Württemberg","Urban Area","","","",""
"AfD","1985","Baden-Württemberg","Rural Area","","","",""
"AfD","1985","Bavaria","Urban Area","","","",""
"AfD","1985","Bavaria","Rural Area","","","",""
"AfD","1985","Berlin","Urban Area","","","",""
"AfD","1985","Berlin","Rural Area","","","",""
"AfD","1985","Brandenburg","Urban Area","","","",""
"AfD","1985","Brandenburg","Rural Area","","","",""
"AfD","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"AfD","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"AfD","1985","Saxony","Urban Area","","","",""
"AfD","1985","Saxony","Rural Area","","","",""
"AfD","1985","Saxony-Anhalt","Urban Area","","","",""
"AfD","1985","Saxony-Anhalt","Rural Area","","","",""
"AfD","1985","Thuringia","Urban Area","","","",""
"AfD","1985","Thuringia","Rural Area","","","",""
"Other","1985","Schleswig-Holstein","Urban Area","2","","",""
"Other","1985","Schleswig-Holstein","Rural Area","","","",""
"Other","1985","Hamburg","Urban Area","2","","",""
"Other","1985","Hamburg","Rural Area","","","",""
"Other","1985","Lower Saxony","Urban Area","4","","",""
"Other","1985","Lower Saxony","Rural Area","2","","",""
"Other","1985","Bremen","Urban Area","","","",""
"Other","1985","Bremen","Rural Area","","","",""
"Other","1985","North Rhine-Westphalia","Urban Area","4","","",""
"Other","1985","North Rhine-Westphalia","Rural Area","","","",""
"Other","1985","Hesse","Urban Area","3","","",""
"Other","1985","Hesse","Rural Area","","","",""
"Other","1985","Rhineland-Palatinate,Saarland","Urban Area","4","","",""
"Other","1985","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"Other","1985","Baden-Württemberg","Urban Area","5","","",""
"Other","1985","Baden-Württemberg","Rural Area","","","",""
"Other","1985","Bavaria","Urban Area","4","","",""
"Other","1985","Bavaria","Rural Area","4","","",""
"Other","1985","Berlin","Urban Area","","","",""
"Other","1985","Berlin","Rural Area","","","",""
"Other","1985","Brandenburg","Urban Area","","","",""
"Other","1985","Brandenburg","Rural Area","","","",""
"Other","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Other","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Other","1985","Saxony","Urban Area","","","",""
"Other","1985","Saxony","Rural Area","","","",""
"Other","1985","Saxony-Anhalt","Urban Area","","","",""
"Other","1985","Saxony-Anhalt","Rural Area","","","",""
"Other","1985","Thuringia","Urban Area","","","",""
"Other","1985","Thuringia","Rural Area","","","",""
"CDU/CSU","1986","Schleswig-Holstein","Urban Area","26","","",""
"CDU/CSU","1986","Schleswig-Holstein","Rural Area","45","0.399893292397264","0.309967977837268","0.48981860695726"
"CDU/CSU","1986","Hamburg","Urban Area","43","0.365223074222645","0.280131765148878","0.450314383296413"
"CDU/CSU","1986","Hamburg","Rural Area","","","",""
"CDU/CSU","1986","Lower Saxony","Urban Area","135","0.440866509320234","0.38777931665883","0.493953701981639"
"CDU/CSU","1986","Lower Saxony","Rural Area","113","0.407454180614985","0.352036929714133","0.462871431515837"
"CDU/CSU","1986","Bremen","Urban Area","23","","",""
"CDU/CSU","1986","Bremen","Rural Area","","","",""
"CDU/CSU","1986","North Rhine-Westphalia","Urban Area","586","0.415500465461398","0.391185568487845","0.439815362434951"
"CDU/CSU","1986","North Rhine-Westphalia","Rural Area","11","","",""
"CDU/CSU","1986","Hesse","Urban Area","124","0.36277603728356","0.314497850685676","0.411054223881445"
"CDU/CSU","1986","Hesse","Rural Area","25","","",""
"CDU/CSU","1986","Rhineland-Palatinate,Saarland","Urban Area","117","0.433630576775728","0.377645188853203","0.489615964698254"
"CDU/CSU","1986","Rhineland-Palatinate,Saarland","Rural Area","23","","",""
"CDU/CSU","1986","Baden-Württemberg","Urban Area","318","0.480997455832356","0.445911323649706","0.516083588015007"
"CDU/CSU","1986","Baden-Württemberg","Rural Area","78","0.606643017480446","0.525725210019769","0.687560824941124"
"CDU/CSU","1986","Bavaria","Urban Area","213","0.465232101760581","0.420703190833423","0.50976101268774"
"CDU/CSU","1986","Bavaria","Rural Area","267","0.672198484690016","0.626594254473799","0.717802714906233"
"CDU/CSU","1986","Berlin","Urban Area","57","0.342253254789157","0.272156985475056","0.412349524103259"
"CDU/CSU","1986","Berlin","Rural Area","","","",""
"CDU/CSU","1986","Brandenburg","Urban Area","","","",""
"CDU/CSU","1986","Brandenburg","Rural Area","","","",""
"CDU/CSU","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"CDU/CSU","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"CDU/CSU","1986","Saxony","Urban Area","","","",""
"CDU/CSU","1986","Saxony","Rural Area","","","",""
"CDU/CSU","1986","Saxony-Anhalt","Urban Area","","","",""
"CDU/CSU","1986","Saxony-Anhalt","Rural Area","","","",""
"CDU/CSU","1986","Thuringia","Urban Area","","","",""
"CDU/CSU","1986","Thuringia","Rural Area","","","",""
"SPD","1986","Schleswig-Holstein","Urban Area","69","0.615679339870139","0.523511298572794","0.707847381167483"
"SPD","1986","Schleswig-Holstein","Rural Area","58","0.511170206768957","0.419409391027209","0.602931022510705"
"SPD","1986","Hamburg","Urban Area","66","0.518013552539213","0.429708915494837","0.606318189583589"
"SPD","1986","Hamburg","Rural Area","2","","",""
"SPD","1986","Lower Saxony","Urban Area","160","0.450340651359528","0.397142586137733","0.503538716581324"
"SPD","1986","Lower Saxony","Rural Area","158","0.487885324260221","0.431510252504933","0.544260396015508"
"SPD","1986","Bremen","Urban Area","44","0.557127856997908","0.441587013007906","0.672668700987909"
"SPD","1986","Bremen","Rural Area","","","",""
"SPD","1986","North Rhine-Westphalia","Urban Area","835","0.493942846292503","0.469274915243857","0.518610777341149"
"SPD","1986","North Rhine-Westphalia","Rural Area","8","","",""
"SPD","1986","Hesse","Urban Area","187","0.460029151318066","0.409983835200474","0.510074467435657"
"SPD","1986","Hesse","Rural Area","46","0.559037271166664","0.449551957027762","0.668522585305567"
"SPD","1986","Rhineland-Palatinate,Saarland","Urban Area","156","0.474522245973689","0.418110401567525","0.530934090379853"
"SPD","1986","Rhineland-Palatinate,Saarland","Rural Area","51","0.616915674593677","0.51038781742218","0.723443531765174"
