"party","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"PDS/Linke","1985","Full Time","","","","","5"
"PDS/Linke","1985","Part Time","","","","","5"
"PDS/Linke","1985","Not Working","","","","","5"
"SPD","1985","Full Time","1393","0.475100756906996","0.456051547237081","0.494149966576911","2"
"SPD","1985","Part Time","471","0.463663026184255","0.432457343456914","0.494868708911597","2"
"SPD","1985","Not Working","944","0.416317672510149","0.395500298877839","0.437135046142459","2"
"AfD","1986","Full Time","","","","","7"
"AfD","1986","Part Time","","","","","7"
"AfD","1986","Not Working","","","","","7"
"CDU/CSU","1986","Full Time","969","0.427051711846182","0.40773122015057","0.446372203541794","1"
"CDU/CSU","1986","Not Working","877","0.46936137550215","0.447603422341224","0.491119328663076","1"
"CDU/CSU","1986","Part Time","358","0.405789871194314","0.374398897230709","0.437180845157919","1"
"FDP","1986","Full Time","88","0.0379782639777004","0.0305123973916817","0.045444130563719","3"
"FDP","1986","Part Time","18","","","","3"
"FDP","1986","Not Working","64","0.0361855524948702","0.0280435870609552","0.0443275179287851","3"
"NPD Combination","1986","Part Time","","","","","6"
"NPD Combination","1986","Full Time","","","","","6"
"NPD Combination","1986","Not Working","","","","","6"
"Other","1986","Full Time","14","","","","8"
"Other","1986","Part Time","5","","","","8"
"Other","1986","Not Working","10","","","","8"
"PDS/Linke","1986","Full Time","","","","","5"
"PDS/Linke","1986","Part Time","","","","","5"
"PDS/Linke","1986","Not Working","","","","","5"
"SPD","1986","Full Time","1302","0.473473446441554","0.453971490044157","0.492975402838952","2"
"SPD","1986","Part Time","451","0.454465632004121","0.42263496456241","0.486296299445832","2"
"SPD","1986","Not Working","938","0.438602868849484","0.416968921782521","0.460236815916446","2"
"AfD","1987","Full Time","","","","","7"
"AfD","1987","Part Time","","","","","7"
"AfD","1987","Not Working","","","","","7"
"CDU/CSU","1987","Part Time","418","0.432453787312058","0.402300880867116","0.462606693757","1"
"CDU/CSU","1987","Full Time","1088","0.443838657145802","0.425119031602166","0.462558282689437","1"
"CDU/CSU","1987","Not Working","913","0.471714404368321","0.450261288556496","0.493167520180145","1"
"FDP","1987","Full Time","138","0.057892961722098","0.049093680393893","0.066692243050303","3"
"FDP","1987","Part Time","39","0.04206044630374","0.0298434426412461","0.0542774499662339","3"
"FDP","1987","Not Working","101","0.0548028043021864","0.0450218996135141","0.0645837089908587","3"
"NPD Combination","1987","Full Time","","","","","6"
"NPD Combination","1987","Not Working","","","","","6"
"NPD Combination","1987","Part Time","","","","","6"
"Other","1987","Full Time","14","","","","8"
"Other","1987","Part Time","9","","","","8"
"Other","1987","Not Working","14","","","","8"
"PDS/Linke","1987","Part Time","","","","","5"
"PDS/Linke","1987","Full Time","","","","","5"
"PDS/Linke","1987","Not Working","","","","","5"
"SPD","1987","Full Time","1274","0.428642387991714","0.409996384482364","0.447288391501065","2"
"SPD","1987","Part Time","442","0.399631134000536","0.369818698845798","0.429443569155273","2"
"SPD","1987","Not Working","902","0.412968888546088","0.391809376406208","0.434128400685968","2"
"AfD","1988","Full Time","","","","","7"
"AfD","1988","Part Time","","","","","7"
"AfD","1988","Not Working","","","","","7"
"CDU/CSU","1988","Full Time","892","0.406113130532168","0.386514089746826","0.42571217131751","1"
"CDU/CSU","1988","Part Time","330","0.383092375671613","0.351965171181757","0.41421958016147","1"
"CDU/CSU","1988","Not Working","792","0.449004368557408","0.426436443428905","0.47157229368591","1"
"FDP","1988","Full Time","105","0.0467680915223403","0.0383418568726465","0.055194326172034","3"
"FDP","1988","Part Time","33","0.0379283517319291","0.0256972947720182","0.05015940869184","3"
"FDP","1988","Not Working","76","0.047610627223916","0.0379489729457352","0.0572722815020967","3"
"NPD Combination","1988","Full Time","","","","","6"
"NPD Combination","1988","Part Time","","","","","6"
"NPD Combination","1988","Not Working","","","","","6"
"Other","1988","Full Time","23","","","","8"
"Other","1988","Part Time","7","","","","8"
"Other","1988","Not Working","18","","","","8"
"PDS/Linke","1988","Full Time","","","","","5"
"PDS/Linke","1988","Part Time","","","","","5"
"PDS/Linke","1988","Not Working","","","","","5"
"SPD","1988","Full Time","1245","0.478409469094049","0.458474104994185","0.498344833193914","2"
"SPD","1988","Part Time","477","0.485212522011642","0.453211910103243","0.517213133920042","2"
"SPD","1988","Not Working","878","0.446041172558348","0.423487436722205","0.46859490839449","2"
"AfD","1989","Full Time","","","","","7"
"AfD","1989","Part Time","","","","","7"
"AfD","1989","Not Working","","","","","7"
"CDU/CSU","1989","Part Time","276","0.366061060270263","0.333752348876135","0.398369771664391","1"
"CDU/CSU","1989","Full Time","774","0.370022651680124","0.350605169885977","0.389440133474271","1"
"CDU/CSU","1989","Not Working","680","0.418118162285715","0.395119809393504","0.441116515177925","1"
"FDP","1989","Full Time","71","0.0315711544618179","0.0245388870997978","0.038603421823838","3"
"FDP","1989","Part Time","23","","","","3"
"FDP","1989","Not Working","45","0.0310955291606967","0.0230023478106513","0.0391887105107421","3"
"NPD Combination","1989","Full Time","","","","","6"
"NPD Combination","1989","Not Working","","","","","6"
"NPD Combination","1989","Part Time","","","","","6"
"Other","1989","Full Time","96","0.0466774751055937","0.0381936855066434","0.0551612647045441","8"
"Other","1989","Part Time","23","","","","8"
"Other","1989","Not Working","67","0.0403702112946437","0.0311929692122522","0.0495474533770353","8"
"PDS/Linke","1989","Part Time","","","","","5"
"PDS/Linke","1989","Full Time","","","","","5"
"PDS/Linke","1989","Not Working","","","","","5"
"SPD","1989","Full Time","1281","0.491382423986319","0.471276604683222","0.511488243289416","2"
"SPD","1989","Part Time","444","0.475281535945503","0.441788246667562","0.508774825223444","2"
"SPD","1989","Not Working","858","0.458517571481423","0.43528485502861","0.481750287934237","2"
"AfD","1990","Full Time","","","","","7"
"AfD","1990","Part Time","","","","","7"
"AfD","1990","Not Working","","","","","7"
"CDU/CSU","1990","Full Time","799","0.385433857928308","0.365831131089288","0.405036584767329","1"
"CDU/CSU","1990","Part Time","290","0.342143921210106","0.311353152456073","0.372934689964138","1"
"CDU/CSU","1990","Not Working","737","0.439633902559336","0.416755252688887","0.462512552429785","1"
"FDP","1990","Full Time","87","0.0366855073963861","0.0291138918526011","0.0442571229401711","3"
"FDP","1990","Not Working","74","0.0471517871530166","0.0373814439633965","0.0569221303426367","3"
"FDP","1990","Part Time","36","0.0468175023817375","0.0331073329434162","0.0605276718200589","3"
"NPD Combination","1990","Full Time","42","0.0173691326315573","0.0121072457322933","0.0226310195308213","6"
"NPD Combination","1990","Part Time","12","","","","6"
"NPD Combination","1990","Not Working","19","","","","6"
"Other","1990","Full Time","14","","","","8"
"Other","1990","Part Time","4","","","","8"
"Other","1990","Not Working","11","","","","8"
"PDS/Linke","1990","Full Time","","","","","5"
"PDS/Linke","1990","Part Time","","","","","5"
"PDS/Linke","1990","Not Working","","","","","5"
"SPD","1990","Part Time","485","0.502651756903755","0.470201766825448","0.535101746982063","2"
"SPD","1990","Full Time","1290","0.502930245129199","0.48279208507581","0.523068405182587","2"
"SPD","1990","Not Working","889","0.460394258899297","0.43741943937838","0.483369078420215","2"
"AfD","1991","Full Time","","","","","7"
"AfD","1991","Part Time","","","","","7"
"AfD","1991","Not Working","","","","","7"
"CDU/CSU","1991","Full Time","736","0.40828747560732","0.385637527180777","0.430937424033863","1"
"CDU/CSU","1991","Part Time","310","0.387182149176475","0.353760615258162","0.420603683094789","1"
"CDU/CSU","1991","Not Working","730","0.475842928246086","0.450867380729907","0.500818475762265","1"
"FDP","1991","Full Time","92","0.0533015017735276","0.0429499758417626","0.0636530277052927","3"
"FDP","1991","Part Time","41","0.0504788269424143","0.0354574423567226","0.0655002115281061","3"
"FDP","1991","Not Working","72","0.0567392992176614","0.0451699125186167","0.0683086859167061","3"
"NPD Combination","1991","Full Time","25","","","","6"
"NPD Combination","1991","Part Time","10","","","","6"
"NPD Combination","1991","Not Working","10","","","","6"
"Other","1991","Full Time","8","","","","8"
"Other","1991","Part Time","6","","","","8"
"Other","1991","Not Working","5","","","","8"
"PDS/Linke","1991","Part Time","1","","","","5"
"PDS/Linke","1991","Full Time","","","","","5"
"PDS/Linke","1991","Not Working","3","","","","5"
"SPD","1991","Part Time","390","0.465706478171053","0.431481033017931","0.499931923324176","2"
"SPD","1991","Full Time","851","0.46698458224548","0.44399400029789","0.48997516419307","2"
"SPD","1991","Not Working","650","0.417597860821485","0.392935020190672","0.442260701452298","2"
"AfD","1992","Full Time","","","","","7"
"AfD","1992","Part Time","","","","","7"
"AfD","1992","Not Working","","","","","7"
"CDU/CSU","1992","Full Time","967","0.391785776423502","0.373307889601298","0.410263663245707","1"
"CDU/CSU","1992","Part Time","349","0.373358468522657","0.343630844116799","0.403086092928516","1"
"CDU/CSU","1992","Not Working","788","0.454768473397806","0.432102264817458","0.477434681978154","1"
"FDP","1992","Full Time","124","0.0501218833436632","0.0418625058495829","0.0583812608377435","3"
"FDP","1992","Not Working","69","0.0401266002642467","0.0311932083505001","0.0490599921779932","3"
"FDP","1992","Part Time","55","0.059205606794689","0.0447006515513855","0.0737105620379925","3"
"NPD Combination","1992","Full Time","","","","","6"
"NPD Combination","1992","Part Time","","","","","6"
"NPD Combination","1992","Not Working","","","","","6"
"Other","1992","Full Time","67","0.0214865359926615","0.0159978764895797","0.0269751954957434","8"
"Other","1992","Part Time","22","","","","8"
"Other","1992","Not Working","30","0.0169809947335837","0.0110999328818157","0.0228620565853518","8"
"PDS/Linke","1992","Full Time","48","0.0114577688227596","0.00742923211312129","0.015486305532398","5"
"PDS/Linke","1992","Part Time","24","","","","5"
"PDS/Linke","1992","Not Working","54","0.0203908169483116","0.0139574701554733","0.0268241637411499","5"
"SPD","1992","Part Time","464","0.431601783198111","0.401161016745626","0.462042549650596","2"
"SPD","1992","Full Time","1280","0.4597855362821","0.440920378554494","0.478650694009706","2"
"SPD","1992","Not Working","808","0.42425291809369","0.401756078178823","0.446749758008556","2"
"AfD","1993","Full Time","","","","","7"
"AfD","1993","Part Time","","","","","7"
"AfD","1993","Not Working","","","","","7"
"CDU/CSU","1993","Full Time","735","0.358495118262326","0.338968516008995","0.378021720515656","1"
"CDU/CSU","1993","Part Time","293","0.341968921369386","0.310715830275567","0.373222012463206","1"
"CDU/CSU","1993","Not Working","687","0.432187435998258","0.408673546817749","0.455701325178767","1"
"FDP","1993","Full Time","107","0.0518010948198521","0.0427769871532692","0.060825202486435","3"
"FDP","1993","Not Working","63","0.0474433419698563","0.0373526965705659","0.0575339873691468","3"
"FDP","1993","Part Time","33","0.0448762065442775","0.0312362069684679","0.058516206120087","3"
"NPD Combination","1993","Full Time","71","0.0320789669155593","0.0249040772891329","0.0392538565419856","6"
"NPD Combination","1993","Part Time","28","","","","6"
"NPD Combination","1993","Not Working","40","0.0259679108177294","0.0184188827996786","0.0335169388357802","6"
"Other","1993","Full Time","18","","","","8"
"Other","1993","Part Time","13","","","","8"
"Other","1993","Not Working","14","","","","8"
"PDS/Linke","1993","Part Time","18","","","","5"
"PDS/Linke","1993","Full Time","58","0.0163005561328105","0.0111445016488897","0.0214566106167314","5"
"PDS/Linke","1993","Not Working","67","0.0295173846681148","0.0214836271949107","0.0375511421413189","5"
"SPD","1993","Part Time","379","0.408561462704766","0.376175264826213","0.440947660583318","2"
"SPD","1993","Full Time","1110","0.447472983177006","0.427226702976304","0.467719263377708","2"
"SPD","1993","Not Working","735","0.407606339025283","0.384281880770708","0.430930797279858","2"
"AfD","1994","Part Time","","","","","7"
"AfD","1994","Full Time","","","","","7"
"AfD","1994","Not Working","","","","","7"
"CDU/CSU","1994","Full Time","740","0.35252412338869","0.33318327573014","0.371864971047241","1"
"CDU/CSU","1994","Part Time","282","0.344942819591821","0.314007286256436","0.375878352927207","1"
"CDU/CSU","1994","Not Working","740","0.419315599714325","0.396914686349609","0.441716513079042","1"
"FDP","1994","Full Time","74","0.0376240611975403","0.0299208021700265","0.0453273202250542","3"
"FDP","1994","Part Time","32","0.0392512776624843","0.0266133386782608","0.0518892166467079","3"
"FDP","1994","Not Working","45","0.0315223042135419","0.023590373231196","0.0394542351958878","3"
"NPD Combination","1994","Full Time","56","0.0201832922042911","0.0144903377199011","0.0258762466886811","6"
"NPD Combination","1994","Part Time","16","","","","6"
"NPD Combination","1994","Not Working","21","","","","6"
"Other","1994","Full Time","34","0.0116232448527822","0.0072841989736942","0.0159622907318703","8"
"Other","1994","Part Time","10","","","","8"
"Other","1994","Not Working","21","","","","8"
"PDS/Linke","1994","Full Time","84","0.0206283925869181","0.0148743147015401","0.0263824704722962","5"
"PDS/Linke","1994","Part Time","35","0.0290887419790947","0.0181517804205817","0.0400257035376076","5"
"PDS/Linke","1994","Not Working","91","0.035067495228826","0.0267167356869997","0.0434182547706523","5"
"SPD","1994","Part Time","419","0.435972007705594","0.403700141571009","0.468243873840179","2"
"SPD","1994","Full Time","1172","0.476602326102345","0.456383159058831","0.496821493145859","2"
"SPD","1994","Not Working","824","0.438376390702747","0.415851048708954","0.46090173269654","2"
"AfD","1995","Full Time","","","","","7"
"AfD","1995","Part Time","","","","","7"
"AfD","1995","Not Working","","","","","7"
"CDU/CSU","1995","Full Time","972","0.389010389574018","0.370158123882073","0.407862655265963","1"
"CDU/CSU","1995","Part Time","406","0.37167020336309","0.343355908656973","0.399984498069206","1"
"CDU/CSU","1995","Not Working","877","0.430659226205599","0.409796431510598","0.4515220209006","1"
"FDP","1995","Full Time","72","0.0269697611099258","0.0207055302134399","0.0332339920064118","3"
"FDP","1995","Not Working","50","0.0311051216661404","0.0237908052300694","0.0384194381022114","3"
"FDP","1995","Part Time","24","","","","3"
"NPD Combination","1995","Full Time","34","0.0132083618564588","0.00879364099843157","0.0176230827144861","6"
"NPD Combination","1995","Part Time","12","","","","6"
"NPD Combination","1995","Not Working","10","","","","6"
"Other","1995","Full Time","20","","","","8"
"Other","1995","Part Time","12","","","","8"
"Other","1995","Not Working","19","","","","8"
"PDS/Linke","1995","Full Time","110","0.0287371103849668","0.0222767613158665","0.0351974594540671","5"
"PDS/Linke","1995","Part Time","42","0.020717192929919","0.0123716889633942","0.0290626968964438","5"
"PDS/Linke","1995","Not Working","116","0.0406036026419471","0.0322878648106242","0.04891934047327","5"
"SPD","1995","Part Time","465","0.399737287245415","0.371036681593581","0.428437892897249","2"
"SPD","1995","Full Time","1121","0.438283502049587","0.419096717879773","0.457470286219401","2"
"SPD","1995","Not Working","918","0.420739820766391","0.399939831600159","0.441539809932624","2"
"AfD","1996","Full Time","","","","","7"
"AfD","1996","Part Time","","","","","7"
"AfD","1996","Not Working","","","","","7"
"CDU/CSU","1996","Full Time","979","0.422640945515231","0.403024594498792","0.44225729653167","1"
"CDU/CSU","1996","Part Time","384","0.364370519508228","0.33557520265327","0.393165836363187","1"
"CDU/CSU","1996","Not Working","853","0.463533583663252","0.441383417551096","0.485683749775407","1"
"FDP","1996","Full Time","53","0.0283078598556748","0.0217217751443875","0.0348939445669622","3"
"FDP","1996","Part Time","18","","","","3"
"FDP","1996","Not Working","46","0.0277250617136063","0.0204322345402068","0.0350178888870058","3"
"NPD Combination","1996","Full Time","48","0.0234379649970994","0.0174301117180512","0.0294458182761475","6"
"NPD Combination","1996","Part Time","14","","","","6"
"NPD Combination","1996","Not Working","14","","","","6"
"Other","1996","Full Time","23","","","","8"
"Other","1996","Part Time","10","","","","8"
"Other","1996","Not Working","16","","","","8"
"PDS/Linke","1996","Part Time","52","0.0270951744841228","0.0173804746826927","0.036809874285553","5"
"PDS/Linke","1996","Full Time","115","0.0328109333214872","0.0257367806160837","0.0398850860268908","5"
"PDS/Linke","1996","Not Working","113","0.0396075220325019","0.03094432231705","0.0482707217479538","5"
"SPD","1996","Part Time","437","0.401289252756899","0.371961045180891","0.430617460332906","2"
"SPD","1996","Full Time","961","0.377545601588235","0.358294839506313","0.396796363670157","2"
"SPD","1996","Not Working","744","0.382750801077209","0.361160761576677","0.404340840577741","2"
"AfD","1997","Full Time","","","","","7"
"AfD","1997","Part Time","","","","","7"
"AfD","1997","Not Working","","","","","7"
"CDU/CSU","1997","Full Time","802","0.379252808369665","0.35895946015357","0.39954615658576","1"
"CDU/CSU","1997","Part Time","336","0.361666263955053","0.331192625972647","0.392139901937459","1"
"CDU/CSU","1997","Not Working","811","0.442831585490569","0.420653718580589","0.465009452400549","1"
"FDP","1997","Full Time","55","0.027606031532976","0.0207534369095599","0.0344586261563921","3"
"FDP","1997","Not Working","35","0.0228542117753387","0.0161819966616561","0.0295264268890214","3"
"FDP","1997","Part Time","18","","","","3"
"NPD Combination","1997","Full Time","53","0.0228901710069437","0.0166351592155893","0.0291451827982981","6"
"NPD Combination","1997","Part Time","16","","","","6"
"NPD Combination","1997","Not Working","30","0.0133664310858387","0.00823908173113734","0.0184937804405401","6"
"Other","1997","Full Time","15","","","","8"
"Other","1997","Part Time","13","","","","8"
"Other","1997","Not Working","20","","","","8"
"PDS/Linke","1997","Full Time","91","0.0240689998186198","0.0176588157321043","0.0304791839051353","5"
"PDS/Linke","1997","Part Time","33","0.0199080775537762","0.0110488782478871","0.0287672768596653","5"
"PDS/Linke","1997","Not Working","117","0.0387627075509871","0.0301442491101907","0.0473811659917835","5"
"SPD","1997","Part Time","406","0.405627212695743","0.374485721436703","0.436768703954783","2"
"SPD","1997","Full Time","950","0.429476202166746","0.408772960224654","0.450179444108838","2"
"SPD","1997","Not Working","787","0.419117269494985","0.397087028688614","0.441147510301355","2"
"AfD","1998","Full Time","","","","","7"
"AfD","1998","Part Time","","","","","7"
"AfD","1998","Not Working","","","","","7"
"CDU/CSU","1998","Full Time","802","0.338099510197648","0.319325337309212","0.356873683086083","1"
"CDU/CSU","1998","Part Time","336","0.307970592674905","0.280933749681327","0.335007435668482","1"
"CDU/CSU","1998","Not Working","897","0.416067746158337","0.395879731694421","0.436255760622253","1"
"FDP","1998","Full Time","63","0.0313122983584086","0.0244004920843726","0.0382241046324446","3"
"FDP","1998","Part Time","33","0.0379235060910619","0.0267369057507883","0.0491101064313355","3"
"FDP","1998","Not Working","44","0.0243940402218692","0.0180756064169226","0.0307124740268158","3"
"NPD Combination","1998","Full Time","44","0.0153687840330117","0.0104867731315836","0.0202507949344398","6"
"NPD Combination","1998","Part Time","23","","","","6"
"NPD Combination","1998","Not Working","30","0.0164836838591851","0.0112687563877661","0.021698611330604","6"
"Other","1998","Full Time","41","0.0192492986876801","0.0137963807710648","0.0247022166042954","8"
"Other","1998","Part Time","15","","","","8"
"Other","1998","Not Working","24","","","","8"
"PDS/Linke","1998","Full Time","100","0.0262322915016997","0.019889389668434","0.0325751933349654","5"
"PDS/Linke","1998","Part Time","43","0.0267894015850771","0.0173330415067776","0.0362457616633766","5"
"PDS/Linke","1998","Not Working","127","0.0362333923119333","0.0285797037644041","0.0438870808594625","5"
"SPD","1998","Part Time","506","0.432078028865704","0.403066908130446","0.461089149600962","2"
"SPD","1998","Full Time","1126","0.452059781333732","0.432307979691969","0.471811582975495","2"
"SPD","1998","Not Working","1026","0.445804484570867","0.425446533328246","0.466162435813488","2"
"AfD","1999","Full Time","","","","","7"
"AfD","1999","Part Time","","","","","7"
"AfD","1999","Not Working","","","","","7"
"CDU/CSU","1999","Full Time","1014","0.388807842639006","0.37044074267945","0.407174942598561","1"
"CDU/CSU","1999","Part Time","434","0.367824219810247","0.341070764165931","0.394577675454562","1"
"CDU/CSU","1999","Not Working","964","0.449432685197959","0.429186870569521","0.469678499826397","1"
"FDP","1999","Full Time","77","0.0349927653596329","0.0280690594614361","0.0419164712578296","3"
"FDP","1999","Not Working","39","0.0190226652249945","0.0134628176453338","0.0245825128046553","3"
"FDP","1999","Part Time","31","0.0294359639095296","0.0200583569453691","0.0388135708736902","3"
"NPD Combination","1999","Full Time","51","0.0144383873010515","0.00994384545430696","0.018932929147796","6"
"NPD Combination","1999","Part Time","15","","","","6"
"NPD Combination","1999","Not Working","15","","","","6"
"Other","1999","Full Time","29","","","","8"
"Other","1999","Part Time","20","","","","8"
"Other","1999","Not Working","23","","","","8"
"PDS/Linke","1999","Full Time","137","0.0357117174035731","0.0287198528302996","0.0427035819768466","5"
"PDS/Linke","1999","Part Time","51","0.0274784332552136","0.0184088694116444","0.0365479970987829","5"
"PDS/Linke","1999","Not Working","135","0.0405490120419452","0.032521161978699","0.0485768621051914","5"
"SPD","1999","Part Time","565","0.426850006359782","0.399408206636653","0.45429180608291","2"
"SPD","1999","Full Time","1182","0.441240136442632","0.422531837484369","0.459948435400895","2"
"SPD","1999","Not Working","1015","0.428845774745754","0.408702736310364","0.448988813181144","2"
"AfD","2000","Part Time","","","","","7"
"AfD","2000","Full Time","","","","","7"
"AfD","2000","Not Working","","","","","7"
"CDU/CSU","2000","Full Time","1720","0.382017827496252","0.367777270308387","0.396258384684116","1"
"CDU/CSU","2000","Part Time","698","0.33083227532058","0.31073239508067","0.35093215556049","1"
"CDU/CSU","2000","Not Working","1764","0.442418716051329","0.427232455049137","0.457604977053521","1"
"FDP","2000","Full Time","145","0.0338562486510629","0.0285554966486396","0.0391570006534862","3"
"FDP","2000","Part Time","52","0.0294175807209046","0.0221991676951112","0.0366359937466979","3"
"FDP","2000","Not Working","95","0.0291242683011994","0.0239827740476624","0.0342657625547364","3"
"NPD Combination","2000","Full Time","66","0.012713604314268","0.00942998262757688","0.0159972260009592","6"
"NPD Combination","2000","Not Working","31","0.00792066301225184","0.00521025925465499","0.0106310667698487","6"
"NPD Combination","2000","Part Time","27","","","","6"
"Other","2000","Full Time","47","0.0106823646207253","0.00766936714517258","0.0136953620962781","8"
"Other","2000","Part Time","26","","","","8"
"Other","2000","Not Working","37","0.008583642603355","0.00576302719686472","0.0114042580098453","8"
"PDS/Linke","2000","Full Time","235","0.0399770207716788","0.0342352847636911","0.0457187567796665","5"
"PDS/Linke","2000","Part Time","104","0.0414217917678916","0.0329094263761878","0.0499341571595954","5"
"PDS/Linke","2000","Not Working","219","0.0437279359982607","0.0374754857581233","0.0499803862383982","5"
"SPD","2000","Part Time","955","0.452644927694114","0.431381393814924","0.473908461573304","2"
"SPD","2000","Not Working","1767","0.424261761918658","0.409150194842686","0.439373328994631","2"
"SPD","2000","Full Time","1886","0.433282170127858","0.418758845638464","0.447805494617252","2"
"AfD","2001","Part Time","","","","","7"
"AfD","2001","Full Time","","","","","7"
"AfD","2001","Not Working","","","","","7"
"CDU/CSU","2001","Full Time","1429","0.367261263854396","0.352055859849255","0.382466667859536","1"
"CDU/CSU","2001","Part Time","615","0.322626367820333","0.301584078024028","0.343668657616637","1"
"CDU/CSU","2001","Not Working","1489","0.440073298766653","0.423767157874036","0.456379439659271","1"
"FDP","2001","Full Time","161","0.0441931651293189","0.0377103922049555","0.0506759380536822","3"
"FDP","2001","Part Time","67","0.0400808867194426","0.0312518178476451","0.0489099555912401","3"
"FDP","2001","Not Working","98","0.0324124844975529","0.0265951453837168","0.0382298236113891","3"
"NPD Combination","2001","Full Time","51","0.0099232814247852","0.0067967682115637","0.0130497946380067","6"
"NPD Combination","2001","Not Working","19","","","","6"
"NPD Combination","2001","Part Time","30","0.0145231862114666","0.00913821875836333","0.0199081536645698","6"
"Other","2001","Full Time","38","0.00943247361748996","0.00638350444710714","0.0124814427878728","8"
"Other","2001","Part Time","27","","","","8"
"Other","2001","Not Working","25","","","","8"
"PDS/Linke","2001","Full Time","177","0.0368567539749472","0.0309138026423009","0.0427997053075934","5"
"PDS/Linke","2001","Part Time","76","0.0339664820230153","0.0258128650445046","0.042120099001526","5"
"PDS/Linke","2001","Not Working","194","0.0437869985405973","0.0370653933030617","0.0505086037781328","5"
"SPD","2001","Part Time","838","0.439241367633289","0.416902120841102","0.461580614425475","2"
"SPD","2001","Not Working","1559","0.428732084263826","0.412475249133219","0.444988919394433","2"
"SPD","2001","Full Time","1681","0.445597132753661","0.429919441124647","0.461274824382676","2"
"AfD","2002","Part Time","","","","","7"
"AfD","2002","Full Time","","","","","7"
"AfD","2002","Not Working","","","","","7"
"CDU/CSU","2002","Full Time","1725","0.387289811038416","0.372946718414186","0.401632903662645","1"
"CDU/CSU","2002","Part Time","791","0.334589573894353","0.315123278287266","0.354055869501441","1"
"CDU/CSU","2002","Not Working","1639","0.435376854334581","0.419625216919606","0.451128491749555","1"
"FDP","2002","Full Time","262","0.0514435421587872","0.0449393368618349","0.0579477474557395","3"
"FDP","2002","Part Time","124","0.0491114682291737","0.0401961145790061","0.0580268218793412","3"
"FDP","2002","Not Working","129","0.0329011361683792","0.0272341182818329","0.0385681540549256","3"
"NPD Combination","2002","Full Time","46","0.0110119795410606","0.00793924226157093","0.0140847168205503","6"
"NPD Combination","2002","Part Time","19","","","","6"
"NPD Combination","2002","Not Working","13","","","","6"
"Other","2002","Full Time","46","0.0124115036396259","0.00915165506559802","0.0156713522136539","8"
"Other","2002","Part Time","29","","","","8"
"Other","2002","Not Working","28","","","","8"
"PDS/Linke","2002","Full Time","208","0.0400807029131667","0.0343053006085173","0.0458561052178161","5"
"PDS/Linke","2002","Part Time","112","0.0493854915639273","0.0404465886358869","0.0583243944919676","5"
"PDS/Linke","2002","Not Working","252","0.0561747338777902","0.0488594697681462","0.0634899979874343","5"
"SPD","2002","Part Time","921","0.430110232205494","0.409684970565071","0.450535493845917","2"
"SPD","2002","Not Working","1571","0.423098008012421","0.407402144677002","0.438793871347839","2"
"SPD","2002","Full Time","1775","0.413239732470526","0.398741047924987","0.427738417016064","2"
"AfD","2003","Part Time","","","","","7"
"AfD","2003","Full Time","","","","","7"
"AfD","2003","Not Working","","","","","7"
"CDU/CSU","2003","Full Time","1925","0.42819719627292","0.413544872242761","0.442849520303079","1"
